"Time EST","Air Temp (°C)"
"2017-12-01 00:02","6.2"
"2017-12-01 00:12","6.0"
"2017-12-01 00:22","6.0"
"2017-12-01 00:32","5.9"
"2017-12-01 00:42","5.8"
"2017-12-01 00:52","5.8"
"2017-12-01 01:02","5.8"
"2017-12-01 01:12","5.7"
"2017-12-01 01:22","5.7"
"2017-12-01 01:32","5.7"
"2017-12-01 01:42","5.6"
"2017-12-01 01:52","5.6"
"2017-12-01 02:02","5.6"
"2017-12-01 02:12","5.6"
"2017-12-01 02:22","5.6"
"2017-12-01 02:32","5.5"
"2017-12-01 02:42","5.4"
"2017-12-01 02:52","5.3"
"2017-12-01 03:02","5.2"
"2017-12-01 03:12","5.0"
"2017-12-01 03:32","4.9"
"2017-12-01 03:52","4.8"
"2017-12-01 04:12","4.8"
"2017-12-01 04:32","4.7"
"2017-12-01 04:52","4.6"
"2017-12-01 05:12","4.6"
"2017-12-01 05:32","4.6"
"2017-12-01 05:52","4.6"
"2017-12-01 06:12","4.6"
"2017-12-01 06:32","4.4"
"2017-12-01 06:52","4.3"
"2017-12-01 07:12","4.2"
"2017-12-01 07:32","4.3"
"2017-12-01 07:52","4.4"
"2017-12-01 08:12","4.4"
"2017-12-01 08:32","4.5"
"2017-12-01 08:52","4.9"
"2017-12-01 09:12","5.2"
"2017-12-01 09:32","5.5"
"2017-12-01 09:52","5.7"
"2017-12-01 10:12","6.6"
"2017-12-01 10:32","7.3"
"2017-12-01 10:52","7.4"
"2017-12-01 11:12","7.6"
"2017-12-01 11:32","8.0"
"2017-12-01 11:52","7.9"
"2017-12-01 12:12","8.4"
"2017-12-01 12:32","7.9"
"2017-12-01 12:52","7.9"
"2017-12-01 13:12","8.7"
"2017-12-01 13:32","8.1"
"2017-12-01 13:42","8.2"
"2017-12-01 13:52","8.3"
"2017-12-01 14:02","8.1"
"2017-12-01 14:12","7.7"
"2017-12-01 14:22","7.8"
"2017-12-01 14:32","7.7"
"2017-12-01 14:42","7.7"
"2017-12-01 14:52","7.9"
"2017-12-01 15:02","7.8"
"2017-12-01 15:12","7.0"
"2017-12-01 15:22","6.9"
"2017-12-01 15:32","7.2"
"2017-12-01 15:42","7.2"
"2017-12-01 15:52","7.5"
"2017-12-01 16:02","7.4"
"2017-12-01 16:12","6.8"
"2017-12-01 16:22","6.6"
"2017-12-01 16:32","6.1"
"2017-12-01 16:42","5.8"
"2017-12-01 16:52","5.5"
"2017-12-01 17:02","5.4"
"2017-12-01 17:12","5.1"
"2017-12-01 17:22","5.0"
"2017-12-01 17:32","4.9"
"2017-12-01 17:42","4.8"
"2017-12-01 17:52","4.5"
"2017-12-01 18:02","4.4"
"2017-12-01 18:12","4.3"
"2017-12-01 18:22","4.2"
"2017-12-01 18:32","4.2"
"2017-12-01 18:42","4.3"
"2017-12-01 18:52","3.5"
"2017-12-01 19:02","3.2"
"2017-12-01 19:12","3.7"
"2017-12-01 19:22","3.4"
"2017-12-01 19:32","2.6"
"2017-12-01 19:42","2.3"
"2017-12-01 19:52","1.7"
"2017-12-01 20:02","1.2"
"2017-12-01 20:12","0.9"
"2017-12-01 20:22","0.7"
"2017-12-01 20:32","1.4"
"2017-12-01 20:42","1.9"
"2017-12-01 20:52","2.7"
"2017-12-01 21:02","2.6"
"2017-12-01 21:12","1.3"
"2017-12-01 21:22","0.7"
"2017-12-01 21:32","-0.1"
"2017-12-01 21:42","-0.2"
"2017-12-01 21:52","0.3"
"2017-12-01 22:02","0.6"
"2017-12-01 22:12","1.6"
"2017-12-01 22:22","1.6"
"2017-12-01 22:32","1.3"
"2017-12-01 22:42","1.1"
"2017-12-01 22:52","2.0"
"2017-12-01 23:02","1.9"
"2017-12-01 23:12","2.0"
"2017-12-01 23:22","2.0"
"2017-12-01 23:32","1.9"
"2017-12-01 23:42","1.9"
"2017-12-01 23:52","2.0"
"2017-12-02 00:02","2.0"
"2017-12-02 00:12","1.9"
"2017-12-02 00:22","2.0"
"2017-12-02 00:32","1.9"
"2017-12-02 00:42","1.9"
"2017-12-02 00:52","2.3"
"2017-12-02 01:02","2.5"
"2017-12-02 01:12","2.8"
"2017-12-02 01:22","2.5"
"2017-12-02 01:32","1.6"
"2017-12-02 01:42","2.4"
"2017-12-02 01:52","3.0"
"2017-12-02 02:02","2.8"
"2017-12-02 02:12","3.3"
"2017-12-02 02:22","3.6"
"2017-12-02 02:32","3.8"
"2017-12-02 02:42","3.9"
"2017-12-02 02:52","3.7"
"2017-12-02 03:02","3.7"
"2017-12-02 03:12","3.0"
"2017-12-02 03:22","2.8"
"2017-12-02 03:32","3.0"
"2017-12-02 03:42","3.2"
"2017-12-02 03:52","3.5"
"2017-12-02 04:02","3.6"
"2017-12-02 04:12","3.3"
"2017-12-02 04:22","3.2"
"2017-12-02 04:32","1.7"
"2017-12-02 04:42","1.7"
"2017-12-02 04:52","2.1"
"2017-12-02 05:02","2.3"
"2017-12-02 05:12","2.0"
"2017-12-02 05:22","2.0"
"2017-12-02 05:32","2.0"
"2017-12-02 05:42","1.7"
"2017-12-02 05:52","1.7"
"2017-12-02 06:02","1.6"
"2017-12-02 06:12","0.5"
"2017-12-02 06:22","1.0"
"2017-12-02 06:32","1.0"
"2017-12-02 06:42","0.1"
"2017-12-02 06:52","0.1"
"2017-12-02 07:02","-0.1"
"2017-12-02 07:12","0.8"
"2017-12-02 07:22","-0.1"
"2017-12-02 07:32","-0.2"
"2017-12-02 07:42","-0.4"
"2017-12-02 07:52","0.3"
"2017-12-02 08:02","0.7"
"2017-12-02 08:12","1.0"
"2017-12-02 08:22","1.7"
"2017-12-02 08:32","2.5"
"2017-12-02 08:42","2.7"
"2017-12-02 08:52","3.1"
"2017-12-02 09:02","3.3"
"2017-12-02 09:12","3.6"
"2017-12-02 09:22","3.7"
"2017-12-02 09:32","4.1"
"2017-12-02 09:42","4.2"
"2017-12-02 09:52","4.6"
"2017-12-02 10:02","4.6"
"2017-12-02 10:12","4.6"
"2017-12-02 10:22","4.9"
"2017-12-02 10:32","5.0"
"2017-12-02 10:42","5.1"
"2017-12-02 10:52","5.3"
"2017-12-02 11:02","5.4"
"2017-12-02 11:12","5.7"
"2017-12-02 11:22","5.7"
"2017-12-02 11:32","5.8"
"2017-12-02 11:42","5.8"
"2017-12-02 11:52","5.8"
"2017-12-02 12:02","5.9"
"2017-12-02 12:12","6.1"
"2017-12-02 12:22","6.2"
"2017-12-02 12:32","6.2"
"2017-12-02 12:42","6.2"
"2017-12-02 12:52","6.6"
"2017-12-02 13:02","6.7"
"2017-12-02 13:12","6.5"
"2017-12-02 13:22","6.4"
"2017-12-02 13:32","6.5"
"2017-12-02 13:42","6.6"
"2017-12-02 13:52","6.5"
"2017-12-02 14:02","6.6"
"2017-12-02 14:12","7.0"
"2017-12-02 14:22","6.9"
"2017-12-02 14:32","6.8"
"2017-12-02 14:42","6.8"
"2017-12-02 14:52","7.1"
"2017-12-02 15:02","7.2"
"2017-12-02 15:12","6.5"
"2017-12-02 15:22","6.5"
"2017-12-02 15:32","6.4"
"2017-12-02 15:42","6.4"
"2017-12-02 15:52","6.5"
"2017-12-02 16:02","6.5"
"2017-12-02 16:12","6.2"
"2017-12-02 16:22","6.0"
"2017-12-02 16:32","5.7"
"2017-12-02 16:42","5.6"
"2017-12-02 16:52","5.0"
"2017-12-02 17:02","4.8"
"2017-12-02 17:12","3.6"
"2017-12-02 17:22","3.4"
"2017-12-02 17:32","3.2"
"2017-12-02 17:42","3.8"
"2017-12-02 17:52","4.4"
"2017-12-02 18:02","4.4"
"2017-12-02 18:12","4.0"
"2017-12-02 18:22","3.7"
"2017-12-02 18:32","3.7"
"2017-12-02 18:42","3.8"
"2017-12-02 18:52","4.2"
"2017-12-02 19:02","4.2"
"2017-12-02 19:12","4.4"
"2017-12-02 19:22","4.5"
"2017-12-02 19:32","4.3"
"2017-12-02 19:42","4.2"
"2017-12-02 19:52","4.3"
"2017-12-02 20:02","4.4"
"2017-12-02 20:12","4.3"
"2017-12-02 20:22","4.4"
"2017-12-02 20:32","4.1"
"2017-12-02 20:42","3.8"
"2017-12-02 20:52","3.6"
"2017-12-02 21:02","3.7"
"2017-12-02 21:12","3.9"
"2017-12-02 21:22","3.8"
"2017-12-02 21:32","3.7"
"2017-12-02 21:42","3.8"
"2017-12-02 21:52","4.4"
"2017-12-02 22:02","4.4"
"2017-12-02 22:12","4.4"
"2017-12-02 22:22","4.4"
"2017-12-02 22:32","4.5"
"2017-12-02 22:42","4.5"
"2017-12-02 22:52","4.7"
"2017-12-02 23:02","4.7"
"2017-12-02 23:12","4.6"
"2017-12-02 23:22","4.5"
"2017-12-02 23:32","4.5"
"2017-12-02 23:42","4.6"
"2017-12-02 23:52","4.8"
"2017-12-03 00:02","4.9"
"2017-12-03 00:12","4.9"
"2017-12-03 00:22","4.9"
"2017-12-03 00:32","4.8"
"2017-12-03 00:42","4.8"
"2017-12-03 00:52","4.7"
"2017-12-03 01:02","4.6"
"2017-12-03 01:12","4.3"
"2017-12-03 01:22","4.2"
"2017-12-03 01:32","4.2"
"2017-12-03 01:42","4.3"
"2017-12-03 01:52","4.6"
"2017-12-03 02:02","4.8"
"2017-12-03 02:12","5.0"
"2017-12-03 02:22","5.0"
"2017-12-03 02:32","5.0"
"2017-12-03 02:42","5.0"
"2017-12-03 02:53","4.7"
"2017-12-03 03:02","4.6"
"2017-12-03 03:12","4.5"
"2017-12-03 03:22","4.5"
"2017-12-03 03:32","4.4"
"2017-12-03 03:42","4.3"
"2017-12-03 03:52","4.2"
"2017-12-03 04:02","4.0"
"2017-12-03 04:12","3.6"
"2017-12-03 04:22","3.5"
"2017-12-03 04:32","2.9"
"2017-12-03 04:42","2.8"
"2017-12-03 04:52","2.5"
"2017-12-03 05:02","2.6"
"2017-12-03 05:12","3.0"
"2017-12-03 05:22","3.2"
"2017-12-03 05:32","2.6"
"2017-12-03 05:42","2.8"
"2017-12-03 05:52","2.7"
"2017-12-03 06:02","2.5"
"2017-12-03 06:12","3.0"
"2017-12-03 06:22","3.0"
"2017-12-03 06:32","3.2"
"2017-12-03 06:42","3.4"
"2017-12-03 06:52","3.5"
"2017-12-03 07:02","3.6"
"2017-12-03 07:12","3.3"
"2017-12-03 07:22","3.4"
"2017-12-03 07:32","3.2"
"2017-12-03 07:42","3.1"
"2017-12-03 07:52","3.3"
"2017-12-03 08:02","3.6"
"2017-12-03 08:12","4.1"
"2017-12-03 08:22","4.4"
"2017-12-03 08:32","4.9"
"2017-12-03 08:42","5.1"
"2017-12-03 08:52","5.6"
"2017-12-03 09:02","5.8"
"2017-12-03 09:12","5.9"
"2017-12-03 09:22","6.2"
"2017-12-03 09:32","6.6"
"2017-12-03 09:42","6.9"
"2017-12-03 09:52","7.0"
"2017-12-03 10:02","7.2"
"2017-12-03 10:12","7.6"
"2017-12-03 10:22","7.9"
"2017-12-03 10:32","8.2"
"2017-12-03 10:42","8.4"
"2017-12-03 10:52","8.6"
"2017-12-03 11:02","8.7"
"2017-12-03 11:12","8.5"
"2017-12-03 11:22","8.5"
"2017-12-03 11:32","8.5"
"2017-12-03 11:42","8.6"
"2017-12-03 11:52","8.4"
"2017-12-03 12:02","8.0"
"2017-12-03 12:12","7.9"
"2017-12-03 12:22","7.9"
"2017-12-03 12:32","8.3"
"2017-12-03 12:42","8.3"
