"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2017-12-01 00:02","4.0","86"
"2017-12-01 00:12","3.9","86"
"2017-12-01 00:22","4.0","86"
"2017-12-01 00:32","4.0","87"
"2017-12-01 00:42","4.0","87"
"2017-12-01 00:52","4.0","87"
"2017-12-01 01:02","3.9","87"
"2017-12-01 01:12","3.8","87"
"2017-12-01 01:22","3.8","87"
"2017-12-01 01:32","3.8","87"
"2017-12-01 01:42","3.7","87"
"2017-12-01 01:52","3.8","88"
"2017-12-01 02:02","3.8","88"
"2017-12-01 02:12","3.7","87"
"2017-12-01 02:22","3.7","87"
"2017-12-01 02:32","3.5","87"
"2017-12-01 02:42","3.3","86"
"2017-12-01 02:52","3.1","85"
"2017-12-01 03:02","3.0","85"
"2017-12-01 03:12","2.8","86"
"2017-12-01 03:32","2.8","86"
"2017-12-01 03:52","2.8","87"
"2017-12-01 04:12","3.0","88"
"2017-12-01 04:32","2.9","88"
"2017-12-01 04:52","3.0","88"
"2017-12-01 05:12","3.1","90"
"2017-12-01 05:32","3.1","90"
"2017-12-01 05:52","3.1","89"
"2017-12-01 06:12","3.0","88"
"2017-12-01 06:32","2.7","88"
"2017-12-01 06:52","2.6","88"
"2017-12-01 07:12","2.7","90"
"2017-12-01 07:32","2.8","90"
"2017-12-01 07:52","2.8","89"
"2017-12-01 08:12","2.9","89"
"2017-12-01 08:32","3.0","89"
"2017-12-01 08:52","3.2","88"
"2017-12-01 09:12","3.2","86"
"2017-12-01 09:32","2.9","83"
"2017-12-01 09:52","2.0","77"
"2017-12-01 10:12","1.0","67"
"2017-12-01 10:32","0.5","61"
"2017-12-01 10:52","0.5","61"
"2017-12-01 11:12","0.3","59"
"2017-12-01 11:32","-0.1","55"
"2017-12-01 11:52","-0.2","56"
"2017-12-01 12:12","0.0","55"
"2017-12-01 12:32","-0.3","56"
"2017-12-01 12:52","-0.4","55"
"2017-12-01 13:12","0.3","55"
"2017-12-01 13:32","0.4","58"
"2017-12-01 13:42","0.6","58"
"2017-12-01 13:52","0.8","59"
"2017-12-01 14:02","0.7","59"
"2017-12-01 14:12","0.7","61"
"2017-12-01 14:22","0.8","61"
"2017-12-01 14:32","0.7","61"
"2017-12-01 14:42","0.8","61"
"2017-12-01 14:52","0.9","61"
"2017-12-01 15:02","0.8","61"
"2017-12-01 15:12","0.4","62"
"2017-12-01 15:22","0.4","63"
"2017-12-01 15:32","0.7","63"
"2017-12-01 15:42","0.6","62"
"2017-12-01 15:52","0.3","60"
"2017-12-01 16:02","-0.2","58"
"2017-12-01 16:12","-0.5","59"
"2017-12-01 16:22","-0.4","60"
"2017-12-01 16:32","0.0","64"
"2017-12-01 16:42","0.1","66"
"2017-12-01 16:52","0.5","70"
"2017-12-01 17:02","0.6","71"
"2017-12-01 17:12","0.9","74"
"2017-12-01 17:22","1.1","76"
