"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:02","9","SW","17"
"2017-12-01 00:12","11","SW","17"
"2017-12-01 00:22","12","SW","16"
"2017-12-01 00:32","9","WSW","18"
"2017-12-01 00:42","10","WSW","17"
"2017-12-01 00:52","11","WSW","16"
"2017-12-01 01:02","11","WSW","19"
"2017-12-01 01:12","14","WSW","21"
"2017-12-01 01:22","12","WSW","21"
"2017-12-01 01:32","11","WSW","19"
"2017-12-01 01:42","11","WSW","17"
"2017-12-01 01:52","12","W","21"
"2017-12-01 02:02","12","WSW","21"
"2017-12-01 02:12","14","SW","20"
"2017-12-01 02:22","12","WSW","19"
"2017-12-01 02:32","15","WSW","29"
"2017-12-01 02:42","16","WSW","29"
"2017-12-01 02:52","17","WSW","26"
"2017-12-01 03:02","15","WSW","23"
"2017-12-01 03:12","12","WSW","18"
"2017-12-01 03:32","8","WSW","13"
"2017-12-01 03:52","7","WSW","12"
"2017-12-01 04:12","9","WSW","14"
"2017-12-01 04:32","4","SW","12"
"2017-12-01 04:52","5","S","9"
"2017-12-01 05:12","8","SW","13"
"2017-12-01 05:32","6","SW","11"
"2017-12-01 05:52","6","SW","10"
"2017-12-01 06:12","5","WSW","13"
"2017-12-01 06:32","3","SSW","9"
"2017-12-01 06:52","4","SW","5"
"2017-12-01 07:12","4","SW","6"
"2017-12-01 07:32","6","WSW","9"
"2017-12-01 07:52","8","W","12"
"2017-12-01 08:12","5","W","9"
"2017-12-01 08:32","6","WSW","9"
"2017-12-01 08:52","8","W","10"
"2017-12-01 09:12","6","W","12"
"2017-12-01 09:32","6","W","12"
"2017-12-01 09:52","10","NW","14"
"2017-12-01 10:12","10","NW","20"
"2017-12-01 10:32","8","WNW","18"
"2017-12-01 10:52","10","W","17"
"2017-12-01 11:12","6","NW","15"
"2017-12-01 11:32","9","W","14"
"2017-12-01 11:52","6","SW","15"
"2017-12-01 12:12","6","SW","13"
"2017-12-01 12:32","3","SW","11"
"2017-12-01 12:52","10","WSW","13"
"2017-12-01 13:12","5","WSW","11"
"2017-12-01 13:32","9","S","21"
"2017-12-01 13:42","9","SE","15"
"2017-12-01 13:52","6","SSE","18"
"2017-12-01 14:02","11","SSE","17"
"2017-12-01 14:12","11","S","21"
"2017-12-01 14:22","10","SSE","18"
"2017-12-01 14:32","13","S","18"
"2017-12-01 14:42","13","S","18"
"2017-12-01 14:52","8","SSE","19"
"2017-12-01 15:02","9","S","15"
"2017-12-01 15:12","12","SE","16"
"2017-12-01 15:22","8","S","17"
"2017-12-01 15:32","7","SW","13"
"2017-12-01 15:42","8","S","12"
"2017-12-01 15:52","8","SW","13"
"2017-12-01 16:02","6","S","13"
"2017-12-01 16:12","5","S","14"
"2017-12-01 16:22","7","S","11"
"2017-12-01 16:32","5","SSE","9"
"2017-12-01 16:42","4","S","10"
"2017-12-01 16:52","4","S","9"
"2017-12-01 17:02","5","S","9"
"2017-12-01 17:12","5","S","7"
"2017-12-01 17:22","3","S","7"
"2017-12-01 17:32","4","SSW","7"
"2017-12-01 17:42","3","SSW","6"
"2017-12-01 17:52","4","SSW","7"
"2017-12-01 18:02","3","SW","6"
"2017-12-01 18:12","3","S","4"
"2017-12-01 18:22","2","SSW","4"
"2017-12-01 18:32","1","SW","5"
"2017-12-01 18:42","1","S","4"
"2017-12-01 18:52","0","S","3"
"2017-12-01 19:02","1","E","3"
"2017-12-01 19:12","1","E","3"
"2017-12-01 19:22","2","ESE","4"
"2017-12-01 19:32","1","SSE","4"
"2017-12-01 19:42","1","E","3"
"2017-12-01 19:52","0","S","3"
"2017-12-01 20:02","0","SE","1"
"2017-12-01 20:12","0","ENE","5"
"2017-12-01 20:22","1","ENE","1"
"2017-12-01 20:32","1","E","3"
"2017-12-01 20:42","3","E","5"
"2017-12-01 20:52","2","ESE","3"
"2017-12-01 21:02","1","ESE","3"
"2017-12-01 21:12","1","E","2"
"2017-12-01 21:22","2","E","4"
"2017-12-01 21:32","0","ENE","4"
"2017-12-01 21:42","0","ENE","0"
"2017-12-01 21:52","3","ENE","3"
"2017-12-01 22:02","7","ENE","9"
"2017-12-01 22:12","4","E","6"
"2017-12-01 22:22","1","ESE","6"
"2017-12-01 22:32","5","E","6"
"2017-12-01 22:42","3","ESE","6"
"2017-12-01 22:52","5","E","6"
"2017-12-01 23:02","5","ESE","6"
"2017-12-01 23:12","5","ESE","6"
"2017-12-01 23:22","5","ESE","6"
"2017-12-01 23:32","6","ESE","8"
"2017-12-01 23:42","5","ESE","8"
"2017-12-01 23:52","5","ESE","8"
"2017-12-02 00:02","5","ESE","7"
"2017-12-02 00:12","4","ESE","5"
