"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-01-01 00:02","-17.3","92"
"2018-01-01 00:12","-17.3","93"
"2018-01-01 00:22","-17.2","93"
"2018-01-01 00:32","-17.2","94"
"2018-01-01 00:42","-17.2","94"
"2018-01-01 00:52","-17.2","94"
"2018-01-01 01:02","-17.1","94"
"2018-01-01 01:12","-17.2","94"
"2018-01-01 01:22","-16.9","94"
"2018-01-01 01:32","-17.2","95"
"2018-01-01 01:42","-17.5","95"
"2018-01-01 01:52","-18.0","95"
"2018-01-01 02:02","-18.4","95"
"2018-01-01 02:12","-18.8","96"
"2018-01-01 02:22","-19.0","96"
"2018-01-01 02:32","-19.0","96"
"2018-01-01 02:42","-19.4","96"
"2018-01-01 02:52","-19.7","96"
"2018-01-01 03:02","-20.4","96"
"2018-01-01 03:12","-20.6","96"
"2018-01-01 03:22","-20.5","96"
"2018-01-01 03:32","-20.6","97"
"2018-01-01 03:42","-21.0","97"
"2018-01-01 03:52","-20.5","97"
"2018-01-01 04:02","-20.7","97"
"2018-01-01 04:12","-20.1","97"
"2018-01-01 04:22","-20.5","97"
"2018-01-01 04:32","-19.7","97"
"2018-01-01 04:42","-19.9","97"
"2018-01-01 04:52","-20.3","97"
"2018-01-01 05:03","-20.6","97"
"2018-01-01 05:12","-20.3","97"
"2018-01-01 05:22","-19.5","97"
"2018-01-01 05:32","-19.4","97"
"2018-01-01 05:42","-18.8","97"
"2018-01-01 05:53","-18.6","97"
"2018-01-01 06:02","-18.3","97"
"2018-01-01 06:12","-18.4","97"
"2018-01-01 06:22","-19.2","97"
"2018-01-01 06:32","-19.0","97"
"2018-01-01 06:42","-19.1","97"
"2018-01-01 06:52","-19.6","97"
"2018-01-01 07:02","-20.2","97"
"2018-01-01 07:12","-20.6","97"
"2018-01-01 07:22","-20.6","98"
"2018-01-01 07:32","-20.3","98"
"2018-01-01 07:42","-20.3","98"
"2018-01-01 07:52","-18.9","98"
"2018-01-01 08:02","-18.5","98"
"2018-01-01 08:12","-18.3","98"
"2018-01-01 08:22","-17.4","98"
"2018-01-01 08:32","-15.9","98"
"2018-01-01 08:42","-15.9","98"
"2018-01-01 08:52","-15.6","98"
"2018-01-01 09:02","-15.2","97"
"2018-01-01 09:12","-14.7","97"
"2018-01-01 09:22","-14.5","95"
"2018-01-01 09:32","-14.4","94"
"2018-01-01 09:42","-14.6","90"
"2018-01-01 09:52","-14.8","85"
"2018-01-01 10:02","-15.0","81"
"2018-01-01 10:12","-15.1","79"
"2018-01-01 10:22","-15.2","77"
"2018-01-01 10:32","-15.0","76"
"2018-01-01 10:42","-15.3","74"
"2018-01-01 10:52","-15.5","71"
"2018-01-01 11:02","-15.7","68"
"2018-01-01 11:12","-16.0","66"
"2018-01-01 11:22","-16.3","64"
"2018-01-01 11:33","-16.0","64"
"2018-01-01 11:42","-15.9","65"
"2018-01-01 11:52","-15.7","66"
"2018-01-01 12:02","-15.2","67"
"2018-01-01 12:12","-15.0","68"
"2018-01-01 12:22","-14.7","70"
"2018-01-01 12:32","-14.5","70"
"2018-01-01 12:42","-14.5","70"
"2018-01-01 12:52","-14.6","71"
"2018-01-01 13:02","-14.5","70"
"2018-01-01 13:12","-14.4","69"
"2018-01-01 13:22","-14.7","68"
"2018-01-01 13:32","-14.9","68"
"2018-01-01 13:42","-15.0","68"
"2018-01-01 13:52","-15.1","67"
"2018-01-01 14:02","-15.2","65"
"2018-01-01 14:12","-15.0","64"
"2018-01-01 14:22","-15.3","63"
