"Time EST","Pressure (kPa)"
"2018-03-01 00:02","98.99"
"2018-03-01 00:22","98.99"
"2018-03-01 00:42","99.02"
"2018-03-01 01:02","99.02"
"2018-03-01 01:22","99.06"
"2018-03-01 01:42","99.09"
"2018-03-01 02:02","99.09"
"2018-03-01 02:22","99.09"
"2018-03-01 02:42","99.06"
"2018-03-01 03:02","99.02"
"2018-03-01 03:22","99.06"
"2018-03-01 03:42","99.02"
"2018-03-01 04:02","99.02"
"2018-03-01 04:22","99.09"
"2018-03-01 04:42","99.09"
"2018-03-01 05:02","99.16"
"2018-03-01 05:22","99.13"
"2018-03-01 05:42","99.06"
"2018-03-01 06:02","99.02"
"2018-03-01 06:22","99.06"
"2018-03-01 06:42","99.06"
"2018-03-01 07:02","99.06"
"2018-03-01 07:22","99.02"
"2018-03-01 08:42","99.06"
"2018-03-01 09:02","99.09"
"2018-03-01 09:22","99.06"
"2018-03-01 09:42","99.09"
"2018-03-01 10:02","99.06"
"2018-03-01 10:22","99.02"
"2018-03-01 10:42","98.99"
"2018-03-01 11:02","98.95"
"2018-03-01 11:22","98.92"
"2018-03-01 11:42","98.92"
"2018-03-01 12:02","98.95"
"2018-03-01 12:22","98.88"
"2018-03-01 12:42","98.81"
"2018-03-01 13:02","98.74"
"2018-03-01 13:22","98.71"
"2018-03-01 13:42","98.71"
"2018-03-01 14:02","98.67"
"2018-03-01 14:22","98.64"
"2018-03-01 14:42","98.60"
"2018-03-01 15:02","98.57"
"2018-03-01 15:22","98.53"
"2018-03-01 15:42","98.50"
"2018-03-01 16:02","98.50"
"2018-03-01 16:22","98.50"
"2018-03-01 16:42","98.46"
"2018-03-01 17:02","98.43"
"2018-03-01 17:22","98.43"
"2018-03-01 17:42","98.43"
"2018-03-01 18:02","98.39"
"2018-03-01 18:22","98.36"
"2018-03-01 18:42","98.32"
"2018-03-01 19:02","98.25"
"2018-03-01 19:22","98.25"
"2018-03-01 19:42","98.22"
"2018-03-01 20:02","98.18"
"2018-03-01 20:22","98.22"
"2018-03-01 20:42","98.18"
"2018-03-01 21:02","98.18"
"2018-03-01 21:22","98.14"
"2018-03-01 21:42","98.14"
"2018-03-01 22:02","98.18"
"2018-03-01 22:22","98.11"
"2018-03-01 22:42","98.14"
"2018-03-01 23:02","98.14"
"2018-03-01 23:22","98.14"
"2018-03-01 23:42","98.18"
"2018-03-02 00:02","98.22"
"2018-03-02 00:22","98.25"
"2018-03-02 00:42","98.29"
"2018-03-02 01:02","98.32"
"2018-03-02 01:22","98.36"
"2018-03-02 01:42","98.39"
"2018-03-02 02:02","98.46"
"2018-03-02 02:22","98.53"
"2018-03-02 02:42","98.57"
"2018-03-02 03:02","98.60"
"2018-03-02 03:22","98.67"
"2018-03-02 03:42","98.71"
"2018-03-02 04:02","98.78"
"2018-03-02 04:22","98.81"
"2018-03-02 04:42","98.85"
"2018-03-02 05:02","98.92"
"2018-03-02 05:22","98.95"
"2018-03-02 05:42","99.02"
"2018-03-02 06:02","99.06"
"2018-03-02 06:22","99.09"
"2018-03-02 06:42","99.13"
"2018-03-02 07:02","99.16"
"2018-03-02 07:22","99.20"
"2018-03-02 07:42","99.23"
"2018-03-02 08:02","99.27"
"2018-03-02 08:22","99.30"
"2018-03-02 08:42","99.30"
"2018-03-02 09:02","99.34"
"2018-03-02 09:22","99.37"
"2018-03-02 09:42","99.41"
"2018-03-02 10:02","99.45"
"2018-03-02 10:22","99.48"
"2018-03-02 10:42","99.52"
"2018-03-02 11:02","99.55"
"2018-03-02 11:22","99.55"
"2018-03-02 11:42","99.59"
"2018-03-02 12:02","99.59"
"2018-03-02 12:22","99.62"
"2018-03-02 12:42","99.62"
"2018-03-02 13:02","99.62"
"2018-03-02 13:22","99.62"
"2018-03-02 13:42","99.66"
"2018-03-02 14:02","99.69"
"2018-03-02 14:22","99.73"
"2018-03-02 14:42","99.73"
"2018-03-02 15:02","99.73"
"2018-03-02 15:22","99.80"
"2018-03-02 15:42","99.80"
"2018-03-02 16:02","99.83"
"2018-03-02 16:22","99.87"
"2018-03-02 16:42","99.90"
"2018-03-02 17:02","99.94"
"2018-03-02 17:22","99.97"
"2018-03-02 17:42","100.01"
"2018-03-02 18:02","100.04"
"2018-03-02 18:22","100.08"
"2018-03-02 18:42","100.08"
"2018-03-02 19:02","100.11"
"2018-03-02 19:22","100.15"
"2018-03-02 19:42","100.18"
"2018-03-02 20:02","100.18"
"2018-03-02 20:22","100.18"
"2018-03-02 20:42","100.22"
"2018-03-02 21:02","100.22"
"2018-03-02 21:22","100.22"
"2018-03-02 21:42","100.22"
"2018-03-02 22:02","100.22"
"2018-03-02 22:22","100.25"
"2018-03-02 22:42","100.25"
"2018-03-02 23:02","100.25"
"2018-03-02 23:22","100.25"
"2018-03-02 23:42","100.25"
"2018-03-03 00:02","100.29"
"2018-03-03 00:22","100.29"
"2018-03-03 00:42","100.29"
"2018-03-03 01:02","100.29"
"2018-03-03 01:22","100.29"
"2018-03-03 01:42","100.32"
"2018-03-03 02:02","100.32"
"2018-03-03 02:22","100.32"
"2018-03-03 02:42","100.36"
"2018-03-03 03:02","100.36"
"2018-03-03 03:22","100.39"
"2018-03-03 03:42","100.39"
"2018-03-03 04:02","100.39"
"2018-03-03 04:22","100.39"
"2018-03-03 04:42","100.43"
"2018-03-03 05:02","100.43"
"2018-03-03 05:22","100.43"
"2018-03-03 05:42","100.43"
"2018-03-03 06:02","100.46"
"2018-03-03 06:22","100.46"
"2018-03-03 06:42","100.50"
"2018-03-03 07:02","100.50"
"2018-03-03 07:22","100.53"
"2018-03-03 07:42","100.53"
"2018-03-03 08:02","100.57"
"2018-03-03 08:22","100.57"
"2018-03-03 08:42","100.61"
"2018-03-03 09:02","100.61"
"2018-03-03 09:22","100.61"
"2018-03-03 09:42","100.61"
"2018-03-03 10:02","100.64"
"2018-03-03 10:22","100.64"
"2018-03-03 10:42","100.64"
"2018-03-03 11:02","100.64"
"2018-03-03 11:22","100.68"
"2018-03-03 11:42","100.68"
"2018-03-03 12:02","100.68"
"2018-03-03 12:22","100.68"
"2018-03-03 12:42","100.68"
"2018-03-03 13:02","100.68"
"2018-03-03 13:22","100.64"
"2018-03-03 13:42","100.64"
"2018-03-03 14:02","100.64"
"2018-03-03 14:22","100.64"
"2018-03-03 14:42","100.61"
"2018-03-03 15:02","100.61"
"2018-03-03 15:22","100.61"
"2018-03-03 15:42","100.61"
"2018-03-03 16:02","100.61"
"2018-03-03 16:22","100.64"
"2018-03-03 16:42","100.64"
"2018-03-03 17:02","100.64"
"2018-03-03 17:22","100.64"
"2018-03-03 17:42","100.64"
"2018-03-03 18:02","100.64"
"2018-03-03 18:22","100.64"
"2018-03-03 18:42","100.64"
"2018-03-03 19:02","100.68"
"2018-03-03 19:22","100.68"
"2018-03-03 19:42","100.68"
"2018-03-03 20:02","100.68"
"2018-03-03 20:22","100.71"
"2018-03-03 20:42","100.68"
"2018-03-03 21:02","100.71"
"2018-03-03 21:22","100.71"
"2018-03-03 21:42","100.71"
"2018-03-03 22:02","100.71"
"2018-03-03 22:22","100.71"
"2018-03-03 22:42","100.71"
"2018-03-03 23:02","100.71"
"2018-03-03 23:22","100.71"
"2018-03-03 23:42","100.68"
"2018-03-04 00:03","100.68"
"2018-03-04 00:22","100.71"
"2018-03-04 00:42","100.68"
"2018-03-04 01:02","100.68"
"2018-03-04 01:22","100.68"
"2018-03-04 01:42","100.68"
"2018-03-04 02:02","100.68"
"2018-03-04 02:22","100.64"
"2018-03-04 02:43","100.68"
"2018-03-04 03:02","100.68"
"2018-03-04 03:22","100.68"
"2018-03-04 03:42","100.68"
"2018-03-04 04:02","100.68"
"2018-03-04 04:22","100.68"
"2018-03-04 04:42","100.68"
"2018-03-04 05:02","100.68"
"2018-03-04 05:22","100.71"
"2018-03-04 05:42","100.75"
"2018-03-04 06:02","100.75"
"2018-03-04 06:22","100.78"
"2018-03-04 06:42","100.78"
"2018-03-04 07:02","100.78"
"2018-03-04 07:22","100.78"
"2018-03-04 07:42","100.82"
"2018-03-04 08:02","100.78"
"2018-03-04 08:22","100.78"
"2018-03-04 08:42","100.82"
"2018-03-04 09:02","100.82"
"2018-03-04 09:22","100.82"
"2018-03-04 09:42","100.78"
"2018-03-04 10:02","100.78"
"2018-03-04 10:22","100.78"
"2018-03-04 10:42","100.78"
"2018-03-04 11:02","100.75"
"2018-03-04 11:22","100.71"
"2018-03-04 11:42","100.71"
"2018-03-04 12:02","100.71"
"2018-03-04 12:22","100.71"
"2018-03-04 12:42","100.68"
"2018-03-04 13:02","100.64"
"2018-03-04 13:22","100.64"
"2018-03-04 13:42","100.61"
"2018-03-04 14:02","100.57"
"2018-03-04 14:22","100.57"
"2018-03-04 14:42","100.53"
"2018-03-04 15:02","100.53"
"2018-03-04 15:22","100.53"
"2018-03-04 15:42","100.53"
"2018-03-04 16:02","100.50"
"2018-03-04 16:22","100.50"
"2018-03-04 16:42","100.50"
"2018-03-04 17:02","100.50"
"2018-03-04 17:22","100.50"
"2018-03-04 17:42","100.50"
"2018-03-04 18:02","100.53"
"2018-03-04 18:22","100.50"
"2018-03-04 18:42","100.53"
"2018-03-04 19:02","100.53"
"2018-03-04 19:22","100.53"
"2018-03-04 19:42","100.53"
"2018-03-04 20:02","100.53"
"2018-03-04 20:22","100.50"
"2018-03-04 20:42","100.50"
"2018-03-04 21:02","100.50"
"2018-03-04 21:22","100.50"
"2018-03-04 21:42","100.50"
"2018-03-04 22:02","100.46"
"2018-03-04 22:22","100.46"
"2018-03-04 22:42","100.46"
"2018-03-04 23:02","100.43"
"2018-03-04 23:22","100.43"
"2018-03-04 23:42","100.39"
"2018-03-05 00:02","100.39"
"2018-03-05 00:22","100.36"
"2018-03-05 00:42","100.36"
"2018-03-05 01:02","100.36"
"2018-03-05 01:22","100.36"
"2018-03-05 01:42","100.36"
"2018-03-05 02:02","100.36"
"2018-03-05 02:22","100.32"
"2018-03-05 02:42","100.32"
"2018-03-05 03:02","100.32"
"2018-03-05 03:22","100.32"
"2018-03-05 03:42","100.29"
"2018-03-05 04:02","100.29"
"2018-03-05 04:22","100.29"
"2018-03-05 04:42","100.29"
"2018-03-05 05:02","100.25"
"2018-03-05 05:22","100.25"
"2018-03-05 05:42","100.25"
"2018-03-05 06:02","100.25"
"2018-03-05 06:22","100.22"
"2018-03-05 06:42","100.22"
"2018-03-05 07:02","100.22"
"2018-03-05 07:22","100.18"
"2018-03-05 07:42","100.18"
"2018-03-05 08:02","100.18"
"2018-03-05 08:22","100.18"
"2018-03-05 08:42","100.22"
"2018-03-05 09:02","100.22"
"2018-03-05 09:22","100.25"
"2018-03-05 09:42","100.25"
"2018-03-05 10:02","100.29"
"2018-03-05 10:22","100.29"
"2018-03-05 10:42","100.29"
"2018-03-05 11:02","100.29"
"2018-03-05 11:22","100.25"
"2018-03-05 11:42","100.25"
"2018-03-05 12:02","100.25"
"2018-03-05 12:22","100.22"
"2018-03-05 12:42","100.18"
"2018-03-05 13:02","100.18"
"2018-03-05 13:22","100.18"
"2018-03-05 13:42","100.15"
"2018-03-05 14:02","100.11"
"2018-03-05 14:22","100.08"
"2018-03-05 14:42","100.08"
"2018-03-05 15:02","100.04"
"2018-03-05 15:22","100.04"
"2018-03-05 15:42","100.04"
"2018-03-05 16:02","100.04"
"2018-03-05 16:22","100.04"
"2018-03-05 16:42","100.01"
"2018-03-05 17:02","100.01"
"2018-03-05 17:22","99.97"
"2018-03-05 17:42","99.97"
"2018-03-05 18:02","99.90"
"2018-03-05 18:22","99.90"
"2018-03-05 18:42","99.87"
"2018-03-05 19:02","99.87"
"2018-03-05 19:22","99.83"
"2018-03-05 19:42","99.87"
"2018-03-05 20:02","99.87"
"2018-03-05 20:22","99.83"
"2018-03-05 20:42","99.83"
"2018-03-05 21:02","99.83"
"2018-03-05 21:22","99.83"
"2018-03-05 21:42","99.83"
"2018-03-05 22:02","99.83"
"2018-03-05 22:22","99.80"
"2018-03-05 22:42","99.80"
"2018-03-05 23:02","99.76"
"2018-03-05 23:22","99.73"
"2018-03-05 23:42","99.69"
"2018-03-06 00:02","99.73"
"2018-03-06 00:22","99.69"
"2018-03-06 00:42","99.69"
"2018-03-06 01:02","99.66"
"2018-03-06 01:22","99.66"
"2018-03-06 01:42","99.66"
"2018-03-06 02:02","99.66"
"2018-03-06 02:22","99.62"
"2018-03-06 02:42","99.55"
"2018-03-06 03:02","99.55"
"2018-03-06 03:22","99.55"
"2018-03-06 03:42","99.45"
"2018-03-06 04:02","99.45"
"2018-03-06 04:22","99.41"
"2018-03-06 04:42","99.37"
"2018-03-06 05:02","99.37"
"2018-03-06 05:22","99.37"
"2018-03-06 05:42","99.34"
"2018-03-06 06:02","99.34"
"2018-03-06 06:22","99.30"
"2018-03-06 06:42","99.30"
"2018-03-06 07:02","99.27"
