"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-03-01 00:02","13","NNW","20"
"2018-03-01 00:22","12","N","18"
"2018-03-01 00:42","17","NNW","25"
"2018-03-01 01:02","9","N","19"
"2018-03-01 01:22","11","N","18"
"2018-03-01 01:42","9","N","15"
"2018-03-01 02:02","9","N","15"
"2018-03-01 02:22","9","N","15"
"2018-03-01 02:42","11","N","16"
"2018-03-01 03:02","10","N","17"
"2018-03-01 03:22","8","N","19"
"2018-03-01 03:42","9","N","16"
"2018-03-01 04:02","9","N","17"
"2018-03-01 04:22","8","N","13"
"2018-03-01 04:42","9","N","14"
"2018-03-01 05:02","8","N","12"
"2018-03-01 05:22","9","N","14"
"2018-03-01 05:42","6","NNE","14"
"2018-03-01 06:02","13","NNE","21"
"2018-03-01 06:22","11","NNE","20"
"2018-03-01 06:42","11","N","22"
"2018-03-01 07:02","8","N","19"
"2018-03-01 07:22","9","NE","20"
"2018-03-01 08:42","12","NE","21"
"2018-03-01 09:02","13","N","21"
"2018-03-01 09:22","12","NE","21"
"2018-03-01 09:42","8","NNE","21"
"2018-03-01 10:02","13","NNE","21"
"2018-03-01 10:22","10","NNE","19"
"2018-03-01 10:42","9","N","23"
"2018-03-01 11:02","12","NNE","21"
"2018-03-01 11:22","16","NNE","28"
"2018-03-01 11:42","12","N","28"
"2018-03-01 12:02","11","NNE","25"
"2018-03-01 12:22","16","NNE","32"
"2018-03-01 12:42","14","NNE","34"
"2018-03-01 13:02","23","NNE","32"
"2018-03-01 13:22","15","NNE","29"
"2018-03-01 13:42","11","NE","31"
"2018-03-01 14:02","16","NE","26"
"2018-03-01 14:22","13","NE","26"
"2018-03-01 14:42","11","NNE","26"
"2018-03-01 15:02","13","N","23"
"2018-03-01 15:22","18","NNE","34"
"2018-03-01 15:42","20","NNE","32"
"2018-03-01 16:02","16","N","37"
"2018-03-01 16:22","13","NNE","24"
"2018-03-01 16:42","9","NE","22"
"2018-03-01 17:02","14","NE","32"
"2018-03-01 17:22","15","NNE","26"
