"Time EST","Air Temp (°C)"
"2017-11-01 00:03","5.1"
"2017-11-01 00:12","5.5"
"2017-11-01 00:23","5.8"
"2017-11-01 00:32","6.0"
"2017-11-01 00:43","6.1"
"2017-11-01 00:52","6.3"
"2017-11-01 01:03","6.4"
"2017-11-01 01:12","6.5"
"2017-11-01 01:23","6.5"
"2017-11-01 01:32","6.5"
"2017-11-01 01:43","6.3"
"2017-11-01 01:52","5.7"
"2017-11-01 02:03","5.7"
"2017-11-01 02:12","5.8"
"2017-11-01 02:23","5.8"
"2017-11-01 02:32","5.8"
"2017-11-01 02:43","5.8"
"2017-11-01 02:52","5.7"
"2017-11-01 03:03","5.7"
"2017-11-01 03:12","5.7"
"2017-11-01 03:23","5.8"
"2017-11-01 03:32","5.8"
"2017-11-01 03:43","5.8"
"2017-11-01 03:52","5.6"
"2017-11-01 04:03","5.6"
"2017-11-01 04:12","5.5"
"2017-11-01 04:22","5.5"
"2017-11-01 04:32","5.4"
"2017-11-01 04:43","5.4"
"2017-11-01 04:52","5.3"
"2017-11-01 05:03","5.3"
"2017-11-01 05:12","5.3"
"2017-11-01 05:22","5.2"
"2017-11-01 05:32","5.2"
"2017-11-01 05:42","5.1"
"2017-11-01 05:52","5.1"
"2017-11-01 06:03","5.1"
"2017-11-01 06:12","5.1"
"2017-11-01 06:23","5.0"
"2017-11-01 06:32","5.0"
"2017-11-01 06:43","5.0"
"2017-11-01 06:52","5.0"
"2017-11-01 07:03","5.0"
"2017-11-01 07:12","5.0"
"2017-11-01 07:23","5.0"
"2017-11-01 07:32","4.8"
"2017-11-01 07:42","4.9"
"2017-11-01 07:52","4.9"
"2017-11-01 08:03","4.9"
"2017-11-01 08:12","5.0"
"2017-11-01 08:23","5.1"
"2017-11-01 08:32","5.1"
"2017-11-01 08:43","5.1"
"2017-11-01 08:52","5.3"
"2017-11-01 09:03","5.5"
"2017-11-01 09:12","5.8"
"2017-11-01 09:23","6.0"
"2017-11-01 09:32","6.2"
