"Time EST","Precipitation Yes/No"
"2017-11-01 00:03","Yes"
"2017-11-01 00:12","No"
"2017-11-01 00:23","No"
"2017-11-01 00:32","No"
"2017-11-01 00:43","No"
"2017-11-01 00:52","No"
"2017-11-01 01:03","No"
"2017-11-01 01:12","No"
"2017-11-01 01:23","No"
"2017-11-01 01:32","No"
"2017-11-01 01:43","No"
"2017-11-01 01:52","No"
"2017-11-01 02:03","No"
"2017-11-01 02:12","No"
"2017-11-01 02:23","No"
"2017-11-01 02:32","No"
"2017-11-01 02:43","No"
"2017-11-01 02:52","No"
"2017-11-01 03:03","No"
"2017-11-01 03:12","No"
"2017-11-01 03:23","No"
"2017-11-01 03:32","No"
"2017-11-01 03:43","No"
"2017-11-01 03:52","No"
"2017-11-01 04:03","No"
"2017-11-01 04:12","No"
"2017-11-01 04:22","No"
"2017-11-01 04:32","No"
"2017-11-01 04:43","No"
"2017-11-01 04:52","No"
"2017-11-01 05:03","No"
"2017-11-01 05:12","No"
"2017-11-01 05:22","No"
"2017-11-01 05:32","No"
"2017-11-01 05:42","No"
"2017-11-01 05:52","No"
"2017-11-01 06:03","No"
"2017-11-01 06:12","No"
"2017-11-01 06:23","No"
"2017-11-01 06:32","No"
"2017-11-01 06:43","No"
"2017-11-01 06:52","No"
"2017-11-01 07:03","No"
"2017-11-01 07:12","No"
"2017-11-01 07:23","No"
"2017-11-01 07:32","No"
"2017-11-01 07:42","No"
"2017-11-01 07:52","No"
"2017-11-01 08:03","No"
"2017-11-01 08:12","No"
"2017-11-01 08:23","No"
"2017-11-01 08:32","No"
"2017-11-01 08:43","No"
"2017-11-01 08:52","No"
"2017-11-01 09:03","No"
"2017-11-01 09:12","No"
"2017-11-01 09:23","No"
"2017-11-01 09:32","No"
"2017-11-01 09:43","No"
"2017-11-01 09:52","No"
"2017-11-01 10:03","No"
"2017-11-01 10:12","No"
"2017-11-01 10:23","No"
"2017-11-01 10:32","No"
"2017-11-01 10:43","No"
"2017-11-01 10:52","No"
"2017-11-01 11:03","No"
"2017-11-01 11:12","No"
"2017-11-01 11:22","No"
"2017-11-01 11:32","No"
"2017-11-01 11:43","No"
"2017-11-01 11:52","No"
"2017-11-01 12:03","No"
"2017-11-01 12:12","No"
"2017-11-01 12:23","No"
"2017-11-01 12:32","No"
"2017-11-01 12:43","No"
"2017-11-01 12:52","No"
"2017-11-01 13:03","No"
"2017-11-01 13:12","Yes"
"2017-11-01 13:23","No"
"2017-11-01 13:32","No"
"2017-11-01 13:43","No"
"2017-11-01 13:52","No"
"2017-11-01 14:03","No"
"2017-11-01 14:12","No"
"2017-11-01 14:23","No"
"2017-11-01 14:32","No"
"2017-11-01 14:43","No"
"2017-11-01 14:52","No"
"2017-11-01 15:03","No"
"2017-11-01 15:12","No"
"2017-11-01 15:23","Yes"
"2017-11-01 15:32","No"
"2017-11-01 15:43","No"
"2017-11-01 15:52","No"
"2017-11-01 16:03","Yes"
"2017-11-01 16:12","No"
"2017-11-01 16:23","No"
"2017-11-01 16:32","No"
"2017-11-01 16:43","No"
"2017-11-01 16:52","No"
"2017-11-01 17:03","No"
"2017-11-01 17:12","No"
"2017-11-01 17:23","No"
"2017-11-01 17:32","No"
"2017-11-01 17:43","No"
"2017-11-01 17:52","No"
"2017-11-01 18:03","No"
"2017-11-01 18:12","No"
"2017-11-01 18:23","No"
"2017-11-01 18:32","No"
"2017-11-01 18:43","No"
"2017-11-01 18:52","No"
"2017-11-01 19:03","No"
"2017-11-01 19:12","No"
"2017-11-01 19:23","No"
"2017-11-01 19:32","No"
"2017-11-01 19:43","No"
"2017-11-01 19:52","No"
"2017-11-01 20:03","No"
"2017-11-01 20:12","No"
"2017-11-01 20:23","No"
"2017-11-01 20:32","No"
"2017-11-01 20:42","No"
"2017-11-01 20:52","No"
"2017-11-01 21:03","No"
"2017-11-01 21:12","No"
"2017-11-01 21:22","No"
"2017-11-01 21:32","No"
"2017-11-01 21:42","No"
"2017-11-01 21:52","No"
"2017-11-01 22:02","No"
"2017-11-01 22:12","No"
"2017-11-01 22:22","No"
"2017-11-01 22:32","No"
"2017-11-01 22:42","No"
"2017-11-01 22:52","No"
"2017-11-01 23:02","No"
"2017-11-01 23:12","No"
"2017-11-01 23:22","No"
"2017-11-01 23:32","Yes"
"2017-11-01 23:42","Yes"
"2017-11-01 23:52","Yes"
"2017-11-02 00:02","Yes"
"2017-11-02 00:12","Yes"
"2017-11-02 00:22","Yes"
"2017-11-02 00:32","Yes"
"2017-11-02 00:42","Yes"
"2017-11-02 00:52","Yes"
"2017-11-02 01:02","Yes"
"2017-11-02 01:12","Yes"
"2017-11-02 01:22","Yes"
"2017-11-02 01:32","Yes"
"2017-11-02 01:42","Yes"
"2017-11-02 01:52","Yes"
"2017-11-02 02:02","Yes"
"2017-11-02 02:12","Yes"
"2017-11-02 02:22","Yes"
"2017-11-02 02:32","Yes"
"2017-11-02 02:42","Yes"
"2017-11-02 02:52","Yes"
"2017-11-02 03:02","Yes"
"2017-11-02 03:12","Yes"
"2017-11-02 03:22","Yes"
"2017-11-02 03:32","Yes"
"2017-11-02 03:42","Yes"
"2017-11-02 03:52","Yes"
"2017-11-02 04:02","Yes"
"2017-11-02 04:12","Yes"
"2017-11-02 04:22","Yes"
"2017-11-02 04:32","Yes"
"2017-11-02 04:42","Yes"
"2017-11-02 04:52","Yes"
"2017-11-02 05:02","Yes"
"2017-11-02 05:12","Yes"
"2017-11-02 05:22","Yes"
"2017-11-02 05:32","Yes"
"2017-11-02 05:42","Yes"
"2017-11-02 05:52","Yes"
"2017-11-02 06:02","Yes"
"2017-11-02 06:12","Yes"
"2017-11-02 06:22","Yes"
"2017-11-02 06:32","Yes"
"2017-11-02 06:42","Yes"
"2017-11-02 06:52","Yes"
"2017-11-02 07:02","Yes"
"2017-11-02 07:12","Yes"
"2017-11-02 07:22","Yes"
"2017-11-02 07:32","Yes"
"2017-11-02 07:42","Yes"
"2017-11-02 07:52","Yes"
"2017-11-02 08:02","Yes"
"2017-11-02 08:12","No"
"2017-11-02 08:22","No"
"2017-11-02 08:32","No"
"2017-11-02 08:42","No"
"2017-11-02 08:52","Yes"
"2017-11-02 09:02","Yes"
"2017-11-02 09:12","No"
"2017-11-02 09:22","No"
"2017-11-02 09:32","No"
"2017-11-02 09:42","No"
"2017-11-02 09:52","No"
"2017-11-02 10:02","No"
"2017-11-02 10:12","No"
"2017-11-02 10:22","No"
"2017-11-02 10:32","No"
"2017-11-02 10:42","No"
"2017-11-02 10:52","No"
"2017-11-02 11:02","No"
"2017-11-02 11:12","No"
"2017-11-02 11:22","No"
"2017-11-02 11:32","No"
"2017-11-02 11:42","No"
"2017-11-02 11:52","No"
"2017-11-02 12:02","No"
"2017-11-02 12:12","No"
"2017-11-02 12:22","No"
"2017-11-02 12:32","No"
"2017-11-02 12:42","No"
"2017-11-02 12:52","No"
"2017-11-02 13:02","No"
"2017-11-02 13:12","No"
"2017-11-02 13:22","No"
"2017-11-02 13:32","No"
"2017-11-02 13:42","No"
"2017-11-02 13:52","No"
"2017-11-02 14:02","No"
"2017-11-02 14:12","No"
"2017-11-02 14:22","No"
"2017-11-02 14:32","No"
"2017-11-02 14:42","No"
"2017-11-02 14:52","No"
"2017-11-02 15:02","No"
"2017-11-02 15:12","No"
"2017-11-02 15:22","No"
"2017-11-02 15:32","No"
"2017-11-02 15:42","No"
"2017-11-02 15:52","No"
"2017-11-02 16:02","No"
"2017-11-02 16:12","No"
"2017-11-02 16:22","No"
"2017-11-02 16:32","No"
"2017-11-02 16:42","No"
"2017-11-02 16:52","No"
"2017-11-02 17:02","No"
"2017-11-02 17:12","No"
"2017-11-02 17:22","No"
"2017-11-02 17:32","No"
"2017-11-02 17:42","No"
"2017-11-02 17:52","No"
"2017-11-02 18:02","No"
"2017-11-02 18:12","No"
"2017-11-02 18:22","No"
