"Time EST","Relative Humidity (%)"
"2018-01-01 00:02","86"
"2018-01-01 00:12","86"
"2018-01-01 00:22","86"
"2018-01-01 00:32","86"
"2018-01-01 00:42","86"
"2018-01-01 00:52","85"
"2018-01-01 01:02","86"
"2018-01-01 01:12","86"
"2018-01-01 01:22","86"
"2018-01-01 01:32","86"
"2018-01-01 01:42","86"
"2018-01-01 01:52","86"
"2018-01-01 02:02","86"
"2018-01-01 02:12","86"
"2018-01-01 02:22","86"
"2018-01-01 02:32","86"
"2018-01-01 02:42","86"
"2018-01-01 02:52","86"
"2018-01-01 03:02","87"
"2018-01-01 03:12","86"
"2018-01-01 03:22","86"
"2018-01-01 03:32","87"
"2018-01-01 03:42","87"
"2018-01-01 03:52","86"
"2018-01-01 04:02","86"
"2018-01-01 04:12","86"
"2018-01-01 04:22","86"
"2018-01-01 04:32","87"
"2018-01-01 04:42","86"
"2018-01-01 04:52","86"
"2018-01-01 05:03","86"
"2018-01-01 05:12","86"
"2018-01-01 05:22","86"
"2018-01-01 05:32","86"
"2018-01-01 05:42","86"
"2018-01-01 05:53","86"
"2018-01-01 06:02","86"
"2018-01-01 06:12","86"
"2018-01-01 06:22","86"
"2018-01-01 06:32","87"
"2018-01-01 06:42","86"
"2018-01-01 06:52","86"
"2018-01-01 07:02","86"
"2018-01-01 07:12","86"
"2018-01-01 07:22","86"
"2018-01-01 07:32","86"
"2018-01-01 07:42","86"
"2018-01-01 07:52","86"
"2018-01-01 08:02","86"
"2018-01-01 08:12","86"
"2018-01-01 08:22","86"
"2018-01-01 08:32","86"
"2018-01-01 08:42","86"
"2018-01-01 08:52","86"
"2018-01-01 09:02","86"
"2018-01-01 09:12","86"
"2018-01-01 09:22","86"
"2018-01-01 09:32","85"
"2018-01-01 09:42","84"
"2018-01-01 09:52","84"
"2018-01-01 10:02","84"
"2018-01-01 10:12","84"
"2018-01-01 10:22","84"
"2018-01-01 10:32","84"
"2018-01-01 10:42","84"
"2018-01-01 10:52","83"
"2018-01-01 11:02","83"
"2018-01-01 11:12","83"
"2018-01-01 11:22","83"
"2018-01-01 11:33","83"
"2018-01-01 11:42","84"
"2018-01-01 11:52","83"
"2018-01-01 12:02","83"
"2018-01-01 12:12","83"
"2018-01-01 12:22","83"
"2018-01-01 12:32","82"
"2018-01-01 12:42","83"
"2018-01-01 12:52","83"
"2018-01-01 13:02","83"
"2018-01-01 13:12","83"
"2018-01-01 13:22","83"
"2018-01-01 13:32","82"
"2018-01-01 13:42","83"
"2018-01-01 13:52","82"
"2018-01-01 14:02","82"
"2018-01-01 14:12","82"
"2018-01-01 14:22","82"
"2018-01-01 14:32","82"
"2018-01-01 14:42","82"
"2018-01-01 14:52","82"
"2018-01-01 15:02","82"
"2018-01-01 15:12","83"
"2018-01-01 15:22","83"
"2018-01-01 15:32","83"
"2018-01-01 15:42","82"
"2018-01-01 15:52","82"
"2018-01-01 16:02","82"
"2018-01-01 16:12","83"
"2018-01-01 16:22","82"
"2018-01-01 16:32","83"
"2018-01-01 16:42","83"
"2018-01-01 16:52","83"
"2018-01-01 17:02","83"
"2018-01-01 17:12","83"
"2018-01-01 17:22","83"
"2018-01-01 17:32","83"
"2018-01-01 17:42","83"
"2018-01-01 17:52","83"
"2018-01-01 18:02","83"
"2018-01-01 18:12","82"
"2018-01-01 18:22","82"
"2018-01-01 18:32","82"
"2018-01-01 18:42","82"
"2018-01-01 18:52","83"
"2018-01-01 19:02","83"
"2018-01-01 19:12","83"
"2018-01-01 19:22","83"
"2018-01-01 19:32","83"
"2018-01-01 19:42","83"
"2018-01-01 19:52","83"
"2018-01-01 20:02","83"
"2018-01-01 20:12","83"
"2018-01-01 20:22","83"
"2018-01-01 20:32","83"
"2018-01-01 20:42","83"
"2018-01-01 20:52","83"
"2018-01-01 21:02","84"
"2018-01-01 21:12","84"
"2018-01-01 21:22","84"
"2018-01-01 21:32","84"
"2018-01-01 21:42","84"
"2018-01-01 21:52","84"
"2018-01-01 22:02","84"
"2018-01-01 22:12","84"
"2018-01-01 22:22","84"
"2018-01-01 22:32","84"
"2018-01-01 22:42","85"
"2018-01-01 22:52","85"
"2018-01-01 23:02","85"
"2018-01-01 23:12","85"
"2018-01-01 23:22","85"
"2018-01-01 23:32","85"
"2018-01-01 23:42","85"
"2018-01-01 23:52","85"
"2018-01-02 00:02","85"
"2018-01-02 00:12","85"
"2018-01-02 00:22","85"
"2018-01-02 00:32","85"
"2018-01-02 00:42","85"
"2018-01-02 00:52","85"
"2018-01-02 01:02","85"
"2018-01-02 01:12","85"
"2018-01-02 01:22","85"
"2018-01-02 01:32","85"
"2018-01-02 01:42","85"
"2018-01-02 01:52","85"
"2018-01-02 02:02","85"
"2018-01-02 02:12","85"
"2018-01-02 02:22","85"
"2018-01-02 02:32","85"
"2018-01-02 02:42","85"
"2018-01-02 02:52","85"
"2018-01-02 03:02","86"
"2018-01-02 03:12","86"
"2018-01-02 03:22","86"
"2018-01-02 03:32","86"
"2018-01-02 03:42","86"
"2018-01-02 03:52","86"
"2018-01-02 04:02","86"
"2018-01-02 04:12","86"
"2018-01-02 04:22","86"
"2018-01-02 04:32","86"
"2018-01-02 04:42","86"
"2018-01-02 04:52","86"
"2018-01-02 05:02","86"
"2018-01-02 05:12","86"
"2018-01-02 05:22","86"
"2018-01-02 05:32","86"
"2018-01-02 05:42","85"
"2018-01-02 05:52","85"
"2018-01-02 06:02","85"
"2018-01-02 06:12","85"
"2018-01-02 06:22","85"
"2018-01-02 06:32","85"
"2018-01-02 06:42","85"
"2018-01-02 06:52","85"
"2018-01-02 07:02","86"
"2018-01-02 07:12","86"
"2018-01-02 07:22","86"
"2018-01-02 07:32","86"
"2018-01-02 07:42","86"
"2018-01-02 07:52","86"
"2018-01-02 08:02","86"
"2018-01-02 08:12","86"
"2018-01-02 08:22","86"
"2018-01-02 08:32","86"
"2018-01-02 08:42","86"
"2018-01-02 08:52","86"
"2018-01-02 09:02","86"
