"Time EST","Pressure (kPa)"
"2017-11-01 00:03","98.40"
"2017-11-01 00:12","98.41"
"2017-11-01 00:23","98.40"
"2017-11-01 00:32","98.40"
"2017-11-01 00:42","98.39"
"2017-11-01 00:52","98.40"
"2017-11-01 01:03","98.39"
"2017-11-01 01:12","98.39"
"2017-11-01 01:23","98.39"
"2017-11-01 01:32","98.38"
"2017-11-01 01:43","98.37"
"2017-11-01 01:52","98.35"
"2017-11-01 02:03","98.36"
"2017-11-01 02:12","98.36"
"2017-11-01 02:23","98.36"
"2017-11-01 02:32","98.34"
"2017-11-01 02:43","98.34"
"2017-11-01 02:52","98.36"
"2017-11-01 03:03","98.35"
"2017-11-01 03:12","98.37"
"2017-11-01 03:23","98.37"
"2017-11-01 03:32","98.36"
"2017-11-01 03:43","98.36"
"2017-11-01 03:52","98.38"
"2017-11-01 04:03","98.39"
"2017-11-01 04:12","98.42"
"2017-11-01 04:22","98.40"
"2017-11-01 04:32","98.40"
"2017-11-01 04:43","98.41"
"2017-11-01 04:52","98.43"
"2017-11-01 05:03","98.43"
"2017-11-01 05:12","98.44"
"2017-11-01 05:22","98.44"
"2017-11-01 05:32","98.44"
"2017-11-01 05:42","98.45"
"2017-11-01 05:52","98.45"
"2017-11-01 06:03","98.45"
"2017-11-01 06:12","98.45"
"2017-11-01 06:23","98.46"
"2017-11-01 06:32","98.44"
"2017-11-01 06:43","98.43"
"2017-11-01 06:52","98.43"
"2017-11-01 07:03","98.44"
"2017-11-01 07:12","98.47"
"2017-11-01 07:22","98.47"
"2017-11-01 07:32","98.48"
"2017-11-01 07:42","98.48"
"2017-11-01 07:52","98.50"
"2017-11-01 08:02","98.50"
"2017-11-01 08:12","98.50"
"2017-11-01 08:23","98.51"
"2017-11-01 08:32","98.53"
"2017-11-01 08:43","98.54"
"2017-11-01 08:52","98.54"
"2017-11-01 09:03","98.56"
"2017-11-01 09:12","98.56"
"2017-11-01 09:23","98.57"
"2017-11-01 09:32","98.57"
"2017-11-01 09:43","98.56"
"2017-11-01 09:52","98.56"
"2017-11-01 10:03","98.56"
"2017-11-01 10:12","98.55"
"2017-11-01 10:23","98.55"
"2017-11-01 10:32","98.55"
"2017-11-01 10:43","98.56"
"2017-11-01 10:52","98.57"
"2017-11-01 11:03","98.57"
"2017-11-01 11:12","98.54"
"2017-11-01 11:22","98.55"
"2017-11-01 11:32","98.53"
"2017-11-01 11:43","98.52"
"2017-11-01 11:52","98.50"
"2017-11-01 12:03","98.50"
"2017-11-01 12:12","98.49"
"2017-11-01 12:23","98.48"
"2017-11-01 12:32","98.48"
"2017-11-01 12:43","98.47"
"2017-11-01 12:52","98.44"
"2017-11-01 13:03","98.43"
"2017-11-01 13:12","98.42"
"2017-11-01 13:23","98.40"
"2017-11-01 13:32","98.41"
"2017-11-01 13:43","98.42"
"2017-11-01 13:52","98.43"
"2017-11-01 14:03","98.43"
"2017-11-01 14:12","98.42"
"2017-11-01 14:23","98.40"
"2017-11-01 14:32","98.40"
"2017-11-01 14:43","98.41"
"2017-11-01 14:52","98.41"
"2017-11-01 15:03","98.40"
"2017-11-01 15:12","98.39"
"2017-11-01 15:23","98.38"
"2017-11-01 15:32","98.36"
"2017-11-01 15:43","98.35"
"2017-11-01 15:52","98.34"
"2017-11-01 16:03","98.34"
"2017-11-01 16:12","98.32"
"2017-11-01 16:23","98.32"
"2017-11-01 16:32","98.35"
"2017-11-01 16:43","98.36"
"2017-11-01 16:52","98.34"
"2017-11-01 17:03","98.33"
"2017-11-01 17:12","98.36"
"2017-11-01 17:23","98.36"
"2017-11-01 17:32","98.37"
"2017-11-01 17:43","98.36"
"2017-11-01 17:52","98.32"
"2017-11-01 18:03","98.34"
"2017-11-01 18:12","98.34"
"2017-11-01 18:23","98.33"
"2017-11-01 18:32","98.33"
"2017-11-01 18:43","98.32"
"2017-11-01 18:52","98.30"
"2017-11-01 19:03","98.31"
"2017-11-01 19:12","98.30"
"2017-11-01 19:23","98.32"
"2017-11-01 19:32","98.29"
"2017-11-01 19:43","98.30"
"2017-11-01 19:52","98.29"
"2017-11-01 20:03","98.28"
"2017-11-01 20:12","98.26"
"2017-11-01 20:23","98.28"
"2017-11-01 20:32","98.28"
"2017-11-01 20:42","98.26"
"2017-11-01 20:52","98.29"
"2017-11-01 21:02","98.30"
"2017-11-01 21:12","98.31"
"2017-11-01 21:22","98.31"
"2017-11-01 21:32","98.32"
"2017-11-01 21:42","98.33"
"2017-11-01 21:52","98.30"
"2017-11-01 22:02","98.28"
"2017-11-01 22:12","98.28"
"2017-11-01 22:22","98.28"
"2017-11-01 22:32","98.26"
"2017-11-01 22:42","98.25"
"2017-11-01 22:52","98.20"
"2017-11-01 23:02","98.18"
"2017-11-01 23:12","98.20"
"2017-11-01 23:22","98.23"
"2017-11-01 23:32","98.23"
"2017-11-01 23:42","98.23"
"2017-11-01 23:52","98.21"
"2017-11-02 00:02","98.22"
"2017-11-02 00:12","98.22"
"2017-11-02 00:22","98.21"
"2017-11-02 00:32","98.22"
"2017-11-02 00:42","98.19"
"2017-11-02 00:52","98.15"
"2017-11-02 01:02","98.16"
"2017-11-02 01:12","98.15"
"2017-11-02 01:22","98.13"
"2017-11-02 01:32","98.11"
"2017-11-02 01:42","98.09"
"2017-11-02 01:52","98.07"
"2017-11-02 02:02","98.07"
"2017-11-02 02:12","98.07"
"2017-11-02 02:22","98.07"
"2017-11-02 02:32","98.03"
"2017-11-02 02:42","98.01"
"2017-11-02 02:52","97.98"
"2017-11-02 03:02","97.97"
"2017-11-02 03:12","97.96"
"2017-11-02 03:22","97.95"
"2017-11-02 03:32","97.92"
"2017-11-02 03:42","97.91"
"2017-11-02 03:52","97.86"
