"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-11-01 00:03","2","SSW","4"
"2017-11-01 00:12","2","SSW","4"
"2017-11-01 00:23","1","SW","4"
"2017-11-01 00:32","1","SW","4"
"2017-11-01 00:42","2","SSW","4"
"2017-11-01 00:52","1","SSW","3"
"2017-11-01 01:03","1","SSW","3"
"2017-11-01 01:12","1","SSW","3"
"2017-11-01 01:23","1","SW","3"
"2017-11-01 01:32","2","SW","4"
"2017-11-01 01:43","1","SW","4"
"2017-11-01 01:52","2","WSW","4"
"2017-11-01 02:03","2","WSW","4"
"2017-11-01 02:12","1","WSW","4"
"2017-11-01 02:23","1","W","3"
"2017-11-01 02:32","1","W","2"
"2017-11-01 02:43","1","W","2"
"2017-11-01 02:52","2","S","3"
"2017-11-01 03:03","2","S","3"
"2017-11-01 03:12","1","SSE","3"
"2017-11-01 03:23","2","S","4"
"2017-11-01 03:32","2","SSE","4"
"2017-11-01 03:43","1","SSE","4"
"2017-11-01 03:52","2","SSE","4"
"2017-11-01 04:03","3","S","4"
"2017-11-01 04:12","2","S","4"
"2017-11-01 04:22","2","S","4"
"2017-11-01 04:32","2","S","4"
"2017-11-01 04:43","2","S","4"
"2017-11-01 04:52","2","S","4"
"2017-11-01 05:03","2","S","4"
"2017-11-01 05:12","1","S","3"
"2017-11-01 05:22","1","S","3"
"2017-11-01 05:32","1","S","3"
"2017-11-01 05:42","1","S","3"
"2017-11-01 05:52","1","S","2"
"2017-11-01 06:03","1","S","2"
"2017-11-01 06:12","1","SSE","2"
"2017-11-01 06:23","1","S","2"
"2017-11-01 06:32","1","SSE","3"
"2017-11-01 06:43","1","SSE","3"
"2017-11-01 06:52","1","SSE","3"
"2017-11-01 07:03","1","S","2"
"2017-11-01 07:12","1","S","2"
"2017-11-01 07:22","1","S","2"
"2017-11-01 07:32","1","S","3"
"2017-11-01 07:42","1","S","3"
"2017-11-01 07:52","1","S","2"
"2017-11-01 08:02","1","S","2"
"2017-11-01 08:12","1","S","2"
"2017-11-01 08:23","1","S","3"
"2017-11-01 08:32","1","S","3"
"2017-11-01 08:43","1","S","3"
"2017-11-01 08:52","2","S","3"
"2017-11-01 09:03","2","S","3"
"2017-11-01 09:12","2","S","3"
"2017-11-01 09:23","2","S","3"
"2017-11-01 09:32","2","S","4"
"2017-11-01 09:43","2","S","4"
"2017-11-01 09:52","3","S","4"
"2017-11-01 10:03","2","S","4"
"2017-11-01 10:12","3","S","4"
"2017-11-01 10:23","3","S","4"
"2017-11-01 10:32","2","S","4"
"2017-11-01 10:43","2","S","4"
"2017-11-01 10:52","2","S","4"
"2017-11-01 11:03","2","S","4"
"2017-11-01 11:12","3","S","4"
"2017-11-01 11:22","3","S","5"
"2017-11-01 11:32","3","S","5"
"2017-11-01 11:43","2","S","5"
"2017-11-01 11:52","3","S","4"
"2017-11-01 12:03","3","S","4"
"2017-11-01 12:12","3","S","4"
"2017-11-01 12:23","2","SSE","4"
"2017-11-01 12:32","2","S","4"
"2017-11-01 12:43","3","S","5"
"2017-11-01 12:52","2","S","5"
"2017-11-01 13:03","1","S","4"
"2017-11-01 13:12","1","S","3"
"2017-11-01 13:23","1","S","3"
"2017-11-01 13:32","1","SSE","4"
"2017-11-01 13:43","1","S","4"
"2017-11-01 13:52","2","S","4"
"2017-11-01 14:03","1","S","4"
"2017-11-01 14:12","1","S","4"
"2017-11-01 14:23","1","SSE","3"
"2017-11-01 14:32","1","S","3"
"2017-11-01 14:43","1","SSW","3"
"2017-11-01 14:52","2","S","3"
"2017-11-01 15:03","1","S","3"
"2017-11-01 15:12","1","SSE","3"
"2017-11-01 15:23","1","S","3"
"2017-11-01 15:32","1","S","3"
"2017-11-01 15:43","1","S","3"
"2017-11-01 15:52","0","SE","2"
"2017-11-01 16:03","1","S","3"
"2017-11-01 16:12","1","SSE","3"
"2017-11-01 16:23","1","SE","3"
"2017-11-01 16:32","0","SE","2"
"2017-11-01 16:43","1","S","2"
"2017-11-01 16:52","1","ESE","2"
"2017-11-01 17:03","1","SE","3"
"2017-11-01 17:12","2","SSE","5"
"2017-11-01 17:23","2","SSE","5"
"2017-11-01 17:32","2","SSE","4"
"2017-11-01 17:43","2","SSE","5"
"2017-11-01 17:52","2","SE","5"
