"Time EST","Pressure (kPa)"
"2018-01-01 00:02","102.46"
"2018-01-01 00:12","102.47"
"2018-01-01 00:22","102.47"
"2018-01-01 00:32","102.46"
"2018-01-01 00:42","102.47"
"2018-01-01 00:52","102.46"
"2018-01-01 01:02","102.47"
"2018-01-01 01:12","102.47"
"2018-01-01 01:22","102.48"
"2018-01-01 01:32","102.47"
"2018-01-01 01:42","102.48"
"2018-01-01 01:52","102.48"
"2018-01-01 02:02","102.47"
"2018-01-01 02:12","102.48"
"2018-01-01 02:22","102.49"
"2018-01-01 02:32","102.49"
"2018-01-01 02:42","102.49"
"2018-01-01 02:52","102.49"
"2018-01-01 03:02","102.48"
"2018-01-01 03:12","102.48"
"2018-01-01 03:22","102.47"
"2018-01-01 03:32","102.45"
"2018-01-01 03:42","102.45"
"2018-01-01 03:52","102.45"
"2018-01-01 04:02","102.44"
"2018-01-01 04:12","102.45"
"2018-01-01 04:22","102.45"
"2018-01-01 04:32","102.45"
"2018-01-01 04:42","102.44"
"2018-01-01 04:52","102.42"
"2018-01-01 05:02","102.41"
"2018-01-01 05:12","102.40"
"2018-01-01 05:22","102.39"
"2018-01-01 05:32","102.39"
"2018-01-01 05:42","102.36"
"2018-01-01 05:52","102.36"
"2018-01-01 06:02","102.35"
"2018-01-01 06:12","102.34"
"2018-01-01 06:22","102.34"
"2018-01-01 06:32","102.34"
"2018-01-01 06:42","102.34"
"2018-01-01 06:52","102.34"
"2018-01-01 07:02","102.32"
"2018-01-01 07:12","102.31"
"2018-01-01 07:22","102.30"
"2018-01-01 07:32","102.31"
"2018-01-01 07:42","102.30"
"2018-01-01 07:52","102.30"
"2018-01-01 08:02","102.30"
"2018-01-01 08:12","102.29"
"2018-01-01 08:22","102.30"
"2018-01-01 08:32","102.30"
"2018-01-01 08:42","102.28"
"2018-01-01 08:52","102.28"
"2018-01-01 09:02","102.27"
"2018-01-01 09:12","102.26"
"2018-01-01 09:22","102.25"
"2018-01-01 09:32","102.24"
"2018-01-01 09:42","102.23"
"2018-01-01 09:52","102.23"
"2018-01-01 10:02","102.22"
"2018-01-01 10:12","102.22"
"2018-01-01 10:22","102.21"
"2018-01-01 10:32","102.21"
"2018-01-01 10:42","102.20"
"2018-01-01 10:52","102.19"
"2018-01-01 11:02","102.19"
"2018-01-01 11:12","102.18"
"2018-01-01 11:22","102.16"
"2018-01-01 11:32","102.13"
"2018-01-01 11:42","102.11"
"2018-01-01 11:52","102.10"
"2018-01-01 12:02","102.09"
"2018-01-01 12:12","102.07"
"2018-01-01 12:22","102.05"
"2018-01-01 12:32","102.04"
"2018-01-01 12:42","102.02"
"2018-01-01 12:52","102.02"
"2018-01-01 13:02","102.00"
"2018-01-01 13:12","101.99"
"2018-01-01 13:22","101.98"
"2018-01-01 13:32","101.97"
"2018-01-01 13:42","101.97"
"2018-01-01 13:52","101.96"
"2018-01-01 14:02","101.96"
"2018-01-01 14:12","101.94"
"2018-01-01 14:22","101.94"
"2018-01-01 14:32","101.97"
"2018-01-01 14:42","101.97"
"2018-01-01 14:52","101.97"
"2018-01-01 15:02","101.98"
"2018-01-01 15:12","101.98"
"2018-01-01 15:22","101.99"
"2018-01-01 15:32","102.00"
"2018-01-01 15:42","101.99"
"2018-01-01 15:52","102.00"
"2018-01-01 16:02","102.01"
"2018-01-01 16:12","102.02"
"2018-01-01 16:22","102.04"
"2018-01-01 16:32","102.07"
"2018-01-01 16:42","102.08"
"2018-01-01 16:52","102.10"
"2018-01-01 17:02","102.10"
"2018-01-01 17:12","102.11"
"2018-01-01 17:22","102.13"
"2018-01-01 17:32","102.15"
"2018-01-01 17:42","102.17"
"2018-01-01 17:52","102.18"
"2018-01-01 18:02","102.20"
"2018-01-01 18:12","102.22"
"2018-01-01 18:22","102.22"
"2018-01-01 18:32","102.23"
"2018-01-01 18:42","102.25"
"2018-01-01 18:52","102.25"
"2018-01-01 19:02","102.26"
"2018-01-01 19:12","102.27"
"2018-01-01 19:22","102.28"
"2018-01-01 19:32","102.27"
"2018-01-01 19:42","102.28"
"2018-01-01 19:52","102.29"
"2018-01-01 20:02","102.29"
"2018-01-01 20:12","102.29"
"2018-01-01 20:22","102.31"
"2018-01-01 20:32","102.32"
"2018-01-01 20:42","102.33"
"2018-01-01 20:52","102.36"
"2018-01-01 21:02","102.35"
"2018-01-01 21:12","102.36"
"2018-01-01 21:22","102.36"
"2018-01-01 21:32","102.38"
"2018-01-01 21:42","102.38"
"2018-01-01 21:52","102.38"
"2018-01-01 22:02","102.38"
"2018-01-01 22:12","102.38"
"2018-01-01 22:22","102.38"
"2018-01-01 22:32","102.38"
"2018-01-01 22:42","102.37"
"2018-01-01 22:52","102.36"
"2018-01-01 23:02","102.36"
"2018-01-01 23:12","102.36"
"2018-01-01 23:22","102.36"
"2018-01-01 23:32","102.35"
"2018-01-01 23:42","102.35"
"2018-01-01 23:52","102.34"
"2018-01-02 00:02","102.33"
"2018-01-02 00:12","102.31"
"2018-01-02 00:22","102.29"
"2018-01-02 00:32","102.29"
"2018-01-02 00:42","102.28"
"2018-01-02 00:52","102.27"
"2018-01-02 01:02","102.25"
"2018-01-02 01:12","102.24"
"2018-01-02 01:22","102.23"
"2018-01-02 01:32","102.21"
