"Time EST","Precipitation Yes/No"
"2018-01-01 00:02","No"
"2018-01-01 00:12","No"
"2018-01-01 00:22","No"
"2018-01-01 00:32","No"
"2018-01-01 00:42","No"
"2018-01-01 00:52","No"
"2018-01-01 01:02","No"
"2018-01-01 01:12","No"
"2018-01-01 01:22","Yes"
"2018-01-01 01:32","No"
"2018-01-01 01:42","No"
"2018-01-01 01:52","No"
"2018-01-01 02:02","No"
"2018-01-01 02:12","No"
"2018-01-01 02:22","No"
"2018-01-01 02:32","No"
"2018-01-01 02:42","No"
"2018-01-01 02:52","No"
"2018-01-01 03:02","No"
"2018-01-01 03:12","No"
"2018-01-01 03:22","No"
"2018-01-01 03:32","No"
"2018-01-01 03:42","No"
"2018-01-01 03:52","No"
"2018-01-01 04:02","No"
"2018-01-01 04:12","No"
"2018-01-01 04:22","No"
"2018-01-01 04:32","No"
"2018-01-01 04:42","No"
"2018-01-01 04:52","No"
"2018-01-01 05:02","No"
"2018-01-01 05:12","No"
"2018-01-01 05:22","Yes"
"2018-01-01 05:32","No"
"2018-01-01 05:42","No"
"2018-01-01 05:52","No"
"2018-01-01 06:02","No"
"2018-01-01 06:12","No"
"2018-01-01 06:22","No"
"2018-01-01 06:32","No"
"2018-01-01 06:42","No"
"2018-01-01 06:52","No"
"2018-01-01 07:02","No"
"2018-01-01 07:12","No"
"2018-01-01 07:22","No"
"2018-01-01 07:32","No"
"2018-01-01 07:42","No"
"2018-01-01 07:52","No"
"2018-01-01 08:02","No"
"2018-01-01 08:12","No"
"2018-01-01 08:22","No"
"2018-01-01 08:32","No"
"2018-01-01 08:42","No"
"2018-01-01 08:52","No"
"2018-01-01 09:02","No"
"2018-01-01 09:12","No"
"2018-01-01 09:22","No"
"2018-01-01 09:32","No"
"2018-01-01 09:42","No"
"2018-01-01 09:52","No"
"2018-01-01 10:02","No"
"2018-01-01 10:12","No"
"2018-01-01 10:22","No"
"2018-01-01 10:32","No"
"2018-01-01 10:42","No"
"2018-01-01 10:52","No"
"2018-01-01 11:02","No"
"2018-01-01 11:12","No"
"2018-01-01 11:22","No"
"2018-01-01 11:32","No"
"2018-01-01 11:42","No"
"2018-01-01 11:52","No"
"2018-01-01 12:02","No"
"2018-01-01 12:12","No"
"2018-01-01 12:22","No"
"2018-01-01 12:32","No"
"2018-01-01 12:42","No"
"2018-01-01 12:52","No"
"2018-01-01 13:02","No"
"2018-01-01 13:12","No"
"2018-01-01 13:22","No"
"2018-01-01 13:32","No"
"2018-01-01 13:42","No"
"2018-01-01 13:52","No"
"2018-01-01 14:02","No"
"2018-01-01 14:12","No"
"2018-01-01 14:22","No"
"2018-01-01 14:32","No"
"2018-01-01 14:42","No"
"2018-01-01 14:52","No"
"2018-01-01 15:02","No"
"2018-01-01 15:12","No"
"2018-01-01 15:22","No"
"2018-01-01 15:32","No"
"2018-01-01 15:42","No"
"2018-01-01 15:52","No"
"2018-01-01 16:02","No"
"2018-01-01 16:12","No"
"2018-01-01 16:22","Yes"
"2018-01-01 16:32","Yes"
"2018-01-01 16:42","Yes"
"2018-01-01 16:52","Yes"
"2018-01-01 17:02","Yes"
"2018-01-01 17:12","Yes"
