"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-03-01 00:02","9","S","1"
"2018-03-01 00:12","11","NW","1"
"2018-03-01 00:22","17","NNE","1"
"2018-03-01 00:32","16","NNE","1"
"2018-03-01 00:42","15","NNE","2"
"2018-03-01 00:52","17","NNE","1"
"2018-03-01 01:02","16","NNE","2"
"2018-03-01 01:12","19","NE","2"
"2018-03-01 01:22","19","NE","2"
"2018-03-01 01:32","17","NNE","2"
"2018-03-01 01:42","17","NE","2"
"2018-03-01 01:52","14","NE","2"
"2018-03-01 02:02","17","NE","1"
"2018-03-01 02:12","15","NE","2"
"2018-03-01 02:22","16","ENE","2"
"2018-03-01 02:32","17","NE","1"
"2018-03-01 02:42","13","NE","2"
"2018-03-01 02:52","11","ENE","2"
"2018-03-01 03:02","12","ENE","1"
"2018-03-01 03:12","14","ENE","2"
"2018-03-01 03:22","12","ENE","1"
"2018-03-01 03:32","15","ENE","1"
"2018-03-01 03:42","15","E","1"
"2018-03-01 03:52","17","ENE","2"
"2018-03-01 04:02","14","ENE","1"
"2018-03-01 04:12","15","ENE","1"
"2018-03-01 04:22","15","ENE","1"
"2018-03-01 04:32","14","E","1"
"2018-03-01 04:42","18","E","1"
"2018-03-01 04:52","15","E","1"
"2018-03-01 05:02","7","ENE","1"
"2018-03-01 05:12","9","E","1"
"2018-03-01 05:22","11","ENE","1"
"2018-03-01 05:32","13","E","1"
"2018-03-01 05:42","14","E","1"
"2018-03-01 05:52","14","ENE","1"
"2018-03-01 06:02","12","ENE","1"
"2018-03-01 06:12","11","E","1"
"2018-03-01 06:22","14","ENE","1"
"2018-03-01 06:32","13","ENE","1"
"2018-03-01 06:42","13","NE","1"
"2018-03-01 06:52","15","ENE","1"
"2018-03-01 07:02","18","ENE","2"
"2018-03-01 07:12","16","E","2"
"2018-03-01 07:22","17","ENE","2"
"2018-03-01 08:32","25","ENE","3"
"2018-03-01 08:42","28","E","3"
"2018-03-01 08:52","26","E","3"
"2018-03-01 09:02","28","ENE","3"
"2018-03-01 09:12","21","E","3"
"2018-03-01 09:22","28","E","3"
"2018-03-01 09:32","29","E","3"
"2018-03-01 09:42","25","E","3"
"2018-03-01 09:52","23","E","3"
"2018-03-01 10:02","28","ESE","3"
"2018-03-01 10:12","19","E","3"
"2018-03-01 10:22","24","E","3"
"2018-03-01 10:32","22","E","3"
"2018-03-01 10:42","29","E","3"
"2018-03-01 10:52","23","E","3"
"2018-03-01 11:02","26","E","3"
"2018-03-01 11:12","30","E","3"
"2018-03-01 11:22","31","E","3"
"2018-03-01 11:32","26","ESE","3"
"2018-03-01 11:42","35","E","3"
"2018-03-01 11:52","34","E","4"
"2018-03-01 12:02","31","E","3"
"2018-03-01 12:12","30","E","3"
"2018-03-01 12:22","31","E","4"
"2018-03-01 12:32","34","E","4"
"2018-03-01 12:42","37","E","4"
"2018-03-01 12:52","31","E","4"
"2018-03-01 13:02","37","E","4"
"2018-03-01 13:12","35","E","4"
"2018-03-01 13:22","35","E","4"
"2018-03-01 13:32","30","E","4"
"2018-03-01 13:42","40","E","4"
"2018-03-01 13:52","34","E","4"
"2018-03-01 14:02","32","E","4"
"2018-03-01 14:12","32","E","4"
"2018-03-01 14:22","37","E","4"
"2018-03-01 14:32","35","E","4"
"2018-03-01 14:42","30","E","4"
"2018-03-01 14:52","36","E","4"
"2018-03-01 15:02","38","E","4"
"2018-03-01 15:12","31","E","3"
"2018-03-01 15:22","36","E","4"
"2018-03-01 15:32","30","E","4"
"2018-03-01 15:42","30","E","4"
"2018-03-01 15:52","31","E","4"
"2018-03-01 16:02","33","ENE","4"
"2018-03-01 16:12","33","E","4"
"2018-03-01 16:22","36","E","4"
"2018-03-01 16:32","32","E","4"
"2018-03-01 16:42","34","E","4"
"2018-03-01 16:52","32","E","4"
"2018-03-01 17:02","28","E","3"
"2018-03-01 17:12","28","E","3"
"2018-03-01 17:22","33","E","3"
"2018-03-01 17:32","31","E","3"
"2018-03-01 17:42","31","E","4"
"2018-03-01 17:52","31","E","4"
"2018-03-01 18:02","33","E","4"
"2018-03-01 18:12","36","E","4"
"2018-03-01 18:22","33","E","4"
"2018-03-01 18:32","33","E","4"
"2018-03-01 18:42","35","E","4"
"2018-03-01 18:52","28","ENE","4"
"2018-03-01 19:02","39","E","4"
"2018-03-01 19:12","46","ENE","5"
"2018-03-01 19:22","45","ENE","5"
"2018-03-01 19:32","42","ENE","5"
"2018-03-01 19:42","47","E","5"
"2018-03-01 19:52","39","E","5"
"2018-03-01 20:02","36","ENE","5"
"2018-03-01 20:12","38","E","4"
"2018-03-01 20:22","38","ENE","4"
"2018-03-01 20:32","37","ENE","4"
"2018-03-01 20:42","31","ENE","4"
"2018-03-01 20:52","30","ENE","4"
"2018-03-01 21:02","36","ENE","4"
"2018-03-01 21:12","35","NE","4"
"2018-03-01 21:22","46","ENE","5"
"2018-03-01 21:32","39","ENE","4"
"2018-03-01 21:42","29","ENE","4"
"2018-03-01 21:52","31","NE","4"
"2018-03-01 22:02","29","ENE","4"
"2018-03-01 22:12","39","NE","4"
"2018-03-01 22:22","38","NE","4"
"2018-03-01 22:32","35","NE","4"
"2018-03-01 22:42","34","NE","4"
"2018-03-01 22:52","27","ENE","4"
"2018-03-01 23:02","32","NE","4"
"2018-03-01 23:12","28","NE","4"
"2018-03-01 23:22","30","NE","4"
"2018-03-01 23:32","32","NE","4"
"2018-03-01 23:42","29","NE","3"
"2018-03-01 23:52","28","NE","3"
"2018-03-02 00:02","30","NE","4"
"2018-03-02 00:12","27","NNE","2"
"2018-03-02 00:22","28","NE","3"
"2018-03-02 00:32","28","S","3"
"2018-03-02 00:42","28","ENE","3"
"2018-03-02 00:52","28","NE","3"
"2018-03-02 01:02","27","NNE","3"
"2018-03-02 01:12","26","NNE","3"
"2018-03-02 01:22","20","SSW","3"
"2018-03-02 01:32","24","NNE","3"
"2018-03-02 01:42","25","S","3"
"2018-03-02 01:52","26","NNE","3"
"2018-03-02 02:02","26","NNE","3"
"2018-03-02 02:12","28","NE","3"
"2018-03-02 02:22","26","NE","3"
"2018-03-02 02:32","24","NNE","3"
"2018-03-02 02:42","27","NNE","3"
"2018-03-02 02:52","25","NNE","3"
"2018-03-02 03:02","23","NE","3"
"2018-03-02 03:12","23","NE","2"
"2018-03-02 03:22","24","NE","3"
"2018-03-02 03:32","25","NNE","3"
"2018-03-02 03:42","26","NE","3"
"2018-03-02 03:52","23","ENE","3"
"2018-03-02 04:02","20","NE","2"
"2018-03-02 04:12","22","NE","2"
"2018-03-02 04:22","23","NE","3"
"2018-03-02 04:32","20","NNE","2"
"2018-03-02 04:42","19","NNE","2"
"2018-03-02 04:52","21","S","2"
"2018-03-02 05:02","21","SW","2"
"2018-03-02 05:12","17","SSE","2"
"2018-03-02 05:22","18","NNE","2"
"2018-03-02 05:32","16","NNE","2"
"2018-03-02 05:42","18","NE","2"
"2018-03-02 05:52","17","NNE","2"
"2018-03-02 06:02","18","NNE","2"
"2018-03-02 06:12","20","NNE","2"
"2018-03-02 06:22","23","ESE","2"
"2018-03-02 06:32","18","NW","2"
"2018-03-02 06:42","20","S","2"
"2018-03-02 06:52","21","S","2"
"2018-03-02 07:02","18","S","2"
"2018-03-02 07:12","19","SW","2"
"2018-03-02 07:22","21","SSW","2"
"2018-03-02 07:32","22","S","3"
"2018-03-02 07:42","23","SSW","3"
"2018-03-02 07:52","25","ENE","3"
"2018-03-02 08:02","19","S","2"
"2018-03-02 08:12","23","SW","3"
"2018-03-02 08:22","19","S","3"
"2018-03-02 08:32","23","NE","3"
"2018-03-02 08:42","25","SW","3"
"2018-03-02 08:52","27","SSW","3"
"2018-03-02 09:02","21","W","2"
"2018-03-02 09:12","23","SSW","3"
"2018-03-02 09:22","20","S","3"
"2018-03-02 09:32","26","SW","3"
"2018-03-02 09:42","22","SW","3"
"2018-03-02 09:52","23","SE","3"
"2018-03-02 10:02","23","S","3"
"2018-03-02 10:12","31","NNE","3"
"2018-03-02 10:22","21","SW","4"
