"Time EST","Pressure (kPa)"
"2017-11-01 00:03","101.27"
"2017-11-01 00:12","101.27"
"2017-11-01 00:23","101.27"
"2017-11-01 00:32","101.28"
"2017-11-01 00:42","101.29"
"2017-11-01 00:52","101.31"
"2017-11-01 01:03","101.30"
"2017-11-01 01:12","101.29"
"2017-11-01 01:23","101.29"
"2017-11-01 01:32","101.25"
"2017-11-01 01:43","101.26"
"2017-11-01 01:52","101.26"
"2017-11-01 02:03","101.26"
"2017-11-01 02:12","101.25"
"2017-11-01 02:23","101.26"
"2017-11-01 02:32","101.26"
"2017-11-01 02:43","101.28"
"2017-11-01 02:52","101.29"
"2017-11-01 03:02","101.29"
"2017-11-01 03:12","101.27"
"2017-11-01 03:23","101.26"
"2017-11-01 03:32","101.25"
"2017-11-01 03:42","101.25"
"2017-11-01 03:52","101.26"
"2017-11-01 04:02","101.25"
"2017-11-01 04:12","101.25"
"2017-11-01 04:22","101.24"
"2017-11-01 04:32","101.26"
"2017-11-01 04:43","101.26"
"2017-11-01 04:52","101.26"
"2017-11-01 05:02","101.28"
"2017-11-01 05:12","101.29"
"2017-11-01 05:22","101.30"
"2017-11-01 05:32","101.32"
"2017-11-01 05:42","101.34"
"2017-11-01 05:52","101.34"
"2017-11-01 06:03","101.33"
"2017-11-01 06:12","101.32"
"2017-11-01 06:22","101.31"
"2017-11-01 06:32","101.31"
"2017-11-01 06:42","101.31"
"2017-11-01 06:52","101.30"
"2017-11-01 07:02","101.31"
"2017-11-01 07:12","101.31"
"2017-11-01 07:22","101.31"
"2017-11-01 07:32","101.32"
"2017-11-01 07:42","101.31"
"2017-11-01 07:52","101.31"
"2017-11-01 08:02","101.35"
"2017-11-01 08:12","101.38"
"2017-11-01 08:22","101.39"
"2017-11-01 08:32","101.41"
"2017-11-01 08:43","101.41"
"2017-11-01 08:52","101.41"
"2017-11-01 09:03","101.41"
"2017-11-01 09:12","101.40"
"2017-11-01 09:22","101.40"
"2017-11-01 09:32","101.39"
"2017-11-01 09:43","101.39"
"2017-11-01 09:52","101.37"
"2017-11-01 10:02","101.36"
"2017-11-01 10:12","101.36"
"2017-11-01 10:22","101.35"
"2017-11-01 10:32","101.34"
"2017-11-01 10:42","101.34"
"2017-11-01 10:52","101.37"
"2017-11-01 11:03","101.37"
"2017-11-01 11:12","101.37"
"2017-11-01 11:22","101.36"
"2017-11-01 11:32","101.35"
"2017-11-01 11:43","101.34"
"2017-11-01 11:52","101.29"
"2017-11-01 12:03","101.29"
"2017-11-01 12:12","101.25"
"2017-11-01 12:23","101.24"
"2017-11-01 12:32","101.22"
"2017-11-01 12:43","101.21"
"2017-11-01 12:52","101.18"
