"Time EST","Pressure (kPa)"
"2017-12-01 00:02","100.07"
"2017-12-01 00:12","100.08"
"2017-12-01 00:22","100.09"
"2017-12-01 00:32","100.11"
"2017-12-01 00:42","100.12"
"2017-12-01 00:52","100.12"
"2017-12-01 01:02","100.13"
"2017-12-01 01:12","100.14"
"2017-12-01 01:22","100.16"
"2017-12-01 01:32","100.19"
"2017-12-01 01:42","100.19"
"2017-12-01 01:52","100.22"
"2017-12-01 02:02","100.23"
"2017-12-01 02:12","100.26"
"2017-12-01 02:22","100.28"
"2017-12-01 02:32","100.31"
"2017-12-01 02:42","100.33"
"2017-12-01 02:52","100.35"
"2017-12-01 03:02","100.36"
"2017-12-01 03:12","100.38"
"2017-12-01 03:32","100.38"
"2017-12-01 03:52","100.39"
"2017-12-01 04:12","100.42"
"2017-12-01 04:32","100.43"
"2017-12-01 04:52","100.46"
"2017-12-01 05:12","100.49"
"2017-12-01 05:32","100.52"
"2017-12-01 05:52","100.56"
"2017-12-01 06:12","100.59"
"2017-12-01 06:32","100.61"
"2017-12-01 06:52","100.63"
"2017-12-01 07:12","100.66"
"2017-12-01 07:32","100.69"
"2017-12-01 07:52","100.71"
"2017-12-01 08:12","100.73"
"2017-12-01 08:32","100.76"
"2017-12-01 08:52","100.78"
"2017-12-01 09:12","100.80"
"2017-12-01 09:32","100.83"
"2017-12-01 09:52","100.86"
"2017-12-01 10:12","100.85"
"2017-12-01 10:32","100.84"
"2017-12-01 10:52","100.83"
"2017-12-01 11:12","100.80"
"2017-12-01 11:32","100.80"
"2017-12-01 11:52","100.80"
"2017-12-01 12:12","100.81"
"2017-12-01 12:32","100.81"
"2017-12-01 12:52","100.81"
"2017-12-01 13:12","100.81"
"2017-12-01 13:32","100.81"
"2017-12-01 13:42","100.82"
"2017-12-01 13:52","100.82"
"2017-12-01 14:02","100.82"
"2017-12-01 14:12","100.82"
"2017-12-01 14:22","100.83"
"2017-12-01 14:32","100.85"
"2017-12-01 14:42","100.86"
"2017-12-01 14:52","100.88"
"2017-12-01 15:02","100.88"
"2017-12-01 15:12","100.86"
"2017-12-01 15:22","100.87"
"2017-12-01 15:32","100.88"
"2017-12-01 15:42","100.88"
"2017-12-01 15:52","100.86"
"2017-12-01 16:02","100.87"
"2017-12-01 16:12","100.87"
"2017-12-01 16:22","100.86"
"2017-12-01 16:32","100.87"
"2017-12-01 16:42","100.86"
"2017-12-01 16:52","100.85"
"2017-12-01 17:02","100.85"
"2017-12-01 17:12","100.87"
"2017-12-01 17:22","100.87"
"2017-12-01 17:32","100.90"
"2017-12-01 17:42","100.91"
"2017-12-01 17:52","100.93"
"2017-12-01 18:02","100.93"
"2017-12-01 18:12","100.95"
"2017-12-01 18:22","100.95"
"2017-12-01 18:32","100.98"
"2017-12-01 18:42","100.97"
"2017-12-01 18:52","100.99"
"2017-12-01 19:02","100.99"
"2017-12-01 19:12","100.99"
"2017-12-01 19:22","100.99"
"2017-12-01 19:32","100.98"
"2017-12-01 19:42","100.97"
"2017-12-01 19:52","100.98"
"2017-12-01 20:02","100.98"
"2017-12-01 20:12","100.98"
"2017-12-01 20:22","100.98"
"2017-12-01 20:32","100.97"
"2017-12-01 20:42","100.97"
"2017-12-01 20:52","100.96"
"2017-12-01 21:02","100.97"
"2017-12-01 21:12","101.00"
"2017-12-01 21:22","101.02"
"2017-12-01 21:32","101.00"
"2017-12-01 21:42","100.99"
"2017-12-01 21:52","100.97"
"2017-12-01 22:02","100.97"
"2017-12-01 22:12","100.97"
"2017-12-01 22:22","100.97"
"2017-12-01 22:32","100.96"
"2017-12-01 22:42","100.96"
"2017-12-01 22:52","100.97"
"2017-12-01 23:02","100.98"
"2017-12-01 23:12","100.95"
"2017-12-01 23:22","100.94"
"2017-12-01 23:32","100.95"
"2017-12-01 23:42","100.95"
"2017-12-01 23:52","100.96"
"2017-12-02 00:02","100.96"
"2017-12-02 00:12","100.97"
"2017-12-02 00:22","100.97"
"2017-12-02 00:32","100.97"
"2017-12-02 00:42","100.96"
"2017-12-02 00:52","100.94"
"2017-12-02 01:02","100.95"
"2017-12-02 01:12","100.95"
"2017-12-02 01:22","100.94"
"2017-12-02 01:32","100.94"
"2017-12-02 01:42","100.94"
"2017-12-02 01:52","100.93"
"2017-12-02 02:02","100.92"
"2017-12-02 02:12","100.93"
"2017-12-02 02:22","100.94"
"2017-12-02 02:32","100.94"
"2017-12-02 02:42","100.94"
"2017-12-02 02:52","100.93"
"2017-12-02 03:02","100.93"
"2017-12-02 03:12","100.94"
"2017-12-02 03:22","100.93"
"2017-12-02 03:32","100.91"
"2017-12-02 03:42","100.91"
"2017-12-02 03:52","100.89"
"2017-12-02 04:02","100.89"
"2017-12-02 04:12","100.89"
"2017-12-02 04:22","100.88"
"2017-12-02 04:32","100.89"
"2017-12-02 04:42","100.89"
"2017-12-02 04:52","100.88"
"2017-12-02 05:02","100.87"
"2017-12-02 05:12","100.88"
"2017-12-02 05:22","100.88"
"2017-12-02 05:32","100.87"
"2017-12-02 05:42","100.87"
"2017-12-02 05:52","100.88"
"2017-12-02 06:02","100.89"
"2017-12-02 06:12","100.89"
"2017-12-02 06:22","100.89"
"2017-12-02 06:32","100.89"
"2017-12-02 06:42","100.88"
"2017-12-02 06:52","100.89"
"2017-12-02 07:02","100.90"
"2017-12-02 07:12","100.89"
"2017-12-02 07:22","100.90"
"2017-12-02 07:32","100.89"
"2017-12-02 07:42","100.89"
"2017-12-02 07:52","100.89"
"2017-12-02 08:02","100.90"
"2017-12-02 08:12","100.88"
"2017-12-02 08:22","100.88"
"2017-12-02 08:32","100.85"
"2017-12-02 08:42","100.84"
"2017-12-02 08:52","100.84"
"2017-12-02 09:02","100.85"
"2017-12-02 09:12","100.84"
"2017-12-02 09:22","100.85"
"2017-12-02 09:32","100.83"
"2017-12-02 09:42","100.82"
"2017-12-02 09:52","100.82"
"2017-12-02 10:02","100.83"
"2017-12-02 10:12","100.80"
"2017-12-02 10:22","100.80"
"2017-12-02 10:32","100.79"
"2017-12-02 10:42","100.79"
"2017-12-02 10:52","100.79"
"2017-12-02 11:02","100.79"
"2017-12-02 11:12","100.79"
"2017-12-02 11:22","100.78"
"2017-12-02 11:32","100.77"
"2017-12-02 11:42","100.76"
"2017-12-02 11:52","100.74"
"2017-12-02 12:02","100.74"
"2017-12-02 12:12","100.71"
"2017-12-02 12:22","100.69"
"2017-12-02 12:32","100.66"
"2017-12-02 12:42","100.65"
"2017-12-02 12:52","100.62"
"2017-12-02 13:02","100.62"
"2017-12-02 13:12","100.59"
"2017-12-02 13:22","100.59"
"2017-12-02 13:32","100.58"
"2017-12-02 13:42","100.57"
"2017-12-02 13:52","100.53"
"2017-12-02 14:02","100.52"
"2017-12-02 14:12","100.51"
"2017-12-02 14:22","100.52"
"2017-12-02 14:32","100.50"
"2017-12-02 14:42","100.50"
"2017-12-02 14:52","100.51"
"2017-12-02 15:02","100.50"
"2017-12-02 15:12","100.52"
"2017-12-02 15:22","100.54"
"2017-12-02 15:32","100.55"
"2017-12-02 15:42","100.54"
"2017-12-02 15:52","100.57"
"2017-12-02 16:02","100.58"
"2017-12-02 16:12","100.58"
"2017-12-02 16:22","100.57"
"2017-12-02 16:32","100.58"
"2017-12-02 16:42","100.60"
"2017-12-02 16:52","100.62"
"2017-12-02 17:02","100.62"
"2017-12-02 17:12","100.63"
"2017-12-02 17:22","100.63"
"2017-12-02 17:32","100.63"
"2017-12-02 17:42","100.62"
"2017-12-02 17:52","100.61"
"2017-12-02 18:02","100.59"
"2017-12-02 18:12","100.60"
"2017-12-02 18:22","100.61"
"2017-12-02 18:32","100.63"
"2017-12-02 18:42","100.63"
"2017-12-02 18:52","100.64"
"2017-12-02 19:02","100.64"
"2017-12-02 19:12","100.65"
"2017-12-02 19:22","100.65"
"2017-12-02 19:32","100.63"
"2017-12-02 19:42","100.65"
"2017-12-02 19:52","100.64"
"2017-12-02 20:02","100.63"
"2017-12-02 20:12","100.63"
"2017-12-02 20:22","100.63"
"2017-12-02 20:32","100.64"
"2017-12-02 20:42","100.63"
"2017-12-02 20:52","100.63"
"2017-12-02 21:02","100.63"
"2017-12-02 21:12","100.61"
"2017-12-02 21:22","100.60"
"2017-12-02 21:32","100.59"
"2017-12-02 21:42","100.60"
"2017-12-02 21:52","100.60"
"2017-12-02 22:02","100.60"
"2017-12-02 22:12","100.59"
"2017-12-02 22:22","100.60"
"2017-12-02 22:32","100.60"
"2017-12-02 22:42","100.60"
"2017-12-02 22:52","100.60"
"2017-12-02 23:02","100.59"
"2017-12-02 23:12","100.59"
"2017-12-02 23:22","100.58"
"2017-12-02 23:32","100.58"
"2017-12-02 23:42","100.57"
"2017-12-02 23:52","100.56"
"2017-12-03 00:02","100.57"
"2017-12-03 00:12","100.57"
"2017-12-03 00:22","100.55"
"2017-12-03 00:32","100.54"
"2017-12-03 00:42","100.54"
"2017-12-03 00:52","100.53"
"2017-12-03 01:02","100.53"
"2017-12-03 01:12","100.53"
"2017-12-03 01:22","100.54"
"2017-12-03 01:32","100.55"
"2017-12-03 01:42","100.55"
"2017-12-03 01:52","100.56"
"2017-12-03 02:02","100.56"
"2017-12-03 02:12","100.57"
"2017-12-03 02:22","100.57"
"2017-12-03 02:32","100.58"
"2017-12-03 02:42","100.58"
"2017-12-03 02:52","100.58"
"2017-12-03 03:02","100.58"
"2017-12-03 03:12","100.58"
"2017-12-03 03:22","100.57"
"2017-12-03 03:32","100.56"
"2017-12-03 03:42","100.56"
"2017-12-03 03:52","100.57"
"2017-12-03 04:02","100.57"
"2017-12-03 04:12","100.57"
"2017-12-03 04:22","100.57"
"2017-12-03 04:32","100.57"
"2017-12-03 04:42","100.56"
"2017-12-03 04:52","100.56"
"2017-12-03 05:02","100.55"
"2017-12-03 05:12","100.56"
"2017-12-03 05:22","100.56"
"2017-12-03 05:32","100.55"
"2017-12-03 05:42","100.55"
"2017-12-03 05:52","100.55"
"2017-12-03 06:02","100.56"
"2017-12-03 06:12","100.55"
"2017-12-03 06:22","100.55"
"2017-12-03 06:32","100.57"
"2017-12-03 06:42","100.58"
"2017-12-03 06:52","100.60"
"2017-12-03 07:02","100.60"
"2017-12-03 07:12","100.60"
"2017-12-03 07:22","100.60"
"2017-12-03 07:32","100.61"
"2017-12-03 07:42","100.62"
"2017-12-03 07:52","100.64"
"2017-12-03 08:02","100.64"
"2017-12-03 08:12","100.65"
"2017-12-03 08:22","100.65"
"2017-12-03 08:32","100.63"
"2017-12-03 08:42","100.63"
"2017-12-03 08:52","100.63"
"2017-12-03 09:02","100.62"
"2017-12-03 09:12","100.61"
"2017-12-03 09:22","100.59"
"2017-12-03 09:32","100.59"
"2017-12-03 09:42","100.58"
"2017-12-03 09:52","100.59"
"2017-12-03 10:02","100.60"
"2017-12-03 10:12","100.60"
"2017-12-03 10:22","100.59"
"2017-12-03 10:32","100.60"
"2017-12-03 10:42","100.58"
"2017-12-03 10:52","100.55"
"2017-12-03 11:02","100.53"
"2017-12-03 11:12","100.52"
"2017-12-03 11:22","100.52"
"2017-12-03 11:32","100.53"
"2017-12-03 11:42","100.53"
"2017-12-03 11:52","100.53"
"2017-12-03 12:02","100.53"
"2017-12-03 12:12","100.53"
"2017-12-03 12:22","100.53"
"2017-12-03 12:32","100.53"
"2017-12-03 12:42","100.52"
"2017-12-03 12:52","100.52"
"2017-12-03 13:02","100.51"
"2017-12-03 13:12","100.51"
"2017-12-03 13:22","100.51"
"2017-12-03 13:32","100.48"
"2017-12-03 13:42","100.49"
"2017-12-03 13:52","100.50"
"2017-12-03 14:02","100.50"
"2017-12-03 14:12","100.51"
"2017-12-03 14:22","100.52"
"2017-12-03 14:32","100.52"
"2017-12-03 14:42","100.52"
"2017-12-03 14:52","100.53"
"2017-12-03 15:02","100.53"
"2017-12-03 15:12","100.54"
"2017-12-03 15:22","100.55"
"2017-12-03 15:32","100.54"
"2017-12-03 15:42","100.54"
"2017-12-03 15:52","100.55"
"2017-12-03 16:02","100.57"
"2017-12-03 16:12","100.58"
"2017-12-03 16:22","100.58"
"2017-12-03 16:32","100.63"
"2017-12-03 16:42","100.65"
"2017-12-03 16:52","100.71"
"2017-12-03 17:02","100.70"
"2017-12-03 17:12","100.72"
"2017-12-03 17:22","100.72"
"2017-12-03 17:32","100.73"
"2017-12-03 17:42","100.74"
"2017-12-03 17:52","100.76"
"2017-12-03 18:02","100.77"
"2017-12-03 18:12","100.76"
"2017-12-03 18:22","100.78"
"2017-12-03 18:32","100.81"
"2017-12-03 18:42","100.81"
"2017-12-03 18:52","100.83"
"2017-12-03 19:02","100.83"
"2017-12-03 19:12","100.84"
"2017-12-03 19:22","100.84"
"2017-12-03 19:32","100.86"
"2017-12-03 19:42","100.86"
"2017-12-03 19:52","100.89"
"2017-12-03 20:02","100.90"
"2017-12-03 20:13","100.91"
"2017-12-03 20:22","100.92"
"2017-12-03 20:32","100.93"
"2017-12-03 20:42","100.94"
"2017-12-03 20:52","100.92"
"2017-12-03 21:02","100.92"
"2017-12-03 21:12","100.94"
"2017-12-03 21:22","100.95"
"2017-12-03 21:32","100.95"
"2017-12-03 21:42","100.96"
"2017-12-03 21:52","100.96"
"2017-12-03 22:02","100.97"
"2017-12-03 22:12","100.97"
"2017-12-03 22:22","100.98"
"2017-12-03 22:32","100.97"
"2017-12-03 22:42","100.97"
"2017-12-03 22:52","101.01"
"2017-12-03 23:02","101.02"
"2017-12-03 23:12","101.04"
"2017-12-03 23:22","101.04"
"2017-12-03 23:32","101.02"
"2017-12-03 23:42","101.02"
"2017-12-03 23:52","101.02"
"2017-12-04 00:02","101.02"
"2017-12-04 00:12","101.02"
"2017-12-04 00:22","101.02"
"2017-12-04 00:32","101.02"
"2017-12-04 00:42","101.02"
"2017-12-04 00:52","101.03"
"2017-12-04 01:02","101.03"
"2017-12-04 01:12","101.05"
"2017-12-04 01:22","101.05"
"2017-12-04 01:32","101.05"
"2017-12-04 01:42","101.06"
"2017-12-04 01:52","101.07"
"2017-12-04 02:02","101.05"
"2017-12-04 02:13","101.06"
"2017-12-04 02:22","101.07"
"2017-12-04 02:32","101.08"
"2017-12-04 02:42","101.08"
"2017-12-04 02:52","101.09"
"2017-12-04 03:02","101.11"
"2017-12-04 03:12","101.12"
"2017-12-04 03:22","101.12"
"2017-12-04 03:32","101.13"
"2017-12-04 03:42","101.13"
"2017-12-04 03:52","101.16"
"2017-12-04 04:02","101.17"
"2017-12-04 04:12","101.18"
"2017-12-04 04:22","101.18"
"2017-12-04 04:32","101.20"
"2017-12-04 04:42","101.18"
"2017-12-04 04:52","101.21"
"2017-12-04 05:02","101.21"
"2017-12-04 05:13","101.19"
"2017-12-04 05:22","101.18"
"2017-12-04 05:32","101.17"
"2017-12-04 05:42","101.17"
"2017-12-04 05:52","101.14"
"2017-12-04 06:02","101.14"
"2017-12-04 06:12","101.13"
"2017-12-04 06:22","101.13"
"2017-12-04 06:32","101.16"
"2017-12-04 06:42","101.17"
"2017-12-04 06:52","101.18"
"2017-12-04 07:02","101.18"
"2017-12-04 07:13","101.19"
"2017-12-04 07:22","101.18"
"2017-12-04 07:32","101.19"
"2017-12-04 07:42","101.20"
"2017-12-04 07:52","101.19"
"2017-12-04 08:02","101.19"
"2017-12-04 08:13","101.18"
"2017-12-04 08:22","101.17"
"2017-12-04 08:32","101.16"
"2017-12-04 08:42","101.15"
"2017-12-04 08:52","101.11"
"2017-12-04 09:02","101.11"
"2017-12-04 09:12","101.13"
"2017-12-04 09:22","101.11"
"2017-12-04 09:32","101.10"
"2017-12-04 09:42","101.11"
"2017-12-04 09:52","101.10"
"2017-12-04 10:02","101.10"
"2017-12-04 10:12","101.09"
"2017-12-04 10:22","101.08"
"2017-12-04 10:32","101.07"
"2017-12-04 10:42","101.07"
"2017-12-04 10:52","101.06"
"2017-12-04 11:02","101.06"
"2017-12-04 11:12","100.98"
"2017-12-04 11:22","100.96"
"2017-12-04 11:32","100.96"
"2017-12-04 11:42","100.95"
"2017-12-04 11:52","100.89"
"2017-12-04 12:02","100.87"
"2017-12-04 12:12","100.84"
"2017-12-04 12:22","100.82"
"2017-12-04 12:32","100.78"
"2017-12-04 12:42","100.78"
"2017-12-04 12:52","100.72"
"2017-12-04 13:02","100.72"
"2017-12-04 13:12","100.66"
"2017-12-04 13:22","100.66"
"2017-12-04 13:32","100.64"
