"Time EST","Air Temp (°C)"
"2018-02-01 00:02","1.3"
"2018-02-01 00:12","1.1"
"2018-02-01 00:22","0.9"
"2018-02-01 00:32","0.7"
"2018-02-01 00:42","0.6"
"2018-02-01 00:52","0.7"
"2018-02-01 01:02","0.7"
"2018-02-01 01:12","0.7"
"2018-02-01 01:22","0.7"
"2018-02-01 01:32","0.8"
"2018-02-01 01:42","0.8"
"2018-02-01 01:52","0.8"
"2018-02-01 02:02","0.7"
"2018-02-01 02:12","0.7"
"2018-02-01 02:22","0.8"
"2018-02-01 02:32","0.9"
"2018-02-01 02:42","1.1"
"2018-02-01 02:52","1.2"
"2018-02-01 03:02","1.4"
"2018-02-01 03:12","1.4"
"2018-02-01 03:22","1.5"
"2018-02-01 03:32","1.5"
"2018-02-01 03:42","1.4"
"2018-02-01 03:52","1.4"
"2018-02-01 04:02","1.4"
"2018-02-01 04:12","1.3"
"2018-02-01 04:22","1.2"
"2018-02-01 04:32","1.2"
"2018-02-01 04:42","1.3"
"2018-02-01 04:52","1.3"
"2018-02-01 05:02","1.4"
"2018-02-01 05:12","1.4"
"2018-02-01 05:22","1.4"
"2018-02-01 05:32","1.4"
"2018-02-01 05:42","1.4"
"2018-02-01 05:52","1.4"
"2018-02-01 06:02","1.4"
"2018-02-01 06:12","1.4"
"2018-02-01 06:22","1.4"
"2018-02-01 06:32","1.4"
"2018-02-01 06:42","1.5"
"2018-02-01 06:52","1.5"
"2018-02-01 07:02","1.5"
"2018-02-01 07:12","1.5"
"2018-02-01 07:22","1.4"
"2018-02-01 07:32","1.5"
"2018-02-01 07:42","1.6"
"2018-02-01 07:52","1.6"
"2018-02-01 08:02","1.7"
"2018-02-01 08:12","1.8"
"2018-02-01 08:22","2.0"
"2018-02-01 08:32","2.0"
"2018-02-01 08:42","2.1"
"2018-02-01 08:52","2.0"
"2018-02-01 09:02","2.0"
"2018-02-01 09:12","2.0"
"2018-02-01 09:22","2.0"
"2018-02-01 09:32","2.0"
"2018-02-01 09:42","2.6"
"2018-02-01 09:52","3.1"
"2018-02-01 10:02","3.4"
"2018-02-01 10:12","3.6"
