"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:02","1","NNW","4"
"2018-01-01 00:12","1","NNW","4"
"2018-01-01 00:22","1","NNW","4"
"2018-01-01 00:32","1","NNW","5"
"2018-01-01 00:42","1","NNW","5"
"2018-01-01 00:52","1","NNW","4"
"2018-01-01 01:02","1","NNW","3"
"2018-01-01 01:12","1","NNW","3"
"2018-01-01 01:22","1","NNW","3"
"2018-01-01 01:32","1","NNW","3"
"2018-01-01 01:42","1","N","3"
"2018-01-01 01:52","1","NNW","3"
"2018-01-01 02:02","1","N","2"
"2018-01-01 02:12","1","N","2"
"2018-01-01 02:22","1","NE","2"
"2018-01-01 02:32","1","E","2"
"2018-01-01 02:42","1","E","1"
"2018-01-01 02:52","0","NNE","1"
"2018-01-01 03:02","1","NNW","2"
"2018-01-01 03:12","1","N","3"
"2018-01-01 03:22","0","NNE","3"
"2018-01-01 03:32","0","NNE","2"
"2018-01-01 03:42","0","E","2"
"2018-01-01 03:52","1","SW","2"
"2018-01-01 04:02","1","WNW","2"
"2018-01-01 04:12","1","NNW","2"
"2018-01-01 04:22","1","NNW","2"
"2018-01-01 04:32","1","N","3"
"2018-01-01 04:42","2","N","3"
"2018-01-01 04:52","1","NNW","3"
"2018-01-01 05:02","1","NNW","3"
"2018-01-01 05:12","0","NNW","2"
"2018-01-01 05:22","1","N","1"
"2018-01-01 05:32","0","NNE","1"
"2018-01-01 05:42","0","N","1"
"2018-01-01 05:52","1","N","2"
"2018-01-01 06:02","1","NNW","2"
"2018-01-01 06:12","1","N","1"
"2018-01-01 06:22","1","N","1"
"2018-01-01 06:32","0","NNW","1"
"2018-01-01 06:42","0","N","1"
"2018-01-01 06:52","1","NNW","1"
"2018-01-01 07:02","1","S","2"
"2018-01-01 07:12","1","N","3"
"2018-01-01 07:22","2","N","3"
"2018-01-01 07:32","1","N","3"
"2018-01-01 07:42","1","S","3"
"2018-01-01 07:52","1","N","2"
"2018-01-01 08:02","1","N","2"
"2018-01-01 08:12","1","S","2"
"2018-01-01 08:22","1","NNW","2"
"2018-01-01 08:32","1","NNW","2"
"2018-01-01 08:42","1","S","2"
"2018-01-01 08:52","1","N","2"
"2018-01-01 09:02","0","NE","2"
"2018-01-01 09:12","1","ENE","2"
"2018-01-01 09:22","1","NE","2"
"2018-01-01 09:32","1","NNE","3"
"2018-01-01 09:42","1","N","3"
"2018-01-01 09:52","1","NNE","3"
"2018-01-01 10:02","1","NNE","3"
"2018-01-01 10:12","1","N","2"
"2018-01-01 10:22","1","S","2"
"2018-01-01 10:32","1","NNE","1"
"2018-01-01 10:42","1","NNE","1"
"2018-01-01 10:52","1","N","1"
"2018-01-01 11:02","0","NNE","1"
"2018-01-01 11:12","0","ENE","1"
"2018-01-01 11:22","1","ESE","1"
"2018-01-01 11:32","0","SE","2"
"2018-01-01 11:42","1","SE","2"
"2018-01-01 11:52","1","S","2"
"2018-01-01 12:02","1","SSW","2"
"2018-01-01 12:12","1","SSW","3"
"2018-01-01 12:22","3","WSW","5"
"2018-01-01 12:32","2","SW","5"
"2018-01-01 12:42","2","SW","4"
"2018-01-01 12:52","2","SW","4"
"2018-01-01 13:02","3","WSW","5"
"2018-01-01 13:12","2","WSW","5"
"2018-01-01 13:22","2","WSW","5"
"2018-01-01 13:32","2","WSW","5"
"2018-01-01 13:42","2","W","6"
"2018-01-01 13:52","2","WSW","6"
"2018-01-01 14:02","2","W","7"
"2018-01-01 14:12","3","WSW","8"
"2018-01-01 14:22","2","WSW","8"
"2018-01-01 14:32","3","WSW","6"
"2018-01-01 14:42","3","WSW","7"
"2018-01-01 14:52","2","W","7"
"2018-01-01 15:02","1","W","5"
"2018-01-01 15:12","2","W","6"
"2018-01-01 15:22","1","W","6"
"2018-01-01 15:32","1","W","5"
"2018-01-01 15:42","2","W","8"
"2018-01-01 15:52","2","WNW","7"
"2018-01-01 16:02","2","W","8"
"2018-01-01 16:12","3","W","10"
"2018-01-01 16:22","3","W","9"
"2018-01-01 16:32","2","W","9"
"2018-01-01 16:42","3","W","13"
"2018-01-01 16:52","3","W","13"
"2018-01-01 17:02","2","NW","8"
"2018-01-01 17:12","1","NNW","6"
"2018-01-01 17:22","1","NNW","5"
"2018-01-01 17:32","1","NNW","5"
"2018-01-01 17:42","1","NNW","5"
"2018-01-01 17:52","1","NW","4"
"2018-01-01 18:02","1","NW","4"
"2018-01-01 18:12","1","NNW","6"
"2018-01-01 18:22","2","NNW","7"
"2018-01-01 18:32","1","NNW","7"
"2018-01-01 18:42","1","NW","5"
"2018-01-01 18:52","1","NW","5"
"2018-01-01 19:02","1","NW","5"
"2018-01-01 19:12","1","NW","6"
"2018-01-01 19:22","1","NW","6"
"2018-01-01 19:32","1","NW","6"
"2018-01-01 19:42","1","NW","5"
"2018-01-01 19:52","2","NW","6"
"2018-01-01 20:02","1","WNW","6"
"2018-01-01 20:12","1","NW","6"
"2018-01-01 20:22","1","WNW","6"
"2018-01-01 20:32","1","WNW","6"
"2018-01-01 20:42","1","WNW","8"
"2018-01-01 20:52","1","NW","5"
"2018-01-01 21:02","1","NW","5"
"2018-01-01 21:12","1","W","5"
"2018-01-01 21:22","1","WNW","5"
"2018-01-01 21:32","1","NW","5"
"2018-01-01 21:42","1","NW","4"
"2018-01-01 21:52","1","WNW","3"
"2018-01-01 22:02","0","NW","3"
"2018-01-01 22:12","0","WNW","1"
"2018-01-01 22:22","0","NNW","1"
"2018-01-01 22:32","1","S","3"
"2018-01-01 22:42","1","S","3"
"2018-01-01 22:52","2","N","4"
"2018-01-01 23:02","1","NNW","4"
"2018-01-01 23:12","1","N","3"
"2018-01-01 23:22","1","WSW","4"
"2018-01-01 23:32","1","WSW","4"
"2018-01-01 23:42","1","WSW","3"
"2018-01-01 23:52","0","WSW","1"
"2018-01-02 00:02","1","NNE","2"
"2018-01-02 00:12","1","SW","3"
"2018-01-02 00:22","1","WSW","3"
"2018-01-02 00:32","0","SW","2"
"2018-01-02 00:42","1","WSW","3"
"2018-01-02 00:52","2","WSW","4"
"2018-01-02 01:02","1","WSW","4"
"2018-01-02 01:12","1","WSW","4"
"2018-01-02 01:22","1","NW","3"
"2018-01-02 01:32","1","S","4"
"2018-01-02 01:42","1","N","4"
"2018-01-02 01:52","1","N","4"
"2018-01-02 02:02","1","N","4"
"2018-01-02 02:12","1","N","4"
"2018-01-02 02:22","1","N","4"
"2018-01-02 02:32","1","N","4"
"2018-01-02 02:42","1","N","3"
"2018-01-02 02:52","1","N","2"
"2018-01-02 03:02","1","N","3"
"2018-01-02 03:12","1","N","3"
"2018-01-02 03:22","1","N","3"
"2018-01-02 03:32","1","NNE","3"
"2018-01-02 03:42","0","NNE","2"
"2018-01-02 03:52","0","N","2"
"2018-01-02 04:02","0","N","1"
"2018-01-02 04:12","0","N","1"
"2018-01-02 04:22","0","NNW","1"
"2018-01-02 04:32","1","N","1"
"2018-01-02 04:42","1","NNW","1"
"2018-01-02 04:52","1","NNW","2"
"2018-01-02 05:02","1","NNW","2"
"2018-01-02 05:12","0","NNW","2"
"2018-01-02 05:22","1","N","2"
"2018-01-02 05:32","0","NNW","1"
"2018-01-02 05:42","1","N","1"
"2018-01-02 05:52","0","S","1"
"2018-01-02 06:02","0","NNE","1"
"2018-01-02 06:12","1","NNE","1"
"2018-01-02 06:22","1","N","1"
"2018-01-02 06:32","0","NNW","1"
"2018-01-02 06:42","1","NNW","1"
"2018-01-02 06:52","0","N","1"
"2018-01-02 07:02","0","WNW","2"
"2018-01-02 07:12","1","WNW","3"
"2018-01-02 07:22","1","W","4"
"2018-01-02 07:32","1","WNW","4"
"2018-01-02 07:42","1","W","5"
"2018-01-02 07:52","2","WSW","5"
"2018-01-02 08:02","2","WSW","5"
"2018-01-02 08:12","2","WSW","5"
"2018-01-02 08:22","2","WSW","5"
"2018-01-02 08:32","2","W","6"
"2018-01-02 08:42","3","WSW","8"
"2018-01-02 08:52","4","WSW","9"
"2018-01-02 09:02","4","WSW","9"
"2018-01-02 09:12","4","WSW","8"
"2018-01-02 09:22","5","WSW","9"
"2018-01-02 09:32","6","WSW","15"
"2018-01-02 09:42","10","WSW","17"
"2018-01-02 09:52","9","WSW","16"
"2018-01-02 10:02","9","WSW","16"
"2018-01-02 10:12","6","WSW","15"
"2018-01-02 10:22","8","WSW","15"
"2018-01-02 10:32","6","WSW","15"
"2018-01-02 10:42","5","WSW","13"
"2018-01-02 10:52","6","WSW","14"
"2018-01-02 11:02","5","WSW","14"
"2018-01-02 11:12","6","WSW","12"
"2018-01-02 11:22","6","WSW","12"
"2018-01-02 11:32","5","WSW","12"
"2018-01-02 11:42","7","WSW","14"
"2018-01-02 11:52","8","WSW","15"
"2018-01-02 12:02","7","WSW","15"
"2018-01-02 12:12","6","WSW","13"
"2018-01-02 12:22","8","WSW","14"
"2018-01-02 12:32","7","WSW","14"
"2018-01-02 12:42","8","WSW","14"
"2018-01-02 12:52","8","WSW","14"
"2018-01-02 13:02","8","WSW","14"
"2018-01-02 13:12","8","WSW","14"
"2018-01-02 13:22","8","WSW","14"
"2018-01-02 13:32","6","WSW","15"
"2018-01-02 13:42","9","WSW","17"
"2018-01-02 13:52","9","WSW","17"
"2018-01-02 14:02","8","WSW","16"
"2018-01-02 14:12","8","WSW","15"
"2018-01-02 14:22","7","WSW","15"
"2018-01-02 14:32","9","WSW","16"
"2018-01-02 14:42","8","WSW","16"
"2018-01-02 14:52","8","WSW","15"
"2018-01-02 15:02","6","WSW","13"
"2018-01-02 15:12","8","WSW","15"
"2018-01-02 15:22","8","WSW","15"
"2018-01-02 15:32","6","WSW","13"
"2018-01-02 15:42","9","WSW","16"
"2018-01-02 15:52","10","WSW","16"
"2018-01-02 16:02","9","WSW","16"
"2018-01-02 16:12","8","WSW","16"
"2018-01-02 16:22","8","WSW","15"
"2018-01-02 16:32","9","WSW","15"
"2018-01-02 16:42","8","WSW","15"
"2018-01-02 16:52","7","WSW","15"
"2018-01-02 17:02","6","WSW","13"
"2018-01-02 17:12","5","WSW","12"
"2018-01-02 17:22","6","WSW","13"
"2018-01-02 17:32","6","WSW","12"
"2018-01-02 17:42","6","WSW","11"
"2018-01-02 17:52","6","WSW","13"
"2018-01-02 18:02","8","WSW","14"
"2018-01-02 18:12","7","WSW","14"
"2018-01-02 18:22","6","WSW","13"
"2018-01-02 18:32","7","WSW","12"
