"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:02","22","WSW","28"
"2017-12-01 00:12","21","WSW","28"
"2017-12-01 00:22","24","WSW","31"
"2017-12-01 00:32","22","WSW","27"
"2017-12-01 00:42","17","WSW","23"
"2017-12-01 00:52","19","WSW","27"
"2017-12-01 01:02","19","WSW","27"
"2017-12-01 01:12","17","WSW","24"
"2017-12-01 01:22","17","WSW","22"
"2017-12-01 01:32","20","WSW","26"
"2017-12-01 01:42","19","WSW","24"
"2017-12-01 01:52","20","WSW","26"
"2017-12-01 02:02","19","WSW","23"
"2017-12-01 02:12","17","WSW","22"
"2017-12-01 02:22","13","WSW","17"
"2017-12-01 02:32","15","WSW","18"
"2017-12-01 02:42","15","WSW","19"
"2017-12-01 02:52","13","WSW","16"
"2017-12-01 03:02","12","WSW","14"
"2017-12-01 03:12","21","WSW","27"
"2017-12-01 03:32","19","W","23"
"2017-12-01 03:52","15","WSW","20"
"2017-12-01 04:12","9","WSW","15"
"2017-12-01 04:32","14","SW","17"
"2017-12-01 04:52","12","WSW","15"
"2017-12-01 05:12","12","WSW","15"
"2017-12-01 05:32","12","WSW","17"
"2017-12-01 05:52","12","WSW","17"
"2017-12-01 06:12","10","WSW","15"
"2017-12-01 06:32","11","W","16"
"2017-12-01 06:52","5","SW","8"
"2017-12-01 07:12","5","SW","6"
"2017-12-01 07:32","10","WSW","13"
"2017-12-01 07:52","6","NW","8"
"2017-12-01 08:12","7","WNW","8"
"2017-12-01 08:32","3","WNW","5"
"2017-12-01 08:52","1","WSW","3"
"2017-12-01 09:12","4","WSW","6"
"2017-12-01 09:32","8","SSW","9"
"2017-12-01 09:52","8","SW","10"
"2017-12-01 10:12","3","SW","4"
"2017-12-01 10:32","4","S","6"
"2017-12-01 10:52","3","SW","5"
"2017-12-01 11:12","7","SW","10"
"2017-12-01 11:32","6","SW","9"
"2017-12-01 11:52","8","WSW","11"
"2017-12-01 12:12","8","WSW","10"
"2017-12-01 12:32","9","WSW","12"
"2017-12-01 12:52","10","WSW","13"
"2017-12-01 13:12","6","WSW","10"
"2017-12-01 13:32","7","WSW","10"
"2017-12-01 13:42","6","W","9"
"2017-12-01 13:52","6","SW","11"
"2017-12-01 14:02","13","WSW","16"
"2017-12-01 14:12","8","WSW","10"
"2017-12-01 14:22","8","SW","10"
"2017-12-01 14:32","7","WSW","10"
"2017-12-01 14:42","8","W","10"
"2017-12-01 14:52","4","W","7"
"2017-12-01 15:02","3","W","6"
"2017-12-01 15:12","4","W","6"
"2017-12-01 15:22","4","WNW","5"
"2017-12-01 15:32","3","W","4"
"2017-12-01 15:42","2","WSW","3"
"2017-12-01 15:52","1","WSW","2"
"2017-12-01 16:02","0","WSW","0"
"2017-12-01 16:12","0","S","1"
"2017-12-01 16:22","0","S","1"
"2017-12-01 16:32","0","SE","0"
"2017-12-01 16:42","0","SE","0"
"2017-12-01 16:52","0","ESE","0"
"2017-12-01 17:02","0","SE","0"
"2017-12-01 17:12","1","SE","2"
"2017-12-01 17:22","0","SSE","0"
"2017-12-01 17:32","0","SE","0"
"2017-12-01 17:42","2","E","3"
"2017-12-01 17:52","0","S","0"
"2017-12-01 18:02","0","SSW","0"
"2017-12-01 18:12","0","SSW","0"
"2017-12-01 18:22","0","SSW","0"
"2017-12-01 18:32","0","ESE","3"
"2017-12-01 18:42","1","SE","4"
"2017-12-01 18:52","5","SE","6"
"2017-12-01 19:02","5","SE","7"
"2017-12-01 19:12","4","SSE","5"
"2017-12-01 19:22","3","SSE","4"
"2017-12-01 19:32","3","SSE","3"
"2017-12-01 19:42","0","SE","0"
"2017-12-01 19:52","4","SSE","5"
"2017-12-01 20:02","4","SE","5"
"2017-12-01 20:12","4","SSE","6"
"2017-12-01 20:22","4","SSE","6"
"2017-12-01 20:32","4","SSE","5"
"2017-12-01 20:42","5","SE","6"
"2017-12-01 20:52","5","SSE","6"
"2017-12-01 21:02","4","SSE","6"
"2017-12-01 21:12","5","S","7"
"2017-12-01 21:22","5","SSE","7"
"2017-12-01 21:32","5","S","8"
"2017-12-01 21:42","5","SSE","7"
"2017-12-01 21:52","5","SSE","7"
"2017-12-01 22:02","5","SSE","7"
"2017-12-01 22:12","4","SSE","5"
"2017-12-01 22:22","4","SSE","5"
"2017-12-01 22:32","4","SSE","5"
"2017-12-01 22:42","4","SSE","6"
"2017-12-01 22:52","4","SSE","6"
"2017-12-01 23:02","4","SSE","6"
"2017-12-01 23:12","4","S","6"
"2017-12-01 23:22","3","S","5"
"2017-12-01 23:32","0","SE","1"
"2017-12-01 23:42","3","SE","4"
"2017-12-01 23:52","3","SSE","5"
"2017-12-02 00:02","3","SSE","5"
"2017-12-02 00:12","4","SSE","5"
"2017-12-02 00:22","6","SSE","8"
"2017-12-02 00:32","4","SSE","6"
"2017-12-02 00:42","4","SSE","6"
"2017-12-02 00:52","4","SSE","6"
"2017-12-02 01:02","5","SSE","8"
"2017-12-02 01:12","4","SSE","8"
"2017-12-02 01:22","3","SSE","5"
"2017-12-02 01:32","5","SSE","8"
"2017-12-02 01:42","4","SSE","6"
"2017-12-02 01:52","5","SSE","7"
"2017-12-02 02:02","4","SSE","6"
"2017-12-02 02:12","4","SSE","6"
"2017-12-02 02:22","4","S","6"
"2017-12-02 02:32","4","S","6"
"2017-12-02 02:42","3","S","5"
"2017-12-02 02:52","2","S","4"
"2017-12-02 03:02","3","SSE","5"
"2017-12-02 03:12","5","S","7"
"2017-12-02 03:22","7","SSE","9"
"2017-12-02 03:32","7","SE","10"
"2017-12-02 03:42","8","SSE","10"
"2017-12-02 03:52","7","SE","10"
"2017-12-02 04:02","6","SSE","8"
"2017-12-02 04:12","0","ESE","0"
"2017-12-02 04:22","0","S","0"
"2017-12-02 04:32","0","SE","0"
"2017-12-02 04:42","0","SE","2"
"2017-12-02 04:52","4","ENE","5"
"2017-12-02 05:02","3","ENE","4"
"2017-12-02 05:12","0","ENE","0"
"2017-12-02 05:22","1","NE","2"
"2017-12-02 05:32","2","NE","3"
"2017-12-02 05:42","0","ENE","0"
"2017-12-02 05:52","0","ESE","0"
"2017-12-02 06:02","2","ENE","3"
"2017-12-02 06:12","3","ENE","4"
"2017-12-02 06:22","2","NE","3"
"2017-12-02 06:32","2","ENE","3"
"2017-12-02 06:42","3","ENE","3"
"2017-12-02 06:52","0","SSE","0"
"2017-12-02 07:02","1","S","3"
"2017-12-02 07:12","0","SSE","1"
"2017-12-02 07:22","0","SE","0"
"2017-12-02 07:32","0","ESE","0"
"2017-12-02 07:42","0","ENE","0"
"2017-12-02 07:52","0","ENE","0"
"2017-12-02 08:02","3","E","5"
"2017-12-02 08:12","4","NE","5"
"2017-12-02 08:22","0","E","2"
"2017-12-02 08:32","0","SSE","0"
"2017-12-02 08:42","0","SSE","0"
"2017-12-02 08:52","0","SW","0"
"2017-12-02 09:02","0","E","0"
"2017-12-02 09:12","1","ENE","3"
"2017-12-02 09:22","0","S","0"
"2017-12-02 09:32","0","S","0"
"2017-12-02 09:42","0","SSE","0"
"2017-12-02 09:52","3","ESE","4"
"2017-12-02 10:02","0","ESE","2"
"2017-12-02 10:12","0","SE","1"
"2017-12-02 10:22","1","SSE","3"
"2017-12-02 10:32","3","SSE","6"
"2017-12-02 10:42","5","SSE","6"
"2017-12-02 10:52","5","SE","8"
"2017-12-02 11:02","6","SSE","8"
"2017-12-02 11:12","6","S","8"
"2017-12-02 11:22","5","SSE","8"
"2017-12-02 11:32","5","SSE","7"
"2017-12-02 11:42","7","S","9"
"2017-12-02 11:52","6","S","9"
"2017-12-02 12:02","9","SSE","12"
"2017-12-02 12:12","8","S","10"
"2017-12-02 12:22","5","SSE","7"
"2017-12-02 12:32","7","SE","10"
"2017-12-02 12:42","7","SSE","9"
"2017-12-02 12:52","9","ESE","12"
"2017-12-02 13:02","10","SE","13"
"2017-12-02 13:12","10","SSE","13"
"2017-12-02 13:22","8","SE","12"
"2017-12-02 13:32","9","SE","15"
"2017-12-02 13:42","12","SE","15"
"2017-12-02 13:52","10","SE","17"
"2017-12-02 14:02","11","SE","14"
"2017-12-02 14:12","8","SSE","13"
"2017-12-02 14:22","6","SSE","10"
"2017-12-02 14:32","6","SE","15"
"2017-12-02 14:42","9","ESE","13"
"2017-12-02 14:52","5","SSE","9"
"2017-12-02 15:02","8","SSE","12"
"2017-12-02 15:12","9","SSE","13"
"2017-12-02 15:22","9","SSE","12"
"2017-12-02 15:32","9","ESE","12"
"2017-12-02 15:42","8","ESE","12"
"2017-12-02 15:52","5","ESE","9"
"2017-12-02 16:02","6","ESE","9"
"2017-12-02 16:12","4","ESE","6"
"2017-12-02 16:22","3","ESE","5"
"2017-12-02 16:32","5","ESE","8"
"2017-12-02 16:42","4","ESE","5"
"2017-12-02 16:52","6","SE","10"
"2017-12-02 17:02","6","SE","10"
"2017-12-02 17:12","6","SE","9"
"2017-12-02 17:22","7","SSE","10"
"2017-12-02 17:32","7","SE","10"
"2017-12-02 17:42","6","SSE","9"
"2017-12-02 17:52","8","SE","11"
"2017-12-02 18:02","8","SE","11"
"2017-12-02 18:12","7","SE","10"
"2017-12-02 18:22","6","SE","12"
"2017-12-02 18:32","9","SE","13"
"2017-12-02 18:42","9","SSE","14"
"2017-12-02 18:52","7","SSE","11"
"2017-12-02 19:02","7","SSE","10"
"2017-12-02 19:12","7","SSE","9"
"2017-12-02 19:22","7","SSE","9"
"2017-12-02 19:32","5","SSE","9"
"2017-12-02 19:42","6","SSE","8"
"2017-12-02 19:52","7","SE","11"
"2017-12-02 20:02","6","SE","11"
"2017-12-02 20:12","4","SSE","6"
"2017-12-02 20:22","3","ESE","5"
"2017-12-02 20:32","5","SE","8"
"2017-12-02 20:42","3","SE","5"
"2017-12-02 20:52","3","ESE","5"
"2017-12-02 21:02","2","ESE","4"
"2017-12-02 21:12","3","SE","5"
"2017-12-02 21:22","6","SE","7"
"2017-12-02 21:32","5","SE","7"
"2017-12-02 21:42","5","ESE","8"
"2017-12-02 21:52","5","E","6"
"2017-12-02 22:02","5","E","6"
"2017-12-02 22:12","4","ESE","5"
