"Time EST","Pressure (kPa)"
"2018-02-01 00:02","107.67"
"2018-02-01 00:12","107.67"
"2018-02-01 00:22","107.67"
"2018-02-01 00:32","107.66"
"2018-02-01 00:42","107.66"
"2018-02-01 00:52","107.66"
"2018-02-01 01:02","107.65"
"2018-02-01 01:12","107.65"
"2018-02-01 01:22","107.64"
"2018-02-01 01:32","107.64"
"2018-02-01 01:42","107.64"
"2018-02-01 01:52","107.65"
"2018-02-01 02:02","107.64"
"2018-02-01 02:12","107.65"
"2018-02-01 02:22","107.66"
"2018-02-01 02:32","107.66"
"2018-02-01 02:42","107.66"
"2018-02-01 02:52","107.65"
"2018-02-01 03:02","107.65"
"2018-02-01 03:12","107.65"
"2018-02-01 03:22","107.66"
"2018-02-01 03:32","107.66"
"2018-02-01 03:42","107.66"
"2018-02-01 03:52","107.65"
"2018-02-01 04:02","107.64"
"2018-02-01 04:12","107.63"
"2018-02-01 04:22","107.62"
"2018-02-01 04:32","107.62"
"2018-02-01 04:42","107.62"
"2018-02-01 04:52","107.62"
"2018-02-01 05:02","107.63"
"2018-02-01 05:12","107.63"
"2018-02-01 05:22","107.64"
"2018-02-01 05:32","107.63"
"2018-02-01 05:42","107.63"
"2018-02-01 05:52","107.62"
"2018-02-01 06:02","107.62"
"2018-02-01 06:12","107.62"
"2018-02-01 06:22","107.61"
"2018-02-01 06:32","107.60"
"2018-02-01 06:42","107.60"
"2018-02-01 06:52","107.59"
"2018-02-01 07:02","107.61"
"2018-02-01 07:12","107.62"
"2018-02-01 07:22","107.62"
"2018-02-01 07:32","107.61"
"2018-02-01 07:42","107.61"
"2018-02-01 07:52","107.59"
"2018-02-01 08:02","107.59"
"2018-02-01 08:12","107.60"
"2018-02-01 08:22","107.61"
"2018-02-01 08:32","107.64"
"2018-02-01 08:42","107.64"
"2018-02-01 08:52","107.63"
"2018-02-01 09:02","107.62"
"2018-02-01 09:12","107.63"
"2018-02-01 09:22","107.61"
"2018-02-01 09:32","107.61"
"2018-02-01 09:42","107.61"
"2018-02-01 09:52","107.60"
"2018-02-01 10:02","107.59"
"2018-02-01 10:12","107.58"
"2018-02-01 10:22","107.57"
"2018-02-01 10:32","107.56"
"2018-02-01 10:42","107.57"
"2018-02-01 10:52","107.56"
"2018-02-01 11:02","107.57"
"2018-02-01 11:12","107.57"
"2018-02-01 11:22","107.58"
"2018-02-01 11:32","107.58"
"2018-02-01 11:42","107.59"
"2018-02-01 11:52","107.59"
"2018-02-01 12:02","107.58"
"2018-02-01 12:12","107.58"
"2018-02-01 12:22","107.57"
"2018-02-01 12:32","107.58"
"2018-02-01 12:42","107.58"
"2018-02-01 12:52","107.58"
"2018-02-01 13:02","107.62"
"2018-02-01 13:12","107.65"
"2018-02-01 13:22","107.67"
"2018-02-01 13:32","107.70"
"2018-02-01 13:42","107.72"
"2018-02-01 13:52","107.71"
"2018-02-01 14:02","107.73"
"2018-02-01 14:12","107.73"
"2018-02-01 14:22","107.73"
"2018-02-01 14:32","107.75"
"2018-02-01 14:42","107.76"
"2018-02-01 14:52","107.78"
"2018-02-01 15:02","107.80"
"2018-02-01 15:12","107.82"
"2018-02-01 15:22","107.83"
"2018-02-01 15:32","107.85"
"2018-02-01 15:42","107.87"
"2018-02-01 15:52","107.88"
"2018-02-01 16:02","107.90"
"2018-02-01 16:12","107.90"
"2018-02-01 16:22","107.91"
"2018-02-01 16:32","107.92"
