"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-02-01 00:02","10","SSW","14"
"2018-02-01 00:12","8","SSW","10"
"2018-02-01 00:22","7","SSW","9"
"2018-02-01 00:32","7","SSW","9"
"2018-02-01 00:42","8","SSW","10"
"2018-02-01 00:52","7","SSW","9"
"2018-02-01 01:02","9","SSW","11"
"2018-02-01 01:12","10","SSW","12"
"2018-02-01 01:22","10","SSW","13"
"2018-02-01 01:32","9","SSW","11"
"2018-02-01 01:42","9","SSW","15"
"2018-02-01 01:52","10","SSW","13"
"2018-02-01 02:02","9","SSW","12"
"2018-02-01 02:12","10","SSW","14"
"2018-02-01 02:22","9","SSW","12"
"2018-02-01 02:32","10","SSW","13"
"2018-02-01 02:42","8","SSW","12"
"2018-02-01 02:52","10","SSW","12"
"2018-02-01 03:02","11","S","14"
"2018-02-01 03:12","9","S","12"
"2018-02-01 03:22","9","S","11"
"2018-02-01 03:32","9","S","11"
"2018-02-01 03:42","9","S","12"
"2018-02-01 03:52","9","S","12"
"2018-02-01 04:02","5","S","10"
"2018-02-01 04:12","8","SSE","11"
"2018-02-01 04:22","8","S","11"
"2018-02-01 04:32","8","S","12"
"2018-02-01 04:42","8","S","12"
"2018-02-01 04:52","9","S","11"
"2018-02-01 05:02","9","S","12"
"2018-02-01 05:12","8","S","10"
"2018-02-01 05:22","9","S","12"
"2018-02-01 05:32","7","SSE","10"
"2018-02-01 05:42","8","SSE","11"
"2018-02-01 05:52","6","SSE","10"
"2018-02-01 06:02","8","SSE","9"
"2018-02-01 06:12","6","SSE","8"
"2018-02-01 06:22","7","SSE","9"
"2018-02-01 06:32","9","SSE","13"
"2018-02-01 06:42","9","SSE","12"
"2018-02-01 06:52","11","SSE","13"
"2018-02-01 07:02","9","SSW","12"
"2018-02-01 07:12","8","S","11"
"2018-02-01 07:22","9","S","15"
"2018-02-01 07:32","11","S","16"
"2018-02-01 07:42","13","S","18"
"2018-02-01 07:52","12","SSE","16"
"2018-02-01 08:02","11","S","18"
"2018-02-01 08:12","13","S","17"
"2018-02-01 08:22","14","SSW","20"
"2018-02-01 08:32","10","SSW","14"
"2018-02-01 08:42","9","SSW","15"
"2018-02-01 08:52","11","S","15"
"2018-02-01 09:02","12","S","15"
"2018-02-01 09:12","14","SSW","18"
"2018-02-01 09:22","13","S","17"
"2018-02-01 09:32","16","SSW","21"
"2018-02-01 09:42","16","S","21"
"2018-02-01 09:52","14","S","19"
"2018-02-01 10:02","15","S","21"
"2018-02-01 10:12","17","S","21"
"2018-02-01 10:22","20","S","27"
"2018-02-01 10:32","15","S","21"
"2018-02-01 10:42","15","S","20"
"2018-02-01 10:52","13","S","19"
"2018-02-01 11:02","19","SSW","29"
"2018-02-01 11:12","19","SSW","26"
"2018-02-01 11:22","28","SW","45"
"2018-02-01 11:32","25","SW","34"
"2018-02-01 11:42","26","SW","37"
"2018-02-01 11:52","30","SW","37"
"2018-02-01 12:02","35","SW","45"
"2018-02-01 12:12","32","SW","44"
"2018-02-01 12:22","30","SW","41"
"2018-02-01 12:32","28","SW","39"
"2018-02-01 12:42","32","SW","44"
"2018-02-01 12:52","31","SW","39"
"2018-02-01 13:02","35","W","44"
"2018-02-01 13:12","36","WNW","50"
"2018-02-01 13:22","28","WNW","33"
"2018-02-01 13:32","35","WNW","46"
"2018-02-01 13:42","27","WNW","35"
"2018-02-01 13:52","23","WNW","26"
"2018-02-01 14:02","27","W","40"
"2018-02-01 14:12","27","WNW","36"
"2018-02-01 14:22","21","WNW","27"
"2018-02-01 14:32","22","WNW","26"
"2018-02-01 14:42","21","WNW","26"
"2018-02-01 14:52","20","W","26"
"2018-02-01 15:02","23","W","30"
"2018-02-01 15:12","20","W","24"
"2018-02-01 15:22","27","W","32"
"2018-02-01 15:32","30","W","39"
"2018-02-01 15:42","32","W","41"
"2018-02-01 15:52","24","W","30"
"2018-02-01 16:02","26","W","33"
"2018-02-01 16:12","19","W","24"
"2018-02-01 16:22","24","W","35"
"2018-02-01 16:32","26","W","36"
"2018-02-01 16:42","26","W","33"
"2018-02-01 16:52","30","W","37"
"2018-02-01 17:02","20","W","30"
"2018-02-01 17:12","22","W","31"
"2018-02-01 17:22","20","W","27"
"2018-02-01 17:32","19","W","26"
"2018-02-01 17:42","18","W","23"
"2018-02-01 17:52","17","W","22"
"2018-02-01 18:02","15","W","19"
"2018-02-01 18:12","14","W","19"
"2018-02-01 18:22","18","W","22"
"2018-02-01 18:32","21","W","27"
"2018-02-01 18:42","25","WSW","31"
"2018-02-01 18:52","21","WSW","26"
"2018-02-01 19:02","20","WSW","26"
"2018-02-01 19:12","19","WSW","28"
"2018-02-01 19:22","24","WSW","30"
"2018-02-01 19:32","25","WSW","31"
"2018-02-01 19:42","26","W","32"
"2018-02-01 19:52","12","W","17"
"2018-02-01 20:02","13","W","17"
"2018-02-01 20:12","18","W","24"
"2018-02-01 20:22","18","W","22"
"2018-02-01 20:32","18","W","20"
"2018-02-01 20:42","14","W","18"
"2018-02-01 20:52","16","WNW","22"
"2018-02-01 21:02","17","WNW","20"
"2018-02-01 21:12","19","WNW","24"
"2018-02-01 21:22","21","WNW","28"
"2018-02-01 21:32","19","WNW","29"
"2018-02-01 21:42","18","WNW","20"
"2018-02-01 21:52","14","WNW","18"
"2018-02-01 22:02","8","WNW","12"
"2018-02-01 22:12","10","W","12"
"2018-02-01 22:22","10","WNW","11"
"2018-02-01 22:32","10","W","13"
"2018-02-01 22:42","11","W","14"
"2018-02-01 22:52","12","W","15"
"2018-02-01 23:02","18","W","22"
"2018-02-01 23:12","15","WNW","20"
"2018-02-01 23:22","16","W","22"
"2018-02-01 23:32","14","W","18"
"2018-02-01 23:42","13","WNW","15"
"2018-02-02 00:02","8","NW","10"
"2018-02-02 00:12","8","WNW","10"
"2018-02-02 00:22","9","WNW","12"
"2018-02-02 00:32","10","WNW","13"
"2018-02-02 00:42","9","WNW","12"
"2018-02-02 00:52","13","WNW","17"
"2018-02-02 01:02","13","WNW","16"
"2018-02-02 01:12","12","WNW","14"
"2018-02-02 01:22","10","WNW","14"
"2018-02-02 01:32","11","WNW","14"
"2018-02-02 01:42","10","WNW","13"
"2018-02-02 01:52","9","WNW","12"
"2018-02-02 02:02","9","NNW","14"
"2018-02-02 02:12","11","NNW","15"
"2018-02-02 02:22","8","NNW","12"
"2018-02-02 02:32","6","NNW","9"
"2018-02-02 02:42","9","NW","13"
"2018-02-02 02:52","10","NW","13"
"2018-02-02 03:02","12","NW","15"
"2018-02-02 03:12","14","NW","19"
"2018-02-02 03:22","17","NW","21"
"2018-02-02 03:32","21","NW","28"
"2018-02-02 03:42","21","NW","26"
"2018-02-02 03:52","21","NW","27"
"2018-02-02 04:02","18","WNW","24"
"2018-02-02 04:12","23","WNW","30"
"2018-02-02 04:22","22","NW","28"
"2018-02-02 04:32","20","NW","25"
"2018-02-02 04:42","24","WNW","29"
"2018-02-02 04:52","17","WNW","22"
"2018-02-02 05:02","15","WNW","19"
"2018-02-02 05:12","23","WNW","27"
"2018-02-02 05:22","20","WNW","25"
"2018-02-02 05:32","19","WNW","30"
"2018-02-02 05:42","21","WNW","26"
"2018-02-02 05:52","21","WNW","26"
"2018-02-02 06:02","23","WNW","28"
"2018-02-02 06:12","19","WNW","23"
"2018-02-02 06:22","21","WNW","28"
"2018-02-02 06:32","19","WNW","23"
"2018-02-02 06:42","21","WNW","26"
