"Time EST","Air Temp (°C)"
"2018-01-01 00:02","-29.9"
"2018-01-01 00:12","-29.8"
"2018-01-01 00:22","-29.8"
"2018-01-01 00:32","-30.4"
"2018-01-01 00:42","-30.6"
"2018-01-01 00:52","-30.3"
"2018-01-01 01:02","-30.8"
"2018-01-01 01:12","-30.6"
"2018-01-01 01:22","-30.7"
"2018-01-01 01:32","-30.6"
"2018-01-01 01:42","-30.7"
"2018-01-01 01:52","-31.2"
"2018-01-01 02:02","-30.9"
"2018-01-01 02:12","-31.4"
"2018-01-01 02:22","-30.8"
"2018-01-01 02:32","-31.1"
"2018-01-01 02:42","-31.2"
"2018-01-01 02:52","-31.1"
"2018-01-01 03:02","-31.3"
"2018-01-01 03:12","-31.5"
"2018-01-01 03:22","-31.6"
"2018-01-01 03:32","-31.5"
"2018-01-01 03:42","-31.6"
"2018-01-01 03:52","-31.8"
"2018-01-01 04:02","-32.0"
"2018-01-01 04:12","-31.9"
"2018-01-01 04:22","-32.6"
"2018-01-01 04:32","-32.3"
"2018-01-01 04:42","-32.5"
"2018-01-01 04:52","-31.9"
"2018-01-01 05:02","-31.9"
"2018-01-01 05:12","-31.9"
"2018-01-01 05:22","-31.9"
"2018-01-01 05:32","-31.9"
"2018-01-01 05:42","-31.5"
"2018-01-01 05:52","-31.3"
"2018-01-01 06:02","-30.3"
"2018-01-01 06:12","-30.1"
"2018-01-01 06:22","-29.8"
"2018-01-01 06:32","-29.0"
"2018-01-01 06:42","-29.1"
"2018-01-01 06:52","-28.5"
"2018-01-01 07:02","-27.8"
"2018-01-01 07:12","-26.8"
"2018-01-01 07:22","-25.4"
"2018-01-01 07:32","-24.5"
"2018-01-01 07:42","-23.2"
"2018-01-01 07:52","-22.4"
"2018-01-01 08:02","-22.1"
"2018-01-01 08:12","-21.7"
"2018-01-01 08:22","-21.3"
"2018-01-01 08:32","-20.8"
"2018-01-01 08:42","-20.5"
"2018-01-01 08:52","-20.0"
"2018-01-01 09:02","-19.7"
"2018-01-01 09:12","-19.6"
"2018-01-01 09:22","-19.3"
"2018-01-01 09:32","-18.8"
"2018-01-01 09:42","-18.5"
"2018-01-01 09:52","-18.5"
"2018-01-01 10:02","-17.8"
"2018-01-01 10:12","-16.6"
"2018-01-01 10:22","-15.3"
"2018-01-01 10:32","-12.8"
"2018-01-01 10:42","-12.1"
"2018-01-01 10:52","-11.6"
"2018-01-01 11:02","-11.6"
"2018-01-01 11:12","-11.3"
"2018-01-01 11:22","-11.2"
"2018-01-01 11:32","-10.9"
"2018-01-01 11:42","-10.8"
"2018-01-01 11:52","-11.0"
"2018-01-01 12:02","-11.3"
"2018-01-01 12:12","-11.0"
"2018-01-01 12:22","-11.3"
"2018-01-01 12:32","-11.2"
"2018-01-01 12:42","-11.2"
"2018-01-01 12:52","-11.0"
"2018-01-01 13:02","-10.6"
"2018-01-01 13:12","-11.0"
"2018-01-01 13:22","-11.6"
"2018-01-01 13:32","-12.1"
"2018-01-01 13:42","-12.2"
