"Time EST","Pressure (kPa)"
"2018-01-01 00:02","109.08"
"2018-01-01 00:12","109.07"
"2018-01-01 00:22","109.07"
"2018-01-01 00:32","109.06"
"2018-01-01 00:42","109.06"
"2018-01-01 00:52","109.05"
"2018-01-01 01:02","109.05"
"2018-01-01 01:12","109.05"
"2018-01-01 01:22","109.02"
"2018-01-01 01:32","109.04"
"2018-01-01 01:42","109.04"
"2018-01-01 01:52","109.03"
"2018-01-01 02:02","109.02"
"2018-01-01 02:12","109.02"
"2018-01-01 02:22","109.02"
"2018-01-01 02:32","109.03"
"2018-01-01 02:42","109.03"
"2018-01-01 02:52","109.03"
"2018-01-01 03:02","109.03"
"2018-01-01 03:12","109.02"
"2018-01-01 03:22","109.03"
"2018-01-01 03:32","109.03"
"2018-01-01 03:42","109.02"
"2018-01-01 03:52","109.02"
"2018-01-01 04:02","109.00"
"2018-01-01 04:12","108.99"
"2018-01-01 04:22","108.99"
"2018-01-01 04:32","108.98"
"2018-01-01 04:42","108.99"
"2018-01-01 04:52","108.99"
"2018-01-01 05:02","109.00"
"2018-01-01 05:12","109.00"
"2018-01-01 05:22","108.99"
"2018-01-01 05:32","108.99"
"2018-01-01 05:42","108.99"
"2018-01-01 05:52","108.98"
"2018-01-01 06:02","108.97"
"2018-01-01 06:12","108.96"
"2018-01-01 06:22","108.95"
"2018-01-01 06:32","108.96"
"2018-01-01 06:42","108.95"
"2018-01-01 06:52","108.94"
"2018-01-01 07:02","108.93"
"2018-01-01 07:12","108.91"
"2018-01-01 07:22","108.91"
"2018-01-01 07:32","108.90"
"2018-01-01 07:42","108.89"
"2018-01-01 07:52","108.88"
"2018-01-01 08:02","108.88"
"2018-01-01 08:12","108.86"
"2018-01-01 08:22","108.86"
"2018-01-01 08:32","108.85"
"2018-01-01 08:42","108.84"
"2018-01-01 08:52","108.84"
"2018-01-01 09:02","108.83"
"2018-01-01 09:12","108.83"
"2018-01-01 09:22","108.82"
"2018-01-01 09:32","108.82"
"2018-01-01 09:42","108.81"
"2018-01-01 09:52","108.81"
"2018-01-01 10:02","108.81"
"2018-01-01 10:12","108.80"
"2018-01-01 10:22","108.79"
"2018-01-01 10:32","108.78"
"2018-01-01 10:42","108.77"
"2018-01-01 10:52","108.76"
"2018-01-01 11:02","108.74"
"2018-01-01 11:12","108.73"
"2018-01-01 11:22","108.71"
"2018-01-01 11:32","108.70"
"2018-01-01 11:42","108.70"
"2018-01-01 11:52","108.70"
"2018-01-01 12:02","108.69"
"2018-01-01 12:12","108.69"
"2018-01-01 12:22","108.70"
"2018-01-01 12:32","108.69"
"2018-01-01 12:42","108.69"
"2018-01-01 12:52","108.70"
"2018-01-01 13:02","108.69"
"2018-01-01 13:12","108.68"
"2018-01-01 13:22","108.69"
"2018-01-01 13:32","108.69"
"2018-01-01 13:42","108.70"
"2018-01-01 13:52","108.70"
"2018-01-01 14:02","108.70"
"2018-01-01 14:12","108.70"
"2018-01-01 14:22","108.70"
"2018-01-01 14:32","108.71"
"2018-01-01 14:42","108.70"
"2018-01-01 14:52","108.71"
"2018-01-01 15:02","108.73"
"2018-01-01 15:12","108.73"
"2018-01-01 15:22","108.74"
"2018-01-01 15:32","108.75"
"2018-01-01 15:42","108.76"
"2018-01-01 15:52","108.77"
"2018-01-01 16:02","108.77"
"2018-01-01 16:12","108.78"
"2018-01-01 16:22","108.79"
"2018-01-01 16:32","108.79"
"2018-01-01 16:42","108.80"
"2018-01-01 16:52","108.81"
"2018-01-01 17:02","108.81"
"2018-01-01 17:12","108.82"
"2018-01-01 17:22","108.82"
"2018-01-01 17:32","108.83"
"2018-01-01 17:42","108.84"
"2018-01-01 17:52","108.85"
"2018-01-01 18:02","108.86"
"2018-01-01 18:12","108.86"
"2018-01-01 18:22","108.87"
"2018-01-01 18:32","108.87"
"2018-01-01 18:42","108.88"
"2018-01-01 18:52","108.88"
"2018-01-01 19:02","108.88"
"2018-01-01 19:12","108.90"
"2018-01-01 19:22","108.89"
"2018-01-01 19:32","108.89"
"2018-01-01 19:42","108.90"
"2018-01-01 19:52","108.92"
"2018-01-01 20:02","108.93"
"2018-01-01 20:12","108.93"
"2018-01-01 20:22","108.94"
"2018-01-01 20:32","108.94"
"2018-01-01 20:42","108.95"
"2018-01-01 20:52","108.94"
"2018-01-01 21:02","108.95"
"2018-01-01 21:12","108.95"
"2018-01-01 21:22","108.95"
"2018-01-01 21:32","108.96"
"2018-01-01 21:42","108.97"
"2018-01-01 21:52","108.97"
"2018-01-01 22:02","108.97"
"2018-01-01 22:12","108.97"
"2018-01-01 22:22","108.96"
"2018-01-01 22:32","108.95"
"2018-01-01 22:42","108.95"
"2018-01-01 22:52","108.94"
"2018-01-01 23:02","108.94"
"2018-01-01 23:12","108.94"
"2018-01-01 23:22","108.95"
"2018-01-01 23:32","108.94"
"2018-01-01 23:42","108.93"
"2018-01-01 23:52","108.93"
"2018-01-02 00:02","108.93"
"2018-01-02 00:12","108.93"
"2018-01-02 00:22","108.94"
"2018-01-02 00:32","108.94"
"2018-01-02 00:42","108.94"
"2018-01-02 00:52","108.93"
"2018-01-02 01:02","108.92"
"2018-01-02 01:12","108.92"
