"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-03-01 00:02","6","NW","9"
"2018-03-01 00:12","9","NW","12"
"2018-03-01 00:22","6","NW","12"
"2018-03-01 00:32","7","NW","10"
"2018-03-01 00:42","6","NW","8"
"2018-03-01 00:52","2","NW","4"
"2018-03-01 01:02","7","NNW","10"
"2018-03-01 01:12","4","NW","5"
"2018-03-01 01:22","3","N","5"
"2018-03-01 01:32","2","WNW","4"
"2018-03-01 01:42","1","W","2"
"2018-03-01 01:52","5","NW","6"
"2018-03-01 02:02","6","NW","9"
"2018-03-01 02:12","6","NW","8"
"2018-03-01 02:22","8","NW","9"
"2018-03-01 02:32","6","NW","7"
"2018-03-01 02:42","5","NW","6"
"2018-03-01 02:52","4","NW","5"
"2018-03-01 03:02","5","NW","7"
"2018-03-01 03:12","6","NNW","9"
"2018-03-01 03:22","5","NW","8"
"2018-03-01 03:32","5","NNW","7"
"2018-03-01 03:42","6","N","9"
"2018-03-01 03:52","9","N","11"
"2018-03-01 04:02","8","N","12"
"2018-03-01 04:12","9","N","12"
"2018-03-01 04:22","10","N","14"
"2018-03-01 04:32","10","N","14"
"2018-03-01 04:42","9","N","12"
"2018-03-01 04:52","10","N","13"
"2018-03-01 05:02","8","N","10"
"2018-03-01 05:12","6","N","8"
"2018-03-01 05:22","6","N","8"
"2018-03-01 05:32","3","NNE","4"
"2018-03-01 05:42","2","NNE","3"
"2018-03-01 05:52","0","NE","0"
"2018-03-01 06:02","0","NNE","0"
"2018-03-01 06:12","0","NW","0"
"2018-03-01 06:22","2","SSW","4"
"2018-03-01 06:32","0","NW","0"
"2018-03-01 06:42","0","W","0"
"2018-03-01 06:52","0","NW","0"
"2018-03-01 07:02","0","NNW","0"
"2018-03-01 07:12","0","NW","0"
"2018-03-01 07:22","0","NW","0"
"2018-03-01 08:32","9","ENE","11"
"2018-03-01 08:42","11","NE","16"
"2018-03-01 08:52","14","NE","17"
"2018-03-01 09:02","16","NE","20"
"2018-03-01 09:12","16","NE","21"
"2018-03-01 09:22","14","NE","18"
"2018-03-01 09:32","18","NE","21"
"2018-03-01 09:42","14","NE","21"
"2018-03-01 09:52","13","NE","19"
"2018-03-01 10:02","14","ENE","16"
