"Time EST","Pressure (kPa)"
"2017-11-01 00:02","108.54"
"2017-11-01 00:12","108.55"
"2017-11-01 00:22","108.56"
"2017-11-01 00:32","108.55"
"2017-11-01 00:42","108.55"
"2017-11-01 00:52","108.55"
"2017-11-01 01:03","108.55"
"2017-11-01 01:12","108.55"
"2017-11-01 01:22","108.55"
"2017-11-01 01:32","108.54"
"2017-11-01 01:42","108.54"
"2017-11-01 01:52","108.54"
"2017-11-01 02:02","108.54"
"2017-11-01 02:12","108.54"
"2017-11-01 02:22","108.54"
"2017-11-01 02:32","108.54"
"2017-11-01 02:42","108.54"
"2017-11-01 02:52","108.53"
"2017-11-01 03:02","108.53"
"2017-11-01 03:12","108.53"
"2017-11-01 03:22","108.52"
"2017-11-01 03:32","108.53"
"2017-11-01 03:42","108.53"
"2017-11-01 03:52","108.53"
"2017-11-01 04:02","108.53"
"2017-11-01 04:12","108.55"
"2017-11-01 04:22","108.55"
"2017-11-01 04:32","108.56"
"2017-11-01 04:42","108.55"
"2017-11-01 04:52","108.55"
"2017-11-01 05:02","108.55"
"2017-11-01 05:12","108.57"
"2017-11-01 05:22","108.57"
"2017-11-01 05:32","108.57"
"2017-11-01 05:42","108.58"
"2017-11-01 05:52","108.58"
"2017-11-01 06:02","108.58"
"2017-11-01 06:12","108.58"
"2017-11-01 06:22","108.58"
"2017-11-01 06:32","108.58"
"2017-11-01 06:42","108.58"
"2017-11-01 06:52","108.58"
"2017-11-01 07:02","108.57"
"2017-11-01 07:12","108.58"
"2017-11-01 07:22","108.58"
"2017-11-01 07:32","108.60"
"2017-11-01 07:42","108.60"
"2017-11-01 07:52","108.61"
"2017-11-01 08:02","108.61"
"2017-11-01 08:12","108.62"
"2017-11-01 08:22","108.62"
"2017-11-01 08:32","108.63"
"2017-11-01 08:42","108.64"
"2017-11-01 08:52","108.64"
"2017-11-01 09:02","108.64"
"2017-11-01 09:12","108.65"
"2017-11-01 09:22","108.65"
"2017-11-01 09:32","108.65"
"2017-11-01 09:42","108.65"
"2017-11-01 09:52","108.65"
"2017-11-01 10:02","108.64"
"2017-11-01 10:12","108.65"
"2017-11-01 10:22","108.64"
"2017-11-01 10:32","108.64"
"2017-11-01 10:42","108.65"
"2017-11-01 10:52","108.64"
"2017-11-01 11:02","108.64"
"2017-11-01 11:12","108.65"
"2017-11-01 11:22","108.65"
"2017-11-01 11:32","108.64"
"2017-11-01 11:42","108.64"
"2017-11-01 11:52","108.64"
"2017-11-01 12:02","108.63"
"2017-11-01 12:12","108.63"
"2017-11-01 12:22","108.63"
"2017-11-01 12:32","108.61"
"2017-11-01 12:42","108.62"
"2017-11-01 12:52","108.61"
"2017-11-01 13:02","108.61"
"2017-11-01 13:12","108.59"
"2017-11-01 13:22","108.59"
"2017-11-01 13:32","108.58"
"2017-11-01 13:42","108.58"
"2017-11-01 13:52","108.59"
"2017-11-01 14:02","108.58"
"2017-11-01 14:12","108.58"
"2017-11-01 14:22","108.58"
"2017-11-01 14:32","108.56"
"2017-11-01 14:43","108.56"
"2017-11-01 14:52","108.55"
"2017-11-01 15:02","108.55"
"2017-11-01 15:12","108.56"
