"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-11-01 00:02","10","S","12"
"2017-11-01 00:12","9","S","12"
"2017-11-01 00:22","10","S","12"
"2017-11-01 00:32","10","S","13"
"2017-11-01 00:42","11","S","15"
"2017-11-01 00:52","10","SSW","14"
"2017-11-01 01:03","11","S","14"
"2017-11-01 01:12","9","S","13"
"2017-11-01 01:22","8","S","11"
"2017-11-01 01:32","8","S","12"
"2017-11-01 01:42","9","S","13"
"2017-11-01 01:52","9","SSW","12"
"2017-11-01 02:02","10","SSW","14"
"2017-11-01 02:12","10","S","12"
"2017-11-01 02:22","8","SSW","12"
"2017-11-01 02:32","6","SSW","10"
"2017-11-01 02:42","5","SW","6"
"2017-11-01 02:52","4","S","6"
"2017-11-01 03:02","5","S","7"
"2017-11-01 03:12","6","SSE","8"
"2017-11-01 03:22","6","SSE","8"
"2017-11-01 03:32","8","S","11"
"2017-11-01 03:42","6","SSE","9"
"2017-11-01 03:52","8","SSE","11"
"2017-11-01 04:02","8","S","12"
"2017-11-01 04:12","10","S","13"
"2017-11-01 04:22","8","S","12"
"2017-11-01 04:32","8","SSE","13"
"2017-11-01 04:42","7","SSE","11"
"2017-11-01 04:52","6","SSE","10"
"2017-11-01 05:02","6","SSE","9"
"2017-11-01 05:12","8","S","12"
"2017-11-01 05:22","8","S","11"
"2017-11-01 05:32","8","S","10"
"2017-11-01 05:42","7","S","9"
"2017-11-01 05:52","4","S","7"
"2017-11-01 06:02","5","S","7"
"2017-11-01 06:12","5","S","7"
"2017-11-01 06:22","5","S","8"
"2017-11-01 06:32","5","S","7"
"2017-11-01 06:42","5","SSE","8"
"2017-11-01 06:52","4","SSE","6"
"2017-11-01 07:02","5","SSE","7"
"2017-11-01 07:12","5","SSE","7"
"2017-11-01 07:22","6","SSE","9"
"2017-11-01 07:32","5","SSE","7"
"2017-11-01 07:42","6","SSE","8"
"2017-11-01 07:52","5","SSE","8"
"2017-11-01 08:02","3","SSE","4"
"2017-11-01 08:12","5","SSE","8"
"2017-11-01 08:22","5","SE","8"
"2017-11-01 08:32","6","SE","9"
"2017-11-01 08:42","7","SE","10"
"2017-11-01 08:52","9","SSE","11"
"2017-11-01 09:02","7","SSE","11"
"2017-11-01 09:12","8","SSE","11"
"2017-11-01 09:22","7","SSE","12"
"2017-11-01 09:32","7","SSE","10"
"2017-11-01 09:42","7","SSE","10"
"2017-11-01 09:52","6","SSE","9"
"2017-11-01 10:02","5","SSE","6"
"2017-11-01 10:12","7","S","10"
"2017-11-01 10:22","7","S","10"
"2017-11-01 10:32","7","S","9"
"2017-11-01 10:42","7","SSE","10"
"2017-11-01 10:52","7","S","11"
"2017-11-01 11:02","7","S","10"
"2017-11-01 11:12","9","S","11"
"2017-11-01 11:22","8","SSE","11"
"2017-11-01 11:32","9","SSE","14"
"2017-11-01 11:42","10","SSE","14"
"2017-11-01 11:52","9","S","14"
"2017-11-01 12:02","8","SSE","12"
"2017-11-01 12:12","10","SSE","14"
"2017-11-01 12:22","11","SSE","14"
"2017-11-01 12:32","9","S","13"
"2017-11-01 12:42","7","S","9"
"2017-11-01 12:52","7","S","9"
"2017-11-01 13:02","8","S","10"
"2017-11-01 13:12","6","SSE","8"
"2017-11-01 13:22","6","SE","9"
"2017-11-01 13:32","5","ESE","7"
"2017-11-01 13:42","6","ESE","8"
"2017-11-01 13:52","9","SSE","13"
"2017-11-01 14:02","6","SSE","10"
"2017-11-01 14:12","6","S","9"
"2017-11-01 14:22","8","SSW","10"
"2017-11-01 14:32","8","SSE","10"
"2017-11-01 14:43","7","SSE","11"
"2017-11-01 14:52","7","E","11"
"2017-11-01 15:02","8","ESE","11"
"2017-11-01 15:12","4","ESE","9"
"2017-11-01 15:22","5","E","6"
"2017-11-01 15:32","4","ESE","7"
"2017-11-01 15:42","5","E","6"
"2017-11-01 15:52","6","E","8"
"2017-11-01 16:02","5","ESE","8"
"2017-11-01 16:12","8","ENE","10"
"2017-11-01 16:22","6","ENE","8"
"2017-11-01 16:32","6","ENE","8"
"2017-11-01 16:42","6","E","8"
"2017-11-01 16:52","11","ESE","14"
"2017-11-01 17:03","6","ESE","8"
"2017-11-01 17:12","5","ESE","7"
"2017-11-01 17:22","6","ESE","8"
"2017-11-01 17:32","6","ESE","9"
"2017-11-01 17:42","5","ESE","6"
"2017-11-01 17:52","5","ESE","7"
"2017-11-01 18:02","7","ESE","11"
"2017-11-01 18:12","9","ESE","13"
"2017-11-01 18:22","8","ESE","13"
"2017-11-01 18:32","7","ESE","11"
"2017-11-01 18:42","9","ESE","13"
"2017-11-01 18:52","9","ESE","14"
"2017-11-01 19:02","6","E","9"
"2017-11-01 19:12","6","E","9"
"2017-11-01 19:22","7","ESE","9"
"2017-11-01 19:32","6","E","10"
