"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-02-01 00:02","12","SSW","27"
"2018-02-01 00:22","11","SSW","28"
"2018-02-01 00:42","22","SW","44"
"2018-02-01 01:02","19","SW","62"
"2018-02-01 01:22","19","SW","61"
"2018-02-01 01:42","16","SW","41"
"2018-02-01 02:02","16","SW","30"
"2018-02-01 02:22","12","SSW","31"
"2018-02-01 02:42","9","SSW","19"
"2018-02-01 03:02","17","SSW","22"
"2018-02-01 03:22","32","SSW","76"
"2018-02-01 03:42","20","SW","67"
"2018-02-01 04:02","24","SW","43"
"2018-02-01 04:22","19","SSW","48"
"2018-02-01 04:42","28","SSW","58"
"2018-02-01 05:02","18","S","63"
"2018-02-01 05:22","28","SSW","81"
"2018-02-01 05:42","26","S","69"
"2018-02-01 06:02","9","SW","48"
"2018-02-01 06:22","22","SSW","46"
"2018-02-01 06:42","48","SSW","111"
"2018-02-01 07:02","36","SSW","76"
"2018-02-01 07:22","45","SSW","125"
"2018-02-01 07:42","42","SW","69"
"2018-02-01 08:02","30","SSW","105"
"2018-02-01 08:22","51","SSW","97"
"2018-02-01 08:42","19","SW","87"
"2018-02-01 09:02","50","SW","85"
"2018-02-01 09:22","34","SSW","86"
"2018-02-01 09:42","45","SSW","118"
"2018-02-01 10:02","32","SW","101"
"2018-02-01 10:22","28","SSW","94"
"2018-02-01 10:42","23","SSW","149"
"2018-02-01 11:02","21","SW","86"
"2018-02-01 11:22","22","SW","140"
"2018-02-01 11:42","49","SW","180"
"2018-02-01 12:02","79","WSW","170"
"2018-02-01 12:22","77","WSW","174"
"2018-02-01 12:42","54","WSW","213"
"2018-02-01 13:02","35","WSW","225"
"2018-02-01 13:22","99","WSW","213"
"2018-02-01 13:42","44","W","177"
"2018-02-01 14:02","118","NW","233"
"2018-02-01 14:22","129","NW","224"
"2018-02-01 14:42","44","NW","144"
"2018-02-01 15:02","62","NW","135"
"2018-02-01 15:22","137","NW","207"
"2018-02-01 15:42","120","NW","200"
"2018-02-01 16:02","59","NW","164"
"2018-02-01 16:22","71","NW","148"
"2018-02-01 16:42","41","NNW","159"
"2018-02-01 17:02","143","NW","257"
"2018-02-01 17:22","140","NW","257"
"2018-02-01 17:42","104","NW","218"
"2018-02-01 18:02","128","NW","256"
"2018-02-01 18:22","138","NW","242"
"2018-02-01 18:42","90","WNW","208"
"2018-02-01 19:02","53","WNW","274"
"2018-02-01 19:22","86","WNW","178"
"2018-02-01 19:42","113","WNW","260"
"2018-02-01 20:02","97","WNW","265"
"2018-02-01 20:22","87","WNW","243"
"2018-02-01 20:42","24","WNW","236"
"2018-02-01 21:02","56","WNW","238"
"2018-02-01 21:22","44","WNW","129"
"2018-02-01 21:42","36","WNW","117"
"2018-02-01 22:02","35","WNW","148"
"2018-02-01 22:22","27","WNW","97"
"2018-02-01 22:42","15","WNW","147"
"2018-02-01 23:02","28","W","107"
"2018-02-01 23:22","12","WNW","50"
"2018-02-01 23:42","10","WNW","46"
"2018-02-02 00:02","8","W","20"
"2018-02-02 00:22","9","W","18"
"2018-02-02 00:42","9","W","19"
"2018-02-02 01:02","7","W","21"
"2018-02-02 01:22","5","W","15"
"2018-02-02 01:42","3","WNW","13"
"2018-02-02 02:02","3","WNW","11"
"2018-02-02 02:22","3","WNW","18"
"2018-02-02 02:42","4","WNW","15"
"2018-02-02 03:02","5","NW","13"
"2018-02-02 03:22","5","NNW","17"
"2018-02-02 03:42","10","N","36"
"2018-02-02 04:02","5","N","31"
"2018-02-02 04:22","5","N","20"
"2018-02-02 04:42","5","NNW","14"
"2018-02-02 05:02","5","NW","13"
"2018-02-02 05:22","8","NNW","20"
"2018-02-02 05:42","3","NNW","12"
"2018-02-02 06:02","4","NW","10"
"2018-02-02 06:22","31","NNW","90"
"2018-02-02 06:42","31","NW","89"
"2018-02-02 07:02","28","NNW","67"
"2018-02-02 07:22","39","NNW","153"
"2018-02-02 07:42","32","NNW","110"
"2018-02-02 08:02","44","NW","235"
"2018-02-02 08:22","53","NW","256"
"2018-02-02 08:42","55","NW","237"
"2018-02-02 09:02","53","NNW","155"
"2018-02-02 09:22","91","NW","254"
"2018-02-02 09:42","77","NNW","276"
"2018-02-02 10:02","24","N","116"
"2018-02-02 10:22","40","NNW","93"
