"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-01-01 09:42","-18.2","82"
"2018-01-01 10:02","-18.0","81"
"2018-01-01 10:22","-17.6","80"
"2018-01-01 10:42","-17.5","78"
"2018-01-01 11:02","-17.0","73"
"2018-01-01 11:22","-17.0","69"
"2018-01-01 11:42","-16.9","68"
"2018-01-01 12:02","-16.7","66"
"2018-01-01 12:22","-16.6","65"
"2018-01-01 12:42","-15.8","68"
"2018-01-01 13:02","-15.4","72"
"2018-01-01 13:22","-15.5","69"
"2018-01-01 13:42","-14.0","76"
"2018-01-01 14:02","-14.3","77"
"2018-01-01 14:22","-14.9","73"
"2018-01-01 14:42","-14.7","75"
"2018-01-01 15:02","-16.3","69"
"2018-01-01 15:22","-17.0","65"
"2018-01-01 15:42","-17.5","66"
"2018-01-01 16:02","-17.5","74"
"2018-01-01 16:22","-17.1","81"
"2018-01-01 16:42","-17.6","82"
"2018-01-01 17:02","-18.3","81"
"2018-01-01 17:22","-18.8","79"
"2018-01-01 17:42","-19.7","77"
"2018-01-01 18:02","-20.3","75"
"2018-01-01 18:22","-20.4","76"
"2018-01-01 18:42","-20.6","76"
"2018-01-01 19:02","-20.9","76"
"2018-01-01 19:22","-21.5","75"
"2018-01-01 19:42","-22.0","74"
"2018-01-01 20:02","-22.6","72"
"2018-01-01 20:22","-23.1","70"
"2018-01-01 20:42","-23.6","68"
"2018-01-01 21:02","-24.0","67"
"2018-01-01 21:22","-24.5","67"
"2018-01-01 21:42","-24.8","67"
"2018-01-01 22:02","-25.0","67"
"2018-01-01 22:22","-25.6","68"
"2018-01-01 22:42","-25.7","68"
"2018-01-01 23:02","-25.5","68"
"2018-01-01 23:22","-25.4","70"
"2018-01-01 23:42","-25.0","70"
"2018-01-02 00:02","-25.0","67"
"2018-01-02 00:22","-25.1","66"
"2018-01-02 00:42","-24.8","66"
"2018-01-02 01:02","-24.2","68"
"2018-01-02 01:22","-23.4","72"
"2018-01-02 01:42","-22.7","74"
"2018-01-02 02:02","-22.4","75"
"2018-01-02 02:22","-22.2","76"
"2018-01-02 02:42","-22.0","76"
"2018-01-02 03:02","-22.4","77"
"2018-01-02 03:22","-22.0","78"
"2018-01-02 03:42","-21.8","78"
"2018-01-02 04:02","-22.3","77"
"2018-01-02 04:22","-21.4","79"
"2018-01-02 04:42","-19.9","82"
"2018-01-02 05:02","-19.2","84"
"2018-01-02 05:22","-15.5","85"
"2018-01-02 05:42","-14.7","83"
"2018-01-02 06:02","-14.3","81"
"2018-01-02 06:22","-13.7","80"
"2018-01-02 06:42","-13.3","83"
"2018-01-02 07:02","-13.6","85"
"2018-01-02 07:22","-13.5","86"
"2018-01-02 07:42","-13.0","84"
"2018-01-02 08:02","-13.1","79"
"2018-01-02 08:22","-13.6","77"
"2018-01-02 08:42","-13.7","77"
"2018-01-02 09:02","-13.8","78"
"2018-01-02 09:22","-14.0","77"
"2018-01-02 09:42","-14.4","76"
"2018-01-02 10:02","-14.8","75"
"2018-01-02 10:22","-14.7","75"
"2018-01-02 10:42","-14.6","74"
"2018-01-02 11:02","-14.4","74"
"2018-01-02 11:22","-14.2","73"
"2018-01-02 11:42","-13.6","73"
"2018-01-02 12:02","-13.4","73"
"2018-01-02 12:22","-13.4","71"
"2018-01-02 12:42","-13.2","71"
"2018-01-02 13:02","-12.9","72"
"2018-01-02 13:22","-12.9","69"
"2018-01-02 13:42","-13.0","66"
"2018-01-02 14:02","-13.3","66"
"2018-01-02 14:22","-13.3","65"
"2018-01-02 14:42","-13.1","66"
"2018-01-02 15:02","-13.1","65"
"2018-01-02 15:22","-12.9","65"
"2018-01-02 15:42","-13.3","64"
"2018-01-02 16:02","-13.5","64"
"2018-01-02 16:22","-13.8","65"
"2018-01-02 16:42","-13.1","75"
"2018-01-02 17:02","-13.0","75"
"2018-01-02 17:22","-13.0","75"
