"Time EST","Pressure (kPa)"
"2018-01-01 00:02","103.98"
"2018-01-01 00:22","103.98"
"2018-01-01 00:42","103.97"
"2018-01-01 01:02","103.98"
"2018-01-01 01:22","103.98"
"2018-01-01 01:42","103.96"
"2018-01-01 02:02","103.96"
"2018-01-01 02:22","103.96"
"2018-01-01 02:42","103.96"
"2018-01-01 03:02","103.97"
"2018-01-01 03:22","103.96"
"2018-01-01 03:42","103.95"
"2018-01-01 04:02","103.95"
"2018-01-01 04:22","103.94"
"2018-01-01 04:42","103.93"
"2018-01-01 05:02","103.93"
"2018-01-01 05:22","103.93"
"2018-01-01 05:42","103.92"
"2018-01-01 06:02","103.92"
"2018-01-01 06:22","103.91"
"2018-01-01 06:42","103.91"
"2018-01-01 07:02","103.89"
"2018-01-01 07:22","103.88"
"2018-01-01 07:42","103.87"
"2018-01-01 08:02","103.85"
"2018-01-01 08:22","103.84"
"2018-01-01 08:42","103.82"
"2018-01-01 09:02","103.81"
"2018-01-01 09:22","103.81"
"2018-01-01 09:42","103.81"
"2018-01-01 10:02","103.80"
"2018-01-01 10:22","103.79"
"2018-01-01 10:42","103.77"
"2018-01-01 11:02","103.76"
"2018-01-01 11:22","103.74"
"2018-01-01 11:42","103.70"
"2018-01-01 12:02","103.68"
"2018-01-01 12:22","103.67"
"2018-01-01 12:42","103.67"
"2018-01-01 13:02","103.66"
"2018-01-01 13:22","103.65"
"2018-01-01 13:42","103.65"
"2018-01-01 14:02","103.67"
"2018-01-01 14:22","103.66"
"2018-01-01 14:42","103.67"
"2018-01-01 15:02","103.69"
"2018-01-01 15:22","103.69"
"2018-01-01 15:42","103.70"
"2018-01-01 16:02","103.72"
"2018-01-01 16:22","103.73"
"2018-01-01 16:42","103.75"
"2018-01-01 17:02","103.76"
"2018-01-01 17:22","103.78"
"2018-01-01 17:42","103.79"
"2018-01-01 18:02","103.81"
"2018-01-01 18:22","103.82"
"2018-01-01 18:42","103.84"
"2018-01-01 19:02","103.85"
"2018-01-01 19:22","103.85"
"2018-01-01 19:42","103.85"
