"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-03-01 00:02","18","NNW","26"
"2018-03-01 00:22","29","N","76"
"2018-03-01 00:42","41","NNW","79"
"2018-03-01 01:02","26","N","80"
"2018-03-01 01:22","66","NNE","127"
"2018-03-01 01:42","34","N","76"
"2018-03-01 02:02","15","N","59"
"2018-03-01 02:22","23","NNW","46"
"2018-03-01 02:42","25","N","80"
"2018-03-01 03:02","21","N","45"
"2018-03-01 03:22","14","N","26"
"2018-03-01 03:42","13","N","23"
"2018-03-01 04:02","32","NNE","59"
"2018-03-01 04:22","27","NNE","64"
"2018-03-01 04:42","14","NNE","38"
"2018-03-01 05:02","14","NNE","33"
"2018-03-01 05:22","8","NE","20"
"2018-03-01 05:42","17","E","21"
"2018-03-01 06:02","12","SSW","20"
"2018-03-01 06:22","9","S","24"
"2018-03-01 06:42","5","N","22"
"2018-03-01 07:02","2","NNE","7"
"2018-03-01 07:22","11","NNE","32"
"2018-03-01 08:42","31","NE","60"
"2018-03-01 09:02","25","NE","68"
"2018-03-01 09:22","6","NE","49"
"2018-03-01 09:42","18","ENE","37"
"2018-03-01 10:02","25","ENE","57"
"2018-03-01 10:42","22","ENE","90"
"2018-03-01 11:02","7","ENE","33"
"2018-03-01 11:22","4","NE","11"
"2018-03-01 11:42","4","NE","12"
"2018-03-01 12:02","3","E","11"
"2018-03-01 12:22","6","E","26"
"2018-03-01 12:42","3","ENE","13"
"2018-03-01 13:02","7","ENE","50"
"2018-03-01 13:22","17","ENE","159"
"2018-03-01 13:42","13","ENE","74"
"2018-03-01 14:02","19","NE","137"
"2018-03-01 14:22","77","NE","176"
"2018-03-01 14:42","57","NE","153"
"2018-03-01 15:02","54","ENE","100"
"2018-03-01 15:22","66","ENE","145"
"2018-03-01 15:42","19","ENE","89"
"2018-03-01 16:02","30","ENE","99"
"2018-03-01 16:22","33","ENE","84"
"2018-03-01 16:42","22","ENE","69"
"2018-03-01 17:02","9","ENE","36"
"2018-03-01 17:22","8","ENE","31"
"2018-03-01 17:42","16","NE","56"
"2018-03-01 18:02","16","NE","56"
"2018-03-01 18:22","25","NE","66"
"2018-03-01 18:42","55","NE","79"
"2018-03-01 19:02","37","NE","91"
"2018-03-01 19:22","52","NE","110"
"2018-03-01 19:42","68","NE","130"
"2018-03-01 20:02","46","NNE","103"
"2018-03-01 20:22","65","NNE","129"
"2018-03-01 20:42","48","NNE","191"
"2018-03-01 21:02","47","NNE","148"
"2018-03-01 21:22","87","NNE","178"
"2018-03-01 21:42","91","NNE","172"
"2018-03-01 22:02","89","NNE","170"
"2018-03-01 22:22","34","NNE","137"
"2018-03-01 22:42","42","NNE","120"
"2018-03-01 23:02","110","NNE","173"
"2018-03-01 23:22","82","NNE","153"
"2018-03-01 23:42","93","NNE","164"
"2018-03-02 00:02","125","NNE","203"
"2018-03-02 00:22","45","NNE","127"
"2018-03-02 00:42","124","NNE","159"
"2018-03-02 01:02","116","NNE","162"
"2018-03-02 01:22","55","N","142"
"2018-03-02 01:42","64","N","138"
"2018-03-02 02:02","58","N","118"
"2018-03-02 02:22","54","NNE","142"
"2018-03-02 02:42","52","N","138"
"2018-03-02 03:02","44","N","152"
"2018-03-02 03:22","31","N","171"
"2018-03-02 03:42","49","N","143"
"2018-03-02 04:02","44","N","166"
"2018-03-02 04:22","42","N","143"
"2018-03-02 04:42","22","N","103"
"2018-03-02 05:02","35","N","147"
"2018-03-02 05:22","35","N","110"
"2018-03-02 05:42","31","N","126"
"2018-03-02 06:02","19","N","132"
"2018-03-02 06:22","33","N","92"
"2018-03-02 06:42","19","N","103"
"2018-03-02 07:02","14","N","95"
"2018-03-02 07:22","5","N","36"
"2018-03-02 07:42","7","N","75"
"2018-03-02 08:02","21","N","93"
"2018-03-02 08:22","10","N","60"
"2018-03-02 08:42","60","NNW","90"
"2018-03-02 09:02","3","NNW","82"
"2018-03-02 09:22","6","N","114"
"2018-03-02 09:42","8","NNW","149"
"2018-03-02 10:02","14","NNW","106"
"2018-03-02 10:22","7","N","33"
"2018-03-02 10:42","30","N","144"
"2018-03-02 11:02","28","N","86"
"2018-03-02 11:22","16","N","112"
"2018-03-02 11:42","14","N","58"
"2018-03-02 12:02","11","N","74"
"2018-03-02 12:22","27","N","102"
"2018-03-02 12:42","36","NNW","105"
"2018-03-02 13:02","42","N","159"
"2018-03-02 13:22","42","NW","133"
"2018-03-02 13:42","44","NNW","167"
"2018-03-02 14:02","110","NW","207"
"2018-03-02 14:22","66","NNW","180"
"2018-03-02 14:42","100","NW","157"
"2018-03-02 15:02","99","NW","176"
"2018-03-02 15:22","119","NW","166"
"2018-03-02 15:42","110","NNW","171"
