"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:00","14","SW","1"
"2017-12-01 00:10","14","SW","1"
"2017-12-01 00:20","15","SW","2"
"2017-12-01 00:30","15","SW","2"
"2017-12-01 00:40","14","SW","2"
"2017-12-01 00:50","13","SW","2"
"2017-12-01 01:00","16","SW","2"
"2017-12-01 01:10","14","SW","2"
"2017-12-01 01:20","14","SW","2"
"2017-12-01 01:30","10","SW","1"
"2017-12-01 01:40","12","SW","1"
"2017-12-01 01:50","9","SW","1"
"2017-12-01 02:00","9","SW","1"
"2017-12-01 02:10","9","SW","1"
"2017-12-01 02:20","8","SW","1"
"2017-12-01 02:30","7","WSW","1"
"2017-12-01 02:40","8","SW","1"
"2017-12-01 02:50","8","WSW","1"
"2017-12-01 03:00","9","WSW","1"
"2017-12-01 03:10","9","WSW","1"
"2017-12-01 03:20","6","WSW","1"
"2017-12-01 03:30","6","WSW","1"
"2017-12-01 03:40","5","NW","1"
"2017-12-01 03:50","14","W","2"
"2017-12-01 04:00","11","WSW","2"
"2017-12-01 04:10","11","W","2"
"2017-12-01 04:20","8","WSW","1"
"2017-12-01 04:30","8","W","1"
"2017-12-01 04:40","3","W","1"
"2017-12-01 04:50","7","W","1"
"2017-12-01 05:00","9","W","1"
"2017-12-01 05:10","6","W","1"
"2017-12-01 05:20","7","W","1"
"2017-12-01 05:30","4","W","1"
"2017-12-01 05:40","4","W","1"
"2017-12-01 05:50","3","W","1"
"2017-12-01 06:00","2","W","1"
"2017-12-01 06:10","1","W","0"
"2017-12-01 06:20","0","W","1"
"2017-12-01 06:30","0","W","0"
"2017-12-01 06:40","3","W","1"
"2017-12-01 06:50","2","W","0"
"2017-12-01 07:00","0","NW","1"
"2017-12-01 07:10","0","W","0"
"2017-12-01 07:20","0","NW","0"
"2017-12-01 07:30","0","WNW","0"
"2017-12-01 07:40","0","WNW","0"
"2017-12-01 07:50","0","W","0"
"2017-12-01 08:00","1","W","1"
"2017-12-01 08:10","1","W","0"
"2017-12-01 08:20","3","W","1"
"2017-12-01 08:30","5","W","1"
"2017-12-01 08:40","8","W","1"
"2017-12-01 08:50","3","W","1"
"2017-12-01 09:00","7","W","1"
"2017-12-01 09:10","3","W","1"
"2017-12-01 09:20","6","W","1"
"2017-12-01 09:30","0","W","1"
"2017-12-01 09:40","3","WNW","1"
"2017-12-01 09:50","2","WNW","1"
"2017-12-01 10:00","1","WNW","1"
"2017-12-01 10:10","1","WNW","0"
"2017-12-01 10:20","3","WNW","1"
"2017-12-01 10:30","3","WNW","1"
"2017-12-01 10:40","3","WNW","1"
"2017-12-01 10:50","2","W","1"
"2017-12-01 11:00","3","WNW","1"
"2017-12-01 11:10","3","WNW","1"
"2017-12-01 11:20","7","W","1"
"2017-12-01 11:30","0","WNW","1"
"2017-12-01 11:40","1","WNW","1"
"2017-12-01 11:50","2","WNW","1"
"2017-12-01 12:00","0","WNW","1"
"2017-12-01 12:10","1","W","1"
"2017-12-01 12:20","3","NW","1"
"2017-12-01 12:30","0","NE","0"
"2017-12-01 12:40","4","SSE","1"
"2017-12-01 12:50","1","ESE","0"
"2017-12-01 13:00","0","WNW","0"
"2017-12-01 13:10","0","W","0"
"2017-12-01 13:20","0","NNE","0"
"2017-12-01 13:30","2","WNW","1"
"2017-12-01 13:40","3","SSW","1"
"2017-12-01 13:50","0","W","0"
"2017-12-01 14:00","1","WSW","0"
"2017-12-01 14:10","0","W","0"
"2017-12-01 14:20","1","W","1"
"2017-12-01 14:30","0","W","0"
"2017-12-01 14:40","0","WNW","0"
"2017-12-01 14:50","0","SW","0"
"2017-12-01 15:00","0","W","0"
"2017-12-01 15:10","0","W","0"
"2017-12-01 15:20","0","WSW","0"
"2017-12-01 15:30","0","NE","0"
"2017-12-01 15:40","0","NNE","0"
"2017-12-01 15:50","0","NNE","0"
"2017-12-01 16:00","0","NE","0"
"2017-12-01 16:10","0","NE","0"
"2017-12-01 16:20","0","ENE","0"
"2017-12-01 16:30","0","ENE","0"
"2017-12-01 16:40","0","SE","0"
