"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-02-01 00:00","0","E","0"
"2018-02-01 00:10","0","E","0"
"2018-02-01 00:20","0","ESE","0"
"2018-02-01 00:30","0","ESE","0"
"2018-02-01 00:40","0","E","0"
"2018-02-01 00:50","0","ESE","0"
"2018-02-01 01:00","0","SE","0"
"2018-02-01 01:10","0","SE","0"
"2018-02-01 01:20","0","E","0"
"2018-02-01 01:30","0","E","0"
"2018-02-01 01:40","0","ESE","0"
"2018-02-01 01:50","0","ESE","0"
"2018-02-01 02:00","0","ESE","0"
"2018-02-01 02:10","0","SE","0"
"2018-02-01 02:20","0","ESE","0"
"2018-02-01 02:30","0","SE","0"
"2018-02-01 02:40","0","SE","0"
"2018-02-01 02:50","0","SSE","0"
"2018-02-01 03:00","0","SSE","0"
"2018-02-01 03:10","1","SSE","1"
"2018-02-01 03:20","0","SSE","0"
"2018-02-01 03:30","1","S","0"
"2018-02-01 03:40","0","SSE","0"
"2018-02-01 03:50","2","SSE","1"
"2018-02-01 04:00","4","SSE","1"
"2018-02-01 04:10","1","SSE","1"
"2018-02-01 04:20","4","SSE","1"
"2018-02-01 04:30","3","SSE","1"
"2018-02-01 04:40","7","SSE","1"
"2018-02-01 04:50","6","S","1"
"2018-02-01 05:00","7","S","1"
"2018-02-01 05:10","5","SSE","1"
"2018-02-01 05:20","3","S","1"
"2018-02-01 05:30","3","S","1"
"2018-02-01 05:40","5","S","1"
"2018-02-01 05:50","2","S","1"
"2018-02-01 06:00","4","S","1"
"2018-02-01 06:10","2","S","2"
"2018-02-01 06:20","9","S","1"
"2018-02-01 06:30","5","S","1"
"2018-02-01 06:40","7","SSE","2"
"2018-02-01 06:50","10","S","1"
"2018-02-01 07:00","7","SSE","1"
"2018-02-01 07:10","7","SSE","1"
"2018-02-01 07:20","6","SSE","1"
"2018-02-01 07:30","8","SSE","2"
"2018-02-01 07:40","9","SSE","2"
"2018-02-01 07:50","10","SSE","1"
"2018-02-01 08:00","9","SSE","1"
"2018-02-01 08:10","8","S","1"
"2018-02-01 08:20","11","SSE","1"
"2018-02-01 08:30","12","SSE","2"
"2018-02-01 08:40","11","SSE","2"
"2018-02-01 08:50","13","S","2"
"2018-02-01 09:00","9","S","1"
"2018-02-01 09:10","10","SSE","2"
"2018-02-01 09:20","13","SSE","2"
"2018-02-01 09:30","14","SSE","2"
"2018-02-01 09:40","10","SSE","2"
"2018-02-01 09:50","14","SSE","2"
"2018-02-01 10:00","10","SSE","2"
"2018-02-01 10:10","15","SSE","2"
"2018-02-01 10:20","14","S","2"
"2018-02-01 10:30","9","S","2"
"2018-02-01 10:40","12","S","3"
"2018-02-01 10:50","17","S","2"
"2018-02-01 11:00","21","SSW","3"
"2018-02-01 11:10","17","SSW","3"
"2018-02-01 11:20","17","SSW","3"
"2018-02-01 11:30","18","S","3"
"2018-02-01 11:40","17","SSW","3"
"2018-02-01 11:50","18","SSW","3"
"2018-02-01 12:00","20","SSW","3"
"2018-02-01 12:10","17","SSW","3"
"2018-02-01 12:20","14","SSW","3"
"2018-02-01 12:30","17","SSW","3"
"2018-02-01 12:40","17","SSW","3"
"2018-02-01 12:50","18","SSW","3"
"2018-02-01 13:00","18","S","3"
"2018-02-01 13:10","15","SSW","3"
"2018-02-01 13:20","18","SSW","2"
"2018-02-01 13:30","21","SSW","3"
"2018-02-01 13:40","17","SSW","3"
"2018-02-01 13:50","14","SSW","3"
"2018-02-01 14:00","14","SSW","3"
"2018-02-01 14:10","15","SSW","3"
"2018-02-01 14:20","14","SSW","3"
"2018-02-01 14:30","16","SSW","3"
"2018-02-01 14:40","15","SSW","2"
"2018-02-01 14:50","13","SSW","2"
"2018-02-01 15:00","15","SSW","3"
"2018-02-01 15:10","14","SSW","2"
"2018-02-01 15:20","17","SSW","2"
"2018-02-01 15:30","15","SSW","2"
"2018-02-01 15:40","13","SSW","2"
"2018-02-01 15:50","12","SW","2"
"2018-02-01 16:00","26","SW","4"
"2018-02-01 16:10","25","SW","3"
"2018-02-01 16:20","17","SW","3"
"2018-02-01 16:30","16","WSW","3"
"2018-02-01 16:40","15","WNW","2"
"2018-02-01 16:50","14","W","2"
"2018-02-01 17:00","14","NW","3"
"2018-02-01 17:10","12","WNW","2"
"2018-02-01 17:20","7","WNW","2"
"2018-02-01 17:30","4","WNW","1"
"2018-02-01 17:40","4","WNW","1"
"2018-02-01 17:50","6","WNW","1"
"2018-02-01 18:00","6","WNW","1"
"2018-02-01 18:10","3","WNW","1"
"2018-02-01 18:20","9","WNW","1"
"2018-02-01 18:30","8","WNW","2"
"2018-02-01 18:40","7","WNW","3"
"2018-02-01 18:50","9","WNW","1"
"2018-02-01 19:00","8","WNW","1"
"2018-02-01 19:10","17","WNW","3"
"2018-02-01 19:20","17","WNW","2"
"2018-02-01 19:30","16","WNW","2"
"2018-02-01 19:40","13","NW","2"
"2018-02-01 19:50","15","WNW","3"
"2018-02-01 20:00","12","WNW","2"
"2018-02-01 20:10","13","WNW","2"
"2018-02-01 20:20","8","WNW","2"
"2018-02-01 20:30","6","WNW","2"
"2018-02-01 20:40","11","WNW","2"
"2018-02-01 20:50","12","WNW","2"
"2018-02-01 21:00","8","WNW","2"
"2018-02-01 21:10","9","WNW","2"
"2018-02-01 21:20","7","W","1"
"2018-02-01 21:30","9","WNW","1"
"2018-02-01 21:40","15","WNW","2"
"2018-02-01 21:50","11","WNW","3"
"2018-02-01 22:00","14","WNW","3"
"2018-02-01 22:10","15","W","3"
"2018-02-01 22:20","16","NW","2"
"2018-02-01 22:30","14","W","3"
"2018-02-01 22:40","13","W","2"
"2018-02-01 22:50","15","NW","3"
"2018-02-01 23:00","11","WNW","2"
"2018-02-01 23:10","5","W","2"
"2018-02-01 23:20","9","WNW","2"
"2018-02-01 23:30","15","WNW","3"
"2018-02-01 23:40","8","WNW","2"
"2018-02-01 23:50","14","NW","2"
"2018-02-02 00:00","13","NW","2"
"2018-02-02 00:10","10","WNW","2"
"2018-02-02 00:20","11","WNW","2"
"2018-02-02 00:30","9","WNW","2"
"2018-02-02 00:40","7","NW","2"
"2018-02-02 00:50","8","WNW","2"
"2018-02-02 01:00","7","WNW","2"
"2018-02-02 01:10","13","WNW","2"
"2018-02-02 01:20","7","W","2"
"2018-02-02 01:30","12","WNW","2"
"2018-02-02 01:40","12","NW","2"
"2018-02-02 01:50","15","WNW","2"
"2018-02-02 02:00","14","WNW","2"
"2018-02-02 02:10","13","NW","3"
"2018-02-02 02:20","12","WNW","2"
"2018-02-02 02:30","9","WNW","2"
"2018-02-02 02:40","5","WNW","2"
"2018-02-02 02:50","5","WSW","2"
"2018-02-02 03:00","11","NW","2"
"2018-02-02 03:10","10","WNW","2"
"2018-02-02 03:20","12","WNW","2"
"2018-02-02 03:30","8","NW","2"
