"Time EST","Pressure (kPa)"
"2018-01-01 00:00","101.04"
"2018-01-01 00:10","101.04"
"2018-01-01 00:20","101.03"
"2018-01-01 00:30","101.03"
"2018-01-01 00:40","101.03"
"2018-01-01 00:50","101.03"
"2018-01-01 01:00","101.03"
"2018-01-01 01:10","101.03"
"2018-01-01 01:20","101.03"
"2018-01-01 01:30","101.03"
"2018-01-01 01:40","101.03"
"2018-01-01 01:50","101.05"
"2018-01-01 02:00","101.06"
"2018-01-01 02:10","101.06"
"2018-01-01 02:20","101.05"
"2018-01-01 02:30","101.06"
"2018-01-01 02:40","101.07"
"2018-01-01 02:50","101.06"
"2018-01-01 03:00","101.06"
"2018-01-01 03:10","101.05"
"2018-01-01 03:20","101.06"
"2018-01-01 03:30","101.05"
"2018-01-01 03:40","101.05"
"2018-01-01 03:50","101.03"
"2018-01-01 04:00","101.02"
"2018-01-01 04:10","101.02"
"2018-01-01 04:20","101.02"
"2018-01-01 04:30","101.01"
"2018-01-01 04:40","100.99"
"2018-01-01 04:50","100.99"
"2018-01-01 05:00","100.99"
"2018-01-01 05:10","100.97"
"2018-01-01 05:20","100.97"
"2018-01-01 05:30","100.97"
"2018-01-01 05:40","100.97"
"2018-01-01 05:50","100.98"
"2018-01-01 06:00","100.99"
"2018-01-01 06:10","100.98"
"2018-01-01 06:20","100.98"
"2018-01-01 06:30","100.98"
"2018-01-01 06:40","101.00"
"2018-01-01 06:50","101.00"
"2018-01-01 07:00","101.02"
"2018-01-01 07:10","101.04"
"2018-01-01 07:20","101.05"
"2018-01-01 07:30","101.05"
"2018-01-01 07:40","101.05"
"2018-01-01 07:50","101.05"
"2018-01-01 08:00","101.04"
"2018-01-01 08:10","101.04"
"2018-01-01 08:20","101.06"
"2018-01-01 08:30","101.06"
"2018-01-01 08:40","101.07"
"2018-01-01 08:50","101.05"
"2018-01-01 09:00","101.06"
"2018-01-01 09:10","101.07"
"2018-01-01 09:20","101.09"
"2018-01-01 09:30","101.09"
"2018-01-01 09:40","101.10"
"2018-01-01 09:50","101.09"
"2018-01-01 10:00","101.09"
"2018-01-01 10:10","101.08"
"2018-01-01 10:20","101.07"
"2018-01-01 10:30","101.07"
"2018-01-01 10:40","101.06"
"2018-01-01 10:50","101.05"
"2018-01-01 11:00","101.03"
"2018-01-01 11:10","101.02"
"2018-01-01 11:20","101.00"
"2018-01-01 11:30","100.97"
"2018-01-01 11:40","100.95"
"2018-01-01 11:50","100.94"
"2018-01-01 12:00","100.92"
"2018-01-01 12:10","100.90"
"2018-01-01 12:20","100.89"
"2018-01-01 12:30","100.87"
"2018-01-01 12:40","100.85"
"2018-01-01 12:50","100.83"
"2018-01-01 13:00","100.80"
"2018-01-01 13:10","100.79"
"2018-01-01 13:20","100.77"
"2018-01-01 13:30","100.75"
"2018-01-01 13:40","100.75"
"2018-01-01 13:50","100.74"
"2018-01-01 14:00","100.73"
"2018-01-01 14:10","100.72"
"2018-01-01 14:20","100.72"
"2018-01-01 14:30","100.72"
"2018-01-01 14:40","100.70"
"2018-01-01 14:50","100.70"
"2018-01-01 15:00","100.70"
"2018-01-01 15:10","100.70"
"2018-01-01 15:20","100.70"
"2018-01-01 15:30","100.69"
"2018-01-01 15:40","100.68"
"2018-01-01 15:50","100.68"
"2018-01-01 16:00","100.69"
"2018-01-01 16:10","100.68"
"2018-01-01 16:20","100.67"
"2018-01-01 16:30","100.67"
"2018-01-01 16:40","100.67"
"2018-01-01 16:50","100.67"
"2018-01-01 17:00","100.67"
"2018-01-01 17:10","100.68"
"2018-01-01 17:20","100.67"
"2018-01-01 17:30","100.67"
"2018-01-01 17:40","100.67"
"2018-01-01 17:50","100.68"
"2018-01-01 18:00","100.69"
"2018-01-01 18:10","100.69"
"2018-01-01 18:20","100.70"
"2018-01-01 18:30","100.69"
"2018-01-01 18:40","100.69"
"2018-01-01 18:50","100.69"
"2018-01-01 19:00","100.69"
"2018-01-01 19:10","100.69"
"2018-01-01 19:20","100.71"
"2018-01-01 19:30","100.69"
"2018-01-01 19:40","100.70"
"2018-01-01 19:50","100.69"
"2018-01-01 20:00","100.70"
"2018-01-01 20:10","100.70"
"2018-01-01 20:20","100.72"
"2018-01-01 20:30","100.72"
"2018-01-01 20:40","100.72"
"2018-01-01 20:50","100.73"
"2018-01-01 21:00","100.75"
"2018-01-01 21:10","100.75"
"2018-01-01 21:20","100.75"
"2018-01-01 21:30","100.76"
"2018-01-01 21:40","100.77"
"2018-01-01 21:50","100.77"
"2018-01-01 22:00","100.78"
"2018-01-01 22:10","100.79"
"2018-01-01 22:20","100.78"
"2018-01-01 22:30","100.78"
"2018-01-01 22:40","100.78"
"2018-01-01 22:50","100.80"
"2018-01-01 23:00","100.81"
"2018-01-01 23:10","100.81"
"2018-01-01 23:20","100.82"
"2018-01-01 23:30","100.82"
"2018-01-01 23:40","100.82"
"2018-01-01 23:50","100.82"
"2018-01-02 00:00","100.82"
"2018-01-02 00:10","100.83"
"2018-01-02 00:20","100.84"
"2018-01-02 00:30","100.83"
"2018-01-02 00:40","100.84"
"2018-01-02 00:50","100.84"
"2018-01-02 01:00","100.83"
"2018-01-02 01:10","100.82"
"2018-01-02 01:20","100.81"
"2018-01-02 01:30","100.80"
"2018-01-02 01:40","100.80"
"2018-01-02 01:50","100.80"
"2018-01-02 02:00","100.80"
"2018-01-02 02:10","100.81"
"2018-01-02 02:20","100.80"
"2018-01-02 02:30","100.81"
"2018-01-02 02:40","100.82"
"2018-01-02 02:50","100.84"
"2018-01-02 03:00","100.83"
"2018-01-02 03:10","100.83"
"2018-01-02 03:20","100.83"
"2018-01-02 03:30","100.83"
"2018-01-02 03:40","100.83"
"2018-01-02 03:50","100.83"
"2018-01-02 04:00","100.83"
"2018-01-02 04:10","100.82"
"2018-01-02 04:20","100.80"
"2018-01-02 04:30","100.79"
"2018-01-02 04:40","100.78"
"2018-01-02 04:50","100.77"
"2018-01-02 05:00","100.77"
"2018-01-02 05:10","100.76"
"2018-01-02 05:20","100.75"
"2018-01-02 05:30","100.75"
"2018-01-02 05:40","100.74"
"2018-01-02 05:50","100.74"
"2018-01-02 06:00","100.73"
"2018-01-02 06:10","100.72"
"2018-01-02 06:20","100.72"
"2018-01-02 06:30","100.68"
"2018-01-02 06:40","100.69"
"2018-01-02 06:50","100.68"
"2018-01-02 07:00","100.69"
"2018-01-02 07:10","100.66"
"2018-01-02 07:20","100.63"
"2018-01-02 07:30","100.59"
"2018-01-02 07:40","100.56"
"2018-01-02 07:50","100.56"
"2018-01-02 08:00","100.58"
"2018-01-02 08:10","100.53"
"2018-01-02 08:20","100.50"
"2018-01-02 08:30","100.50"
"2018-01-02 08:40","100.50"
"2018-01-02 08:50","100.50"
"2018-01-02 09:00","100.48"
"2018-01-02 09:10","100.47"
"2018-01-02 09:20","100.45"
"2018-01-02 09:30","100.42"
"2018-01-02 09:40","100.41"
"2018-01-02 09:50","100.39"
"2018-01-02 10:00","100.37"
"2018-01-02 10:10","100.35"
"2018-01-02 10:20","100.34"
"2018-01-02 10:30","100.33"
"2018-01-02 10:40","100.30"
"2018-01-02 10:50","100.27"
"2018-01-02 11:00","100.22"
"2018-01-02 11:10","100.18"
"2018-01-02 11:20","100.17"
"2018-01-02 11:30","100.14"
"2018-01-02 11:40","100.12"
"2018-01-02 11:50","100.09"
"2018-01-02 12:00","100.06"
"2018-01-02 12:10","100.02"
"2018-01-02 12:20","99.99"
"2018-01-02 12:30","99.96"
"2018-01-02 12:40","99.94"
"2018-01-02 12:50","99.91"
"2018-01-02 13:00","99.89"
"2018-01-02 13:10","99.86"
"2018-01-02 13:20","99.84"
"2018-01-02 13:30","99.81"
"2018-01-02 13:40","99.79"
"2018-01-02 13:50","99.76"
"2018-01-02 14:00","99.76"
"2018-01-02 14:10","99.75"
"2018-01-02 14:20","99.74"
"2018-01-02 14:30","99.74"
"2018-01-02 14:40","99.74"
"2018-01-02 14:50","99.74"
"2018-01-02 15:00","99.72"
"2018-01-02 15:10","99.72"
"2018-01-02 15:20","99.72"
"2018-01-02 15:30","99.71"
"2018-01-02 15:40","99.73"
"2018-01-02 15:50","99.72"
"2018-01-02 16:00","99.74"
"2018-01-02 16:10","99.75"
"2018-01-02 16:20","99.75"
"2018-01-02 16:30","99.76"
"2018-01-02 16:40","99.75"
"2018-01-02 16:50","99.76"
"2018-01-02 17:00","99.77"
"2018-01-02 17:10","99.78"
"2018-01-02 17:20","99.78"
"2018-01-02 17:30","99.78"
"2018-01-02 17:40","99.79"
"2018-01-02 17:50","99.80"
"2018-01-02 18:00","99.81"
"2018-01-02 18:10","99.81"
"2018-01-02 18:20","99.81"
"2018-01-02 18:30","99.82"
"2018-01-02 18:40","99.83"
"2018-01-02 18:50","99.84"
"2018-01-02 19:00","99.85"
"2018-01-02 19:10","99.85"
"2018-01-02 19:20","99.86"
"2018-01-02 19:30","99.86"
"2018-01-02 19:40","99.86"
"2018-01-02 19:50","99.86"
"2018-01-02 20:00","99.86"
"2018-01-02 20:10","99.85"
"2018-01-02 20:20","99.85"
"2018-01-02 20:30","99.85"
"2018-01-02 20:40","99.84"
"2018-01-02 20:50","99.82"
"2018-01-02 21:00","99.83"
"2018-01-02 21:10","99.84"
"2018-01-02 21:20","99.83"
"2018-01-02 21:30","99.84"
"2018-01-02 21:40","99.83"
"2018-01-02 21:50","99.83"
"2018-01-02 22:00","99.84"
"2018-01-02 22:10","99.84"
"2018-01-02 22:20","99.86"
"2018-01-02 22:30","99.85"
"2018-01-02 22:40","99.86"
"2018-01-02 22:50","99.87"
"2018-01-02 23:00","99.87"
"2018-01-02 23:10","99.88"
"2018-01-02 23:20","99.87"
"2018-01-02 23:30","99.87"
"2018-01-02 23:40","99.87"
"2018-01-02 23:50","99.87"
"2018-01-03 00:00","99.86"
"2018-01-03 00:10","99.87"
"2018-01-03 00:20","99.86"
"2018-01-03 00:30","99.86"
"2018-01-03 00:40","99.86"
"2018-01-03 00:50","99.87"
"2018-01-03 01:00","99.89"
"2018-01-03 01:10","99.88"
"2018-01-03 01:20","99.88"
"2018-01-03 01:30","99.89"
"2018-01-03 01:40","99.90"
"2018-01-03 01:50","99.91"
"2018-01-03 02:00","99.91"
"2018-01-03 02:10","99.91"
"2018-01-03 02:20","99.93"
"2018-01-03 02:30","99.93"
"2018-01-03 02:40","99.93"
"2018-01-03 02:50","99.93"
