"Time EST","Air Temp (°C)","Dew Point (°C)","Relative Humidity (%)"
"2018-03-01 00:00","1.2","-0.2","897"
"2018-03-01 00:10","1.2","-0.2","897"
"2018-03-01 00:20","1.2","-0.1","897"
"2018-03-01 00:30","1.3","-0.2","896"
"2018-03-01 00:40","1.3","-0.2","894"
"2018-03-01 00:50","1.3","-0.2","891"
"2018-03-01 01:00","1.3","-0.2","887"
"2018-03-01 01:10","1.3","-0.3","882"
"2018-03-01 01:20","1.3","-0.4","878"
"2018-03-01 01:30","1.3","-0.5","874"
"2018-03-01 01:40","1.1","-0.7","870"
"2018-03-01 01:50","1.1","-0.7","872"
"2018-03-01 02:00","1.1","-0.6","874"
"2018-03-01 02:10","1.1","-0.6","876"
"2018-03-01 02:20","1.1","-0.6","877"
"2018-03-01 02:30","1.1","-0.7","875"
"2018-03-01 02:40","1.0","-0.8","870"
"2018-03-01 02:50","1.0","-0.9","864"
"2018-03-01 03:00","1.0","-1.1","855"
"2018-03-01 03:10","1.0","-1.0","853"
"2018-03-01 03:20","1.0","-1.1","854"
"2018-03-01 03:30","1.0","-1.1","853"
"2018-03-01 03:40","0.9","-1.3","844"
"2018-03-01 03:50","0.9","-1.4","841"
"2018-03-01 04:00","0.8","-1.5","840"
"2018-03-01 04:10","0.7","-1.6","840"
"2018-03-01 04:20","0.5","-1.8","838"
"2018-03-01 04:30","0.2","-2.1","840"
"2018-03-01 04:40","0.0","-2.4","840"
"2018-03-01 04:50","-0.2","-2.5","847"
"2018-03-01 05:00","-0.4","-2.6","849"
"2018-03-01 05:10","-0.6","-2.7","857"
"2018-03-01 05:20","-0.8","-2.7","864"
"2018-03-01 05:30","-0.9","-2.8","866"
"2018-03-01 05:40","-1.0","-2.9","871"
"2018-03-01 05:50","-1.1","-2.9","875"
"2018-03-01 06:00","-1.2","-3.0","880"
"2018-03-01 06:10","-1.2","-2.9","888"
"2018-03-01 06:20","-1.2","-2.8","892"
"2018-03-01 06:30","-1.3","-2.8","893"
"2018-03-01 06:40","-1.4","-2.9","894"
"2018-03-01 06:50","-1.4","-2.9","898"
"2018-03-01 07:00","-1.0","-2.3","908"
"2018-03-01 07:10","-0.6","-1.9","903"
"2018-03-01 07:20","-0.1","-1.6","894"
"2018-03-01 08:10","1.3","-1.1","831"
"2018-03-01 08:20","1.2","-1.3","827"
"2018-03-01 08:30","1.5","-1.2","817"
"2018-03-01 08:40","2.1","-0.9","803"
"2018-03-01 08:50","2.1","-1.1","787"
"2018-03-01 09:00","2.3","-0.9","784"
"2018-03-01 09:10","2.6","-1.1","762"
"2018-03-01 09:20","2.5","-1.4","750"
"2018-03-01 09:30","3.2","-0.9","738"
"2018-03-01 09:40","3.1","-1.2","728"
"2018-03-01 09:50","3.8","-0.8","715"
"2018-03-01 10:00","4.0","-1.2","685"
"2018-03-01 10:10","3.9","-1.8","662"
"2018-03-01 10:20","4.0","-2.1","640"
"2018-03-01 10:30","4.4","-2.2","614"
"2018-03-01 10:40","5.0","-1.9","601"
"2018-03-01 10:50","5.2","-1.9","595"
"2018-03-01 11:00","5.2","-2.4","573"
"2018-03-01 11:10","5.3","-2.5","563"
"2018-03-01 11:20","5.8","-2.4","550"
"2018-03-01 11:30","5.6","-3.1","534"
"2018-03-01 11:40","6.2","-3.1","511"
"2018-03-01 11:50","5.9","-3.1","522"
"2018-03-01 12:00","5.9","-3.8","494"
"2018-03-01 12:10","6.4","-3.1","502"
"2018-03-01 12:20","7.1","-3.4","467"
"2018-03-01 12:30","6.8","-3.7","470"
"2018-03-01 12:40","7.6","-3.3","454"
"2018-03-01 12:50","8.0","-4.0","420"
"2018-03-01 13:00","7.8","-3.6","440"
"2018-03-01 13:10","7.3","-4.0","442"
"2018-03-01 13:20","7.8","-2.3","483"
"2018-03-01 13:30","7.7","-3.0","463"
"2018-03-01 13:40","7.7","-4.1","425"
"2018-03-01 13:50","8.3","-3.9","414"
"2018-03-01 14:00","7.3","-5.7","386"
"2018-03-01 14:10","7.1","-5.1","412"
"2018-03-01 14:20","7.7","-4.7","408"
"2018-03-01 14:30","7.7","-2.5","479"
"2018-03-01 14:40","7.2","-4.8","417"
"2018-03-01 14:50","7.1","-4.7","424"
"2018-03-01 15:00","6.8","-5.3","414"
"2018-03-01 15:10","6.8","-5.4","411"
"2018-03-01 15:20","6.5","-6.4","390"
"2018-03-01 15:30","6.0","-6.1","412"
"2018-03-01 15:40","6.2","-5.5","425"
"2018-03-01 15:50","6.2","-4.8","450"
"2018-03-01 16:00","6.0","-5.3","438"
"2018-03-01 16:10","5.2","-5.2","468"
"2018-03-01 16:20","4.8","-4.9","487"
"2018-03-01 16:30","4.5","-4.8","505"
"2018-03-01 16:40","4.3","-4.7","518"
"2018-03-01 16:50","4.1","-4.0","550"
"2018-03-01 17:00","3.8","-3.6","581"
"2018-03-01 17:10","3.3","-3.5","604"
"2018-03-01 17:20","2.8","-3.7","618"
"2018-03-01 17:30","2.4","-3.6","642"
"2018-03-01 17:40","2.0","-3.6","659"
"2018-03-01 17:50","1.8","-3.9","656"
"2018-03-01 18:00","1.6","-3.7","672"
"2018-03-01 18:10","1.3","-3.9","678"
"2018-03-01 18:20","1.1","-3.8","693"
"2018-03-01 18:30","1.0","-3.8","696"
"2018-03-01 18:40","0.8","-3.9","703"
"2018-03-01 18:50","0.6","-3.9","711"
"2018-03-01 19:00","0.5","-3.9","718"
"2018-03-01 19:10","0.4","-3.9","720"
"2018-03-01 19:20","0.4","-3.9","722"
"2018-03-01 19:30","0.4","-3.9","723"
"2018-03-01 19:40","0.4","-3.8","724"
"2018-03-01 19:50","0.5","-3.8","726"
"2018-03-01 20:00","0.5","-3.8","725"
"2018-03-01 20:10","0.5","-3.8","727"
"2018-03-01 20:20","0.5","-3.7","729"
"2018-03-01 20:30","0.6","-3.6","731"
"2018-03-01 20:40","0.6","-3.5","732"
"2018-03-01 20:50","0.6","-3.4","737"
"2018-03-01 21:00","0.6","-3.4","738"
"2018-03-01 21:10","0.6","-3.5","732"
"2018-03-01 21:20","0.6","-3.5","731"
"2018-03-01 21:30","0.5","-3.5","737"
"2018-03-01 21:40","0.5","-3.5","739"
"2018-03-01 21:50","0.4","-3.5","741"
"2018-03-01 22:00","0.4","-3.6","742"
"2018-03-01 22:10","0.2","-3.6","749"
"2018-03-01 22:20","0.0","-3.7","753"
"2018-03-01 22:30","0.0","-4.1","735"
"2018-03-01 22:40","0.0","-4.0","741"
"2018-03-01 22:50","0.0","-4.1","737"
"2018-03-01 23:00","0.0","-4.3","728"
"2018-03-01 23:10","-0.1","-4.6","715"
"2018-03-01 23:20","-0.1","-4.7","710"
"2018-03-01 23:30","-0.1","-4.7","710"
"2018-03-01 23:40","-0.2","-4.8","710"
"2018-03-01 23:50","-0.3","-4.9","710"
"2018-03-02 00:00","-0.3","-4.8","712"
"2018-03-02 00:10","-0.3","-4.8","712"
"2018-03-02 00:20","-0.3","-4.9","709"
"2018-03-02 00:30","-0.3","-4.9","707"
"2018-03-02 00:40","-0.3","-5.0","704"
"2018-03-02 00:50","-0.3","-5.0","705"
"2018-03-02 01:00","-0.3","-5.0","704"
"2018-03-02 01:10","-0.3","-5.0","704"
"2018-03-02 01:20","-0.2","-5.0","703"
"2018-03-02 01:30","-0.3","-5.0","704"
"2018-03-02 01:40","-0.2","-5.0","699"
"2018-03-02 01:50","-0.1","-5.0","698"
"2018-03-02 02:00","-0.2","-4.9","704"
"2018-03-02 02:10","-0.2","-4.9","705"
"2018-03-02 02:20","-0.3","-4.9","710"
"2018-03-02 02:30","-0.3","-4.9","715"
"2018-03-02 02:40","-0.4","-4.8","718"
"2018-03-02 02:50","-0.4","-4.8","722"
"2018-03-02 03:00","-0.5","-4.8","724"
"2018-03-02 03:10","-0.5","-4.8","727"
"2018-03-02 03:20","-0.6","-4.8","730"
"2018-03-02 03:30","-0.6","-4.8","731"
"2018-03-02 03:40","-0.6","-4.8","731"
"2018-03-02 03:50","-0.6","-4.8","731"
"2018-03-02 04:00","-0.6","-4.9","730"
"2018-03-02 04:10","-0.6","-4.9","727"
"2018-03-02 04:20","-0.6","-4.9","728"
"2018-03-02 04:30","-0.6","-4.9","726"
"2018-03-02 04:40","-0.6","-4.9","725"
"2018-03-02 04:50","-0.6","-4.9","726"
"2018-03-02 05:00","-0.6","-4.9","727"
"2018-03-02 05:10","-0.7","-4.9","729"
"2018-03-02 05:20","-0.7","-4.9","730"
"2018-03-02 05:30","-0.7","-4.9","733"
"2018-03-02 05:40","-0.8","-4.9","735"
"2018-03-02 05:50","-0.8","-4.9","739"
"2018-03-02 06:00","-0.9","-4.9","744"
"2018-03-02 06:10","-1.0","-4.9","747"
"2018-03-02 06:20","-1.1","-5.0","749"
"2018-03-02 06:30","-1.1","-5.0","750"
"2018-03-02 06:40","-1.1","-5.0","750"
"2018-03-02 06:50","-1.2","-5.0","750"
"2018-03-02 07:00","-1.2","-5.1","750"
"2018-03-02 07:10","-1.3","-5.1","752"
"2018-03-02 07:20","-1.3","-5.1","752"
"2018-03-02 07:30","-1.4","-5.2","754"
"2018-03-02 07:40","-1.5","-5.3","754"
"2018-03-02 07:50","-1.5","-5.3","754"
"2018-03-02 08:00","-1.6","-5.4","753"
"2018-03-02 08:10","-1.6","-5.4","750"
"2018-03-02 08:20","-1.6","-5.4","750"
"2018-03-02 08:30","-1.6","-5.6","743"
"2018-03-02 08:40","-1.6","-5.6","739"
"2018-03-02 08:50","-1.6","-5.7","735"
"2018-03-02 09:00","-1.4","-5.6","730"
"2018-03-02 09:10","-1.3","-5.7","721"
"2018-03-02 09:20","-1.3","-5.9","706"
"2018-03-02 09:30","-1.2","-6.0","698"
"2018-03-02 09:40","-1.1","-6.1","688"
"2018-03-02 09:50","-1.0","-6.0","687"
"2018-03-02 10:00","-0.8","-6.1","672"
"2018-03-02 10:10","-0.6","-6.0","667"
"2018-03-02 10:20","-0.5","-6.1","659"
"2018-03-02 10:30","-0.7","-6.3","656"
"2018-03-02 10:40","-0.8","-6.4","658"
"2018-03-02 10:50","-0.9","-6.5","658"
"2018-03-02 11:00","-0.8","-6.3","661"
"2018-03-02 11:10","-0.7","-6.4","653"
"2018-03-02 11:20","-0.5","-6.2","654"
"2018-03-02 11:30","-0.7","-6.5","644"
"2018-03-02 11:40","-0.6","-6.3","656"
"2018-03-02 11:50","-0.6","-6.3","653"
"2018-03-02 12:00","-0.7","-6.3","654"
"2018-03-02 12:10","-0.6","-6.0","664"
"2018-03-02 12:20","-0.4","-6.0","656"
"2018-03-02 12:30","-0.4","-6.0","657"
"2018-03-02 12:40","-0.3","-6.0","654"
"2018-03-02 12:50","-0.2","-6.0","646"
"2018-03-02 13:00","0.0","-5.8","647"
"2018-03-02 13:10","0.0","-5.8","642"
"2018-03-02 13:20","0.1","-5.8","640"
"2018-03-02 13:30","0.0","-5.8","648"
"2018-03-02 13:40","0.0","-5.7","649"
"2018-03-02 13:50","0.0","-5.5","663"
"2018-03-02 14:00","0.0","-5.4","669"
"2018-03-02 14:10","-0.2","-5.4","676"
"2018-03-02 14:20","-0.1","-5.3","681"
"2018-03-02 14:30","-0.1","-5.2","684"
"2018-03-02 14:40","0.0","-5.3","676"
"2018-03-02 14:50","-0.1","-5.3","677"
"2018-03-02 15:00","-0.1","-5.4","675"
"2018-03-02 15:10","-0.2","-5.4","680"
"2018-03-02 15:20","-0.1","-5.4","673"
"2018-03-02 15:30","-0.1","-5.3","675"
"2018-03-02 15:40","0.0","-5.2","672"
"2018-03-02 15:50","0.1","-5.2","669"
"2018-03-02 16:00","0.0","-5.3","666"
"2018-03-02 16:10","0.1","-5.3","664"
"2018-03-02 16:20","0.1","-5.3","666"
"2018-03-02 16:30","0.2","-5.1","669"
"2018-03-02 16:40","0.2","-5.2","667"
"2018-03-02 16:50","0.1","-5.2","670"
"2018-03-02 17:00","0.1","-5.1","675"
"2018-03-02 17:10","0.1","-5.1","678"
"2018-03-02 17:20","0.1","-5.1","679"
"2018-03-02 17:30","0.1","-5.1","678"
"2018-03-02 17:40","0.1","-5.0","680"
"2018-03-02 17:50","0.0","-5.0","683"
"2018-03-02 18:00","0.0","-5.1","678"
"2018-03-02 18:10","0.0","-5.1","681"
