"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-03-01 00:00","6","WNW","1"
"2018-03-01 00:10","6","WNW","1"
"2018-03-01 00:20","2","WNW","1"
"2018-03-01 00:30","5","WNW","1"
"2018-03-01 00:40","8","WNW","1"
"2018-03-01 00:50","9","WNW","1"
"2018-03-01 01:00","4","WNW","1"
"2018-03-01 01:10","3","WNW","1"
"2018-03-01 01:20","8","NW","1"
"2018-03-01 01:30","5","WNW","1"
"2018-03-01 01:40","1","WNW","1"
"2018-03-01 01:50","1","WNW","1"
"2018-03-01 02:00","5","W","1"
"2018-03-01 02:10","8","WNW","1"
"2018-03-01 02:20","6","WNW","1"
"2018-03-01 02:30","8","WNW","1"
"2018-03-01 02:40","11","WNW","2"
"2018-03-01 02:50","9","WNW","1"
"2018-03-01 03:00","8","WNW","2"
"2018-03-01 03:10","3","W","1"
"2018-03-01 03:20","2","WSW","1"
"2018-03-01 03:30","2","W","1"
"2018-03-01 03:40","8","NW","1"
"2018-03-01 03:50","6","WNW","1"
"2018-03-01 04:00","3","WSW","1"
"2018-03-01 04:10","5","NW","1"
"2018-03-01 04:20","8","NW","1"
"2018-03-01 04:30","6","NW","1"
"2018-03-01 04:40","4","NW","1"
"2018-03-01 04:50","4","NW","1"
"2018-03-01 05:00","2","NW","1"
"2018-03-01 05:10","5","NW","1"
"2018-03-01 05:20","2","WNW","1"
"2018-03-01 05:30","2","WNW","1"
"2018-03-01 05:40","4","NW","1"
"2018-03-01 05:50","1","NW","1"
"2018-03-01 06:00","4","NW","1"
"2018-03-01 06:10","1","WNW","1"
"2018-03-01 06:20","2","NW","1"
"2018-03-01 06:30","0","WSW","1"
"2018-03-01 06:40","1","SW","1"
"2018-03-01 06:50","3","W","1"
"2018-03-01 07:00","1","WNW","1"
"2018-03-01 07:10","3","NW","1"
"2018-03-01 07:20","3","SW","1"
"2018-03-01 08:10","5","WSW","1"
"2018-03-01 08:20","8","WNW","1"
"2018-03-01 08:30","8","NW","1"
"2018-03-01 08:40","6","NW","1"
"2018-03-01 08:50","6","WNW","1"
"2018-03-01 09:00","4","W","1"
"2018-03-01 09:10","4","WNW","1"
"2018-03-01 09:20","3","W","1"
"2018-03-01 09:30","4","WNW","1"
"2018-03-01 09:40","5","WSW","1"
"2018-03-01 09:50","5","SW","1"
"2018-03-01 10:00","1","SW","1"
"2018-03-01 10:10","4","WSW","2"
"2018-03-01 10:20","7","SSW","1"
"2018-03-01 10:30","8","SW","1"
"2018-03-01 10:40","7","WNW","1"
"2018-03-01 10:50","6","SW","1"
"2018-03-01 11:00","9","W","1"
"2018-03-01 11:10","1","ENE","1"
"2018-03-01 11:20","6","SW","1"
"2018-03-01 11:30","0","ENE","1"
"2018-03-01 11:40","6","SSW","1"
"2018-03-01 11:50","6","WSW","1"
"2018-03-01 12:00","9","NE","1"
"2018-03-01 12:10","2","SSE","1"
"2018-03-01 12:20","0","NE","1"
"2018-03-01 12:30","1","NE","1"
"2018-03-01 12:40","0","ENE","1"
"2018-03-01 12:50","3","NE","1"
"2018-03-01 13:00","0","E","1"
"2018-03-01 13:10","3","SW","1"
"2018-03-01 13:20","2","ESE","1"
"2018-03-01 13:30","6","E","1"
"2018-03-01 13:40","0","NE","1"
"2018-03-01 13:50","3","NNE","0"
"2018-03-01 14:00","5","NW","1"
"2018-03-01 14:10","4","NE","1"
"2018-03-01 14:20","0","NE","1"
"2018-03-01 14:30","10","ENE","1"
"2018-03-01 14:40","10","NNE","1"
"2018-03-01 14:50","9","NNE","1"
"2018-03-01 15:00","8","NNE","2"
"2018-03-01 15:10","9","NNE","2"
"2018-03-01 15:20","12","NNE","2"
"2018-03-01 15:30","8","NNE","2"
"2018-03-01 15:40","13","NNE","2"
"2018-03-01 15:50","6","ENE","2"
"2018-03-01 16:00","11","NE","1"
"2018-03-01 16:10","11","ENE","1"
"2018-03-01 16:20","11","NE","2"
"2018-03-01 16:30","13","ENE","1"
"2018-03-01 16:40","9","NE","1"
"2018-03-01 16:50","17","NE","2"
"2018-03-01 17:00","17","NE","2"
"2018-03-01 17:10","11","NE","2"
"2018-03-01 17:20","12","NE","2"
"2018-03-01 17:30","11","NE","2"
"2018-03-01 17:40","17","NE","2"
"2018-03-01 17:50","18","NE","2"
"2018-03-01 18:00","15","NE","2"
"2018-03-01 18:10","13","NE","2"
"2018-03-01 18:20","12","NNE","2"
"2018-03-01 18:30","16","NE","2"
"2018-03-01 18:40","10","NNE","2"
"2018-03-01 18:50","13","NNE","2"
"2018-03-01 19:00","14","NNE","2"
"2018-03-01 19:10","13","NNE","2"
"2018-03-01 19:20","11","NNE","2"
"2018-03-01 19:30","10","NNE","2"
"2018-03-01 19:40","13","NNE","2"
"2018-03-01 19:50","15","NNE","2"
"2018-03-01 20:00","12","NNE","2"
"2018-03-01 20:10","12","NNE","1"
"2018-03-01 20:20","11","NNE","2"
"2018-03-01 20:30","12","NNE","1"
"2018-03-01 20:40","10","NNE","1"
"2018-03-01 20:50","14","NE","2"
"2018-03-01 21:00","13","NE","2"
"2018-03-01 21:10","14","NE","2"
"2018-03-01 21:20","12","ENE","2"
"2018-03-01 21:30","13","NE","2"
"2018-03-01 21:40","15","NE","2"
"2018-03-01 21:50","15","NE","2"
"2018-03-01 22:00","15","NE","2"
"2018-03-01 22:10","15","NE","2"
"2018-03-01 22:20","13","NE","2"
"2018-03-01 22:30","17","NE","2"
"2018-03-01 22:40","17","NNE","2"
"2018-03-01 22:50","15","NNE","3"
"2018-03-01 23:00","16","NNE","2"
"2018-03-01 23:10","14","NE","3"
"2018-03-01 23:20","14","NNE","2"
"2018-03-01 23:30","10","NNE","2"
"2018-03-01 23:40","14","NNE","2"
"2018-03-01 23:50","9","NE","2"
"2018-03-02 00:00","7","NNE","2"
"2018-03-02 00:10","10","E","2"
"2018-03-02 00:20","13","NNE","2"
"2018-03-02 00:30","11","NNE","2"
"2018-03-02 00:40","12","NE","2"
"2018-03-02 00:50","10","NE","2"
"2018-03-02 01:00","14","NNE","2"
"2018-03-02 01:10","15","NNE","2"
"2018-03-02 01:20","12","NE","2"
"2018-03-02 01:30","18","NE","3"
"2018-03-02 01:40","16","NNE","3"
"2018-03-02 01:50","16","NE","2"
"2018-03-02 02:00","8","NE","2"
"2018-03-02 02:10","12","NE","2"
"2018-03-02 02:20","13","NE","2"
"2018-03-02 02:30","13","NNE","2"
"2018-03-02 02:40","12","NNE","2"
"2018-03-02 02:50","8","NE","2"
"2018-03-02 03:00","9","ENE","2"
"2018-03-02 03:10","11","NE","2"
"2018-03-02 03:20","12","ENE","2"
"2018-03-02 03:30","9","E","2"
"2018-03-02 03:40","16","NE","2"
"2018-03-02 03:50","9","ENE","1"
"2018-03-02 04:00","11","NE","2"
"2018-03-02 04:10","13","N","2"
"2018-03-02 04:20","8","NE","2"
"2018-03-02 04:30","9","NE","2"
"2018-03-02 04:40","11","E","2"
"2018-03-02 04:50","8","SSE","1"
"2018-03-02 05:00","8","ENE","1"
"2018-03-02 05:10","8","E","2"
"2018-03-02 05:20","5","S","1"
"2018-03-02 05:30","4","SE","1"
"2018-03-02 05:40","10","S","2"
"2018-03-02 05:50","9","SSW","1"
"2018-03-02 06:00","9","W","1"
"2018-03-02 06:10","10","S","2"
