"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-02-01 00:06","14","S","21"
"2018-02-01 00:16","13","S","19"
"2018-02-01 00:26","11","S","16"
"2018-02-01 00:36","15","SSW","21"
"2018-02-01 00:46","11","SSW","17"
"2018-02-01 00:56","12","SSW","19"
"2018-02-01 01:06","11","S","21"
"2018-02-01 01:16","12","S","16"
"2018-02-01 01:26","11","SSW","19"
"2018-02-01 01:36","10","SSW","13"
"2018-02-01 01:46","13","SSW","20"
"2018-02-01 01:56","14","S","20"
"2018-02-01 02:06","14","S","18"
"2018-02-01 02:16","13","S","15"
"2018-02-01 02:26","10","S","14"
"2018-02-01 02:36","13","S","16"
"2018-02-01 02:46","12","S","16"
"2018-02-01 02:56","11","S","16"
"2018-02-01 03:06","10","S","15"
"2018-02-01 03:16","10","S","14"
"2018-02-01 03:26","10","S","13"
"2018-02-01 03:36","9","S","12"
"2018-02-01 03:46","9","S","12"
"2018-02-01 03:56","10","S","15"
"2018-02-01 04:06","10","SSE","13"
"2018-02-01 04:16","10","SSE","15"
"2018-02-01 04:26","10","S","14"
"2018-02-01 04:36","8","S","12"
"2018-02-01 04:46","9","S","12"
"2018-02-01 04:56","10","S","14"
"2018-02-01 05:06","10","S","14"
"2018-02-01 05:16","11","S","14"
"2018-02-01 05:26","13","S","16"
"2018-02-01 05:36","13","S","16"
"2018-02-01 05:46","12","S","16"
"2018-02-01 05:56","12","S","18"
"2018-02-01 06:06","13","S","17"
"2018-02-01 06:16","9","SSW","16"
"2018-02-01 06:26","11","SSW","16"
"2018-02-01 06:36","11","SSW","15"
"2018-02-01 06:46","14","SSW","19"
"2018-02-01 06:56","12","SSW","17"
"2018-02-01 07:06","10","SSW","18"
"2018-02-01 07:16","12","SSW","18"
"2018-02-01 07:26","13","SSW","22"
"2018-02-01 07:36","9","SSW","14"
"2018-02-01 07:46","11","SSW","16"
"2018-02-01 07:56","13","SSW","19"
"2018-02-01 08:06","12","SSW","18"
"2018-02-01 08:16","10","S","16"
"2018-02-01 08:26","11","S","14"
"2018-02-01 08:36","10","S","14"
