"Time EST","Pressure (kPa)"
"2018-01-01 00:06","101.89"
"2018-01-01 00:16","101.88"
"2018-01-01 00:26","101.88"
"2018-01-01 00:36","101.88"
"2018-01-01 00:46","101.88"
"2018-01-01 00:57","101.89"
"2018-01-01 01:06","101.90"
"2018-01-01 01:16","101.90"
"2018-01-01 01:26","101.90"
"2018-01-01 01:36","101.90"
"2018-01-01 01:46","101.91"
"2018-01-01 01:57","101.90"
"2018-01-01 02:06","101.91"
"2018-01-01 02:16","101.91"
"2018-01-01 02:26","101.91"
"2018-01-01 02:36","101.91"
"2018-01-01 02:46","101.91"
"2018-01-01 02:57","101.92"
"2018-01-01 03:06","101.92"
"2018-01-01 03:16","101.92"
"2018-01-01 03:26","101.93"
"2018-01-01 03:36","101.91"
"2018-01-01 03:46","101.91"
"2018-01-01 03:57","101.90"
"2018-01-01 04:06","101.90"
"2018-01-01 04:16","101.92"
"2018-01-01 04:26","101.91"
"2018-01-01 04:36","101.90"
"2018-01-01 04:46","101.90"
"2018-01-01 04:57","101.88"
"2018-01-01 05:06","101.87"
"2018-01-01 05:17","101.87"
"2018-01-01 05:26","101.87"
"2018-01-01 05:36","101.88"
"2018-01-01 05:46","101.88"
"2018-01-01 05:57","101.89"
"2018-01-01 06:06","101.89"
"2018-01-01 06:16","101.88"
"2018-01-01 06:26","101.87"
"2018-01-01 06:36","101.87"
"2018-01-01 06:46","101.87"
"2018-01-01 06:57","101.87"
"2018-01-01 07:06","101.87"
"2018-01-01 07:16","101.89"
"2018-01-01 07:26","101.89"
"2018-01-01 07:36","101.90"
"2018-01-01 07:46","101.91"
"2018-01-01 07:57","101.92"
"2018-01-01 08:06","101.93"
"2018-01-01 08:16","101.94"
"2018-01-01 08:26","101.95"
"2018-01-01 08:36","101.96"
"2018-01-01 08:46","101.96"
"2018-01-01 08:57","101.97"
"2018-01-01 09:06","101.96"
"2018-01-01 09:16","101.96"
"2018-01-01 09:26","101.95"
"2018-01-01 09:36","101.95"
"2018-01-01 09:46","101.96"
"2018-01-01 09:57","101.97"
"2018-01-01 10:06","101.98"
"2018-01-01 10:16","101.98"
"2018-01-01 10:26","101.98"
"2018-01-01 10:36","101.97"
"2018-01-01 10:46","101.96"
"2018-01-01 10:57","101.94"
"2018-01-01 11:06","101.92"
"2018-01-01 11:16","101.92"
"2018-01-01 11:26","101.91"
"2018-01-01 11:36","101.90"
"2018-01-01 11:46","101.88"
"2018-01-01 11:57","101.86"
"2018-01-01 12:06","101.85"
"2018-01-01 12:16","101.82"
"2018-01-01 12:26","101.81"
"2018-01-01 12:36","101.78"
"2018-01-01 12:46","101.77"
"2018-01-01 12:57","101.75"
"2018-01-01 13:06","101.74"
"2018-01-01 13:17","101.73"
"2018-01-01 13:26","101.73"
"2018-01-01 13:36","101.72"
"2018-01-01 13:46","101.69"
"2018-01-01 13:57","101.67"
"2018-01-01 14:06","101.66"
"2018-01-01 14:16","101.66"
"2018-01-01 14:26","101.66"
"2018-01-01 14:36","101.66"
"2018-01-01 14:46","101.65"
"2018-01-01 14:57","101.65"
"2018-01-01 15:06","101.66"
"2018-01-01 15:16","101.64"
"2018-01-01 15:26","101.64"
"2018-01-01 15:36","101.63"
"2018-01-01 15:46","101.62"
"2018-01-01 15:57","101.62"
"2018-01-01 16:06","101.62"
"2018-01-01 16:16","101.62"
"2018-01-01 16:26","101.61"
"2018-01-01 16:36","101.60"
"2018-01-01 16:46","101.59"
"2018-01-01 16:57","101.58"
"2018-01-01 17:06","101.58"
"2018-01-01 17:16","101.57"
"2018-01-01 17:26","101.56"
"2018-01-01 17:36","101.56"
"2018-01-01 17:46","101.56"
"2018-01-01 17:57","101.57"
"2018-01-01 18:06","101.56"
"2018-01-01 18:16","101.56"
"2018-01-01 18:26","101.55"
"2018-01-01 18:36","101.54"
"2018-01-01 18:46","101.55"
"2018-01-01 18:57","101.55"
"2018-01-01 19:06","101.54"
"2018-01-01 19:16","101.53"
"2018-01-01 19:26","101.53"
"2018-01-01 19:36","101.53"
"2018-01-01 19:46","101.52"
"2018-01-01 19:58","101.51"
"2018-01-01 20:06","101.49"
"2018-01-01 20:16","101.50"
"2018-01-01 20:26","101.51"
"2018-01-01 20:36","101.53"
"2018-01-01 20:46","101.53"
"2018-01-01 20:57","101.54"
"2018-01-01 21:06","101.55"
"2018-01-01 21:16","101.55"
"2018-01-01 21:26","101.56"
"2018-01-01 21:36","101.56"
"2018-01-01 21:46","101.57"
"2018-01-01 21:57","101.58"
"2018-01-01 22:06","101.59"
"2018-01-01 22:17","101.60"
"2018-01-01 22:26","101.61"
"2018-01-01 22:36","101.62"
"2018-01-01 22:46","101.63"
"2018-01-01 22:57","101.65"
"2018-01-01 23:06","101.65"
"2018-01-01 23:16","101.66"
"2018-01-01 23:26","101.65"
"2018-01-01 23:36","101.65"
"2018-01-01 23:46","101.66"
"2018-01-01 23:57","101.66"
"2018-01-02 00:06","101.67"
"2018-01-02 00:16","101.67"
"2018-01-02 00:26","101.68"
"2018-01-02 00:36","101.68"
"2018-01-02 00:46","101.67"
"2018-01-02 00:57","101.67"
"2018-01-02 01:06","101.68"
"2018-01-02 01:16","101.68"
"2018-01-02 01:26","101.69"
"2018-01-02 01:36","101.67"
"2018-01-02 01:46","101.69"
"2018-01-02 01:57","101.69"
"2018-01-02 02:06","101.71"
"2018-01-02 02:16","101.71"
"2018-01-02 02:26","101.71"
"2018-01-02 02:36","101.70"
"2018-01-02 02:46","101.71"
"2018-01-02 02:58","101.73"
"2018-01-02 03:06","101.72"
"2018-01-02 03:16","101.72"
"2018-01-02 03:26","101.72"
"2018-01-02 03:36","101.71"
"2018-01-02 03:46","101.71"
"2018-01-02 03:57","101.73"
"2018-01-02 04:06","101.73"
"2018-01-02 04:16","101.73"
"2018-01-02 04:26","101.72"
"2018-01-02 04:36","101.72"
"2018-01-02 04:46","101.70"
"2018-01-02 04:57","101.71"
"2018-01-02 05:06","101.69"
"2018-01-02 05:16","101.70"
"2018-01-02 05:26","101.69"
"2018-01-02 05:36","101.69"
"2018-01-02 05:46","101.69"
"2018-01-02 05:57","101.68"
"2018-01-02 06:06","101.68"
"2018-01-02 06:16","101.68"
"2018-01-02 06:26","101.67"
"2018-01-02 06:36","101.67"
"2018-01-02 06:46","101.66"
"2018-01-02 06:57","101.64"
"2018-01-02 07:06","101.61"
"2018-01-02 07:16","101.60"
"2018-01-02 07:26","101.61"
"2018-01-02 07:36","101.58"
"2018-01-02 07:46","101.57"
"2018-01-02 07:58","101.55"
"2018-01-02 08:06","101.55"
"2018-01-02 08:16","101.52"
"2018-01-02 08:26","101.48"
"2018-01-02 08:36","101.45"
"2018-01-02 08:46","101.49"
"2018-01-02 08:57","101.45"
"2018-01-02 09:06","101.45"
