"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-03-01 00:06","17","WNW","23"
"2018-03-01 00:16","14","WNW","18"
"2018-03-01 00:26","11","WNW","15"
"2018-03-01 00:36","10","WNW","14"
"2018-03-01 00:46","12","WNW","18"
"2018-03-01 00:56","14","WNW","19"
"2018-03-01 01:06","13","WNW","18"
"2018-03-01 01:16","10","WNW","14"
"2018-03-01 01:26","11","WNW","17"
"2018-03-01 01:36","7","WNW","12"
"2018-03-01 01:46","14","WNW","21"
"2018-03-01 01:56","12","NW","17"
"2018-03-01 02:06","17","WNW","20"
"2018-03-01 02:16","13","WNW","17"
"2018-03-01 02:26","9","WNW","12"
"2018-03-01 02:36","9","WNW","13"
"2018-03-01 02:46","8","WNW","10"
"2018-03-01 02:56","8","WNW","11"
"2018-03-01 03:06","10","WNW","14"
"2018-03-01 03:16","12","WNW","16"
"2018-03-01 03:26","12","WNW","14"
"2018-03-01 03:36","12","WNW","15"
"2018-03-01 03:46","12","WNW","16"
"2018-03-01 03:56","10","WNW","11"
"2018-03-01 04:06","9","WNW","13"
"2018-03-01 04:16","10","WNW","14"
"2018-03-01 04:26","8","NW","12"
"2018-03-01 04:36","7","NW","11"
"2018-03-01 04:46","8","WNW","11"
"2018-03-01 04:56","10","WNW","13"
"2018-03-01 05:06","6","WNW","8"
"2018-03-01 05:16","9","WNW","12"
"2018-03-01 05:26","8","WNW","9"
"2018-03-01 05:36","8","W","10"
"2018-03-01 05:46","9","WNW","12"
"2018-03-01 05:56","9","WNW","12"
"2018-03-01 06:06","9","WNW","12"
"2018-03-01 06:16","8","NW","11"
"2018-03-01 06:26","9","NW","12"
"2018-03-01 06:36","6","WNW","7"
"2018-03-01 06:46","4","W","5"
"2018-03-01 06:56","6","W","7"
"2018-03-01 07:06","5","WNW","7"
"2018-03-01 07:16","4","W","5"
"2018-03-01 07:26","6","WNW","10"
"2018-03-01 08:26","11","NNW","17"
"2018-03-01 08:36","11","NNW","15"
"2018-03-01 08:46","10","NW","15"
"2018-03-01 08:56","8","NW","10"
"2018-03-01 09:06","9","NNW","11"
"2018-03-01 09:16","8","NW","10"
"2018-03-01 09:26","8","WNW","11"
"2018-03-01 09:36","12","NNW","14"
"2018-03-01 09:46","9","NW","12"
"2018-03-01 10:26","0","N/A","0"
"2018-03-01 10:36","0","NE","1"
"2018-03-01 10:46","11","N","15"
"2018-03-01 10:56","8","NW","12"
"2018-03-01 11:06","12","NNW","16"
"2018-03-01 11:16","8","NNE","11"
"2018-03-01 11:26","9","N","11"
"2018-03-01 11:36","11","N","17"
"2018-03-01 11:46","11","NW","15"
"2018-03-01 11:56","3","ENE","7"
"2018-03-01 12:06","5","N","7"
"2018-03-01 12:16","5","ESE","9"
"2018-03-01 12:26","10","NNW","15"
"2018-03-01 12:36","4","W","7"
"2018-03-01 12:46","8","ENE","12"
"2018-03-01 12:56","7","SE","11"
"2018-03-01 13:06","6","E","9"
"2018-03-01 13:16","8","ESE","10"
"2018-03-01 13:26","7","E","10"
"2018-03-01 13:36","5","ESE","8"
"2018-03-01 13:46","5","E","8"
"2018-03-01 13:56","9","NNE","15"
"2018-03-01 14:06","8","N","10"
"2018-03-01 14:16","13","ENE","22"
"2018-03-01 14:26","6","NE","14"
"2018-03-01 14:36","14","ENE","17"
"2018-03-01 14:46","11","ENE","15"
"2018-03-01 14:56","10","ENE","15"
"2018-03-01 15:06","11","NE","16"
"2018-03-01 15:16","16","NNE","20"
"2018-03-01 15:26","12","NNE","15"
"2018-03-01 15:36","10","NE","19"
"2018-03-01 15:46","19","ENE","24"
"2018-03-01 15:56","14","NNE","18"
"2018-03-01 16:06","14","NNE","18"
"2018-03-01 16:16","14","ENE","21"
"2018-03-01 16:26","17","SE","25"
"2018-03-01 16:36","16","E","23"
"2018-03-01 16:46","21","ENE","24"
"2018-03-01 16:56","14","NE","21"
"2018-03-01 17:06","14","ENE","19"
"2018-03-01 17:16","13","ENE","23"
"2018-03-01 17:26","17","ENE","21"
"2018-03-01 17:36","22","ENE","27"
"2018-03-01 17:46","19","NE","24"
"2018-03-01 17:56","17","NE","23"
"2018-03-01 18:06","18","NE","22"
"2018-03-01 18:16","25","NE","32"
"2018-03-01 18:26","17","NE","25"
"2018-03-01 18:36","17","NE","22"
"2018-03-01 18:46","22","NE","28"
"2018-03-01 18:56","16","NE","23"
"2018-03-01 19:06","20","ENE","25"
"2018-03-01 19:16","19","ENE","26"
"2018-03-01 19:26","24","ENE","36"
"2018-03-01 19:36","20","ENE","30"
"2018-03-01 19:46","20","ENE","28"
"2018-03-01 19:56","21","ENE","29"
"2018-03-01 20:06","22","NE","41"
"2018-03-01 20:16","23","ENE","30"
"2018-03-01 20:26","19","ENE","25"
"2018-03-01 20:36","17","ENE","22"
"2018-03-01 20:46","22","NE","30"
"2018-03-01 20:56","23","ENE","30"
"2018-03-01 21:06","21","NE","28"
"2018-03-01 21:16","22","NE","37"
"2018-03-01 21:26","16","NE","26"
"2018-03-01 21:36","21","NE","31"
"2018-03-01 21:46","15","NE","23"
