"Time EST","Precipitation Yes/No"
"2017-12-01 00:06","No"
"2017-12-01 00:16","No"
"2017-12-01 00:26","No"
"2017-12-01 00:36","No"
"2017-12-01 00:46","No"
"2017-12-01 00:57","No"
"2017-12-01 01:06","No"
"2017-12-01 01:16","No"
"2017-12-01 01:26","No"
"2017-12-01 01:36","No"
"2017-12-01 01:46","No"
"2017-12-01 01:56","No"
"2017-12-01 02:06","No"
"2017-12-01 02:16","No"
"2017-12-01 02:26","No"
"2017-12-01 02:36","No"
"2017-12-01 02:46","No"
"2017-12-01 02:57","No"
"2017-12-01 03:16","No"
"2017-12-01 03:36","No"
"2017-12-01 03:57","No"
"2017-12-01 04:16","No"
"2017-12-01 04:36","No"
"2017-12-01 04:57","No"
"2017-12-01 05:16","No"
"2017-12-01 05:36","No"
"2017-12-01 05:57","No"
"2017-12-01 06:16","No"
"2017-12-01 06:36","No"
"2017-12-01 06:57","No"
"2017-12-01 07:16","No"
"2017-12-01 07:36","No"
"2017-12-01 07:57","No"
"2017-12-01 08:16","No"
"2017-12-01 08:36","No"
"2017-12-01 08:57","No"
"2017-12-01 09:16","No"
"2017-12-01 09:36","No"
"2017-12-01 09:57","No"
"2017-12-01 10:16","No"
"2017-12-01 10:36","No"
"2017-12-01 10:57","No"
"2017-12-01 11:16","No"
"2017-12-01 11:36","No"
"2017-12-01 11:57","No"
"2017-12-01 12:16","No"
"2017-12-01 12:36","No"
"2017-12-01 12:57","No"
"2017-12-01 13:16","No"
"2017-12-01 13:36","No"
"2017-12-01 13:46","No"
"2017-12-01 13:57","No"
"2017-12-01 14:06","No"
"2017-12-01 14:16","No"
"2017-12-01 14:26","No"
"2017-12-01 14:36","No"
"2017-12-01 14:46","No"
"2017-12-01 14:57","No"
"2017-12-01 15:06","No"
"2017-12-01 15:16","No"
"2017-12-01 15:26","No"
"2017-12-01 15:36","No"
"2017-12-01 15:46","No"
"2017-12-01 15:57","No"
"2017-12-01 16:06","No"
"2017-12-01 16:16","No"
"2017-12-01 16:26","No"
"2017-12-01 16:36","No"
"2017-12-01 16:46","No"
"2017-12-01 16:57","No"
"2017-12-01 17:06","No"
"2017-12-01 17:16","No"
"2017-12-01 17:26","No"
"2017-12-01 17:36","No"
"2017-12-01 17:46","No"
"2017-12-01 17:57","No"
"2017-12-01 18:06","No"
"2017-12-01 18:16","No"
"2017-12-01 18:26","No"
"2017-12-01 18:36","No"
"2017-12-01 18:46","No"
"2017-12-01 18:57","No"
"2017-12-01 19:06","No"
"2017-12-01 19:16","No"
"2017-12-01 19:26","No"
"2017-12-01 19:36","No"
"2017-12-01 19:46","No"
"2017-12-01 19:57","No"
"2017-12-01 20:06","No"
"2017-12-01 20:16","No"
"2017-12-01 20:26","No"
"2017-12-01 20:36","No"
"2017-12-01 20:46","No"
"2017-12-01 20:57","No"
"2017-12-01 21:06","No"
"2017-12-01 21:16","No"
"2017-12-01 21:26","No"
"2017-12-01 21:36","No"
"2017-12-01 21:46","No"
"2017-12-01 21:57","No"
"2017-12-01 22:06","No"
"2017-12-01 22:16","No"
