"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-02-01 00:06","21","WNW","33"
"2018-02-01 00:16","25","WNW","44"
"2018-02-01 00:26","24","WNW","45"
"2018-02-01 00:36","32","W","64"
"2018-02-01 00:46","45","W","54"
"2018-02-01 00:56","17","SE","54"
"2018-02-01 01:06","27","W","50"
"2018-02-01 01:16","28","WNW","39"
"2018-02-01 01:26","19","WNW","55"
"2018-02-01 01:36","10","ESE","35"
"2018-02-01 01:46","46","WNW","59"
"2018-02-01 01:56","13","WSW","40"
"2018-02-01 02:06","44","WNW","59"
"2018-02-01 02:16","29","W","42"
"2018-02-01 02:26","32","WSW","52"
"2018-02-01 02:36","21","W","42"
"2018-02-01 02:46","5","ESE","39"
"2018-02-01 02:56","30","WNW","37"
"2018-02-01 03:06","26","WSW","42"
"2018-02-01 03:16","13","W","38"
"2018-02-01 03:26","36","W","55"
"2018-02-01 03:36","23","WNW","54"
"2018-02-01 03:46","16","WSW","46"
"2018-02-01 03:56","10","SSE","29"
"2018-02-01 04:06","21","W","71"
"2018-02-01 04:16","20","W","58"
"2018-02-01 04:26","30","W","49"
"2018-02-01 04:36","17","NW","41"
"2018-02-01 04:46","35","NW","53"
"2018-02-01 04:56","22","WNW","41"
"2018-02-01 05:06","27","NW","44"
"2018-02-01 05:16","15","W","48"
"2018-02-01 05:26","27","SW","48"
"2018-02-01 05:36","17","W","46"
"2018-02-01 05:46","30","W","60"
"2018-02-01 05:56","17","NW","43"
"2018-02-01 06:06","21","W","64"
"2018-02-01 06:16","27","W","45"
"2018-02-01 06:26","34","WNW","61"
"2018-02-01 06:36","25","WNW","72"
"2018-02-01 06:46","36","W","43"
"2018-02-01 06:56","23","WNW","67"
"2018-02-01 07:06","40","WSW","62"
"2018-02-01 07:16","28","WNW","51"
"2018-02-01 07:26","42","W","55"
"2018-02-01 07:36","34","WNW","62"
"2018-02-01 07:46","50","W","68"
"2018-02-01 07:56","34","W","59"
"2018-02-01 08:06","38","WNW","53"
"2018-02-01 08:16","8","SW","53"
"2018-02-01 08:26","37","WNW","66"
"2018-02-01 08:36","37","WNW","56"
"2018-02-01 08:46","29","W","48"
"2018-02-01 08:56","31","SE","62"
"2018-02-01 09:06","44","W","61"
"2018-02-01 09:16","32","WSW","85"
"2018-02-01 09:26","24","W","56"
"2018-02-01 09:36","43","WNW","72"
"2018-02-01 09:46","31","WNW","64"
"2018-02-01 09:56","11","SE","84"
"2018-02-01 10:06","24","W","50"
"2018-02-01 10:16","27","W","48"
"2018-02-01 10:26","3","ESE","67"
"2018-02-01 10:36","26","WSW","59"
"2018-02-01 10:46","31","WSW","63"
"2018-02-01 10:56","19","W","57"
"2018-02-01 11:06","41","WNW","56"
"2018-02-01 11:16","26","W","54"
"2018-02-01 11:26","32","WNW","63"
"2018-02-01 11:36","34","WNW","51"
"2018-02-01 11:46","26","NW","43"
"2018-02-01 11:56","29","WNW","51"
"2018-02-01 12:06","33","W","73"
"2018-02-01 12:16","35","WNW","50"
"2018-02-01 12:26","44","WNW","75"
"2018-02-01 12:36","40","W","66"
"2018-02-01 12:46","32","W","71"
"2018-02-01 12:56","27","WNW","59"
"2018-02-01 13:06","33","WNW","95"
"2018-02-01 13:16","33","WNW","67"
"2018-02-01 13:26","28","NW","50"
"2018-02-01 13:36","33","W","50"
"2018-02-01 13:46","38","WNW","64"
"2018-02-01 13:56","26","WNW","57"
"2018-02-01 14:06","39","NW","69"
"2018-02-01 14:16","16","W","85"
"2018-02-01 14:26","19","SE","66"
"2018-02-01 14:36","29","WNW","68"
"2018-02-01 14:46","35","WNW","55"
"2018-02-01 14:56","54","NW","78"
"2018-02-01 15:06","34","SSE","101"
"2018-02-01 15:16","43","NW","60"
"2018-02-01 15:26","19","NNW","61"
"2018-02-01 15:36","33","NNW","92"
"2018-02-01 15:46","54","NW","95"
"2018-02-01 15:56","16","NW","93"
"2018-02-01 16:06","32","S","54"
"2018-02-01 16:16","37","NNW","51"
"2018-02-01 16:26","33","NNW","50"
"2018-02-01 16:36","23","NW","57"
"2018-02-01 16:46","21","NNW","58"
"2018-02-01 16:56","26","SE","63"
"2018-02-01 17:06","33","SSE","61"
"2018-02-01 17:16","55","SSE","94"
"2018-02-01 17:26","40","S","82"
"2018-02-01 17:36","33","S","66"
"2018-02-01 17:46","57","S","86"
"2018-02-01 17:56","45","S","84"
"2018-02-01 18:06","42","S","60"
"2018-02-01 18:16","53","NNW","93"
"2018-02-01 18:26","27","S","96"
"2018-02-01 18:36","44","E","84"
"2018-02-01 18:46","45","S","95"
"2018-02-01 18:56","50","E","77"
"2018-02-01 19:06","52","S","88"
"2018-02-01 19:16","76","S","99"
"2018-02-01 19:26","77","S","149"
"2018-02-01 19:36","54","E","108"
"2018-02-01 19:46","53","S","92"
"2018-02-01 19:56","54","SE","121"
"2018-02-01 20:06","74","E","111"
"2018-02-01 20:16","62","ESE","127"
"2018-02-01 20:26","74","NE","110"
"2018-02-01 20:36","72","SW","135"
"2018-02-01 20:46","87","ENE","141"
"2018-02-01 20:56","68","E","122"
"2018-02-01 21:06","36","S","90"
"2018-02-01 21:16","32","SSE","116"
"2018-02-01 21:26","39","SSW","70"
"2018-02-01 21:36","51","S","93"
"2018-02-01 21:46","57","NNE","109"
"2018-02-01 21:56","58","S","85"
"2018-02-01 22:06","58","NE","96"
"2018-02-01 22:16","61","ESE","84"
"2018-02-01 22:26","69","E","100"
"2018-02-01 22:36","54","ESE","89"
"2018-02-01 22:46","56","E","105"
"2018-02-01 22:56","58","S","108"
"2018-02-01 23:06","47","SW","72"
"2018-02-01 23:16","63","S","81"
"2018-02-01 23:26","39","S","86"
"2018-02-01 23:36","18","SSW","53"
"2018-02-01 23:56","39","S","48"
"2018-02-02 00:06","41","ENE","69"
"2018-02-02 00:16","22","ESE","52"
"2018-02-02 00:26","31","S","61"
"2018-02-02 00:36","25","S","42"
"2018-02-02 00:46","38","NE","64"
"2018-02-02 00:56","34","E","58"
"2018-02-02 01:06","30","S","60"
"2018-02-02 01:16","30","S","51"
"2018-02-02 01:26","27","S","47"
"2018-02-02 01:36","23","S","51"
"2018-02-02 01:46","36","E","52"
"2018-02-02 01:56","22","NE","32"
"2018-02-02 02:06","25","E","36"
"2018-02-02 02:16","24","N","29"
"2018-02-02 02:26","16","S","30"
"2018-02-02 02:36","7","NE","26"
"2018-02-02 02:46","0","N","30"
"2018-02-02 02:57","3","NNE","7"
"2018-02-02 03:06","0","N","28"
"2018-02-02 03:16","0","N","0"
"2018-02-02 03:26","0","N","22"
"2018-02-02 03:36","18","ESE","19"
"2018-02-02 03:46","8","E","24"
"2018-02-02 03:56","14","ESE","33"
"2018-02-02 04:06","0","N","16"
"2018-02-02 04:16","5","ENE","45"
"2018-02-02 04:26","6","NE","32"
"2018-02-02 04:36","0","N","29"
"2018-02-02 04:46","17","ESE","30"
"2018-02-02 04:56","7","ESE","50"
"2018-02-02 05:06","19","E","41"
"2018-02-02 05:16","0","N","32"
"2018-02-02 05:26","6","NE","33"
"2018-02-02 05:36","8","ENE","33"
"2018-02-02 05:46","19","NE","37"
"2018-02-02 05:56","23","SE","36"
"2018-02-02 06:06","0","N","38"
"2018-02-02 06:16","17","SE","45"
"2018-02-02 06:26","8","NE","40"
"2018-02-02 06:36","16","E","33"
"2018-02-02 06:46","4","NE","33"
"2018-02-02 06:56","12","ESE","34"
"2018-02-02 07:06","3","E","36"
"2018-02-02 07:16","8","ENE","28"
"2018-02-02 07:26","6","NNE","25"
"2018-02-02 07:36","26","E","50"
"2018-02-02 07:46","18","E","45"
"2018-02-02 07:56","15","ENE","35"
"2018-02-02 08:06","29","ESE","44"
"2018-02-02 08:16","29","ESE","59"
"2018-02-02 08:26","34","SE","58"
"2018-02-02 08:36","40","ESE","62"
"2018-02-02 08:46","36","ESE","65"
"2018-02-02 08:56","47","ESE","74"
"2018-02-02 09:06","40","ESE","63"
"2018-02-02 09:16","34","ESE","55"
"2018-02-02 09:26","47","ESE","85"
"2018-02-02 09:36","45","NE","80"
"2018-02-02 09:46","44","ESE","46"
"2018-02-02 09:56","38","SE","85"
"2018-02-02 10:06","49","E","67"
"2018-02-02 10:16","47","S","80"
"2018-02-02 10:26","40","ENE","73"
"2018-02-02 10:36","51","E","82"
"2018-02-02 10:46","35","ESE","76"
"2018-02-02 10:56","48","NNE","71"
"2018-02-02 11:06","28","E","73"
"2018-02-02 11:16","29","ESE","52"
"2018-02-02 11:26","35","SSW","53"
"2018-02-02 11:36","38","NNE","75"
"2018-02-02 11:46","66","E","75"
"2018-02-02 11:56","24","ESE","82"
"2018-02-02 12:06","46","S","73"
"2018-02-02 12:16","34","S","80"
