"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:06","0","N","0"
"2018-01-01 00:16","0","N","0"
"2018-01-01 00:26","0","N","0"
"2018-01-01 00:36","0","N","0"
"2018-01-01 00:46","0","N","0"
"2018-01-01 00:57","0","N","0"
"2018-01-01 01:06","0","N","0"
"2018-01-01 01:16","0","N","0"
"2018-01-01 01:26","0","N","0"
"2018-01-01 01:36","0","N","0"
"2018-01-01 01:46","0","N","0"
"2018-01-01 01:57","0","N","0"
"2018-01-01 02:06","0","N","0"
"2018-01-01 02:16","0","N","0"
"2018-01-01 02:26","0","N","0"
"2018-01-01 02:36","0","N","0"
"2018-01-01 02:46","0","N","0"
"2018-01-01 02:57","0","N","0"
"2018-01-01 03:06","0","N","0"
"2018-01-01 03:16","0","N","0"
"2018-01-01 03:26","0","N","0"
"2018-01-01 03:36","0","N","0"
"2018-01-01 03:46","0","N","0"
"2018-01-01 03:57","0","N","0"
"2018-01-01 04:06","0","N","0"
"2018-01-01 04:16","0","N","0"
"2018-01-01 04:26","0","N","0"
"2018-01-01 04:36","0","N","0"
"2018-01-01 04:46","0","N","0"
"2018-01-01 04:57","0","N","0"
"2018-01-01 05:06","0","N","0"
"2018-01-01 05:17","0","N","0"
"2018-01-01 05:26","0","N","0"
"2018-01-01 05:36","0","N","0"
"2018-01-01 05:46","0","N","0"
"2018-01-01 05:57","0","N","0"
"2018-01-01 06:06","0","N","0"
"2018-01-01 06:16","0","N","0"
"2018-01-01 06:26","0","N","0"
"2018-01-01 06:36","0","N","0"
"2018-01-01 06:46","0","N","0"
"2018-01-01 06:57","0","N","0"
"2018-01-01 07:06","0","N","0"
"2018-01-01 07:16","0","N","0"
"2018-01-01 07:26","0","N","0"
"2018-01-01 07:36","0","N","0"
"2018-01-01 07:46","0","N","0"
"2018-01-01 07:57","0","N","0"
"2018-01-01 08:06","0","N","0"
"2018-01-01 08:16","0","N","0"
"2018-01-01 08:26","0","N","0"
"2018-01-01 08:36","0","N","0"
"2018-01-01 08:46","0","N","0"
"2018-01-01 08:57","0","N","0"
"2018-01-01 09:06","0","N","0"
"2018-01-01 09:16","0","N","0"
"2018-01-01 09:26","0","N","0"
"2018-01-01 09:36","0","N","0"
"2018-01-01 09:46","0","N","0"
"2018-01-01 09:57","0","N","0"
"2018-01-01 10:06","0","N","0"
"2018-01-01 10:16","0","N","0"
"2018-01-01 10:26","0","N","0"
