"Time EST","Pressure (kPa)"
"2018-03-01 00:06","99.84"
"2018-03-01 00:16","99.85"
"2018-03-01 00:26","99.87"
"2018-03-01 00:36","99.88"
"2018-03-01 00:46","99.90"
"2018-03-01 00:56","99.91"
"2018-03-01 01:06","99.93"
"2018-03-01 01:16","99.95"
"2018-03-01 01:26","99.98"
"2018-03-01 01:36","99.98"
"2018-03-01 01:46","100.00"
"2018-03-01 01:56","100.00"
"2018-03-01 02:06","100.01"
"2018-03-01 02:16","100.01"
"2018-03-01 02:26","100.03"
"2018-03-01 02:36","100.03"
"2018-03-01 02:46","100.03"
"2018-03-01 02:56","100.03"
"2018-03-01 03:06","100.02"
"2018-03-01 03:16","100.03"
"2018-03-01 03:26","100.03"
"2018-03-01 03:36","100.03"
"2018-03-01 03:46","100.05"
"2018-03-01 03:56","100.06"
"2018-03-01 04:06","100.08"
"2018-03-01 04:16","100.11"
"2018-03-01 04:26","100.11"
"2018-03-01 04:36","100.11"
"2018-03-01 04:46","100.10"
"2018-03-01 04:56","100.10"
"2018-03-01 05:06","100.12"
"2018-03-01 05:16","100.13"
"2018-03-01 05:26","100.13"
"2018-03-01 05:36","100.16"
"2018-03-01 05:46","100.17"
"2018-03-01 05:56","100.17"
"2018-03-01 06:06","100.20"
"2018-03-01 06:16","100.21"
"2018-03-01 06:26","100.20"
"2018-03-01 06:36","100.19"
"2018-03-01 06:46","100.19"
"2018-03-01 06:56","100.20"
"2018-03-01 07:06","100.19"
"2018-03-01 07:16","100.19"
"2018-03-01 07:26","100.19"
"2018-03-01 08:26","100.23"
"2018-03-01 08:36","100.23"
"2018-03-01 08:46","100.25"
"2018-03-01 08:56","100.27"
"2018-03-01 09:06","100.22"
"2018-03-01 09:16","100.23"
"2018-03-01 09:26","100.22"
"2018-03-01 09:36","100.20"
"2018-03-01 09:46","100.18"
"2018-03-01 09:56","100.17"
"2018-03-01 10:06","100.15"
"2018-03-01 10:16","100.17"
"2018-03-01 10:26","100.19"
"2018-03-01 10:36","100.20"
"2018-03-01 10:46","100.20"
"2018-03-01 10:56","100.19"
"2018-03-01 11:06","100.19"
"2018-03-01 11:16","100.15"
"2018-03-01 11:26","100.15"
"2018-03-01 11:36","100.14"
"2018-03-01 11:46","100.15"
"2018-03-01 11:56","100.16"
"2018-03-01 12:06","100.16"
"2018-03-01 12:16","100.15"
"2018-03-01 12:26","100.10"
"2018-03-01 12:36","100.08"
"2018-03-01 12:46","100.06"
"2018-03-01 12:56","100.05"
"2018-03-01 13:06","100.05"
"2018-03-01 13:16","100.03"
"2018-03-01 13:26","100.01"
"2018-03-01 13:36","100.00"
"2018-03-01 13:46","99.98"
"2018-03-01 13:56","99.96"
"2018-03-01 14:06","99.94"
"2018-03-01 14:16","99.93"
"2018-03-01 14:26","99.92"
"2018-03-01 14:36","99.90"
"2018-03-01 14:46","99.89"
"2018-03-01 14:56","99.86"
"2018-03-01 15:06","99.83"
"2018-03-01 15:16","99.81"
"2018-03-01 15:26","99.80"
"2018-03-01 15:36","99.80"
"2018-03-01 15:46","99.80"
"2018-03-01 15:56","99.79"
"2018-03-01 16:06","99.78"
"2018-03-01 16:16","99.78"
