"Time EST","Precipitation Yes/No"
"2017-11-01 00:07","No"
"2017-11-01 00:16","No"
"2017-11-01 00:27","No"
"2017-11-01 00:36","No"
"2017-11-01 00:47","No"
"2017-11-01 00:56","No"
"2017-11-01 01:08","No"
"2017-11-01 01:16","No"
"2017-11-01 01:28","No"
"2017-11-01 01:36","No"
"2017-11-01 01:47","No"
"2017-11-01 01:56","No"
"2017-11-01 02:07","No"
"2017-11-01 02:16","No"
"2017-11-01 02:27","No"
"2017-11-01 02:36","No"
"2017-11-01 02:48","No"
"2017-11-01 02:56","No"
"2017-11-01 03:07","No"
"2017-11-01 03:16","No"
"2017-11-01 03:27","No"
"2017-11-01 03:36","No"
"2017-11-01 03:47","No"
"2017-11-01 03:56","No"
"2017-11-01 04:07","No"
"2017-11-01 04:16","No"
"2017-11-01 04:26","No"
"2017-11-01 04:36","No"
"2017-11-01 04:47","No"
"2017-11-01 04:56","No"
"2017-11-01 05:07","No"
"2017-11-01 05:16","No"
"2017-11-01 05:26","No"
"2017-11-01 05:36","No"
"2017-11-01 05:46","No"
"2017-11-01 05:56","No"
"2017-11-01 06:07","No"
"2017-11-01 06:16","No"
"2017-11-01 06:27","No"
"2017-11-01 06:36","No"
"2017-11-01 06:47","No"
"2017-11-01 06:56","No"
"2017-11-01 07:07","No"
"2017-11-01 07:16","No"
"2017-11-01 07:27","No"
"2017-11-01 07:36","No"
"2017-11-01 07:46","No"
"2017-11-01 07:56","No"
"2017-11-01 08:07","No"
"2017-11-01 08:16","No"
"2017-11-01 08:27","No"
"2017-11-01 08:36","No"
"2017-11-01 08:47","No"
"2017-11-01 08:56","No"
"2017-11-01 09:07","No"
"2017-11-01 09:16","No"
"2017-11-01 09:27","No"
"2017-11-01 09:36","No"
"2017-11-01 09:47","No"
"2017-11-01 09:56","No"
"2017-11-01 10:07","No"
"2017-11-01 10:16","No"
"2017-11-01 10:27","No"
"2017-11-01 10:36","No"
"2017-11-01 10:47","No"
"2017-11-01 10:56","No"
"2017-11-01 11:07","No"
"2017-11-01 11:16","No"
"2017-11-01 11:27","No"
"2017-11-01 11:36","No"
"2017-11-01 11:47","No"
"2017-11-01 11:56","No"
"2017-11-01 12:07","No"
"2017-11-01 12:16","No"
"2017-11-01 12:28","No"
"2017-11-01 12:36","No"
"2017-11-01 12:47","No"
"2017-11-01 12:56","No"
"2017-11-01 13:07","No"
"2017-11-01 13:16","No"
"2017-11-01 13:27","No"
"2017-11-01 13:36","No"
"2017-11-01 13:47","No"
"2017-11-01 13:56","No"
"2017-11-01 14:08","Yes"
"2017-11-01 14:16","Yes"
"2017-11-01 14:28","Yes"
"2017-11-01 14:36","Yes"
"2017-11-01 14:48","Yes"
"2017-11-01 14:56","Yes"
"2017-11-01 15:07","Yes"
"2017-11-01 15:16","Yes"
"2017-11-01 15:27","Yes"
"2017-11-01 15:36","Yes"
"2017-11-01 15:47","Yes"
"2017-11-01 15:56","Yes"
"2017-11-01 16:08","Yes"
"2017-11-01 16:16","Yes"
"2017-11-01 16:28","Yes"
"2017-11-01 16:36","Yes"
"2017-11-01 16:48","Yes"
"2017-11-01 16:56","Yes"
"2017-11-01 17:09","Yes"
"2017-11-01 17:16","Yes"
"2017-11-01 17:27","Yes"
"2017-11-01 17:36","Yes"
"2017-11-01 17:47","Yes"
"2017-11-01 17:56","Yes"
"2017-11-01 18:08","Yes"
"2017-11-01 18:16","Yes"
"2017-11-01 18:28","No"
"2017-11-01 18:36","Yes"
