"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-02-01 00:06","-10.6","92"
"2018-02-01 00:16","-10.5","92"
"2018-02-01 00:26","-10.4","92"
"2018-02-01 00:36","-10.4","92"
"2018-02-01 00:46","-10.4","92"
"2018-02-01 00:56","-10.4","92"
"2018-02-01 01:06","-10.3","92"
"2018-02-01 01:16","-10.2","92"
"2018-02-01 01:26","-10.1","92"
"2018-02-01 01:36","-10.0","92"
"2018-02-01 01:46","-10.1","92"
"2018-02-01 01:56","-9.9","92"
"2018-02-01 02:06","-9.8","92"
"2018-02-01 02:16","-9.6","92"
"2018-02-01 02:26","-9.4","92"
"2018-02-01 02:36","-9.2","92"
"2018-02-01 02:46","-9.1","92"
"2018-02-01 02:56","-9.1","92"
"2018-02-01 03:06","-9.2","92"
"2018-02-01 03:16","-9.3","92"
"2018-02-01 03:26","-9.3","92"
"2018-02-01 03:36","-9.6","92"
"2018-02-01 03:46","-9.7","92"
"2018-02-01 03:56","-9.6","92"
"2018-02-01 04:06","-9.3","92"
"2018-02-01 04:16","-9.0","92"
"2018-02-01 04:26","-8.7","93"
"2018-02-01 04:36","-8.4","93"
"2018-02-01 04:46","-7.8","92"
"2018-02-01 04:56","-7.8","92"
"2018-02-01 05:06","-7.9","93"
"2018-02-01 05:16","-8.1","92"
"2018-02-01 05:26","-8.3","92"
"2018-02-01 05:36","-8.5","92"
"2018-02-01 05:46","-8.5","92"
"2018-02-01 05:56","-8.6","92"
"2018-02-01 06:06","-8.6","92"
"2018-02-01 06:16","-8.6","92"
"2018-02-01 06:26","-8.7","92"
"2018-02-01 06:36","-8.4","93"
"2018-02-01 06:46","-8.4","93"
"2018-02-01 06:56","-8.3","93"
"2018-02-01 07:06","-8.4","92"
"2018-02-01 07:16","-8.4","93"
"2018-02-01 07:26","-5.3","97"
"2018-02-01 07:36","-2.8","92"
"2018-02-01 07:46","-2.8","91"
"2018-02-01 07:56","-2.8","89"
"2018-02-01 08:06","-2.7","89"
"2018-02-01 08:16","-2.8","89"
"2018-02-01 08:26","-3.2","89"
"2018-02-01 08:36","-2.8","88"
"2018-02-01 08:46","-3.1","87"
"2018-02-01 08:56","-3.0","88"
"2018-02-01 09:06","-3.6","86"
"2018-02-01 09:16","-3.7","89"
"2018-02-01 09:26","-3.3","88"
"2018-02-01 09:36","-3.0","86"
"2018-02-01 09:46","-2.8","84"
"2018-02-01 09:56","-2.2","82"
"2018-02-01 10:06","-2.3","81"
"2018-02-01 10:16","-2.1","79"
"2018-02-01 10:26","-2.0","76"
"2018-02-01 10:36","-2.0","75"
"2018-02-01 10:46","-2.1","74"
"2018-02-01 10:56","-2.1","73"
"2018-02-01 11:06","-2.1","71"
"2018-02-01 11:16","-1.9","69"
"2018-02-01 11:26","-2.0","69"
"2018-02-01 11:36","-2.4","66"
"2018-02-01 11:46","-2.7","65"
"2018-02-01 11:56","-2.7","64"
"2018-02-01 12:06","-2.7","63"
"2018-02-01 12:16","-2.7","61"
"2018-02-01 12:26","-2.6","60"
"2018-02-01 12:36","-2.6","59"
"2018-02-01 12:46","-2.9","59"
"2018-02-01 12:56","-3.0","59"
"2018-02-01 13:06","-3.1","59"
"2018-02-01 13:16","-3.0","60"
"2018-02-01 13:26","-3.0","59"
"2018-02-01 13:36","-3.0","59"
"2018-02-01 13:46","-3.2","59"
"2018-02-01 13:56","-3.2","58"
"2018-02-01 14:06","-3.2","57"
"2018-02-01 14:16","-3.0","59"
"2018-02-01 14:26","-2.9","60"
"2018-02-01 14:36","-3.7","57"
"2018-02-01 14:46","-3.8","56"
"2018-02-01 14:56","-4.1","56"
"2018-02-01 15:06","-3.1","77"
"2018-02-01 15:16","-2.5","88"
"2018-02-01 15:26","-2.4","92"
"2018-02-01 15:36","-2.3","93"
"2018-02-01 15:46","-2.3","94"
"2018-02-01 15:56","-2.3","94"
"2018-02-01 16:06","-2.2","93"
"2018-02-01 16:16","-2.4","91"
"2018-02-01 16:26","-2.7","87"
"2018-02-01 16:36","-3.7","80"
"2018-02-01 16:46","-4.1","79"
"2018-02-01 16:56","-4.9","77"
"2018-02-01 17:06","-4.8","79"
"2018-02-01 17:16","-5.3","78"
"2018-02-01 17:26","-6.1","73"
"2018-02-01 17:36","-6.6","71"
"2018-02-01 17:46","-6.1","76"
"2018-02-01 17:56","-6.7","79"
"2018-02-01 18:06","-6.9","81"
"2018-02-01 18:16","-6.9","84"
"2018-02-01 18:26","-7.5","82"
"2018-02-01 18:36","-7.9","82"
"2018-02-01 18:46","-8.3","81"
"2018-02-01 18:56","-8.4","81"
"2018-02-01 19:06","-8.5","82"
"2018-02-01 19:16","-8.5","84"
"2018-02-01 19:26","-8.7","84"
"2018-02-01 19:36","-8.6","86"
"2018-02-01 19:46","-9.0","86"
"2018-02-01 19:56","-9.7","84"
"2018-02-01 20:06","-9.8","84"
"2018-02-01 20:16","-9.7","88"
"2018-02-01 20:26","-10.1","89"
"2018-02-01 20:36","-10.2","90"
"2018-02-01 20:46","-10.7","90"
"2018-02-01 20:56","-11.0","90"
"2018-02-01 21:06","-11.2","89"
"2018-02-01 21:16","-11.8","88"
"2018-02-01 21:26","-12.5","84"
"2018-02-01 21:36","-13.1","81"
"2018-02-01 21:46","-13.6","78"
"2018-02-01 21:56","-14.6","74"
"2018-02-01 22:06","-15.0","73"
"2018-02-01 22:16","-15.7","71"
"2018-02-01 22:26","-16.6","67"
"2018-02-01 22:36","-17.3","65"
"2018-02-01 22:46","-17.9","64"
"2018-02-01 22:56","-18.3","64"
"2018-02-01 23:06","-18.2","65"
"2018-02-01 23:16","-18.7","64"
"2018-02-01 23:26","-18.8","66"
"2018-02-01 23:36","-18.9","67"
"2018-02-01 23:56","-19.1","65"
"2018-02-02 00:06","-19.3","65"
"2018-02-02 00:16","-19.6","64"
"2018-02-02 00:26","-19.7","65"
"2018-02-02 00:36","-19.9","65"
"2018-02-02 00:46","-20.0","66"
"2018-02-02 00:56","-20.0","67"
"2018-02-02 01:06","-20.0","68"
"2018-02-02 01:16","-20.1","68"
"2018-02-02 01:26","-20.2","68"
"2018-02-02 01:36","-20.3","69"
"2018-02-02 01:46","-20.4","70"
"2018-02-02 01:56","-20.7","69"
"2018-02-02 02:06","-20.8","69"
"2018-02-02 02:16","-21.0","69"
"2018-02-02 02:26","-21.1","69"
"2018-02-02 02:36","-21.3","69"
"2018-02-02 02:46","-21.4","69"
"2018-02-02 02:57","-21.5","70"
"2018-02-02 03:06","-21.6","70"
"2018-02-02 03:16","-21.7","72"
"2018-02-02 03:26","-21.8","72"
"2018-02-02 03:36","-21.8","71"
"2018-02-02 03:46","-21.9","71"
"2018-02-02 03:56","-21.9","71"
"2018-02-02 04:06","-21.9","71"
"2018-02-02 04:16","-22.0","71"
"2018-02-02 04:26","-22.1","72"
"2018-02-02 04:36","-22.3","72"
"2018-02-02 04:46","-22.5","72"
"2018-02-02 04:56","-22.8","70"
"2018-02-02 05:06","-22.9","71"
"2018-02-02 05:16","-23.1","71"
"2018-02-02 05:26","-23.1","71"
"2018-02-02 05:36","-23.2","71"
"2018-02-02 05:46","-23.3","71"
"2018-02-02 05:56","-23.4","71"
"2018-02-02 06:06","-23.5","71"
"2018-02-02 06:16","-23.5","72"
"2018-02-02 06:26","-23.5","73"
"2018-02-02 06:36","-23.5","74"
"2018-02-02 06:46","-23.5","74"
"2018-02-02 06:56","-23.6","74"
"2018-02-02 07:06","-23.5","75"
"2018-02-02 07:16","-23.4","75"
"2018-02-02 07:26","-23.3","75"
"2018-02-02 07:36","-23.3","74"
"2018-02-02 07:46","-23.3","73"
"2018-02-02 07:56","-23.2","73"
"2018-02-02 08:06","-23.3","73"
"2018-02-02 08:16","-23.0","75"
"2018-02-02 08:26","-22.6","77"
"2018-02-02 08:36","-22.4","76"
"2018-02-02 08:46","-22.4","75"
"2018-02-02 08:56","-22.6","71"
"2018-02-02 09:06","-22.7","69"
"2018-02-02 09:16","-23.1","67"
"2018-02-02 09:26","-23.1","67"
"2018-02-02 09:36","-23.4","65"
"2018-02-02 09:46","-23.5","63"
"2018-02-02 09:56","-23.6","62"
"2018-02-02 10:06","-23.9","61"
"2018-02-02 10:16","-24.0","60"
"2018-02-02 10:26","-24.0","59"
"2018-02-02 10:36","-24.0","58"
"2018-02-02 10:46","-24.4","55"
"2018-02-02 10:56","-24.4","54"
"2018-02-02 11:06","-24.2","54"
"2018-02-02 11:16","-24.0","53"
"2018-02-02 11:26","-23.7","53"
"2018-02-02 11:36","-23.9","50"
"2018-02-02 11:46","-23.9","52"
"2018-02-02 11:56","-24.2","51"
"2018-02-02 12:06","-23.8","52"
"2018-02-02 12:16","-23.7","50"
"2018-02-02 12:26","-23.2","51"
"2018-02-02 12:36","-24.1","49"
"2018-02-02 12:46","-23.7","51"
"2018-02-02 12:56","-23.9","48"
"2018-02-02 13:06","-23.6","49"
"2018-02-02 13:16","-23.8","47"
"2018-02-02 13:26","-23.3","49"
"2018-02-02 13:36","-23.4","48"
"2018-02-02 13:46","-23.6","48"
"2018-02-02 13:56","-23.2","48"
"2018-02-02 14:06","-23.2","49"
"2018-02-02 14:16","-23.2","47"
"2018-02-02 14:26","-23.3","48"
"2018-02-02 14:36","-23.4","49"
"2018-02-02 14:56","-23.4","49"
"2018-02-02 15:16","-23.3","48"
"2018-02-02 15:36","-23.6","46"
"2018-02-02 15:56","-23.7","47"
"2018-02-02 16:16","-23.4","48"
"2018-02-02 16:36","-23.5","48"
"2018-02-02 16:56","-23.7","50"
"2018-02-02 17:17","-23.9","50"
"2018-02-02 17:37","-23.9","54"
"2018-02-02 17:56","-24.2","60"
"2018-02-02 18:17","-23.8","61"
"2018-02-02 18:26","-23.9","60"
"2018-02-02 18:36","-24.3","59"
"2018-02-02 18:46","-24.9","62"
"2018-02-02 18:56","-24.9","64"
"2018-02-02 19:06","-24.9","66"
"2018-02-02 19:16","-24.6","68"
"2018-02-02 19:26","-24.9","68"
"2018-02-02 19:36","-25.1","69"
"2018-02-02 19:46","-25.4","69"
"2018-02-02 19:56","-25.4","69"
"2018-02-02 20:06","-25.2","70"
"2018-02-02 20:16","-25.0","71"
"2018-02-02 20:26","-25.3","70"
"2018-02-02 20:36","-26.1","71"
"2018-02-02 20:46","-25.7","75"
"2018-02-02 20:56","-25.5","74"
"2018-02-02 21:06","-25.0","75"
"2018-02-02 21:16","-25.9","73"
"2018-02-02 21:26","-26.9","74"
"2018-02-02 21:36","-26.5","76"
"2018-02-02 21:46","-26.5","77"
"2018-02-02 21:56","-26.6","77"
"2018-02-02 22:06","-26.7","78"
"2018-02-02 22:16","-27.1","78"
"2018-02-02 22:26","-27.2","78"
"2018-02-02 22:36","-27.3","79"
"2018-02-02 22:46","-27.2","79"
"2018-02-02 22:56","-27.6","77"
"2018-02-02 23:06","-28.0","78"
"2018-02-02 23:16","-27.5","79"
"2018-02-02 23:26","-27.8","78"
"2018-02-02 23:36","-26.9","80"
"2018-02-02 23:46","-27.1","77"
"2018-02-02 23:56","-27.8","79"
"2018-02-03 00:06","-27.0","80"
"2018-02-03 00:16","-26.3","80"
"2018-02-03 00:26","-26.4","79"
"2018-02-03 00:36","-26.5","79"
"2018-02-03 00:46","-26.2","79"
"2018-02-03 00:56","-25.8","79"
"2018-02-03 01:06","-25.8","78"
"2018-02-03 01:16","-26.0","78"
"2018-02-03 01:26","-26.0","79"
"2018-02-03 01:36","-25.6","79"
"2018-02-03 01:46","-25.3","79"
"2018-02-03 01:56","-25.1","79"
"2018-02-03 02:06","-24.4","80"
