"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:06","7","W","8"
"2018-01-01 00:16","7","W","9"
"2018-01-01 00:26","6","W","9"
"2018-01-01 00:36","7","WSW","10"
"2018-01-01 00:46","6","WSW","9"
"2018-01-01 00:57","5","W","7"
"2018-01-01 01:06","6","W","9"
"2018-01-01 01:16","6","WSW","8"
"2018-01-01 01:26","8","WSW","11"
"2018-01-01 01:36","6","WSW","8"
"2018-01-01 01:46","5","WSW","6"
"2018-01-01 01:57","4","W","5"
"2018-01-01 02:06","5","W","6"
"2018-01-01 02:16","6","W","9"
"2018-01-01 02:26","5","W","6"
"2018-01-01 02:36","6","W","8"
"2018-01-01 02:46","5","W","8"
"2018-01-01 02:57","3","W","6"
"2018-01-01 03:06","3","W","5"
"2018-01-01 03:16","2","W","3"
"2018-01-01 03:26","2","W","4"
"2018-01-01 03:36","4","W","5"
"2018-01-01 03:46","4","WSW","6"
"2018-01-01 03:57","1","W","3"
"2018-01-01 04:06","0","W","1"
"2018-01-01 04:16","0","W","0"
"2018-01-01 04:26","0","WSW","0"
"2018-01-01 04:36","0","W","0"
"2018-01-01 04:46","0","W","0"
"2018-01-01 04:57","0","W","0"
"2018-01-01 05:06","0","W","2"
"2018-01-01 05:17","0","W","0"
"2018-01-01 05:26","1","W","3"
"2018-01-01 05:36","0","W","2"
"2018-01-01 05:46","0","W","0"
"2018-01-01 05:57","0","W","0"
"2018-01-01 06:06","0","W","0"
"2018-01-01 06:16","1","W","2"
"2018-01-01 06:26","1","W","2"
"2018-01-01 06:36","0","W","1"
"2018-01-01 06:46","1","W","3"
"2018-01-01 06:57","5","WSW","7"
"2018-01-01 07:06","3","WSW","4"
"2018-01-01 07:16","3","W","4"
"2018-01-01 07:26","2","W","3"
"2018-01-01 07:36","3","W","4"
"2018-01-01 07:46","2","W","3"
"2018-01-01 07:57","2","W","4"
"2018-01-01 08:06","1","W","2"
"2018-01-01 08:16","1","W","3"
"2018-01-01 08:26","0","W","1"
"2018-01-01 08:36","0","W","0"
"2018-01-01 08:46","0","W","0"
"2018-01-01 08:57","0","W","0"
"2018-01-01 09:06","0","W","0"
"2018-01-01 09:16","0","W","0"
"2018-01-01 09:26","2","W","4"
"2018-01-01 09:36","1","W","2"
"2018-01-01 09:46","0","WSW","1"
"2018-01-01 09:57","1","WSW","1"
"2018-01-01 10:06","0","WSW","1"
"2018-01-01 10:16","0","WSW","1"
"2018-01-01 10:26","4","ESE","5"
"2018-01-01 10:36","2","E","4"
"2018-01-01 10:46","2","E","4"
"2018-01-01 10:57","4","E","8"
"2018-01-01 11:06","5","ESE","7"
"2018-01-01 11:16","7","ESE","9"
"2018-01-01 11:26","8","ESE","10"
"2018-01-01 11:36","8","ESE","10"
"2018-01-01 11:46","7","ESE","8"
"2018-01-01 11:57","8","ESE","10"
"2018-01-01 12:06","9","ESE","12"
"2018-01-01 12:16","5","ENE","9"
"2018-01-01 12:26","8","ENE","11"
"2018-01-01 12:36","8","E","11"
"2018-01-01 12:46","9","E","13"
"2018-01-01 12:57","9","ENE","13"
"2018-01-01 13:06","9","E","11"
"2018-01-01 13:16","6","E","10"
"2018-01-01 13:26","7","ENE","9"
"2018-01-01 13:36","5","ENE","10"
"2018-01-01 13:46","8","ENE","11"
"2018-01-01 13:57","6","ENE","12"
"2018-01-01 14:06","6","ENE","10"
"2018-01-01 14:16","7","ENE","11"
"2018-01-01 14:26","6","ENE","9"
"2018-01-01 14:36","5","ENE","9"
"2018-01-01 14:46","5","ENE","7"
"2018-01-01 14:57","9","ENE","13"
"2018-01-01 15:06","6","E","9"
"2018-01-01 15:16","9","ESE","14"
"2018-01-01 15:26","7","E","10"
"2018-01-01 15:36","4","E","7"
"2018-01-01 15:46","4","E","8"
"2018-01-01 15:57","3","ENE","5"
"2018-01-01 16:06","5","E","7"
"2018-01-01 16:16","5","ENE","11"
"2018-01-01 16:26","6","ENE","10"
"2018-01-01 16:36","5","NE","8"
"2018-01-01 16:46","5","ENE","8"
"2018-01-01 16:57","5","ENE","7"
"2018-01-01 17:06","3","ENE","6"
"2018-01-01 17:16","3","ENE","4"
"2018-01-01 17:26","4","ENE","6"
"2018-01-01 17:36","3","ENE","4"
"2018-01-01 17:46","4","ENE","5"
"2018-01-01 17:57","3","ENE","5"
