"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-03-01 00:06","-1.2","84"
"2018-03-01 00:16","-1.2","84"
"2018-03-01 00:26","-1.2","84"
"2018-03-01 00:36","-1.3","84"
"2018-03-01 00:46","-1.2","84"
"2018-03-01 00:56","-1.3","84"
"2018-03-01 01:06","-1.3","84"
"2018-03-01 01:16","-1.4","84"
"2018-03-01 01:26","-1.5","84"
"2018-03-01 01:36","-1.7","83"
"2018-03-01 01:46","-1.8","82"
"2018-03-01 01:56","-2.0","81"
"2018-03-01 02:06","-2.0","81"
"2018-03-01 02:16","-2.2","80"
"2018-03-01 02:26","-2.3","80"
"2018-03-01 02:36","-2.3","79"
"2018-03-01 02:46","-2.3","79"
"2018-03-01 02:56","-2.2","80"
"2018-03-01 03:06","-2.1","81"
"2018-03-01 03:16","-2.2","81"
"2018-03-01 03:26","-2.2","81"
"2018-03-01 03:36","-2.1","82"
"2018-03-01 03:46","-2.1","83"
"2018-03-01 03:56","-2.2","84"
"2018-03-01 04:06","-2.3","85"
"2018-03-01 04:16","-2.4","86"
"2018-03-01 04:26","-2.7","86"
"2018-03-01 04:36","-2.7","88"
"2018-03-01 04:46","-2.6","89"
"2018-03-01 04:56","-2.7","89"
"2018-03-01 05:06","-2.8","90"
"2018-03-01 05:16","-2.8","90"
"2018-03-01 05:26","-3.0","91"
"2018-03-01 05:36","-3.1","91"
"2018-03-01 05:46","-3.0","92"
"2018-03-01 05:56","-3.2","91"
"2018-03-01 06:06","-3.4","92"
"2018-03-01 06:16","-3.5","92"
"2018-03-01 06:26","-3.8","92"
"2018-03-01 06:36","-3.7","93"
"2018-03-01 06:46","-3.9","92"
"2018-03-01 06:56","-3.8","92"
"2018-03-01 07:06","-3.9","91"
"2018-03-01 07:16","-3.7","91"
"2018-03-01 07:26","-3.6","90"
"2018-03-01 08:26","-3.8","81"
"2018-03-01 08:36","-4.0","81"
"2018-03-01 08:46","-3.8","80"
"2018-03-01 08:56","-3.6","79"
"2018-03-01 09:06","-3.8","76"
"2018-03-01 09:16","-4.0","74"
"2018-03-01 09:26","-3.8","75"
"2018-03-01 09:36","-3.9","71"
"2018-03-01 09:46","-4.0","71"
"2018-03-01 09:56","-3.9","70"
"2018-03-01 10:06","-3.8","69"
"2018-03-01 10:16","-4.0","67"
"2018-03-01 10:26","-3.9","67"
"2018-03-01 10:36","-4.1","65"
"2018-03-01 10:46","-4.1","61"
"2018-03-01 10:56","-4.0","60"
"2018-03-01 11:06","-4.1","57"
"2018-03-01 11:16","-4.2","57"
"2018-03-01 11:26","-4.6","54"
"2018-03-01 11:36","-4.0","56"
"2018-03-01 11:46","-5.1","52"
"2018-03-01 11:56","-5.2","51"
"2018-03-01 12:06","-5.4","50"
"2018-03-01 12:16","-5.2","51"
"2018-03-01 12:26","-5.4","49"
"2018-03-01 12:36","-4.8","50"
"2018-03-01 12:46","-5.6","44"
"2018-03-01 12:56","-5.4","46"
"2018-03-01 13:06","-5.9","43"
"2018-03-01 13:16","-6.3","42"
"2018-03-01 13:26","-7.0","41"
"2018-03-01 13:36","-7.0","41"
"2018-03-01 13:46","-7.5","39"
"2018-03-01 13:56","-7.5","38"
"2018-03-01 14:06","-7.4","40"
"2018-03-01 14:16","-7.3","39"
"2018-03-01 14:26","-7.3","40"
"2018-03-01 14:36","-6.1","43"
"2018-03-01 14:46","-6.8","42"
"2018-03-01 14:56","-7.4","40"
"2018-03-01 15:06","-6.7","40"
"2018-03-01 15:16","-7.2","40"
"2018-03-01 15:26","-6.6","41"
"2018-03-01 15:36","-8.5","37"
"2018-03-01 15:46","-8.3","38"
"2018-03-01 15:56","-9.3","35"
"2018-03-01 16:06","-8.1","40"
"2018-03-01 16:16","-6.8","46"
"2018-03-01 16:26","-6.1","50"
"2018-03-01 16:36","-5.6","53"
"2018-03-01 16:46","-5.1","57"
"2018-03-01 16:56","-5.0","61"
"2018-03-01 17:06","-5.0","63"
"2018-03-01 17:16","-4.8","66"
"2018-03-01 17:26","-4.6","68"
"2018-03-01 17:36","-4.5","70"
"2018-03-01 17:46","-4.4","73"
"2018-03-01 17:56","-4.4","75"
"2018-03-01 18:06","-4.4","76"
"2018-03-01 18:16","-4.5","76"
"2018-03-01 18:26","-4.7","76"
"2018-03-01 18:36","-4.6","76"
"2018-03-01 18:46","-4.6","77"
"2018-03-01 18:56","-4.5","77"
"2018-03-01 19:06","-4.5","77"
"2018-03-01 19:16","-4.5","77"
"2018-03-01 19:26","-4.5","77"
"2018-03-01 19:36","-4.5","77"
"2018-03-01 19:46","-4.4","77"
"2018-03-01 19:56","-4.4","77"
"2018-03-01 20:06","-4.3","77"
"2018-03-01 20:16","-4.2","77"
"2018-03-01 20:26","-4.1","77"
"2018-03-01 20:36","-4.0","78"
"2018-03-01 20:46","-4.0","78"
"2018-03-01 20:56","-3.9","78"
"2018-03-01 21:06","-3.9","78"
"2018-03-01 21:16","-3.9","78"
"2018-03-01 21:26","-3.9","78"
"2018-03-01 21:36","-3.9","77"
"2018-03-01 21:46","-4.0","77"
"2018-03-01 21:56","-4.0","77"
"2018-03-01 22:06","-4.1","76"
"2018-03-01 22:16","-4.2","76"
"2018-03-01 22:26","-4.2","76"
