"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2017-11-01 00:07","-1.6","93"
"2017-11-01 00:16","-1.7","88"
"2017-11-01 00:27","-1.9","92"
"2017-11-01 00:36","-1.2","92"
"2017-11-01 00:47","-1.4","91"
"2017-11-01 00:56","-1.8","92"
"2017-11-01 01:08","-1.3","93"
"2017-11-01 01:16","-1.7","93"
"2017-11-01 01:28","-1.0","91"
"2017-11-01 01:36","-1.2","93"
"2017-11-01 01:47","-0.9","90"
"2017-11-01 01:56","-1.2","91"
"2017-11-01 02:07","-1.6","91"
"2017-11-01 02:16","-1.6","94"
"2017-11-01 02:27","-1.1","95"
"2017-11-01 02:36","-1.1","95"
"2017-11-01 02:48","-0.7","94"
"2017-11-01 02:56","-1.2","94"
"2017-11-01 03:07","-1.1","94"
"2017-11-01 03:16","-1.4","95"
"2017-11-01 03:27","-1.2","96"
"2017-11-01 03:36","-1.2","96"
"2017-11-01 03:47","-1.4","96"
"2017-11-01 03:56","-1.1","96"
"2017-11-01 04:07","-1.3","96"
"2017-11-01 04:16","-1.1","97"
"2017-11-01 04:26","-1.1","97"
"2017-11-01 04:36","-0.8","97"
"2017-11-01 04:47","-0.6","97"
"2017-11-01 04:56","-0.8","96"
"2017-11-01 05:07","-0.8","97"
"2017-11-01 05:16","-0.6","97"
"2017-11-01 05:26","-0.4","97"
"2017-11-01 05:36","0.1","95"
"2017-11-01 05:46","0.0","94"
"2017-11-01 05:56","-0.2","94"
"2017-11-01 06:07","-0.2","94"
"2017-11-01 06:16","-0.1","95"
"2017-11-01 06:27","0.0","96"
"2017-11-01 06:36","0.0","95"
"2017-11-01 06:47","0.0","95"
"2017-11-01 06:56","0.2","95"
"2017-11-01 07:07","0.1","95"
"2017-11-01 07:16","0.2","95"
"2017-11-01 07:27","0.2","95"
"2017-11-01 07:36","0.3","96"
"2017-11-01 07:46","0.4","96"
"2017-11-01 07:56","0.4","96"
"2017-11-01 08:07","0.5","96"
"2017-11-01 08:16","0.5","96"
"2017-11-01 08:27","0.5","96"
"2017-11-01 08:36","0.6","96"
"2017-11-01 08:47","0.7","96"
"2017-11-01 08:56","0.7","96"
"2017-11-01 09:07","0.9","96"
"2017-11-01 09:16","1.0","96"
"2017-11-01 09:27","1.0","96"
"2017-11-01 09:36","1.2","96"
"2017-11-01 09:47","1.4","96"
"2017-11-01 09:56","1.5","95"
"2017-11-01 10:07","1.5","95"
"2017-11-01 10:16","1.6","95"
"2017-11-01 10:27","1.6","95"
"2017-11-01 10:36","1.8","94"
"2017-11-01 10:47","1.9","94"
"2017-11-01 10:56","2.0","94"
"2017-11-01 11:07","2.1","93"
"2017-11-01 11:16","2.2","92"
"2017-11-01 11:27","2.5","92"
"2017-11-01 11:36","2.5","92"
