"Time EST","Pressure (kPa)"
"2017-11-01 00:07","100.57"
"2017-11-01 00:16","100.59"
"2017-11-01 00:27","100.60"
"2017-11-01 00:36","100.62"
"2017-11-01 00:47","100.62"
"2017-11-01 00:56","100.62"
"2017-11-01 01:08","100.62"
"2017-11-01 01:16","100.64"
"2017-11-01 01:28","100.66"
"2017-11-01 01:36","100.67"
"2017-11-01 01:47","100.67"
"2017-11-01 01:56","100.69"
"2017-11-01 02:07","100.69"
"2017-11-01 02:16","100.71"
"2017-11-01 02:27","100.73"
"2017-11-01 02:36","100.74"
"2017-11-01 02:48","100.74"
"2017-11-01 02:56","100.73"
"2017-11-01 03:07","100.71"
"2017-11-01 03:16","100.71"
"2017-11-01 03:27","100.70"
"2017-11-01 03:36","100.71"
"2017-11-01 03:47","100.72"
"2017-11-01 03:56","100.71"
"2017-11-01 04:07","100.69"
"2017-11-01 04:16","100.69"
"2017-11-01 04:26","100.70"
"2017-11-01 04:36","100.70"
"2017-11-01 04:47","100.69"
"2017-11-01 04:56","100.70"
"2017-11-01 05:07","100.69"
"2017-11-01 05:16","100.68"
"2017-11-01 05:26","100.73"
"2017-11-01 05:36","100.77"
"2017-11-01 05:46","100.78"
"2017-11-01 05:56","100.78"
"2017-11-01 06:07","100.78"
"2017-11-01 06:16","100.77"
"2017-11-01 06:27","100.78"
"2017-11-01 06:36","100.78"
"2017-11-01 06:47","100.77"
"2017-11-01 06:56","100.79"
"2017-11-01 07:07","100.80"
"2017-11-01 07:16","100.80"
"2017-11-01 07:27","100.81"
"2017-11-01 07:36","100.80"
"2017-11-01 07:46","100.81"
"2017-11-01 07:56","100.82"
"2017-11-01 08:07","100.84"
"2017-11-01 08:16","100.87"
"2017-11-01 08:27","100.88"
"2017-11-01 08:36","100.89"
"2017-11-01 08:47","100.90"
"2017-11-01 08:56","100.92"
"2017-11-01 09:07","100.94"
"2017-11-01 09:16","100.94"
"2017-11-01 09:27","100.95"
"2017-11-01 09:36","100.95"
"2017-11-01 09:47","100.95"
"2017-11-01 09:56","100.96"
"2017-11-01 10:07","100.97"
"2017-11-01 10:16","100.97"
"2017-11-01 10:27","100.96"
"2017-11-01 10:36","100.97"
"2017-11-01 10:47","100.98"
"2017-11-01 10:56","100.97"
"2017-11-01 11:07","100.97"
"2017-11-01 11:16","100.97"
"2017-11-01 11:27","100.97"
"2017-11-01 11:36","100.96"
"2017-11-01 11:47","100.94"
"2017-11-01 11:56","100.94"
"2017-11-01 12:07","100.93"
"2017-11-01 12:16","100.91"
"2017-11-01 12:28","100.91"
"2017-11-01 12:36","100.91"
"2017-11-01 12:47","100.90"
"2017-11-01 12:56","100.88"
"2017-11-01 13:07","100.88"
"2017-11-01 13:16","100.87"
"2017-11-01 13:27","100.88"
"2017-11-01 13:36","100.87"
"2017-11-01 13:47","100.87"
"2017-11-01 13:56","100.85"
"2017-11-01 14:08","100.84"
"2017-11-01 14:16","100.83"
"2017-11-01 14:28","100.84"
"2017-11-01 14:36","100.85"
"2017-11-01 14:48","100.84"
"2017-11-01 14:56","100.84"
"2017-11-01 15:07","100.82"
"2017-11-01 15:16","100.83"
"2017-11-01 15:27","100.83"
"2017-11-01 15:36","100.82"
"2017-11-01 15:47","100.83"
"2017-11-01 15:56","100.83"
"2017-11-01 16:07","100.81"
"2017-11-01 16:16","100.84"
"2017-11-01 16:28","100.83"
"2017-11-01 16:36","100.82"
"2017-11-01 16:47","100.82"
"2017-11-01 16:56","100.84"
"2017-11-01 17:09","100.84"
"2017-11-01 17:16","100.84"
"2017-11-01 17:27","100.84"
"2017-11-01 17:36","100.82"
"2017-11-01 17:47","100.83"
"2017-11-01 17:56","100.84"
"2017-11-01 18:08","100.81"
"2017-11-01 18:16","100.82"
"2017-11-01 18:28","100.82"
"2017-11-01 18:36","100.81"
"2017-11-01 18:47","100.83"
"2017-11-01 18:56","100.83"
"2017-11-01 19:07","100.83"
"2017-11-01 19:16","100.85"
"2017-11-01 19:28","100.83"
"2017-11-01 19:36","100.81"
"2017-11-01 19:48","100.81"
"2017-11-01 19:56","100.82"
"2017-11-01 20:07","100.81"
"2017-11-01 20:16","100.81"
"2017-11-01 20:26","100.80"
"2017-11-01 20:36","100.81"
"2017-11-01 20:47","100.83"
"2017-11-01 20:56","100.81"
"2017-11-01 21:06","100.81"
"2017-11-01 21:16","100.82"
"2017-11-01 21:26","100.82"
"2017-11-01 21:36","100.81"
"2017-11-01 21:46","100.79"
"2017-11-01 21:56","100.79"
"2017-11-01 22:06","100.77"
"2017-11-01 22:16","100.78"
"2017-11-01 22:26","100.78"
"2017-11-01 22:36","100.80"
"2017-11-01 22:46","100.81"
"2017-11-01 22:56","100.81"
"2017-11-01 23:06","100.82"
"2017-11-01 23:16","100.79"
"2017-11-01 23:26","100.79"
"2017-11-01 23:36","100.80"
"2017-11-01 23:46","100.80"
"2017-11-01 23:56","100.78"
"2017-11-02 00:06","100.77"
"2017-11-02 00:16","100.75"
"2017-11-02 00:26","100.75"
"2017-11-02 00:36","100.74"
"2017-11-02 00:46","100.74"
"2017-11-02 00:56","100.72"
"2017-11-02 01:06","100.73"
"2017-11-02 01:16","100.68"
"2017-11-02 01:26","100.66"
"2017-11-02 01:36","100.65"
"2017-11-02 01:46","100.65"
"2017-11-02 01:56","100.70"
"2017-11-02 02:06","100.69"
"2017-11-02 02:16","100.66"
"2017-11-02 02:26","100.66"
"2017-11-02 02:36","100.63"
"2017-11-02 02:46","100.63"
"2017-11-02 02:56","100.61"
"2017-11-02 03:06","100.62"
"2017-11-02 03:16","100.60"
"2017-11-02 03:26","100.61"
"2017-11-02 03:36","100.58"
"2017-11-02 03:46","100.57"
"2017-11-02 03:56","100.55"
"2017-11-02 04:06","100.52"
"2017-11-02 04:16","100.51"
"2017-11-02 04:26","100.51"
"2017-11-02 04:36","100.48"
"2017-11-02 04:46","100.48"
"2017-11-02 04:56","100.44"
"2017-11-02 05:06","100.43"
"2017-11-02 05:16","100.40"
"2017-11-02 05:26","100.40"
"2017-11-02 05:36","100.40"
"2017-11-02 05:46","100.38"
"2017-11-02 05:56","100.36"
"2017-11-02 06:06","100.35"
"2017-11-02 06:16","100.34"
"2017-11-02 06:26","100.32"
"2017-11-02 06:36","100.31"
"2017-11-02 06:46","100.27"
"2017-11-02 06:56","100.31"
"2017-11-02 07:06","100.30"
"2017-11-02 07:16","100.27"
"2017-11-02 07:26","100.28"
"2017-11-02 07:36","100.27"
"2017-11-02 07:46","100.27"
"2017-11-02 07:56","100.25"
"2017-11-02 08:06","100.27"
"2017-11-02 08:16","100.26"
"2017-11-02 08:26","100.25"
"2017-11-02 08:36","100.25"
"2017-11-02 08:46","100.25"
"2017-11-02 08:56","100.28"
"2017-11-02 09:06","100.26"
"2017-11-02 09:16","100.25"
"2017-11-02 09:26","100.24"
"2017-11-02 09:36","100.23"
"2017-11-02 09:46","100.23"
"2017-11-02 09:56","100.22"
"2017-11-02 10:06","100.21"
"2017-11-02 10:16","100.21"
"2017-11-02 10:26","100.20"
"2017-11-02 10:36","100.22"
"2017-11-02 10:46","100.21"
"2017-11-02 10:56","100.22"
"2017-11-02 11:06","100.21"
"2017-11-02 11:16","100.21"
"2017-11-02 11:26","100.19"
"2017-11-02 11:36","100.18"
"2017-11-02 11:46","100.17"
"2017-11-02 11:56","100.17"
"2017-11-02 12:06","100.18"
"2017-11-02 12:16","100.14"
"2017-11-02 12:26","100.12"
"2017-11-02 12:36","100.14"
"2017-11-02 12:46","100.13"
"2017-11-02 12:56","100.12"
"2017-11-02 13:06","100.11"
"2017-11-02 13:16","100.09"
"2017-11-02 13:26","100.08"
"2017-11-02 13:36","100.05"
"2017-11-02 13:46","100.05"
"2017-11-02 13:56","100.05"
"2017-11-02 14:06","100.05"
"2017-11-02 14:16","100.03"
"2017-11-02 14:26","100.03"
"2017-11-02 14:36","100.03"
"2017-11-02 14:46","100.00"
"2017-11-02 14:56","100.01"
"2017-11-02 15:06","99.99"
"2017-11-02 15:16","100.00"
"2017-11-02 15:26","99.98"
"2017-11-02 15:36","100.00"
"2017-11-02 15:46","100.01"
