"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:06","8","W","13"
"2017-12-01 00:16","8","W","13"
"2017-12-01 00:26","8","W","17"
"2017-12-01 00:36","8","W","18"
"2017-12-01 00:46","7","WNW","13"
"2017-12-01 00:57","6","W","13"
"2017-12-01 01:06","6","W","13"
"2017-12-01 01:16","6","WNW","14"
"2017-12-01 01:26","8","WNW","17"
"2017-12-01 01:36","7","WNW","12"
"2017-12-01 01:46","7","WNW","14"
"2017-12-01 01:56","6","WNW","10"
"2017-12-01 02:06","5","WNW","10"
"2017-12-01 02:16","6","W","14"
"2017-12-01 02:26","5","WNW","11"
"2017-12-01 02:36","3","W","6"
"2017-12-01 02:46","3","W","6"
"2017-12-01 02:57","4","W","8"
"2017-12-01 03:07","5","W","8"
"2017-12-01 03:16","4","WNW","11"
"2017-12-01 03:36","5","NW","12"
"2017-12-01 03:56","5","NW","10"
"2017-12-01 04:16","3","NW","7"
"2017-12-01 04:36","3","WNW","8"
"2017-12-01 04:57","2","NW","7"
"2017-12-01 05:16","3","WNW","7"
"2017-12-01 05:36","3","WNW","8"
"2017-12-01 05:57","4","WNW","9"
"2017-12-01 06:16","4","WNW","8"
"2017-12-01 06:36","4","WNW","10"
"2017-12-01 06:57","4","NW","10"
"2017-12-01 07:16","3","W","5"
"2017-12-01 07:36","3","WSW","6"
"2017-12-01 07:57","2","W","5"
"2017-12-01 08:16","2","WSW","4"
"2017-12-01 08:36","2","W","4"
"2017-12-01 08:57","1","WNW","4"
"2017-12-01 09:16","1","SSW","3"
"2017-12-01 09:36","2","W","4"
"2017-12-01 09:57","2","W","5"
"2017-12-01 10:16","3","W","8"
"2017-12-01 10:36","3","W","8"
"2017-12-01 10:57","4","W","10"
"2017-12-01 11:16","6","WNW","11"
"2017-12-01 11:36","5","WNW","11"
"2017-12-01 11:57","4","WNW","8"
"2017-12-01 12:16","6","WNW","12"
"2017-12-01 12:36","5","WNW","11"
"2017-12-01 12:57","8","NW","16"
"2017-12-01 13:16","9","WNW","15"
"2017-12-01 13:36","8","NW","14"
"2017-12-01 13:46","7","NW","14"
"2017-12-01 13:57","6","NW","14"
"2017-12-01 14:06","5","NW","14"
"2017-12-01 14:16","4","NW","8"
"2017-12-01 14:26","5","NW","10"
"2017-12-01 14:36","3","NW","6"
"2017-12-01 14:46","3","NW","5"
"2017-12-01 14:57","3","NW","8"
"2017-12-01 15:06","3","NNW","8"
"2017-12-01 15:16","0","NW","4"
"2017-12-01 15:26","1","NW","3"
"2017-12-01 15:36","0","W","2"
"2017-12-01 15:46","1","WNW","5"
"2017-12-01 15:57","1","N","5"
"2017-12-01 16:06","1","N","5"
"2017-12-01 16:16","0","NNE","3"
"2017-12-01 16:26","1","N","4"
"2017-12-01 16:36","0","ENE","4"
"2017-12-01 16:46","1","ESE","5"
"2017-12-01 16:57","0","ESE","4"
"2017-12-01 17:06","0","ESE","3"
"2017-12-01 17:16","0","NNE","4"
"2017-12-01 17:26","0","N","2"
"2017-12-01 17:36","0","W","4"
"2017-12-01 17:46","0","WSW","4"
"2017-12-01 17:57","0","ESE","1"
"2017-12-01 18:06","1","SE","4"
"2017-12-01 18:16","1","SSE","4"
"2017-12-01 18:26","2","S","5"
"2017-12-01 18:36","2","S","5"
"2017-12-01 18:46","2","S","6"
"2017-12-01 18:57","2","S","7"
"2017-12-01 19:06","1","SSE","7"
"2017-12-01 19:16","1","SSE","4"
"2017-12-01 19:26","3","S","7"
"2017-12-01 19:36","3","S","8"
"2017-12-01 19:46","3","S","6"
"2017-12-01 19:57","4","S","10"
"2017-12-01 20:06","4","S","10"
"2017-12-01 20:16","3","S","6"
"2017-12-01 20:26","1","S","4"
"2017-12-01 20:36","3","SSE","8"
"2017-12-01 20:46","3","SSE","8"
"2017-12-01 20:57","4","SSE","8"
"2017-12-01 21:06","4","SSE","7"
"2017-12-01 21:16","3","S","6"
"2017-12-01 21:26","3","S","5"
"2017-12-01 21:36","1","S","4"
"2017-12-01 21:46","1","S","5"
"2017-12-01 21:56","1","SSE","4"
"2017-12-01 22:06","1","SE","4"
"2017-12-01 22:16","0","S","2"
"2017-12-01 22:26","1","S","3"
"2017-12-01 22:36","1","ESE","3"
"2017-12-01 22:46","1","ENE","3"
"2017-12-01 22:57","2","ENE","4"
"2017-12-01 23:06","2","ENE","4"
"2017-12-01 23:16","2","E","5"
"2017-12-01 23:26","1","ESE","4"
"2017-12-01 23:36","1","E","3"
"2017-12-01 23:46","1","E","3"
"2017-12-01 23:57","1","SE","3"
"2017-12-02 00:06","1","SE","4"
"2017-12-02 00:16","0","SE","3"
"2017-12-02 00:26","1","ESE","3"
"2017-12-02 00:36","0","SSE","3"
"2017-12-02 00:46","0","SE","3"
"2017-12-02 00:56","0","SE","3"
"2017-12-02 01:06","0","SE","3"
"2017-12-02 01:16","0","ESE","2"
"2017-12-02 01:26","0","ESE","2"
"2017-12-02 01:36","1","SE","3"
"2017-12-02 01:46","1","SE","5"
"2017-12-02 01:57","1","ESE","4"
"2017-12-02 02:06","1","ESE","4"
"2017-12-02 02:16","1","SE","3"
"2017-12-02 02:26","0","SE","3"
"2017-12-02 02:36","1","E","4"
"2017-12-02 02:46","1","E","4"
"2017-12-02 02:56","1","E","5"
"2017-12-02 03:06","1","ESE","5"
"2017-12-02 03:16","1","ESE","4"
"2017-12-02 03:26","1","ESE","4"
"2017-12-02 03:36","1","E","4"
"2017-12-02 03:46","0","ESE","1"
"2017-12-02 03:56","0","E","3"
"2017-12-02 04:06","0","ESE","2"
"2017-12-02 04:16","1","SE","5"
"2017-12-02 04:26","1","ESE","5"
"2017-12-02 04:36","2","SE","5"
"2017-12-02 04:46","2","SSE","5"
"2017-12-02 04:57","3","SSE","5"
"2017-12-02 05:06","2","SSE","6"
"2017-12-02 05:16","1","SE","5"
"2017-12-02 05:26","1","ESE","4"
"2017-12-02 05:36","2","SE","5"
"2017-12-02 05:46","1","SSE","5"
"2017-12-02 05:57","1","SE","4"
"2017-12-02 06:06","1","ESE","4"
"2017-12-02 06:16","1","SE","5"
"2017-12-02 06:26","1","SE","5"
"2017-12-02 06:36","3","SSE","5"
"2017-12-02 06:46","2","SSE","5"
"2017-12-02 06:57","1","SE","5"
"2017-12-02 07:06","1","SE","5"
"2017-12-02 07:16","1","SE","5"
"2017-12-02 07:26","2","E","5"
"2017-12-02 07:36","1","E","6"
"2017-12-02 07:46","1","E","6"
"2017-12-02 07:57","1","SE","4"
"2017-12-02 08:06","1","SE","4"
"2017-12-02 08:16","1","E","4"
"2017-12-02 08:26","1","E","5"
"2017-12-02 08:36","1","SE","6"
"2017-12-02 08:46","1","SE","5"
"2017-12-02 08:57","2","SSE","5"
"2017-12-02 09:06","2","SSE","6"
"2017-12-02 09:16","3","SSE","7"
"2017-12-02 09:26","3","SSE","7"
"2017-12-02 09:36","3","SE","6"
"2017-12-02 09:46","3","SSE","6"
"2017-12-02 09:57","2","SE","5"
"2017-12-02 10:06","1","SSE","5"
"2017-12-02 10:16","1","SE","5"
"2017-12-02 10:26","2","SE","5"
"2017-12-02 10:36","4","SSE","9"
"2017-12-02 10:46","5","SSE","9"
"2017-12-02 10:57","3","S","8"
"2017-12-02 11:06","5","SSE","8"
"2017-12-02 11:16","4","SSE","7"
"2017-12-02 11:26","4","SSE","7"
"2017-12-02 11:36","4","SSE","7"
"2017-12-02 11:46","4","SSE","9"
"2017-12-02 11:57","4","S","7"
"2017-12-02 12:06","4","S","7"
"2017-12-02 12:16","2","ESE","5"
"2017-12-02 12:26","4","ESE","8"
"2017-12-02 12:36","4","ESE","10"
"2017-12-02 12:46","5","SE","10"
"2017-12-02 12:57","6","SSE","12"
"2017-12-02 13:06","5","SE","10"
"2017-12-02 13:16","4","SE","9"
"2017-12-02 13:26","4","SE","9"
"2017-12-02 13:36","4","ESE","8"
"2017-12-02 13:46","4","ESE","8"
"2017-12-02 13:57","3","ESE","7"
"2017-12-02 14:06","4","ESE","9"
"2017-12-02 14:16","4","ESE","8"
"2017-12-02 14:26","4","SE","8"
"2017-12-02 14:36","4","SE","9"
"2017-12-02 14:46","5","SE","9"
"2017-12-02 14:56","4","SE","9"
"2017-12-02 15:06","3","SE","7"
"2017-12-02 15:16","3","SE","7"
"2017-12-02 15:26","4","ESE","8"
"2017-12-02 15:36","2","SE","6"
"2017-12-02 15:46","2","ESE","5"
"2017-12-02 15:57","2","ESE","6"
"2017-12-02 16:06","2","ESE","6"
"2017-12-02 16:16","2","ESE","5"
"2017-12-02 16:26","1","ESE","4"
"2017-12-02 16:36","0","E","3"
"2017-12-02 16:46","0","E","1"
"2017-12-02 16:57","0","ENE","3"
"2017-12-02 17:06","0","NE","3"
"2017-12-02 17:16","1","SE","4"
"2017-12-02 17:26","2","E","5"
"2017-12-02 17:36","3","ESE","7"
"2017-12-02 17:46","3","ESE","6"
"2017-12-02 17:57","3","SE","7"
"2017-12-02 18:06","3","SE","7"
"2017-12-02 18:16","2","ESE","8"
"2017-12-02 18:26","3","ESE","7"
"2017-12-02 18:36","2","SSE","5"
"2017-12-02 18:46","1","SW","4"
"2017-12-02 18:57","1","SE","5"
"2017-12-02 19:06","1","ESE","5"
"2017-12-02 19:16","1","SE","5"
"2017-12-02 19:26","1","ESE","4"
"2017-12-02 19:36","2","ESE","5"
"2017-12-02 19:46","2","ESE","6"
"2017-12-02 19:57","2","ESE","5"
"2017-12-02 20:06","2","ESE","5"
"2017-12-02 20:16","2","ESE","5"
"2017-12-02 20:26","1","SE","5"
"2017-12-02 20:36","2","SE","5"
"2017-12-02 20:46","1","SE","5"
"2017-12-02 20:57","1","SE","6"
"2017-12-02 21:06","1","SE","4"
