"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-01-01 00:06","-28.5","79"
"2018-01-01 00:16","-28.7","78"
"2018-01-01 00:26","-28.8","78"
"2018-01-01 00:36","-29.0","78"
"2018-01-01 00:46","-28.9","78"
"2018-01-01 00:57","-29.5","77"
"2018-01-01 01:06","-29.7","77"
"2018-01-01 01:16","-30.2","77"
"2018-01-01 01:26","-30.2","77"
"2018-01-01 02:16","-31.0","76"
"2018-01-01 02:26","-31.0","76"
"2018-01-01 02:36","-31.4","75"
"2018-01-01 02:46","-31.5","76"
"2018-01-01 02:57","-31.6","76"
"2018-01-01 03:06","-31.7","75"
"2018-01-01 03:16","-32.1","75"
"2018-01-01 03:26","-32.3","75"
"2018-01-01 03:36","-32.6","74"
"2018-01-01 03:46","-32.9","74"
"2018-01-01 03:57","-32.8","75"
"2018-01-01 04:06","-32.9","75"
"2018-01-01 04:16","-33.1","74"
"2018-01-01 04:26","-33.5","74"
"2018-01-01 04:36","-33.5","74"
"2018-01-01 04:46","-33.6","74"
"2018-01-01 04:57","-33.8","74"
"2018-01-01 05:06","-34.3","73"
"2018-01-01 05:16","-34.2","73"
"2018-01-01 05:26","-34.4","73"
"2018-01-01 05:36","-34.4","73"
"2018-01-01 05:46","-34.4","73"
"2018-01-01 05:57","-34.6","73"
"2018-01-01 06:06","-34.6","73"
"2018-01-01 06:16","-34.6","73"
"2018-01-01 06:26","-34.9","73"
"2018-01-01 06:36","-34.9","73"
"2018-01-01 06:46","-34.8","73"
"2018-01-01 06:57","-34.8","73"
"2018-01-01 07:06","-34.9","72"
"2018-01-01 07:16","-34.6","73"
"2018-01-01 07:26","-34.1","74"
"2018-01-01 07:36","-34.1","73"
"2018-01-01 07:46","-34.0","73"
"2018-01-01 07:57","-33.9","74"
"2018-01-01 08:06","-33.7","74"
"2018-01-01 08:16","-33.4","74"
"2018-01-01 08:26","-33.0","75"
"2018-01-01 08:36","-32.6","75"
"2018-01-01 08:46","-32.2","75"
"2018-01-01 08:57","-31.5","76"
"2018-01-01 09:06","-31.0","76"
"2018-01-01 09:16","-30.2","77"
"2018-01-01 09:26","-30.2","76"
"2018-01-01 09:36","-29.8","77"
"2018-01-01 09:46","-29.3","78"
"2018-01-01 09:57","-27.8","78"
"2018-01-01 10:06","-27.0","78"
"2018-01-01 10:16","-27.1","78"
"2018-01-01 10:26","-26.9","78"
"2018-01-01 10:36","-25.8","80"
"2018-01-01 10:46","-25.6","80"
"2018-01-01 10:57","-25.1","79"
"2018-01-01 11:06","-25.0","78"
"2018-01-01 11:16","-25.6","76"
"2018-01-01 11:26","-25.0","78"
"2018-01-01 11:36","-24.1","77"
"2018-01-01 11:46","-25.0","73"
"2018-01-01 11:57","-25.2","71"
"2018-01-01 12:06","-24.9","69"
"2018-01-01 12:16","-24.2","69"
"2018-01-01 12:26","-24.5","67"
"2018-01-01 12:36","-25.0","65"
"2018-01-01 12:46","-24.7","63"
"2018-01-01 12:57","-24.4","67"
"2018-01-01 13:06","-24.4","64"
"2018-01-01 13:16","-24.4","63"
"2018-01-01 13:26","-24.3","61"
"2018-01-01 13:36","-23.8","64"
"2018-01-01 13:46","-24.2","65"
"2018-01-01 13:57","-24.0","65"
"2018-01-01 14:06","-24.2","63"
"2018-01-01 14:16","-23.9","65"
"2018-01-01 14:26","-24.0","64"
"2018-01-01 14:36","-23.7","66"
"2018-01-01 14:46","-23.5","67"
"2018-01-01 14:57","-23.3","69"
"2018-01-01 15:06","-23.0","71"
"2018-01-01 15:16","-23.0","71"
"2018-01-01 15:26","-22.8","73"
"2018-01-01 15:36","-22.9","73"
"2018-01-01 15:46","-22.7","74"
"2018-01-01 15:57","-22.4","75"
"2018-01-01 16:06","-22.5","76"
"2018-01-01 16:16","-22.4","76"
"2018-01-01 16:26","-22.3","77"
"2018-01-01 16:36","-22.1","78"
"2018-01-01 16:46","-22.3","78"
"2018-01-01 16:57","-22.5","79"
"2018-01-01 17:06","-22.6","79"
"2018-01-01 17:16","-22.6","79"
"2018-01-01 17:26","-22.7","79"
"2018-01-01 17:36","-22.9","79"
"2018-01-01 17:46","-23.2","80"
"2018-01-01 17:57","-23.2","80"
"2018-01-01 18:06","-23.3","80"
"2018-01-01 18:16","-23.4","80"
"2018-01-01 18:26","-23.5","81"
"2018-01-01 18:36","-23.5","81"
"2018-01-01 18:46","-23.6","81"
