"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:06","1","W","3"
"2018-01-01 00:16","1","W","4"
"2018-01-01 00:26","0","WNW","3"
"2018-01-01 00:36","0","NW","3"
"2018-01-01 00:46","0","WNW","2"
"2018-01-01 00:57","0","WSW","0"
"2018-01-01 01:06","0","WSW","0"
"2018-01-01 01:16","0","N/A","3"
"2018-01-01 02:16","","N/A","0"
"2018-01-01 02:26","2","W","3"
"2018-01-01 02:36","2","WSW","3"
"2018-01-01 02:46","0","WSW","1"
"2018-01-01 02:57","0","WSW","2"
"2018-01-01 03:06","0","WSW","2"
"2018-01-01 03:16","1","W","2"
"2018-01-01 03:26","0","W","1"
"2018-01-01 03:36","0","W","0"
"2018-01-01 03:46","0","W","3"
"2018-01-01 03:57","2","W","4"
"2018-01-01 04:06","2","W","3"
"2018-01-01 04:16","2","W","4"
"2018-01-01 04:26","1","WSW","3"
"2018-01-01 04:36","1","WSW","3"
"2018-01-01 04:46","4","W","5"
"2018-01-01 04:57","2","WSW","3"
"2018-01-01 05:06","2","WSW","4"
"2018-01-01 05:16","1","WSW","3"
"2018-01-01 05:26","3","WSW","4"
"2018-01-01 05:36","4","WSW","5"
"2018-01-01 05:46","4","W","5"
"2018-01-01 05:57","3","WSW","5"
"2018-01-01 06:06","2","WSW","4"
"2018-01-01 06:16","2","WSW","4"
"2018-01-01 06:26","1","WSW","3"
"2018-01-01 06:36","1","WSW","3"
"2018-01-01 06:46","3","WSW","4"
"2018-01-01 06:57","2","SW","4"
"2018-01-01 07:06","2","WSW","5"
"2018-01-01 07:16","5","WSW","7"
"2018-01-01 07:26","3","WSW","7"
"2018-01-01 07:36","3","SW","4"
"2018-01-01 07:46","2","SSW","4"
"2018-01-01 07:57","2","SSW","5"
"2018-01-01 08:06","1","S","2"
"2018-01-01 08:16","0","S","2"
"2018-01-01 08:26","1","SSE","2"
"2018-01-01 08:36","1","SE","3"
"2018-01-01 08:46","2","ENE","3"
"2018-01-01 08:57","1","NW","4"
"2018-01-01 09:06","1","WNW","4"
"2018-01-01 09:16","2","WSW","3"
"2018-01-01 09:26","2","SW","4"
"2018-01-01 09:36","2","WSW","4"
"2018-01-01 09:46","3","WSW","5"
"2018-01-01 09:57","0","SW","3"
"2018-01-01 10:06","0","SW","0"
"2018-01-01 10:16","0","SSE","3"
"2018-01-01 10:26","1","E","5"
"2018-01-01 10:36","1","SE","5"
"2018-01-01 10:46","3","E","7"
"2018-01-01 10:57","3","ESE","6"
"2018-01-01 11:06","4","E","7"
"2018-01-01 11:16","4","NE","8"
"2018-01-01 11:26","4","NE","8"
"2018-01-01 11:36","3","ENE","8"
"2018-01-01 11:46","5","E","10"
"2018-01-01 11:57","6","E","11"
"2018-01-01 12:06","8","E","14"
"2018-01-01 12:16","6","E","13"
"2018-01-01 12:26","5","ESE","12"
"2018-01-01 12:36","5","ESE","14"
"2018-01-01 12:46","6","SE","12"
"2018-01-01 12:57","9","SE","14"
"2018-01-01 13:06","7","ESE","14"
"2018-01-01 13:16","6","SE","13"
"2018-01-01 13:26","6","ESE","13"
"2018-01-01 13:36","7","ESE","14"
"2018-01-01 13:46","8","SE","17"
"2018-01-01 13:57","6","ESE","13"
"2018-01-01 14:06","6","E","12"
"2018-01-01 14:16","6","ESE","13"
"2018-01-01 14:26","5","ESE","8"
"2018-01-01 14:36","7","SSE","11"
"2018-01-01 14:46","5","SE","10"
"2018-01-01 14:57","4","SE","9"
"2018-01-01 15:06","4","SE","8"
"2018-01-01 15:16","3","ESE","8"
"2018-01-01 15:26","3","ESE","7"
"2018-01-01 15:36","4","SSE","7"
"2018-01-01 15:46","4","SSE","7"
"2018-01-01 15:57","2","SE","5"
"2018-01-01 16:06","2","S","5"
"2018-01-01 16:16","1","SSE","4"
"2018-01-01 16:26","2","S","5"
"2018-01-01 16:36","0","SSE","4"
"2018-01-01 16:46","0","ENE","0"
"2018-01-01 16:57","0","E","0"
"2018-01-01 17:06","0","E","0"
"2018-01-01 17:16","0","NE","0"
"2018-01-01 17:26","0","NNE","0"
