"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-11-01 00:06","0","S","1"
"2017-11-01 00:16","2","SSE","5"
"2017-11-01 00:26","2","S","5"
"2017-11-01 00:36","2","SW","4"
"2017-11-01 00:46","3","WSW","5"
"2017-11-01 00:56","0","SSW","2"
"2017-11-01 01:07","0","SSW","1"
"2017-11-01 01:16","0","NE","1"
"2017-11-01 01:26","0","NE","2"
"2017-11-01 01:36","1","ESE","4"
"2017-11-01 01:46","2","SSE","4"
"2017-11-01 01:56","0","SSW","2"
"2017-11-01 02:06","0","SSW","0"
"2017-11-01 02:16","0","ESE","2"
"2017-11-01 02:26","0","E","2"
"2017-11-01 02:36","0","E","0"
"2017-11-01 02:46","0","E","1"
"2017-11-01 02:56","0","E","2"
"2017-11-01 03:06","1","E","3"
"2017-11-01 03:16","1","ESE","5"
"2017-11-01 03:26","2","SE","5"
"2017-11-01 03:36","0","SE","3"
"2017-11-01 03:46","1","SE","4"
"2017-11-01 03:56","1","E","4"
"2017-11-01 04:06","1","ESE","5"
"2017-11-01 04:16","0","ESE","5"
"2017-11-01 04:26","0","SE","5"
"2017-11-01 04:36","1","E","4"
"2017-11-01 04:46","1","ESE","4"
"2017-11-01 04:56","0","SE","2"
"2017-11-01 05:06","0","ESE","3"
"2017-11-01 05:16","0","ESE","4"
"2017-11-01 05:26","0","SE","4"
"2017-11-01 05:36","3","SSE","6"
"2017-11-01 05:46","1","ESE","6"
"2017-11-01 05:56","3","SSE","6"
"2017-11-01 06:06","3","SSE","6"
"2017-11-01 06:16","1","S","5"
"2017-11-01 06:26","1","S","4"
"2017-11-01 06:36","4","S","9"
"2017-11-01 06:46","4","S","9"
"2017-11-01 06:56","4","SSE","9"
"2017-11-01 07:06","3","SSE","9"
"2017-11-01 07:16","2","S","8"
"2017-11-01 07:26","2","SSW","8"
"2017-11-01 07:36","3","S","8"
"2017-11-01 07:46","4","SSE","8"
"2017-11-01 07:56","2","SSE","6"
"2017-11-01 08:06","2","SSE","5"
"2017-11-01 08:16","1","SSW","4"
"2017-11-01 08:26","2","S","6"
"2017-11-01 08:36","3","SSE","6"
"2017-11-01 08:46","3","SSE","6"
"2017-11-01 08:56","4","SSE","9"
"2017-11-01 09:06","4","SSE","7"
"2017-11-01 09:16","3","SE","8"
"2017-11-01 09:26","4","SE","10"
"2017-11-01 09:36","2","SE","8"
"2017-11-01 09:46","1","SE","7"
"2017-11-01 09:56","1","E","7"
"2017-11-01 10:06","1","E","4"
"2017-11-01 10:16","2","ESE","6"
"2017-11-01 10:26","2","SE","6"
"2017-11-01 10:36","2","ESE","9"
"2017-11-01 10:46","3","SE","9"
"2017-11-01 10:56","4","SE","8"
