"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-02-01 00:06","6","ESE","12"
"2018-02-01 00:16","4","ESE","10"
"2018-02-01 00:26","5","ESE","10"
"2018-02-01 00:36","7","ESE","11"
"2018-02-01 00:46","8","ESE","13"
"2018-02-01 00:55","7","ESE","11"
"2018-02-01 00:56","7","ESE","11"
"2018-02-01 01:06","8","ESE","13"
"2018-02-01 01:16","5","E","13"
"2018-02-01 01:26","7","E","13"
"2018-02-01 01:36","6","E","13"
"2018-02-01 01:46","8","ESE","12"
"2018-02-01 01:55","7","E","14"
"2018-02-01 01:56","7","E","14"
"2018-02-01 02:06","6","E","14"
"2018-02-01 02:16","8","ESE","12"
"2018-02-01 02:26","5","ESE","10"
"2018-02-01 02:36","6","E","11"
"2018-02-01 02:46","6","E","11"
"2018-02-01 02:55","6","E","11"
"2018-02-01 02:56","7","E","11"
"2018-02-01 03:06","7","E","11"
"2018-02-01 03:16","4","E","12"
"2018-02-01 03:26","5","ESE","11"
"2018-02-01 03:36","5","ESE","11"
"2018-02-01 03:46","5","E","10"
"2018-02-01 03:55","5","E","9"
"2018-02-01 03:56","6","E","9"
"2018-02-01 04:06","5","E","9"
"2018-02-01 04:16","4","ESE","10"
"2018-02-01 04:26","7","ESE","12"
"2018-02-01 04:36","6","ESE","12"
"2018-02-01 04:46","8","ESE","11"
"2018-02-01 04:55","6","ESE","10"
"2018-02-01 04:56","6","ESE","10"
"2018-02-01 05:06","5","SE","10"
"2018-02-01 05:16","6","ESE","9"
"2018-02-01 05:26","6","ESE","10"
"2018-02-01 05:36","4","ESE","10"
"2018-02-01 05:46","6","E","9"
"2018-02-01 05:55","6","E","11"
"2018-02-01 05:56","6","E","11"
"2018-02-01 06:06","5","ESE","11"
"2018-02-01 06:16","6","E","10"
"2018-02-01 06:26","5","ESE","10"
"2018-02-01 06:36","3","ESE","10"
"2018-02-01 06:46","4","ESE","10"
"2018-02-01 06:55","4","ESE","8"
"2018-02-01 06:56","4","ESE","8"
"2018-02-01 07:06","3","ESE","8"
"2018-02-01 07:16","4","ENE","7"
"2018-02-01 07:26","4","E","8"
"2018-02-01 07:36","5","ENE","9"
"2018-02-01 07:46","6","E","10"
"2018-02-01 07:55","5","E","10"
"2018-02-01 07:56","5","E","10"
"2018-02-01 08:06","4","ESE","9"
"2018-02-01 08:16","4","ESE","7"
"2018-02-01 08:26","4","E","8"
"2018-02-01 08:36","3","SE","9"
"2018-02-01 08:46","3","E","8"
"2018-02-01 08:55","4","ENE","8"
"2018-02-01 08:56","4","ENE","8"
"2018-02-01 09:06","4","ENE","8"
"2018-02-01 09:16","2","ESE","7"
"2018-02-01 09:26","3","ESE","7"
"2018-02-01 09:36","4","SE","9"
"2018-02-01 09:46","4","SSE","9"
"2018-02-01 09:55","6","SE","12"
"2018-02-01 09:56","6","SE","12"
"2018-02-01 10:06","4","SSE","12"
"2018-02-01 10:16","3","S","9"
"2018-02-01 10:26","4","SSE","8"
"2018-02-01 10:36","3","SE","8"
"2018-02-01 10:46","5","SSW","9"
"2018-02-01 10:55","6","SSE","9"
"2018-02-01 10:56","6","SSE","12"
"2018-02-01 11:06","7","S","12"
"2018-02-01 11:16","7","SSE","12"
"2018-02-01 11:26","6","S","10"
"2018-02-01 11:36","3","S","10"
"2018-02-01 11:46","4","SW","13"
"2018-02-01 11:55","8","WSW","15"
"2018-02-01 11:56","9","WSW","15"
"2018-02-01 12:06","10","WSW","22"
"2018-02-01 12:16","","N/A","26"
"2018-02-01 13:16","","N/A","45"
"2018-02-01 13:55","","N/A","46"
"2018-02-01 13:56","","N/A","46"
"2018-02-01 21:06","","N/A","18"
"2018-02-01 23:06","","N/A","27"
"2018-02-01 23:26","","N/A","28"
"2018-02-01 23:36","19","N","31"
"2018-02-01 23:55","18","N","29"
"2018-02-01 23:56","18","N","29"
"2018-02-02 00:06","23","N","34"
"2018-02-02 00:16","","N/A","37"
"2018-02-02 00:36","21","N","33"
"2018-02-02 00:46","23","N","38"
"2018-02-02 00:55","22","N","34"
"2018-02-02 00:56","22","N","34"
"2018-02-02 01:06","19","N","34"
"2018-02-02 01:16","18","N","34"
"2018-02-02 01:26","20","N","31"
"2018-02-02 01:36","16","N","29"
"2018-02-02 01:46","18","N","26"
"2018-02-02 01:55","15","N","27"
"2018-02-02 01:56","15","N","27"
"2018-02-02 02:06","18","N","27"
"2018-02-02 02:16","14","N","29"
"2018-02-02 02:26","18","N","31"
"2018-02-02 02:36","16","N","31"
"2018-02-02 02:46","19","N","30"
"2018-02-02 02:55","19","N","32"
"2018-02-02 02:57","20","N","32"
"2018-02-02 03:06","18","N","34"
"2018-02-02 03:16","21","N","38"
"2018-02-02 03:26","18","N","34"
"2018-02-02 03:36","19","NNW","34"
"2018-02-02 03:46","20","NNW","32"
"2018-02-02 03:55","17","NNW","28"
"2018-02-02 03:56","17","NNW","28"
"2018-02-02 04:06","21","N","31"
"2018-02-02 04:16","21","N","36"
"2018-02-02 04:26","18","N","29"
"2018-02-02 04:36","13","N","29"
"2018-02-02 04:46","15","N","24"
"2018-02-02 04:55","17","N","28"
"2018-02-02 04:56","18","N","28"
"2018-02-02 05:06","16","N","28"
"2018-02-02 05:16","9","N","25"
"2018-02-02 05:26","12","NNW","22"
"2018-02-02 05:36","13","NNW","24"
"2018-02-02 05:46","14","NNW","29"
"2018-02-02 05:55","13","NNW","24"
"2018-02-02 05:56","13","NNW","24"
"2018-02-02 06:06","13","NNW","24"
"2018-02-02 06:16","13","NNW","22"
"2018-02-02 06:26","15","NNW","24"
"2018-02-02 06:36","16","NNW","26"
"2018-02-02 06:46","13","NNW","26"
"2018-02-02 06:55","13","NNW","21"
"2018-02-02 06:56","14","NNW","21"
"2018-02-02 07:06","14","NNW","23"
"2018-02-02 07:16","15","NNW","24"
"2018-02-02 07:26","12","NNW","23"
"2018-02-02 07:36","15","NNW","23"
"2018-02-02 07:46","14","NNW","23"
"2018-02-02 07:55","14","NNW","25"
"2018-02-02 07:56","14","NNW","25"
"2018-02-02 08:06","16","NW","28"
"2018-02-02 08:16","22","NW","28"
"2018-02-02 08:26","16","NNW","28"
"2018-02-02 08:36","14","NNW","28"
"2018-02-02 08:46","17","NNW","27"
"2018-02-02 08:55","17","NNW","28"
"2018-02-02 08:56","17","NNW","28"
"2018-02-02 09:06","17","NNW","32"
"2018-02-02 09:16","21","NNW","32"
"2018-02-02 09:26","19","NNW","32"
"2018-02-02 09:36","19","NNW","30"
"2018-02-02 09:46","23","NW","31"
"2018-02-02 09:55","18","NNW","29"
"2018-02-02 09:56","18","NNW","29"
"2018-02-02 10:06","16","NNW","26"
"2018-02-02 10:16","21","NNW","27"
"2018-02-02 10:26","20","NW","29"
"2018-02-02 10:36","20","NNW","28"
"2018-02-02 10:46","24","NW","33"
"2018-02-02 10:55","20","NNW","31"
"2018-02-02 10:56","21","NNW","31"
"2018-02-02 11:06","19","NW","32"
"2018-02-02 11:16","22","NW","34"
"2018-02-02 11:26","17","NNW","29"
"2018-02-02 11:36","17","NW","32"
"2018-02-02 11:46","17","NNW","32"
"2018-02-02 11:55","22","NW","36"
"2018-02-02 11:56","22","NW","36"
"2018-02-02 12:06","22","NW","33"
"2018-02-02 12:16","23","NNW","35"
"2018-02-02 12:26","22","NW","31"
"2018-02-02 12:36","21","NW","37"
"2018-02-02 12:46","20","NW","37"
"2018-02-02 12:55","23","NW","38"
"2018-02-02 12:56","23","NW","38"
"2018-02-02 13:06","23","NW","38"
"2018-02-02 13:16","18","NNW","35"
"2018-02-02 13:26","19","NW","33"
"2018-02-02 13:36","22","NW","33"
"2018-02-02 13:46","21","NW","35"
"2018-02-02 13:55","25","NW","36"
"2018-02-02 13:56","26","NW","36"
"2018-02-02 14:06","22","WNW","36"
"2018-02-02 14:16","20","NW","34"
"2018-02-02 14:26","23","WNW","35"
"2018-02-02 14:36","24","NW","39"
"2018-02-02 14:55","22","NW","36"
"2018-02-02 14:56","23","NW","36"
"2018-02-02 15:16","21","NW","37"
"2018-02-02 15:36","23","NW","33"
"2018-02-02 15:55","23","WNW","33"
"2018-02-02 15:56","23","WNW","36"
"2018-02-02 16:16","24","WNW","37"
"2018-02-02 16:36","24","WNW","38"
"2018-02-02 16:55","23","WNW","38"
"2018-02-02 16:56","22","WNW","38"
"2018-02-02 17:17","22","WNW","37"
"2018-02-02 17:36","24","WNW","40"
"2018-02-02 17:55","22","WNW","33"
"2018-02-02 17:56","22","WNW","33"
"2018-02-02 18:17","19","WNW","30"
"2018-02-02 18:26","18","WNW","28"
"2018-02-02 18:36","20","WNW","29"
"2018-02-02 18:46","17","NW","30"
"2018-02-02 18:55","18","NW","28"
"2018-02-02 18:56","18","WNW","28"
"2018-02-02 19:06","19","WNW","29"
"2018-02-02 19:16","18","NW","28"
"2018-02-02 19:26","15","NW","24"
"2018-02-02 19:36","17","WNW","25"
"2018-02-02 19:46","18","NW","25"
"2018-02-02 19:55","15","WNW","24"
"2018-02-02 19:56","14","NW","24"
"2018-02-02 20:06","13","NW","24"
