"Time EST","Air Temp (°C)"
"2018-01-01 00:06","-22.6"
"2018-01-01 00:26","-23.0"
"2018-01-01 00:36","-23.4"
"2018-01-01 00:55","-23.7"
"2018-01-01 00:57","-23.7"
"2018-01-01 01:06","-23.7"
"2018-01-01 01:26","-23.6"
"2018-01-01 01:36","-23.6"
"2018-01-01 01:55","-24.1"
"2018-01-01 01:57","-24.1"
"2018-01-01 02:06","-24.3"
"2018-01-01 02:26","-24.8"
"2018-01-01 02:36","-24.8"
"2018-01-01 02:55","-24.6"
"2018-01-01 02:56","-24.6"
"2018-01-01 02:57","-24.6"
"2018-01-01 03:06","-24.7"
"2018-01-01 03:26","-24.6"
"2018-01-01 03:36","-24.6"
"2018-01-01 03:55","-24.6"
"2018-01-01 03:57","-24.6"
"2018-01-01 04:06","-25.0"
"2018-01-01 04:26","-25.1"
"2018-01-01 04:36","-25.0"
"2018-01-01 04:55","-25.3"
"2018-01-01 04:57","-25.4"
"2018-01-01 05:06","-25.4"
"2018-01-01 05:17","-25.7"
"2018-01-01 05:26","-25.8"
"2018-01-01 05:36","-25.9"
"2018-01-01 05:46","-25.8"
"2018-01-01 05:55","-26.0"
"2018-01-01 05:57","-26.0"
"2018-01-01 06:06","-26.0"
"2018-01-01 06:16","-25.9"
"2018-01-01 06:26","-26.0"
"2018-01-01 06:36","-26.0"
"2018-01-01 06:55","-26.2"
"2018-01-01 06:57","-26.1"
"2018-01-01 07:06","-26.2"
"2018-01-01 07:26","-27.4"
"2018-01-01 07:36","-27.3"
"2018-01-01 07:55","-26.9"
"2018-01-01 07:57","-26.9"
"2018-01-01 08:06","-27.0"
"2018-01-01 08:26","-26.5"
"2018-01-01 08:36","-26.3"
"2018-01-01 08:55","-25.5"
"2018-01-01 08:57","-25.3"
"2018-01-01 09:06","-25.0"
"2018-01-01 09:26","-24.5"
"2018-01-01 09:36","-24.1"
"2018-01-01 09:46","-24.0"
"2018-01-01 09:55","-23.9"
"2018-01-01 09:57","-23.9"
"2018-01-01 10:06","-23.9"
"2018-01-01 10:16","-23.7"
"2018-01-01 10:26","-23.6"
"2018-01-01 10:36","-23.4"
"2018-01-01 10:46","-23.1"
"2018-01-01 10:55","-22.9"
"2018-01-01 10:57","-22.9"
"2018-01-01 11:06","-22.7"
"2018-01-01 11:16","-22.4"
"2018-01-01 11:26","-22.0"
"2018-01-01 11:36","-21.7"
"2018-01-01 11:46","-21.5"
"2018-01-01 11:55","-21.2"
"2018-01-01 11:56","-21.2"
"2018-01-01 11:57","-21.2"
"2018-01-01 12:06","-20.9"
"2018-01-01 12:16","-20.6"
"2018-01-01 12:26","-20.3"
"2018-01-01 12:36","-20.1"
"2018-01-01 12:46","-20.0"
"2018-01-01 12:55","-19.8"
"2018-01-01 12:57","-19.8"
"2018-01-01 13:06","-19.5"
"2018-01-01 13:16","-19.0"
"2018-01-01 13:26","-19.0"
"2018-01-01 13:36","-18.9"
"2018-01-01 13:46","-18.8"
"2018-01-01 13:55","-18.8"
"2018-01-01 13:57","-18.8"
"2018-01-01 14:06","-18.8"
"2018-01-01 14:16","-18.6"
"2018-01-01 14:26","-19.2"
"2018-01-01 14:36","-19.4"
"2018-01-01 14:46","-19.0"
"2018-01-01 14:55","-18.3"
"2018-01-01 14:57","-18.2"
"2018-01-01 15:06","-18.1"
"2018-01-01 15:16","-18.6"
"2018-01-01 15:26","-18.3"
"2018-01-01 15:36","-18.4"
"2018-01-01 15:46","-18.5"
"2018-01-01 15:55","-18.8"
"2018-01-01 15:57","-18.9"
"2018-01-01 16:06","-19.2"
"2018-01-01 16:16","-19.4"
"2018-01-01 16:26","-20.1"
"2018-01-01 16:36","-20.2"
"2018-01-01 16:46","-20.7"
"2018-01-01 16:55","-21.0"
"2018-01-01 16:57","-21.3"
"2018-01-01 17:06","-21.3"
"2018-01-01 17:16","-21.2"
"2018-01-01 17:26","-21.3"
"2018-01-01 17:36","-21.5"
"2018-01-01 17:46","-21.2"
"2018-01-01 17:55","-21.8"
"2018-01-01 17:56","-22.0"
"2018-01-01 17:57","-22.2"
"2018-01-01 18:06","-23.5"
"2018-01-01 18:16","-22.9"
"2018-01-01 18:26","-22.9"
"2018-01-01 18:36","-22.9"
"2018-01-01 18:46","-23.8"
"2018-01-01 18:55","-23.8"
"2018-01-01 18:56","-23.8"
"2018-01-01 18:57","-23.9"
"2018-01-01 19:06","-24.4"
"2018-01-01 19:16","-24.3"
"2018-01-01 19:26","-24.7"
"2018-01-01 19:36","-25.0"
"2018-01-01 19:46","-23.7"
"2018-01-01 19:55","-23.7"
"2018-01-01 19:56","-23.8"
"2018-01-01 19:58","-24.0"
"2018-01-01 20:06","-24.4"
"2018-01-01 20:16","-24.8"
"2018-01-01 20:26","-24.8"
"2018-01-01 20:36","-26.0"
"2018-01-01 20:46","-26.0"
"2018-01-01 20:55","-25.4"
"2018-01-01 20:56","-25.4"
"2018-01-01 20:57","-25.4"
"2018-01-01 21:06","-25.6"
"2018-01-01 21:16","-26.2"
"2018-01-01 21:26","-24.7"
"2018-01-01 21:36","-25.3"
"2018-01-01 21:46","-25.9"
"2018-01-01 21:55","-26.1"
"2018-01-01 21:57","-26.1"
"2018-01-01 22:06","-26.3"
"2018-01-01 22:17","-26.4"
"2018-01-01 22:26","-26.5"
"2018-01-01 22:36","-26.9"
"2018-01-01 22:46","-27.2"
"2018-01-01 22:55","-25.9"
"2018-01-01 22:56","-25.8"
"2018-01-01 22:57","-25.7"
"2018-01-01 23:06","-23.7"
"2018-01-01 23:16","-23.3"
"2018-01-01 23:26","-23.1"
"2018-01-01 23:36","-23.4"
"2018-01-01 23:46","-23.6"
"2018-01-01 23:55","-23.5"
"2018-01-01 23:56","-23.6"
"2018-01-01 23:57","-23.6"
"2018-01-02 00:06","-23.6"
"2018-01-02 00:16","-23.5"
"2018-01-02 00:26","-23.1"
"2018-01-02 00:36","-22.8"
"2018-01-02 00:46","-22.7"
"2018-01-02 00:55","-22.7"
"2018-01-02 00:56","-22.7"
"2018-01-02 00:57","-22.7"
"2018-01-02 01:06","-22.4"
"2018-01-02 01:16","-22.4"
"2018-01-02 01:26","-22.2"
"2018-01-02 01:36","-22.1"
"2018-01-02 01:46","-22.1"
