"Time EST","Relative Humidity (%)"
"2018-01-01 00:06","71"
"2018-01-01 00:26","71"
"2018-01-01 00:36","71"
"2018-01-01 00:55","71"
"2018-01-01 00:57","71"
"2018-01-01 01:06","71"
"2018-01-01 01:26","72"
"2018-01-01 01:36","72"
"2018-01-01 01:55","72"
"2018-01-01 01:57","73"
"2018-01-01 02:06","73"
"2018-01-01 02:26","74"
"2018-01-01 02:36","74"
"2018-01-01 02:55","74"
"2018-01-01 02:56","74"
"2018-01-01 02:57","74"
"2018-01-01 03:06","74"
"2018-01-01 03:26","75"
"2018-01-01 03:36","75"
"2018-01-01 03:55","75"
"2018-01-01 03:57","75"
"2018-01-01 04:06","75"
"2018-01-01 04:26","76"
"2018-01-01 04:36","76"
"2018-01-01 04:55","76"
"2018-01-01 04:57","76"
"2018-01-01 05:06","76"
"2018-01-01 05:17","76"
"2018-01-01 05:26","76"
"2018-01-01 05:36","76"
"2018-01-01 05:46","77"
"2018-01-01 05:55","76"
"2018-01-01 05:57","77"
"2018-01-01 06:06","77"
"2018-01-01 06:16","77"
"2018-01-01 06:26","77"
"2018-01-01 06:36","77"
"2018-01-01 06:55","77"
"2018-01-01 06:57","77"
"2018-01-01 07:06","77"
"2018-01-01 07:26","77"
"2018-01-01 07:36","78"
"2018-01-01 07:55","78"
"2018-01-01 07:57","78"
"2018-01-01 08:06","78"
"2018-01-01 08:26","77"
"2018-01-01 08:36","77"
"2018-01-01 08:55","77"
"2018-01-01 08:57","77"
"2018-01-01 09:06","77"
"2018-01-01 09:26","77"
"2018-01-01 09:36","77"
"2018-01-01 09:46","77"
"2018-01-01 09:55","77"
"2018-01-01 09:57","77"
"2018-01-01 10:06","77"
"2018-01-01 10:16","77"
"2018-01-01 10:26","77"
"2018-01-01 10:36","77"
"2018-01-01 10:46","77"
"2018-01-01 10:55","76"
"2018-01-01 10:57","77"
"2018-01-01 11:06","76"
"2018-01-01 11:16","77"
"2018-01-01 11:26","76"
"2018-01-01 11:36","76"
"2018-01-01 11:46","76"
"2018-01-01 11:55","75"
"2018-01-01 11:56","75"
"2018-01-01 11:57","75"
"2018-01-01 12:06","75"
"2018-01-01 12:16","75"
"2018-01-01 12:26","72"
"2018-01-01 12:36","71"
"2018-01-01 12:46","73"
"2018-01-01 12:55","71"
"2018-01-01 12:57","71"
"2018-01-01 13:06","71"
"2018-01-01 13:16","70"
"2018-01-01 13:26","69"
"2018-01-01 13:36","69"
"2018-01-01 13:46","69"
"2018-01-01 13:55","68"
"2018-01-01 13:57","68"
"2018-01-01 14:06","68"
"2018-01-01 14:16","68"
"2018-01-01 14:26","67"
"2018-01-01 14:36","67"
"2018-01-01 14:46","68"
"2018-01-01 14:55","67"
"2018-01-01 14:57","67"
"2018-01-01 15:06","66"
"2018-01-01 15:16","66"
"2018-01-01 15:26","66"
"2018-01-01 15:36","65"
"2018-01-01 15:46","65"
"2018-01-01 15:55","65"
"2018-01-01 15:57","65"
"2018-01-01 16:06","65"
"2018-01-01 16:16","66"
"2018-01-01 16:26","66"
"2018-01-01 16:36","66"
"2018-01-01 16:46","67"
"2018-01-01 16:55","66"
"2018-01-01 16:57","66"
"2018-01-01 17:06","68"
"2018-01-01 17:16","68"
"2018-01-01 17:26","68"
"2018-01-01 17:36","68"
"2018-01-01 17:46","69"
"2018-01-01 17:55","68"
"2018-01-01 17:56","68"
"2018-01-01 17:57","68"
"2018-01-01 18:06","68"
"2018-01-01 18:16","70"
"2018-01-01 18:26","71"
"2018-01-01 18:36","71"
"2018-01-01 18:46","71"
"2018-01-01 18:55","71"
"2018-01-01 18:56","71"
"2018-01-01 18:57","71"
"2018-01-01 19:06","71"
"2018-01-01 19:16","72"
"2018-01-01 19:26","71"
"2018-01-01 19:36","72"
"2018-01-01 19:46","74"
"2018-01-01 19:55","73"
"2018-01-01 19:56","73"
"2018-01-01 19:58","73"
"2018-01-01 20:06","73"
"2018-01-01 20:16","75"
"2018-01-01 20:26","74"
"2018-01-01 20:36","74"
"2018-01-01 20:46","75"
"2018-01-01 20:55","75"
"2018-01-01 20:56","75"
"2018-01-01 20:57","75"
"2018-01-01 21:06","75"
"2018-01-01 21:16","75"
"2018-01-01 21:26","76"
"2018-01-01 21:36","75"
"2018-01-01 21:46","75"
"2018-01-01 21:55","76"
"2018-01-01 21:57","76"
"2018-01-01 22:06","76"
"2018-01-01 22:17","76"
"2018-01-01 22:26","76"
"2018-01-01 22:36","76"
"2018-01-01 22:46","77"
"2018-01-01 22:55","78"
"2018-01-01 22:56","78"
"2018-01-01 22:57","77"
"2018-01-01 23:06","78"
