"Time EST","Pressure (kPa)"
"2018-01-01 00:06","102.91"
"2018-01-01 00:16","102.91"
"2018-01-01 00:26","102.91"
"2018-01-01 00:36","102.92"
"2018-01-01 00:46","102.90"
"2018-01-01 00:55","102.91"
"2018-01-01 00:57","102.91"
"2018-01-01 01:06","102.92"
"2018-01-01 01:16","102.92"
"2018-01-01 01:26","102.93"
"2018-01-01 01:36","102.93"
"2018-01-01 01:46","102.94"
"2018-01-01 01:55","102.95"
"2018-01-01 01:57","102.95"
"2018-01-01 02:06","102.96"
"2018-01-01 02:16","102.97"
"2018-01-01 02:26","102.98"
"2018-01-01 02:36","102.98"
"2018-01-01 02:46","102.99"
"2018-01-01 02:55","103.00"
"2018-01-01 02:56","103.00"
"2018-01-01 02:57","103.00"
"2018-01-01 03:06","102.99"
"2018-01-01 03:16","102.98"
"2018-01-01 03:26","103.00"
"2018-01-01 03:36","103.01"
"2018-01-01 03:46","103.00"
"2018-01-01 03:55","103.01"
"2018-01-01 03:57","103.00"
"2018-01-01 04:06","103.00"
"2018-01-01 04:16","102.99"
"2018-01-01 04:26","103.00"
"2018-01-01 04:36","103.00"
"2018-01-01 04:46","103.00"
"2018-01-01 04:55","103.02"
"2018-01-01 04:57","103.01"
"2018-01-01 05:06","103.01"
"2018-01-01 05:17","103.01"
"2018-01-01 05:26","103.01"
"2018-01-01 05:36","103.00"
"2018-01-01 05:46","103.01"
"2018-01-01 05:55","103.01"
"2018-01-01 05:57","103.01"
"2018-01-01 06:06","103.01"
"2018-01-01 06:16","103.02"
"2018-01-01 06:26","103.03"
"2018-01-01 06:36","103.02"
"2018-01-01 06:46","103.03"
"2018-01-01 06:55","103.04"
"2018-01-01 06:57","103.05"
"2018-01-01 07:06","103.04"
"2018-01-01 07:16","103.06"
"2018-01-01 07:26","103.07"
"2018-01-01 07:36","103.07"
"2018-01-01 07:46","103.08"
"2018-01-01 07:55","103.09"
"2018-01-01 07:57","103.09"
"2018-01-01 08:06","103.10"
"2018-01-01 08:16","103.09"
"2018-01-01 08:26","103.09"
"2018-01-01 08:36","103.07"
"2018-01-01 08:46","103.04"
"2018-01-01 08:55","103.04"
"2018-01-01 08:57","103.04"
"2018-01-01 09:06","103.02"
"2018-01-01 09:16","102.99"
"2018-01-01 09:26","102.97"
"2018-01-01 09:36","102.94"
"2018-01-01 09:46","102.93"
"2018-01-01 09:55","102.91"
"2018-01-01 09:57","102.90"
"2018-01-01 10:06","102.88"
"2018-01-01 10:16","102.84"
"2018-01-01 10:26","102.82"
"2018-01-01 10:36","102.80"
"2018-01-01 10:46","102.78"
