"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:06","12","NW","19"
"2018-01-01 00:16","11","NW","19"
"2018-01-01 00:26","10","WNW","16"
"2018-01-01 00:36","10","WNW","17"
"2018-01-01 00:46","13","WNW","15"
"2018-01-01 00:55","13","WNW","18"
"2018-01-01 00:57","14","WNW","18"
"2018-01-01 01:06","12","W","18"
"2018-01-01 01:16","13","WNW","16"
"2018-01-01 01:26","12","WNW","18"
"2018-01-01 01:36","13","WNW","18"
"2018-01-01 01:46","10","WNW","17"
"2018-01-01 01:55","11","W","15"
"2018-01-01 01:57","11","W","16"
"2018-01-01 02:06","9","W","16"
"2018-01-01 02:16","10","W","14"
"2018-01-01 02:26","11","W","14"
"2018-01-01 02:36","10","W","15"
"2018-01-01 02:46","12","W","18"
"2018-01-01 02:55","13","W","18"
"2018-01-01 02:56","13","W","18"
"2018-01-01 02:57","13","W","18"
"2018-01-01 03:06","12","W","18"
"2018-01-01 03:16","14","W","17"
"2018-01-01 03:26","13","WNW","17"
"2018-01-01 03:36","13","WNW","19"
"2018-01-01 03:46","17","WNW","19"
"2018-01-01 03:55","15","WNW","23"
"2018-01-01 03:57","15","WNW","23"
"2018-01-01 04:06","10","W","23"
"2018-01-01 04:16","12","WNW","15"
"2018-01-01 04:26","13","WNW","18"
"2018-01-01 04:36","14","WNW","21"
"2018-01-01 04:46","15","WNW","19"
"2018-01-01 04:55","15","WNW","20"
"2018-01-01 04:57","16","WNW","21"
"2018-01-01 05:06","17","WNW","21"
"2018-01-01 05:17","17","WNW","22"
"2018-01-01 05:26","17","WNW","21"
"2018-01-01 05:36","16","WNW","21"
"2018-01-01 05:46","18","WNW","20"
"2018-01-01 05:55","15","WNW","19"
"2018-01-01 05:57","15","WNW","19"
"2018-01-01 06:06","14","WNW","19"
"2018-01-01 06:16","15","W","19"
"2018-01-01 06:26","14","WNW","19"
"2018-01-01 06:36","14","WNW","19"
"2018-01-01 06:46","13","W","19"
"2018-01-01 06:55","13","WNW","18"
"2018-01-01 06:57","13","WNW","18"
"2018-01-01 07:06","12","W","17"
"2018-01-01 07:16","7","W","16"
"2018-01-01 07:26","6","W","10"
"2018-01-01 07:36","5","W","8"
"2018-01-01 07:46","6","WSW","12"
"2018-01-01 07:55","8","WSW","13"
"2018-01-01 07:57","8","WSW","13"
"2018-01-01 08:06","6","WSW","13"
"2018-01-01 08:16","5","W","12"
"2018-01-01 08:26","8","W","11"
"2018-01-01 08:36","10","W","12"
"2018-01-01 08:46","11","W","15"
"2018-01-01 08:55","10","W","14"
"2018-01-01 08:57","10","W","14"
"2018-01-01 09:06","11","W","15"
"2018-01-01 09:16","12","W","16"
"2018-01-01 09:26","12","W","17"
"2018-01-01 09:36","12","W","17"
"2018-01-01 09:46","14","W","22"
"2018-01-01 09:55","14","W","22"
"2018-01-01 09:57","15","W","22"
"2018-01-01 10:06","16","W","22"
"2018-01-01 10:16","16","W","22"
"2018-01-01 10:26","15","W","22"
"2018-01-01 10:36","17","W","22"
"2018-01-01 10:46","13","W","22"
"2018-01-01 10:55","14","W","21"
"2018-01-01 10:57","14","W","21"
"2018-01-01 11:06","14","W","23"
"2018-01-01 11:16","17","W","20"
"2018-01-01 11:26","12","W","19"
"2018-01-01 11:36","13","W","19"
"2018-01-01 11:46","16","W","23"
"2018-01-01 11:55","14","W","23"
"2018-01-01 11:56","14","W","23"
"2018-01-01 11:57","14","W","23"
"2018-01-01 12:06","13","W","21"
"2018-01-01 12:16","12","W","19"
"2018-01-01 12:26","15","W","26"
"2018-01-01 12:36","17","WNW","28"
"2018-01-01 12:46","15","WNW","30"
"2018-01-01 12:55","18","WNW","26"
"2018-01-01 12:57","19","WNW","26"
"2018-01-01 13:06","17","WNW","26"
"2018-01-01 13:16","16","WNW","25"
"2018-01-01 13:26","15","W","25"
"2018-01-01 13:36","15","W","22"
"2018-01-01 13:46","17","W","22"
"2018-01-01 13:55","15","W","22"
"2018-01-01 13:57","15","W","22"
"2018-01-01 14:06","15","W","22"
"2018-01-01 14:16","13","W","20"
"2018-01-01 14:26","13","W","19"
"2018-01-01 14:36","12","W","19"
"2018-01-01 14:46","13","W","18"
"2018-01-01 14:55","10","W","15"
"2018-01-01 14:57","10","W","15"
"2018-01-01 15:06","9","W","15"
"2018-01-01 15:16","11","W","14"
"2018-01-01 15:26","7","W","12"
"2018-01-01 15:36","7","W","10"
"2018-01-01 15:46","8","W","10"
"2018-01-01 15:55","7","W","9"
"2018-01-01 15:57","7","W","9"
"2018-01-01 16:06","9","WNW","12"
"2018-01-01 16:16","7","W","12"
"2018-01-01 16:26","6","W","10"
"2018-01-01 16:36","5","W","10"
"2018-01-01 16:46","4","WNW","8"
"2018-01-01 16:55","5","WNW","6"
"2018-01-01 16:57","5","WNW","8"
"2018-01-01 17:06","5","W","8"
"2018-01-01 17:16","5","W","9"
"2018-01-01 17:26","4","WNW","8"
"2018-01-01 17:36","3","W","8"
"2018-01-01 17:46","3","W","6"
"2018-01-01 17:55","4","WNW","6"
"2018-01-01 17:56","4","WNW","6"
"2018-01-01 17:57","4","WNW","6"
"2018-01-01 18:06","4","WNW","6"
"2018-01-01 18:16","3","WNW","6"
"2018-01-01 18:26","3","NW","4"
"2018-01-01 18:36","2","NNW","4"
"2018-01-01 18:46","1","ENE","3"
"2018-01-01 18:55","1","NNE","3"
"2018-01-01 18:56","1","NNE","4"
"2018-01-01 18:57","1","NNE","4"
"2018-01-01 19:06","3","NNE","5"
"2018-01-01 19:16","4","NE","7"
"2018-01-01 19:26","3","NNE","6"
"2018-01-01 19:36","3","NNE","5"
"2018-01-01 19:46","3","NE","5"
"2018-01-01 19:55","3","NE","6"
"2018-01-01 19:56","3","NE","6"
"2018-01-01 19:58","3","NE","6"
"2018-01-01 20:06","3","NE","5"
"2018-01-01 20:16","3","NE","4"
"2018-01-01 20:26","4","NE","7"
"2018-01-01 20:36","8","NE","9"
"2018-01-01 20:46","7","NNE","12"
"2018-01-01 20:55","5","NNE","8"
"2018-01-01 20:56","5","NNE","8"
"2018-01-01 20:57","5","NNE","8"
"2018-01-01 21:06","4","NNE","6"
"2018-01-01 21:16","4","NNE","6"
"2018-01-01 21:26","4","NNE","6"
"2018-01-01 21:36","8","NE","10"
"2018-01-01 21:46","4","N","10"
"2018-01-01 21:55","4","N","8"
"2018-01-01 21:57","4","NNW","8"
"2018-01-01 22:06","4","NNW","8"
"2018-01-01 22:17","5","N","8"
"2018-01-01 22:26","4","N","9"
"2018-01-01 22:36","6","NNW","9"
"2018-01-01 22:46","4","NW","11"
"2018-01-01 22:55","7","NW","10"
"2018-01-01 22:56","7","NW","10"
"2018-01-01 22:57","7","NW","12"
"2018-01-01 23:06","9","NW","12"
"2018-01-01 23:16","10","NW","14"
"2018-01-01 23:26","10","NNW","14"
"2018-01-01 23:36","10","NW","14"
"2018-01-01 23:46","11","NW","15"
"2018-01-01 23:55","10","NW","14"
"2018-01-01 23:56","10","NW","14"
"2018-01-01 23:57","10","NW","14"
"2018-01-02 00:06","9","NNW","14"
"2018-01-02 00:16","10","NNW","14"
"2018-01-02 00:26","10","NNW","15"
"2018-01-02 00:36","11","NNW","17"
"2018-01-02 00:46","10","NNW","17"
"2018-01-02 00:55","11","NNW","17"
"2018-01-02 00:56","10","NNW","17"
"2018-01-02 00:57","10","NNW","17"
"2018-01-02 01:06","10","NNW","18"
"2018-01-02 01:16","9","NNW","15"
"2018-01-02 01:26","10","NNW","15"
"2018-01-02 01:36","9","NNW","14"
"2018-01-02 01:46","10","NNW","14"
"2018-01-02 01:55","9","NW","12"
"2018-01-02 01:56","9","NW","12"
"2018-01-02 01:57","9","NW","12"
"2018-01-02 02:06","6","NW","12"
"2018-01-02 02:16","8","NW","11"
"2018-01-02 02:26","6","WNW","9"
"2018-01-02 02:36","6","W","10"
"2018-01-02 02:46","7","W","8"
"2018-01-02 02:55","6","W","8"
"2018-01-02 02:57","6","W","8"
"2018-01-02 02:58","6","W","8"
"2018-01-02 03:06","7","W","9"
"2018-01-02 03:16","7","WSW","10"
"2018-01-02 03:26","6","WSW","13"
"2018-01-02 03:36","9","W","13"
"2018-01-02 03:46","9","W","11"
"2018-01-02 03:55","8","W","11"
"2018-01-02 03:56","8","W","11"
"2018-01-02 03:57","9","W","11"
"2018-01-02 04:06","9","W","13"
"2018-01-02 04:16","9","W","13"
"2018-01-02 04:26","9","W","13"
"2018-01-02 04:36","10","W","14"
"2018-01-02 04:46","9","W","14"
"2018-01-02 04:55","9","W","12"
"2018-01-02 04:57","9","W","12"
"2018-01-02 05:06","9","W","17"
"2018-01-02 05:16","8","W","13"
"2018-01-02 05:26","9","W","12"
"2018-01-02 05:36","10","W","14"
"2018-01-02 05:46","10","W","14"
"2018-01-02 05:55","10","W","15"
"2018-01-02 05:56","10","W","15"
"2018-01-02 05:57","10","W","15"
"2018-01-02 06:06","11","W","18"
"2018-01-02 06:16","11","W","18"
"2018-01-02 06:26","11","W","19"
"2018-01-02 06:36","12","W","19"
"2018-01-02 06:46","11","W","17"
"2018-01-02 06:55","11","W","15"
"2018-01-02 06:56","11","W","15"
"2018-01-02 06:57","11","W","15"
"2018-01-02 07:06","10","W","14"
"2018-01-02 07:16","8","W","13"
"2018-01-02 07:26","10","W","16"
"2018-01-02 07:36","11","W","19"
"2018-01-02 07:46","13","W","17"
"2018-01-02 07:55","11","W","17"
"2018-01-02 07:56","11","W","17"
"2018-01-02 07:58","12","W","17"
"2018-01-02 08:06","8","W","17"
"2018-01-02 08:16","12","WSW","19"
"2018-01-02 08:26","14","WSW","24"
"2018-01-02 08:36","15","WSW","24"
"2018-01-02 08:46","15","WSW","22"
"2018-01-02 08:55","11","WSW","18"
"2018-01-02 08:56","11","W","18"
"2018-01-02 08:57","11","W","18"
"2018-01-02 09:06","12","WSW","21"
"2018-01-02 09:16","15","SW","23"
"2018-01-02 09:26","18","WSW","28"
"2018-01-02 09:36","12","W","28"
"2018-01-02 09:46","15","WSW","22"
"2018-01-02 09:55","15","W","23"
"2018-01-02 09:56","14","W","23"
"2018-01-02 09:58","15","W","23"
"2018-01-02 10:06","15","W","23"
"2018-01-02 10:16","12","W","23"
"2018-01-02 10:26","16","WSW","26"
"2018-01-02 10:36","15","WSW","27"
"2018-01-02 10:46","17","W","27"
"2018-01-02 10:55","12","W","20"
"2018-01-02 10:56","11","WSW","20"
"2018-01-02 10:58","10","WSW","20"
"2018-01-02 11:06","11","W","19"
"2018-01-02 11:16","9","W","18"
"2018-01-02 11:26","10","WSW","18"
"2018-01-02 11:36","8","SW","18"
"2018-01-02 11:46","10","SSW","13"
"2018-01-02 11:55","9","SSW","15"
"2018-01-02 11:56","9","SSW","15"
"2018-01-02 11:58","9","SSW","15"
"2018-01-02 12:06","8","S","15"
"2018-01-02 12:16","6","S","13"
"2018-01-02 12:26","6","SSE","12"
"2018-01-02 12:36","5","SE","12"
"2018-01-02 12:46","5","ESE","12"
"2018-01-02 12:55","9","ESE","14"
"2018-01-02 12:56","9","ESE","14"
"2018-01-02 12:58","10","ESE","15"
"2018-01-02 13:06","9","ESE","15"
"2018-01-02 13:16","7","ESE","13"
"2018-01-02 13:26","8","E","13"
"2018-01-02 13:36","9","E","16"
"2018-01-02 13:46","9","ESE","13"
"2018-01-02 13:55","9","ESE","13"
"2018-01-02 13:57","8","ESE","13"
"2018-01-02 14:06","8","ESE","14"
"2018-01-02 14:16","7","ENE","14"
"2018-01-02 14:26","6","ENE","12"
"2018-01-02 14:36","6","E","13"
"2018-01-02 14:46","4","ESE","11"
"2018-01-02 14:55","6","E","11"
"2018-01-02 14:56","6","E","11"
"2018-01-02 15:06","5","ENE","11"
"2018-01-02 15:16","3","NNE","10"
"2018-01-02 15:26","3","NNE","5"
"2018-01-02 15:36","3","N","5"
"2018-01-02 15:46","3","NNE","5"
"2018-01-02 15:55","3","NNE","5"
"2018-01-02 15:56","2","NNE","5"
"2018-01-02 15:58","2","NNE","5"
"2018-01-02 16:06","2","NNE","4"
"2018-01-02 16:16","2","NE","4"
"2018-01-02 16:26","2","NE","6"
"2018-01-02 16:37","2","NE","8"
"2018-01-02 16:46","2","NE","7"
"2018-01-02 16:55","3","ENE","10"
"2018-01-02 16:56","3","ENE","10"
"2018-01-02 16:58","3","ENE","10"
"2018-01-02 17:06","2","SE","10"
"2018-01-02 17:16","1","NE","9"
"2018-01-02 17:26","1","ESE","7"
"2018-01-02 17:36","3","E","8"
"2018-01-02 17:46","1","E","8"
"2018-01-02 17:55","1","E","4"
"2018-01-02 17:56","1","ENE","4"
"2018-01-02 17:58","2","ENE","5"
"2018-01-02 18:06","1","N","6"
"2018-01-02 18:17","1","SW","5"
"2018-01-02 18:26","1","NE","4"
"2018-01-02 18:36","4","E","10"
"2018-01-02 18:46","0","N","10"
"2018-01-02 18:55","2","SE","7"
"2018-01-02 18:56","2","SE","7"
"2018-01-02 18:58","2","SSE","7"
"2018-01-02 19:06","3","SW","5"
"2018-01-02 19:16","4","WSW","8"
"2018-01-02 19:26","6","W","13"
"2018-01-02 19:36","18","W","32"
"2018-01-02 19:46","18","W","32"
"2018-01-02 19:55","22","W","40"
"2018-01-02 19:56","22","W","40"
"2018-01-02 19:58","23","W","40"
"2018-01-02 20:06","23","W","38"
"2018-01-02 20:16","27","W","36"
"2018-01-02 20:26","29","W","43"
"2018-01-02 20:37","27","W","43"
"2018-01-02 20:46","31","WNW","41"
"2018-01-02 20:55","26","W","38"
"2018-01-02 20:56","26","W","38"
