"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-03-01 00:06","6","NNW","13"
"2018-03-01 00:16","6","NW","9"
"2018-03-01 00:26","6","NW","11"
"2018-03-01 00:36","5","W","10"
"2018-03-01 00:46","5","WSW","7"
"2018-03-01 00:55","2","WSW","7"
"2018-03-01 00:56","2","WSW","7"
"2018-03-01 01:06","3","SW","7"
"2018-03-01 01:16","6","SW","9"
"2018-03-01 01:26","5","SW","9"
"2018-03-01 01:36","4","SW","9"
"2018-03-01 01:46","6","WSW","9"
"2018-03-01 01:55","7","WSW","11"
"2018-03-01 01:56","7","WSW","11"
"2018-03-01 02:06","8","W","12"
"2018-03-01 02:16","9","WSW","13"
"2018-03-01 02:26","10","W","14"
"2018-03-01 02:36","10","W","16"
"2018-03-01 02:46","9","W","14"
"2018-03-01 02:55","8","W","12"
"2018-03-01 02:56","8","W","12"
"2018-03-01 03:06","6","W","11"
"2018-03-01 03:16","5","W","9"
"2018-03-01 03:26","4","W","7"
"2018-03-01 03:36","5","W","8"
"2018-03-01 03:46","6","WNW","10"
"2018-03-01 03:55","5","WNW","11"
"2018-03-01 03:56","6","WNW","11"
"2018-03-01 04:06","5","NW","11"
"2018-03-01 04:16","7","NNW","13"
"2018-03-01 04:26","8","NNW","15"
"2018-03-01 04:36","8","NNW","15"
"2018-03-01 04:46","8","NNW","13"
"2018-03-01 04:55","8","N","13"
"2018-03-01 04:56","8","N","13"
"2018-03-01 05:06","8","NNW","13"
"2018-03-01 05:16","9","N","13"
"2018-03-01 05:26","9","NNW","16"
"2018-03-01 05:36","8","N","17"
"2018-03-01 05:46","6","NNW","13"
"2018-03-01 05:55","8","NNW","12"
"2018-03-01 05:56","8","NNW","12"
"2018-03-01 06:06","7","NNW","14"
"2018-03-01 06:16","8","NNW","14"
"2018-03-01 06:26","8","NNW","18"
"2018-03-01 06:36","9","NNW","16"
"2018-03-01 06:46","10","NNW","19"
"2018-03-01 06:55","12","NNW","19"
"2018-03-01 06:56","12","NNW","19"
"2018-03-01 07:06","9","NNW","19"
"2018-03-01 07:16","7","N","18"
"2018-03-01 07:26","7","NNW","12"
"2018-03-01 08:26","6","NNW","10"
"2018-03-01 08:36","4","NNW","10"
"2018-03-01 08:46","5","NNW","10"
"2018-03-01 08:55","5","NW","9"
"2018-03-01 08:56","5","NW","10"
"2018-03-01 09:06","7","NNW","11"
"2018-03-01 09:16","8","N","13"
"2018-03-01 09:26","8","NW","14"
"2018-03-01 09:36","6","NW","14"
"2018-03-01 09:46","6","NNW","11"
"2018-03-01 09:55","5","NNW","11"
"2018-03-01 09:56","5","NW","11"
"2018-03-01 10:06","6","NNW","11"
"2018-03-01 10:16","7","NNW","11"
"2018-03-01 10:26","6","NW","10"
"2018-03-01 10:36","4","NNW","12"
"2018-03-01 10:46","6","NNE","12"
"2018-03-01 10:55","5","N","10"
"2018-03-01 10:56","5","N","10"
"2018-03-01 11:06","4","N","10"
"2018-03-01 11:16","8","NE","12"
"2018-03-01 11:26","6","NE","12"
"2018-03-01 11:36","8","NE","12"
"2018-03-01 11:46","7","N","12"
"2018-03-01 11:55","6","N","11"
"2018-03-01 11:56","6","N","11"
"2018-03-01 12:06","6","NNE","11"
"2018-03-01 12:16","6","N","11"
"2018-03-01 12:26","4","NNE","11"
"2018-03-01 12:36","6","SSE","12"
"2018-03-01 12:46","8","SSE","12"
"2018-03-01 12:55","6","S","13"
"2018-03-01 12:56","6","S","13"
"2018-03-01 13:06","8","SSW","13"
"2018-03-01 13:16","8","SW","14"
"2018-03-01 13:26","9","SSW","14"
"2018-03-01 13:36","7","SSW","14"
"2018-03-01 13:46","6","SW","14"
"2018-03-01 13:55","7","S","15"
"2018-03-01 13:56","7","S","15"
"2018-03-01 14:06","4","SSW","15"
"2018-03-01 14:16","5","SE","14"
"2018-03-01 14:26","6","ESE","14"
"2018-03-01 14:36","10","ESE","19"
"2018-03-01 14:46","10","ESE","19"
"2018-03-01 14:55","13","ESE","21"
"2018-03-01 14:56","13","ESE","21"
"2018-03-01 15:06","15","ESE","21"
"2018-03-01 15:16","16","ESE","24"
"2018-03-01 15:26","16","ESE","23"
"2018-03-01 15:36","14","ESE","22"
"2018-03-01 15:46","14","ESE","25"
"2018-03-01 15:55","15","ESE","26"
"2018-03-01 15:56","16","ESE","26"
"2018-03-01 16:06","17","ESE","27"
"2018-03-01 16:16","22","ESE","30"
"2018-03-01 16:26","21","ESE","30"
"2018-03-01 16:36","18","ESE","30"
"2018-03-01 16:46","17","ESE","34"
"2018-03-01 16:55","18","ESE","36"
"2018-03-01 16:56","18","ESE","36"
"2018-03-01 17:06","19","ESE","31"
"2018-03-01 17:16","19","ESE","33"
"2018-03-01 17:26","17","ESE","31"
"2018-03-01 17:36","20","ESE","31"
"2018-03-01 17:46","17","ESE","31"
"2018-03-01 17:55","18","ESE","32"
"2018-03-01 17:56","18","ESE","32"
"2018-03-01 18:06","18","ESE","32"
"2018-03-01 18:16","20","ESE","31"
"2018-03-01 18:26","19","ESE","33"
"2018-03-01 18:36","17","ESE","31"
"2018-03-01 18:46","13","ESE","26"
"2018-03-01 18:55","17","ESE","27"
"2018-03-01 18:56","17","ESE","27"
"2018-03-01 19:06","17","ESE","27"
"2018-03-01 19:16","18","ESE","26"
"2018-03-01 19:26","15","ESE","31"
"2018-03-01 19:36","15","E","27"
"2018-03-01 19:46","17","E","28"
"2018-03-01 19:55","18","ESE","30"
"2018-03-01 19:56","18","ESE","30"
"2018-03-01 20:06","16","E","30"
"2018-03-01 20:16","14","ESE","27"
"2018-03-01 20:26","15","ESE","27"
"2018-03-01 20:36","14","ESE","26"
"2018-03-01 20:46","13","ESE","21"
"2018-03-01 20:55","14","ESE","23"
"2018-03-01 20:56","14","ESE","23"
"2018-03-01 21:06","17","ESE","27"
"2018-03-01 21:16","16","ESE","28"
"2018-03-01 21:26","15","ESE","28"
"2018-03-01 21:36","12","E","27"
"2018-03-01 21:46","13","E","25"
"2018-03-01 21:55","12","E","21"
"2018-03-01 21:56","13","E","21"
"2018-03-01 22:06","14","E","21"
"2018-03-01 22:16","18","E","26"
"2018-03-01 22:26","13","E","26"
"2018-03-01 22:36","13","E","21"
"2018-03-01 22:46","15","E","27"
"2018-03-01 22:55","15","E","28"
"2018-03-01 22:56","15","E","28"
"2018-03-01 23:06","16","E","28"
"2018-03-01 23:16","15","E","28"
"2018-03-01 23:26","18","ENE","30"
"2018-03-01 23:36","19","E","30"
"2018-03-01 23:46","19","E","39"
"2018-03-01 23:55","22","E","39"
"2018-03-01 23:56","22","E","39"
"2018-03-02 00:06","24","ENE","39"
"2018-03-02 00:16","23","ENE","39"
"2018-03-02 00:26","26","ENE","42"
"2018-03-02 00:36","25","ENE","42"
"2018-03-02 00:46","28","ENE","41"
"2018-03-02 00:55","26","ENE","44"
"2018-03-02 00:56","26","ENE","44"
"2018-03-02 01:06","26","E","44"
"2018-03-02 01:16","32","E","49"
"2018-03-02 01:26","23","ENE","49"
"2018-03-02 01:36","24","ENE","40"
"2018-03-02 01:46","26","ENE","43"
"2018-03-02 01:55","27","E","45"
"2018-03-02 01:56","26","E","45"
"2018-03-02 02:06","26","E","45"
"2018-03-02 02:16","25","E","47"
"2018-03-02 02:26","27","ENE","42"
"2018-03-02 02:36","23","E","41"
"2018-03-02 02:46","21","E","42"
"2018-03-02 02:55","24","ENE","43"
"2018-03-02 02:56","24","ENE","43"
"2018-03-02 03:06","24","ENE","42"
"2018-03-02 03:16","30","ENE","46"
"2018-03-02 03:26","29","ENE","49"
"2018-03-02 03:36","30","E","51"
"2018-03-02 03:46","27","ENE","51"
