"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2017-11-01 00:06","-0.8","75"
"2017-11-01 00:16","","75"
"2017-11-01 00:26","","74"
"2017-11-01 00:36","","75"
"2017-11-01 00:46","-0.7","75"
"2017-11-01 00:55","-0.6","75"
"2017-11-01 00:56","-0.5","75"
"2017-11-01 01:07","-0.6","75"
"2017-11-01 01:16","","75"
"2017-11-01 01:26","","75"
"2017-11-01 01:36","-0.7","75"
"2017-11-01 01:46","","75"
"2017-11-01 01:55","-1.1","75"
"2017-11-01 01:56","","75"
"2017-11-01 02:06","","76"
"2017-11-01 02:16","","76"
"2017-11-01 02:26","-0.5","77"
"2017-11-01 02:36","-0.5","77"
"2017-11-01 02:46","-0.5","77"
"2017-11-01 02:55","","77"
"2017-11-01 02:56","-0.4","77"
"2017-11-01 03:06","-0.3","78"
"2017-11-01 03:16","-0.5","78"
"2017-11-01 03:26","","78"
"2017-11-01 03:36","","78"
"2017-11-01 03:46","","79"
"2017-11-01 03:55","","80"
"2017-11-01 03:56","","80"
"2017-11-01 04:06","-0.6","79"
"2017-11-01 04:16","-0.5","80"
"2017-11-01 04:26","","81"
"2017-11-01 04:36","","81"
"2017-11-01 04:46","-0.7","81"
"2017-11-01 04:55","-0.7","82"
"2017-11-01 04:56","","82"
"2017-11-01 05:06","","82"
"2017-11-01 05:16","0.2","83"
"2017-11-01 05:26","0.3","83"
"2017-11-01 05:36","-0.1","83"
"2017-11-01 05:46","","83"
"2017-11-01 05:55","0.4","84"
"2017-11-01 05:56","","84"
"2017-11-01 06:06","","84"
"2017-11-01 06:16","0.9","85"
"2017-11-01 06:26","0.8","84"
"2017-11-01 06:36","0.9","85"
"2017-11-01 06:46","","85"
"2017-11-01 06:55","1.4","85"
"2017-11-01 06:56","1.5","85"
"2017-11-01 07:06","","85"
"2017-11-01 07:16","","86"
"2017-11-01 07:26","","85"
"2017-11-01 07:36","","85"
"2017-11-01 07:46","","85"
"2017-11-01 07:55","2.1","85"
"2017-11-01 07:56","2.1","85"
"2017-11-01 08:06","","85"
"2017-11-01 08:16","2.2","85"
"2017-11-01 08:26","","84"
"2017-11-01 08:36","","84"
"2017-11-01 08:46","2.2","84"
"2017-11-01 08:55","2.6","84"
"2017-11-01 08:56","2.6","84"
"2017-11-01 09:06","","84"
"2017-11-01 09:16","","84"
"2017-11-01 09:26","","84"
"2017-11-01 09:36","","83"
"2017-11-01 09:46","3.1","82"
"2017-11-01 09:55","3.1","82"
"2017-11-01 09:56","3.1","82"
"2017-11-01 10:06","","82"
"2017-11-01 10:16","2.8","81"
"2017-11-01 10:26","","81"
"2017-11-01 10:36","","81"
"2017-11-01 10:46","2.5","81"
"2017-11-01 10:55","2.6","81"
"2017-11-01 10:56","","81"
"2017-11-01 11:06","","81"
"2017-11-01 11:16","","81"
"2017-11-01 11:26","","81"
"2017-11-01 11:36","3.3","80"
"2017-11-01 11:46","3.2","79"
"2017-11-01 11:55","3.3","78"
"2017-11-01 11:56","","78"
"2017-11-01 12:06","3.3","77"
"2017-11-01 12:16","","74"
"2017-11-01 12:26","3.1","75"
"2017-11-01 12:36","","73"
"2017-11-01 12:46","","73"
"2017-11-01 12:55","3.3","73"
"2017-11-01 12:56","","73"
"2017-11-01 13:06","","73"
"2017-11-01 13:16","3.6","73"
"2017-11-01 13:26","3.6","72"
"2017-11-01 13:36","","71"
"2017-11-01 13:46","","71"
