"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:06","4","WSW","6"
"2017-12-01 00:16","4","WSW","7"
"2017-12-01 00:26","4","WSW","7"
"2017-12-01 00:36","5","WSW","6"
"2017-12-01 00:46","5","WSW","7"
"2017-12-01 00:57","5","WSW","8"
"2017-12-01 01:06","5","WSW","8"
"2017-12-01 01:16","4","WSW","7"
"2017-12-01 01:26","4","WSW","7"
"2017-12-01 01:36","4","WSW","7"
"2017-12-01 01:46","4","WSW","7"
"2017-12-01 01:56","4","WSW","6"
"2017-12-01 02:06","4","WSW","6"
"2017-12-01 02:16","4","WSW","6"
"2017-12-01 02:26","4","WSW","6"
"2017-12-01 02:36","4","WSW","6"
"2017-12-01 02:46","3","WSW","6"
"2017-12-01 02:57","4","W","7"
"2017-12-01 03:16","3","W","7"
"2017-12-01 03:36","3","W","7"
"2017-12-01 03:57","3","W","5"
"2017-12-01 04:16","3","W","6"
"2017-12-01 04:36","3","W","5"
"2017-12-01 04:57","3","W","6"
"2017-12-01 05:16","3","W","7"
"2017-12-01 05:36","3","W","6"
"2017-12-01 05:57","3","W","5"
"2017-12-01 06:16","3","W","6"
"2017-12-01 06:36","3","W","5"
"2017-12-01 06:57","2","W","4"
"2017-12-01 07:16","3","W","4"
"2017-12-01 07:36","2","W","4"
"2017-12-01 07:57","3","WNW","5"
"2017-12-01 08:16","2","WNW","4"
"2017-12-01 08:36","3","WNW","4"
"2017-12-01 08:57","2","WNW","5"
"2017-12-01 09:16","3","WNW","5"
"2017-12-01 09:36","2","WNW","4"
"2017-12-01 09:57","3","WNW","4"
"2017-12-01 10:16","2","NW","5"
"2017-12-01 10:36","3","NW","4"
"2017-12-01 10:57","2","NW","4"
"2017-12-01 11:16","3","NW","5"
"2017-12-01 11:36","3","NW","5"
"2017-12-01 11:57","4","WNW","6"
"2017-12-01 12:16","3","NW","6"
"2017-12-01 12:36","3","NW","6"
"2017-12-01 12:57","3","NW","6"
"2017-12-01 13:16","3","NW","6"
"2017-12-01 13:36","3","NW","5"
"2017-12-01 13:46","3","NW","5"
"2017-12-01 13:57","3","NW","5"
"2017-12-01 14:06","3","WNW","6"
"2017-12-01 14:16","3","NW","6"
"2017-12-01 14:26","3","NW","6"
"2017-12-01 14:36","3","NW","5"
"2017-12-01 14:46","3","NW","5"
"2017-12-01 14:57","2","NW","4"
"2017-12-01 15:06","2","NW","4"
"2017-12-01 15:16","1","NW","4"
"2017-12-01 15:26","1","NW","3"
"2017-12-01 15:36","1","WNW","3"
"2017-12-01 15:46","1","NW","3"
"2017-12-01 15:57","1","NW","3"
"2017-12-01 16:06","1","S","3"
"2017-12-01 16:16","1","NNW","2"
"2017-12-01 16:26","0","N","1"
"2017-12-01 16:36","1","NNE","2"
"2017-12-01 16:46","1","N","2"
"2017-12-01 16:57","0","N","1"
"2017-12-01 17:06","0","N","1"
"2017-12-01 17:16","0","NW","2"
"2017-12-01 17:26","0","NNW","2"
"2017-12-01 17:36","0","N","2"
"2017-12-01 17:46","0","N","1"
"2017-12-01 17:57","1","SE","1"
"2017-12-01 18:06","1","ESE","1"
"2017-12-01 18:16","1","ESE","2"
"2017-12-01 18:26","1","SSE","2"
"2017-12-01 18:36","1","ESE","2"
"2017-12-01 18:46","1","ESE","1"
"2017-12-01 18:57","1","SE","2"
"2017-12-01 19:06","1","ESE","2"
"2017-12-01 19:16","1","SE","2"
"2017-12-01 19:26","1","ESE","2"
"2017-12-01 19:36","1","ESE","3"
"2017-12-01 19:46","2","SE","3"
"2017-12-01 19:57","2","SE","3"
"2017-12-01 20:06","1","SE","3"
"2017-12-01 20:16","1","SSE","2"
"2017-12-01 20:26","1","SE","2"
"2017-12-01 20:36","1","SE","3"
"2017-12-01 20:46","2","SE","3"
"2017-12-01 20:57","1","SE","2"
"2017-12-01 21:06","1","SSE","2"
"2017-12-01 21:16","1","SSE","2"
"2017-12-01 21:26","1","SSE","2"
"2017-12-01 21:36","1","S","1"
"2017-12-01 21:46","1","SSW","1"
"2017-12-01 21:57","0","SSW","1"
"2017-12-01 22:06","1","SSW","1"
"2017-12-01 22:16","1","SE","1"
"2017-12-01 22:26","1","SE","2"
"2017-12-01 22:36","1","SE","3"
"2017-12-01 22:46","1","SE","3"
"2017-12-01 22:57","1","SE","3"
"2017-12-01 23:06","2","SE","3"
"2017-12-01 23:16","1","SE","3"
