"Time EST","Air Temp (°C)"
"2018-01-01 00:06","-28.4"
"2018-01-01 00:16","-28.1"
"2018-01-01 00:26","-28.6"
"2018-01-01 00:36","-28.7"
"2018-01-01 00:46","-28.0"
"2018-01-01 00:57","-28.1"
"2018-01-01 01:06","-28.5"
"2018-01-01 01:16","-28.4"
"2018-01-01 01:26","-28.6"
"2018-01-01 01:36","-28.6"
"2018-01-01 01:46","-29.1"
"2018-01-01 01:57","-29.6"
"2018-01-01 02:06","-29.4"
"2018-01-01 02:16","-29.2"
"2018-01-01 02:26","-29.2"
"2018-01-01 02:36","-27.6"
"2018-01-01 02:46","-29.1"
"2018-01-01 02:57","-30.6"
"2018-01-01 03:06","-29.7"
"2018-01-01 03:16","-29.5"
"2018-01-01 03:26","-29.7"
"2018-01-01 03:36","-29.5"
"2018-01-01 03:46","-29.7"
"2018-01-01 03:57","-29.3"
"2018-01-01 04:06","-28.7"
"2018-01-01 04:16","-28.3"
"2018-01-01 04:26","-28.9"
"2018-01-01 04:36","-29.1"
"2018-01-01 04:46","-29.1"
"2018-01-01 04:57","-29.1"
"2018-01-01 05:06","-29.1"
"2018-01-01 05:16","-29.1"
"2018-01-01 05:26","-29.7"
"2018-01-01 05:36","-29.0"
"2018-01-01 05:46","-28.0"
"2018-01-01 05:57","-28.9"
"2018-01-01 06:06","-29.7"
"2018-01-01 06:16","-29.7"
"2018-01-01 06:26","-30.0"
"2018-01-01 06:36","-30.3"
"2018-01-01 06:46","-30.9"
"2018-01-01 06:57","-31.3"
"2018-01-01 07:06","-30.8"
"2018-01-01 07:16","-30.7"
"2018-01-01 07:26","-30.6"
"2018-01-01 07:36","-30.9"
"2018-01-01 07:46","-31.9"
"2018-01-01 07:57","-31.9"
"2018-01-01 08:06","-30.8"
"2018-01-01 08:16","-30.1"
"2018-01-01 08:26","-30.3"
"2018-01-01 08:36","-29.3"
"2018-01-01 08:46","-28.9"
"2018-01-01 08:57","-29.1"
"2018-01-01 09:06","-28.8"
"2018-01-01 09:16","-28.2"
"2018-01-01 09:26","-27.5"
"2018-01-01 09:36","-27.3"
"2018-01-01 09:46","-27.2"
"2018-01-01 09:57","-26.5"
"2018-01-01 10:06","-26.2"
"2018-01-01 10:16","-25.6"
"2018-01-01 10:26","-24.9"
"2018-01-01 10:36","-25.0"
"2018-01-01 10:46","-25.1"
"2018-01-01 10:57","-24.8"
"2018-01-01 11:06","-24.5"
"2018-01-01 11:16","-24.0"
"2018-01-01 11:26","-23.8"
"2018-01-01 11:36","-23.2"
"2018-01-01 11:46","-22.9"
"2018-01-01 11:57","-22.7"
"2018-01-01 12:06","-22.8"
"2018-01-01 12:16","-22.7"
"2018-01-01 12:26","-22.3"
"2018-01-01 12:36","-22.5"
"2018-01-01 12:46","-22.2"
"2018-01-01 12:57","-21.9"
"2018-01-01 13:06","-21.8"
"2018-01-01 13:16","-21.5"
"2018-01-01 13:26","-21.4"
"2018-01-01 13:36","-21.2"
"2018-01-01 13:46","-21.2"
"2018-01-01 13:57","-21.1"
"2018-01-01 14:06","-21.0"
"2018-01-01 14:16","-21.7"
"2018-01-01 14:26","-21.4"
"2018-01-01 14:36","-20.8"
"2018-01-01 14:46","-20.4"
"2018-01-01 14:57","-20.5"
"2018-01-01 15:06","-20.5"
"2018-01-01 15:16","-21.0"
"2018-01-01 15:26","-20.8"
"2018-01-01 15:36","-20.7"
"2018-01-01 15:46","-20.8"
"2018-01-01 15:57","-21.0"
"2018-01-01 16:06","-21.5"
"2018-01-01 16:16","-22.0"
"2018-01-01 16:26","-22.4"
"2018-01-01 16:36","-22.3"
"2018-01-01 16:46","-22.7"
"2018-01-01 16:57","-23.3"
"2018-01-01 17:06","-23.1"
"2018-01-01 17:16","-22.6"
"2018-01-01 17:26","-22.3"
"2018-01-01 17:36","-22.5"
"2018-01-01 17:46","-22.6"
"2018-01-01 17:57","-22.9"
"2018-01-01 18:06","-22.8"
"2018-01-01 18:16","-23.3"
"2018-01-01 18:26","-24.0"
"2018-01-01 18:36","-23.9"
"2018-01-01 18:46","-23.8"
"2018-01-01 18:57","-23.8"
"2018-01-01 19:06","-23.7"
"2018-01-01 19:16","-24.0"
"2018-01-01 19:26","-24.2"
"2018-01-01 19:36","-24.5"
"2018-01-01 19:46","-24.3"
"2018-01-01 19:56","-24.3"
"2018-01-01 20:06","-24.4"
"2018-01-01 20:16","-24.6"
"2018-01-01 20:26","-24.9"
"2018-01-01 20:36","-25.0"
"2018-01-01 20:46","-25.2"
"2018-01-01 20:57","-25.0"
"2018-01-01 21:06","-24.5"
"2018-01-01 21:16","-24.2"
"2018-01-01 21:26","-24.3"
"2018-01-01 21:36","-24.4"
"2018-01-01 21:46","-24.8"
"2018-01-01 21:57","-24.9"
"2018-01-01 22:06","-25.3"
"2018-01-01 22:16","-25.6"
"2018-01-01 22:26","-26.0"
"2018-01-01 22:36","-26.7"
"2018-01-01 22:46","-27.2"
"2018-01-01 22:57","-27.2"
"2018-01-01 23:06","-27.1"
"2018-01-01 23:16","-27.4"
"2018-01-01 23:26","-27.4"
"2018-01-01 23:36","-27.1"
"2018-01-01 23:46","-27.2"
"2018-01-01 23:57","-27.2"
"2018-01-02 00:06","-27.2"
"2018-01-02 00:16","-27.0"
"2018-01-02 00:26","-27.2"
"2018-01-02 00:36","-27.5"
"2018-01-02 00:46","-28.0"
"2018-01-02 00:57","-28.1"
"2018-01-02 01:06","-28.2"
"2018-01-02 01:16","-28.8"
"2018-01-02 01:26","-28.7"
"2018-01-02 01:36","-28.8"
"2018-01-02 01:46","-29.1"
"2018-01-02 01:57","-29.6"
"2018-01-02 02:06","-29.5"
"2018-01-02 02:16","-29.6"
"2018-01-02 02:26","-29.8"
"2018-01-02 02:36","-30.4"
"2018-01-02 02:46","-30.6"
"2018-01-02 02:56","-30.4"
"2018-01-02 03:06","-30.5"
"2018-01-02 03:16","-30.9"
"2018-01-02 03:26","-30.7"
"2018-01-02 03:36","-30.9"
"2018-01-02 03:46","-31.0"
"2018-01-02 03:57","-30.8"
"2018-01-02 04:06","-30.5"
"2018-01-02 04:16","-30.8"
"2018-01-02 04:26","-30.5"
"2018-01-02 04:36","-30.7"
"2018-01-02 04:46","-30.7"
"2018-01-02 04:57","-30.2"
"2018-01-02 05:06","-30.2"
"2018-01-02 05:16","-30.0"
"2018-01-02 05:26","-29.8"
