"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:06","1","SW","1"
"2018-01-01 00:16","1","WSW","1"
"2018-01-01 00:26","1","SSW","1"
"2018-01-01 00:36","1","SW","2"
"2018-01-01 00:46","2","W","2"
"2018-01-01 00:57","1","W","2"
"2018-01-01 01:06","1","W","2"
"2018-01-01 01:16","1","WSW","1"
"2018-01-01 01:26","0","SW","1"
"2018-01-01 01:36","1","SW","1"
"2018-01-01 01:46","1","SW","2"
"2018-01-01 01:57","1","SW","2"
"2018-01-01 02:06","1","SW","2"
"2018-01-01 02:16","1","WSW","2"
"2018-01-01 02:26","1","WSW","3"
"2018-01-01 02:36","2","W","3"
"2018-01-01 02:46","1","W","3"
"2018-01-01 02:57","2","SW","3"
"2018-01-01 03:06","2","SW","3"
"2018-01-01 03:16","1","SW","2"
"2018-01-01 03:26","1","SW","2"
"2018-01-01 03:36","1","WSW","2"
"2018-01-01 03:46","1","SW","2"
"2018-01-01 03:57","1","SSW","1"
"2018-01-01 04:06","0","SSW","1"
"2018-01-01 04:16","1","SW","2"
"2018-01-01 04:26","1","SW","2"
"2018-01-01 04:36","1","WSW","2"
"2018-01-01 04:46","1","WSW","2"
"2018-01-01 04:57","1","WSW","2"
"2018-01-01 05:06","1","WSW","2"
"2018-01-01 05:16","1","WSW","2"
"2018-01-01 05:26","2","WSW","2"
"2018-01-01 05:36","1","W","2"
"2018-01-01 05:46","1","W","2"
"2018-01-01 05:57","1","WSW","2"
"2018-01-01 06:06","1","WSW","2"
"2018-01-01 06:16","1","W","2"
"2018-01-01 06:26","1","W","2"
"2018-01-01 06:36","1","WSW","2"
"2018-01-01 06:46","1","SW","2"
"2018-01-01 06:57","1","WSW","1"
"2018-01-01 07:06","1","WSW","1"
"2018-01-01 07:16","0","WNW","1"
"2018-01-01 07:26","0","WNW","1"
"2018-01-01 07:36","0","N","1"
"2018-01-01 07:46","1","SSW","1"
"2018-01-01 07:57","1","SSW","1"
"2018-01-01 08:06","1","SSW","1"
"2018-01-01 08:16","1","SW","2"
"2018-01-01 08:26","2","SW","2"
"2018-01-01 08:36","2","SW","2"
"2018-01-01 08:46","2","SW","3"
"2018-01-01 08:57","2","SW","3"
"2018-01-01 09:06","3","SW","3"
"2018-01-01 09:16","3","SW","3"
"2018-01-01 09:26","2","SW","3"
"2018-01-01 09:36","3","SW","3"
"2018-01-01 09:46","3","SW","3"
"2018-01-01 09:57","3","SW","3"
"2018-01-01 10:06","2","SW","3"
"2018-01-01 10:16","1","SW","3"
"2018-01-01 10:26","2","SSW","2"
"2018-01-01 10:36","2","SSW","3"
"2018-01-01 10:46","3","SW","3"
"2018-01-01 10:57","3","SW","4"
"2018-01-01 11:06","3","SW","4"
"2018-01-01 11:16","2","SSW","4"
"2018-01-01 11:26","3","SW","4"
"2018-01-01 11:36","2","SW","4"
"2018-01-01 11:46","2","SSW","3"
"2018-01-01 11:57","2","SSW","3"
"2018-01-01 12:06","3","SSW","3"
"2018-01-01 12:16","3","SSW","4"
"2018-01-01 12:26","3","SSW","4"
"2018-01-01 12:36","3","SSW","4"
"2018-01-01 12:46","3","S","4"
"2018-01-01 12:57","3","SSW","4"
"2018-01-01 13:06","3","SSW","4"
"2018-01-01 13:16","3","SSW","4"
"2018-01-01 13:26","3","SSW","4"
"2018-01-01 13:36","3","SSW","4"
"2018-01-01 13:46","3","SSW","4"
"2018-01-01 13:57","3","SSW","4"
"2018-01-01 14:06","3","SSW","4"
"2018-01-01 14:16","3","SSW","4"
"2018-01-01 14:26","2","SSW","4"
"2018-01-01 14:36","2","S","3"
"2018-01-01 14:46","1","S","2"
"2018-01-01 14:57","2","S","3"
"2018-01-01 15:06","2","SSW","3"
"2018-01-01 15:16","2","S","3"
"2018-01-01 15:26","2","SSW","3"
"2018-01-01 15:36","2","SSW","3"
"2018-01-01 15:46","2","SSW","3"
"2018-01-01 15:57","1","S","2"
"2018-01-01 16:06","1","SSW","2"
"2018-01-01 16:16","1","SSW","2"
"2018-01-01 16:26","1","SW","1"
"2018-01-01 16:36","1","SW","1"
"2018-01-01 16:46","1","SW","1"
"2018-01-01 16:57","1","SW","1"
"2018-01-01 17:06","0","SW","1"
"2018-01-01 17:16","1","SW","1"
"2018-01-01 17:26","0","SW","1"
"2018-01-01 17:36","0","WSW","1"
"2018-01-01 17:46","0","W","1"
"2018-01-01 17:57","0","W","1"
"2018-01-01 18:06","0","WNW","1"
"2018-01-01 18:16","0","NW","1"
"2018-01-01 18:26","0","WNW","1"
"2018-01-01 18:36","1","NNW","1"
"2018-01-01 18:46","0","N","1"
"2018-01-01 18:57","0","NNW","1"
"2018-01-01 19:06","0","NE","1"
"2018-01-01 19:16","1","N","1"
"2018-01-01 19:26","1","NNW","2"
"2018-01-01 19:36","2","NNW","3"
"2018-01-01 19:46","2","NNW","3"
"2018-01-01 19:56","1","NNW","2"
"2018-01-01 20:06","1","NNW","2"
"2018-01-01 20:16","2","N","3"
"2018-01-01 20:26","1","N","3"
"2018-01-01 20:36","1","N","2"
"2018-01-01 20:46","0","N","1"
"2018-01-01 20:57","1","ENE","1"
"2018-01-01 21:06","1","ENE","1"
"2018-01-01 21:16","0","NE","1"
"2018-01-01 21:26","1","NNE","1"
"2018-01-01 21:36","1","N","1"
"2018-01-01 21:46","1","N","1"
"2018-01-01 21:57","1","NNW","1"
"2018-01-01 22:06","1","NNW","2"
"2018-01-01 22:16","1","NNW","2"
"2018-01-01 22:26","0","N","2"
"2018-01-01 22:36","0","N","0"
"2018-01-01 22:46","0","N","0"
"2018-01-01 22:57","0","SSW","1"
"2018-01-01 23:06","0","SW","1"
"2018-01-01 23:16","1","SW","1"
"2018-01-01 23:26","1","SW","1"
"2018-01-01 23:36","1","SW","1"
"2018-01-01 23:46","1","SW","1"
"2018-01-01 23:57","1","SW","1"
"2018-01-02 00:06","1","WSW","1"
"2018-01-02 00:16","1","WSW","1"
"2018-01-02 00:26","1","W","2"
"2018-01-02 00:36","1","W","2"
"2018-01-02 00:46","0","N","1"
"2018-01-02 00:57","0","S","1"
"2018-01-02 01:06","0","N","1"
"2018-01-02 01:16","0","SW","1"
"2018-01-02 01:26","1","WSW","1"
"2018-01-02 01:36","0","SW","1"
"2018-01-02 01:46","0","WSW","1"
"2018-01-02 01:57","1","SW","1"
"2018-01-02 02:06","1","SW","1"
"2018-01-02 02:16","1","SW","1"
"2018-01-02 02:26","1","SW","1"
"2018-01-02 02:36","1","SSW","1"
"2018-01-02 02:46","1","SSW","1"
"2018-01-02 02:56","1","SW","2"
"2018-01-02 03:06","1","SW","2"
"2018-01-02 03:16","1","SW","2"
"2018-01-02 03:26","1","SSW","1"
"2018-01-02 03:36","1","SSW","1"
"2018-01-02 03:46","1","SSW","1"
"2018-01-02 03:57","1","SSW","1"
"2018-01-02 04:06","1","SW","1"
"2018-01-02 04:16","1","WSW","2"
"2018-01-02 04:26","2","SW","2"
"2018-01-02 04:36","2","SW","2"
"2018-01-02 04:46","2","SW","3"
"2018-01-02 04:57","2","SW","3"
"2018-01-02 05:06","1","SW","3"
"2018-01-02 05:16","2","SW","3"
"2018-01-02 05:26","2","SW","3"
"2018-01-02 05:36","2","SW","2"
"2018-01-02 05:46","1","SW","2"
"2018-01-02 05:57","2","SW","2"
"2018-01-02 06:06","2","SW","2"
"2018-01-02 06:16","2","SW","2"
"2018-01-02 06:26","2","SW","2"
"2018-01-02 06:36","2","SW","3"
"2018-01-02 06:46","2","SSW","3"
"2018-01-02 06:57","3","SSW","4"
"2018-01-02 07:06","3","SSW","4"
"2018-01-02 07:16","3","SSW","4"
"2018-01-02 07:26","2","SW","3"
"2018-01-02 07:36","3","SW","3"
"2018-01-02 07:46","3","SW","3"
"2018-01-02 07:56","3","SW","4"
"2018-01-02 08:06","3","SW","4"
"2018-01-02 08:16","2","SSW","3"
"2018-01-02 08:26","1","SSW","3"
"2018-01-02 08:36","2","S","3"
"2018-01-02 08:46","3","SW","4"
"2018-01-02 08:57","3","SW","5"
"2018-01-02 09:06","3","SW","5"
"2018-01-02 09:16","3","SW","4"
"2018-01-02 09:26","3","SSW","4"
"2018-01-02 09:36","2","SSW","4"
"2018-01-02 09:46","1","S","3"
"2018-01-02 09:56","3","SSW","4"
"2018-01-02 10:06","3","SSW","4"
"2018-01-02 10:16","3","SW","4"
"2018-01-02 10:26","3","SSW","5"
"2018-01-02 10:36","3","SSW","5"
"2018-01-02 10:46","3","SSW","5"
"2018-01-02 10:56","3","SSW","5"
"2018-01-02 11:06","3","SSW","5"
"2018-01-02 11:16","3","SSW","5"
"2018-01-02 11:26","3","S","4"
"2018-01-02 11:36","3","SSW","4"
"2018-01-02 11:46","3","SSW","4"
"2018-01-02 11:56","2","SSW","3"
"2018-01-02 12:06","1","S","3"
"2018-01-02 12:16","0","WSW","2"
"2018-01-02 12:26","0","SW","1"
"2018-01-02 12:36","1","SW","1"
"2018-01-02 12:46","0","SSW","1"
"2018-01-02 12:56","0","N","1"
"2018-01-02 13:06","0","N","0"
"2018-01-02 13:16","0","N","0"
"2018-01-02 13:26","0","N","0"
"2018-01-02 13:36","0","N","0"
"2018-01-02 13:46","0","SE","1"
"2018-01-02 13:57","0","SE","1"
"2018-01-02 14:06","0","ESE","1"
"2018-01-02 14:16","0","NNE","1"
"2018-01-02 14:26","1","NE","3"
"2018-01-02 14:36","1","ENE","3"
"2018-01-02 14:46","2","E","3"
"2018-01-02 14:56","2","E","3"
"2018-01-02 15:06","3","E","4"
"2018-01-02 15:16","2","ENE","4"
"2018-01-02 15:26","2","ENE","4"
"2018-01-02 15:36","2","ENE","4"
"2018-01-02 15:46","1","NE","3"
"2018-01-02 15:56","1","ENE","4"
"2018-01-02 16:06","1","ENE","4"
"2018-01-02 16:16","1","ENE","3"
"2018-01-02 16:26","1","NE","3"
"2018-01-02 16:36","1","NE","3"
