"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-02-01 00:26","-1.2","100"
"2018-02-01 00:36","-1.2","100"
"2018-02-01 00:46","-1.3","100"
"2018-02-01 00:56","-1.2","100"
"2018-02-01 01:06","-1.1","100"
"2018-02-01 01:16","-1.0","100"
"2018-02-01 01:26","-1.1","100"
"2018-02-01 01:36","-1.0","100"
"2018-02-01 01:46","-0.9","100"
"2018-02-01 01:56","-0.9","100"
"2018-02-01 02:06","-0.8","100"
"2018-02-01 02:16","-0.9","100"
"2018-02-01 02:26","-1.0","100"
"2018-02-01 02:36","-0.9","100"
"2018-02-01 02:46","-0.9","100"
"2018-02-01 02:56","-0.9","100"
"2018-02-01 03:06","-0.9","100"
"2018-02-01 03:16","-0.9","100"
"2018-02-01 03:26","-0.9","100"
"2018-02-01 03:36","-0.7","100"
"2018-02-01 03:46","-0.7","100"
"2018-02-01 03:56","-0.8","100"
"2018-02-01 04:06","-0.8","100"
"2018-02-01 04:16","-0.8","100"
"2018-02-01 04:26","-0.8","100"
"2018-02-01 04:36","-0.6","100"
"2018-02-01 04:46","-0.6","100"
"2018-02-01 04:56","-0.6","100"
"2018-02-01 05:06","-0.5","100"
"2018-02-01 05:16","-0.5","100"
"2018-02-01 05:26","-0.5","100"
"2018-02-01 05:36","-0.4","100"
"2018-02-01 05:46","-0.4","100"
"2018-02-01 05:56","-0.3","100"
"2018-02-01 06:06","-0.2","100"
"2018-02-01 06:16","-0.2","100"
"2018-02-01 06:26","-0.1","100"
"2018-02-01 06:36","0.1","100"
"2018-02-01 06:46","0.0","100"
"2018-02-01 06:56","0.1","100"
"2018-02-01 07:06","0.1","100"
"2018-02-01 07:16","0.2","100"
"2018-02-01 07:26","0.2","100"
"2018-02-01 07:36","0.2","99"
"2018-02-01 07:46","0.2","99"
"2018-02-01 07:56","0.3","99"
"2018-02-01 08:06","0.3","99"
"2018-02-01 08:16","0.3","99"
"2018-02-01 08:26","0.3","99"
"2018-02-01 08:36","0.4","98"
"2018-02-01 08:46","0.6","98"
"2018-02-01 08:56","0.7","98"
"2018-02-01 09:06","0.9","98"
"2018-02-01 09:16","1.2","99"
"2018-02-01 09:26","1.3","99"
"2018-02-01 09:36","1.4","99"
"2018-02-01 09:46","1.9","99"
"2018-02-01 09:56","2.1","99"
"2018-02-01 10:06","2.4","99"
"2018-02-01 10:16","2.7","99"
"2018-02-01 10:26","2.8","98"
"2018-02-01 10:36","3.0","98"
