"Time EST","Air Temp (°C)"
"2018-01-01 00:06","-32.6"
"2018-01-01 00:16","-31.5"
"2018-01-01 00:26","-31.9"
"2018-01-01 00:36","-31.1"
"2018-01-01 00:46","-31.5"
"2018-01-01 00:57","-31.1"
"2018-01-01 01:06","-30.7"
"2018-01-01 01:16","-30.8"
"2018-01-01 01:26","-30.7"
"2018-01-01 01:36","-30.7"
"2018-01-01 01:46","-31.0"
"2018-01-01 01:57","-31.5"
"2018-01-01 02:06","-31.9"
"2018-01-01 02:16","-31.3"
"2018-01-01 02:26","-31.4"
"2018-01-01 02:36","-31.3"
"2018-01-01 02:46","-31.5"
"2018-01-01 02:57","-34.6"
"2018-01-01 03:06","-35.5"
"2018-01-01 03:16","-36.4"
"2018-01-01 03:26","-36.6"
"2018-01-01 03:36","-36.5"
"2018-01-01 03:46","-36.9"
"2018-01-01 03:57","-37.8"
"2018-01-01 04:06","-37.7"
"2018-01-01 04:16","-37.3"
"2018-01-01 04:26","-37.3"
"2018-01-01 04:36","-38.6"
"2018-01-01 04:46","-38.5"
"2018-01-01 04:57","-38.8"
"2018-01-01 05:06","-39.3"
"2018-01-01 05:17","-39.7"
"2018-01-01 05:26","-39.4"
"2018-01-01 05:36","-40.1"
"2018-01-01 05:46","-39.9"
"2018-01-01 05:57","-39.1"
"2018-01-01 06:06","-39.1"
"2018-01-01 06:16","-39.4"
"2018-01-01 06:26","-39.4"
"2018-01-01 06:36","-38.6"
"2018-01-01 06:46","-39.4"
"2018-01-01 06:57","-40.2"
"2018-01-01 07:06","-39.5"
"2018-01-01 07:16","-40.0"
"2018-01-01 07:26","-39.6"
"2018-01-01 07:36","-39.4"
"2018-01-01 07:46","-39.3"
"2018-01-01 07:57","-38.4"
"2018-01-01 08:06","-39.0"
"2018-01-01 08:16","-38.6"
"2018-01-01 08:26","-37.3"
"2018-01-01 08:36","-36.4"
"2018-01-01 08:46","-34.6"
"2018-01-01 08:57","-33.7"
"2018-01-01 09:06","-32.5"
"2018-01-01 09:16","-32.0"
"2018-01-01 09:26","-31.0"
"2018-01-01 09:36","-30.2"
"2018-01-01 09:46","-28.8"
"2018-01-01 09:57","-28.6"
"2018-01-01 10:06","-27.7"
"2018-01-01 10:16","-27.0"
"2018-01-01 10:26","-25.1"
"2018-01-01 10:36","-25.8"
"2018-01-01 10:46","-25.1"
"2018-01-01 10:57","-26.4"
"2018-01-01 11:06","-25.6"
"2018-01-01 11:16","-24.4"
"2018-01-01 11:26","-24.4"
"2018-01-01 11:36","-23.1"
"2018-01-01 11:46","-23.4"
"2018-01-01 11:57","-23.7"
"2018-01-01 12:06","-23.3"
"2018-01-01 12:16","-22.2"
"2018-01-01 12:26","-22.8"
"2018-01-01 12:36","-21.8"
"2018-01-01 12:46","-21.7"
"2018-01-01 12:57","-21.0"
"2018-01-01 13:06","-20.4"
"2018-01-01 13:16","-21.0"
"2018-01-01 13:26","-20.8"
"2018-01-01 13:36","-21.2"
"2018-01-01 13:46","-22.0"
"2018-01-01 13:57","-21.3"
"2018-01-01 14:06","-21.3"
"2018-01-01 14:16","-21.7"
"2018-01-01 14:26","-21.8"
"2018-01-01 14:36","-22.2"
"2018-01-01 14:46","-22.3"
"2018-01-01 14:57","-21.9"
"2018-01-01 15:06","-21.8"
"2018-01-01 15:16","-21.9"
"2018-01-01 15:26","-22.3"
"2018-01-01 15:36","-22.6"
"2018-01-01 15:46","-22.5"
"2018-01-01 15:57","-22.6"
"2018-01-01 16:06","-22.9"
"2018-01-01 16:16","-23.2"
"2018-01-01 16:26","-23.6"
"2018-01-01 16:36","-23.7"
"2018-01-01 16:46","-23.8"
"2018-01-01 16:57","-23.9"
"2018-01-01 17:06","-24.0"
"2018-01-01 17:16","-24.1"
